"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1207,vt4_Oulu_Haukipudas,2020/05/01,1,"11 HA-PA",38,25,19,19,15,20,27,57,59,112,151,186,247,238,218,226,188,168,158,137,100,81,65,32
1207,vt4_Oulu_Haukipudas,2020/05/01,1,"12 KAIP",,1,,2,,2,2,2,,1,2,3,1,2,4,,3,4,3,2,1,,1,1
1207,vt4_Oulu_Haukipudas,2020/05/01,1,"13 Linja-autot",,,,,,,,,1,,1,,,1,,1,,,,1,,,,
1207,vt4_Oulu_Haukipudas,2020/05/01,1,"14 KAPP",,,,1,,1,,2,4,2,3,1,4,2,2,1,,3,1,1,1,1,1,1
1207,vt4_Oulu_Haukipudas,2020/05/01,1,"15 KATP",4,2,,7,3,1,1,2,5,4,10,4,2,4,2,2,3,3,1,2,4,3,5,2
1207,vt4_Oulu_Haukipudas,2020/05/01,1,"16 HA + PK",,1,2,,,,,5,3,4,11,7,10,7,8,11,9,5,12,7,5,1,1,2
1207,vt4_Oulu_Haukipudas,2020/05/01,1,"17 HA + AV",,,,,,1,,,,1,,1,1,2,1,1,,2,1,1,,,,
1207,vt4_Oulu_Haukipudas,2020/05/02,1,"11 HA-PA",21,17,19,11,13,10,21,42,54,82,122,175,201,210,258,235,193,186,164,115,90,85,42,38
1207,vt4_Oulu_Haukipudas,2020/05/02,1,"12 KAIP",,2,1,2,,3,1,1,,3,1,2,,3,1,2,4,1,,3,,2,,
1207,vt4_Oulu_Haukipudas,2020/05/02,1,"13 Linja-autot",,,,,,,2,,,,,,,,,,,,,,,,,
1207,vt4_Oulu_Haukipudas,2020/05/02,1,"14 KAPP",,2,,,,,,3,1,,3,4,4,3,2,2,6,4,2,1,4,2,3,1
1207,vt4_Oulu_Haukipudas,2020/05/02,1,"15 KATP",1,2,8,4,1,3,2,2,4,4,5,4,4,7,3,6,9,5,3,2,2,3,2,2
1207,vt4_Oulu_Haukipudas,2020/05/02,1,"16 HA + PK",,,1,,,,2,3,6,7,7,15,26,10,10,11,11,12,6,6,6,,,
1207,vt4_Oulu_Haukipudas,2020/05/02,1,"17 HA + AV",,,,,,,,1,,1,,1,2,,1,2,,1,1,2,1,2,,
1207,vt4_Oulu_Haukipudas,2020/05/03,1,"11 HA-PA",19,24,20,9,12,8,12,33,33,63,100,134,183,222,271,278,274,198,232,179,122,88,46,23
1207,vt4_Oulu_Haukipudas,2020/05/03,1,"12 KAIP",,,,,,2,2,2,1,,1,,4,2,3,3,10,3,3,6,2,1,2,3
1207,vt4_Oulu_Haukipudas,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
1207,vt4_Oulu_Haukipudas,2020/05/03,1,"14 KAPP",1,,,,1,,,2,1,3,5,4,2,5,3,3,11,9,13,4,3,7,,
1207,vt4_Oulu_Haukipudas,2020/05/03,1,"15 KATP",,1,1,,1,1,2,1,5,7,8,5,7,6,6,4,2,5,7,6,10,10,7,4
1207,vt4_Oulu_Haukipudas,2020/05/03,1,"16 HA + PK",,,1,,,,,2,,1,10,8,6,11,16,12,4,14,10,9,4,2,1,1
1207,vt4_Oulu_Haukipudas,2020/05/03,1,"17 HA + AV",1,,,,,,,,1,,,1,,1,,2,3,1,1,,,1,,
1207,vt4_Oulu_Haukipudas,2020/05/04,1,"11 HA-PA",16,3,16,7,25,82,176,168,169,145,147,163,199,215,294,517,431,294,206,144,109,92,62,29
1207,vt4_Oulu_Haukipudas,2020/05/04,1,"12 KAIP",,3,4,2,5,6,9,17,17,15,13,13,13,20,14,22,7,6,6,6,3,2,,
1207,vt4_Oulu_Haukipudas,2020/05/04,1,"13 Linja-autot",,,,,1,,2,,,1,,,,,,,,1,,,,,1,
1207,vt4_Oulu_Haukipudas,2020/05/04,1,"14 KAPP",1,,,1,1,2,4,4,5,8,11,11,5,7,4,10,12,5,7,8,4,3,5,1
1207,vt4_Oulu_Haukipudas,2020/05/04,1,"15 KATP",5,7,4,6,5,16,13,9,15,14,15,11,9,17,14,12,9,13,17,13,10,10,9,8
1207,vt4_Oulu_Haukipudas,2020/05/04,1,"16 HA + PK",,,,1,1,1,4,4,5,5,8,14,8,9,9,12,11,13,14,8,4,2,3,
1207,vt4_Oulu_Haukipudas,2020/05/04,1,"17 HA + AV",,,,,,,,1,,1,2,,,1,1,1,,,1,1,,1,,
