"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1234,vt5_Toranki,2020/05/01,1,"11 HA-PA",10,5,7,7,4,6,13,4,12,11,37,44,45,49,64,46,57,56,38,37,17,23,8,3
1234,vt5_Toranki,2020/05/01,1,"12 KAIP",,,,,,,,,1,,2,,1,,1,,1,,,1,,,,1
1234,vt5_Toranki,2020/05/01,1,"13 Linja-autot",1,,,,,,1,,1,,,1,,,,,,,1,,,,,
1234,vt5_Toranki,2020/05/01,1,"14 KAPP",,,,,,,,,,,,,,,,,,1,,,,,,
1234,vt5_Toranki,2020/05/01,1,"15 KATP",,2,,,,,1,2,,1,,1,2,,,2,,1,,,,,,
1234,vt5_Toranki,2020/05/01,1,"16 HA + PK",1,,1,,,1,2,,2,3,1,3,3,3,5,4,3,3,4,3,1,1,,
1234,vt5_Toranki,2020/05/01,1,"17 HA + AV",1,,,1,,,,,,,,,,1,,,,,,1,,,,
1234,vt5_Toranki,2020/05/01,2,"11 HA-PA",3,7,1,3,8,8,7,15,36,40,48,45,59,45,51,50,46,28,28,33,18,15,15,2
1234,vt5_Toranki,2020/05/01,2,"12 KAIP",,,,,,,1,1,,1,,,,,,,1,,,,1,,,1
1234,vt5_Toranki,2020/05/01,2,"13 Linja-autot",,,,,,2,,,1,,,,,,,,,,,,,,,
1234,vt5_Toranki,2020/05/01,2,"14 KAPP",,,,,,,,1,,,,,,,,,,,,,,,,
1234,vt5_Toranki,2020/05/01,2,"15 KATP",1,,,1,1,2,1,,,,,,,,,,,,,,,,,
1234,vt5_Toranki,2020/05/01,2,"16 HA + PK",2,,,,1,,3,,5,,5,3,5,9,3,2,2,3,5,1,,,,
1234,vt5_Toranki,2020/05/01,2,"17 HA + AV",,,,,,,,,,,,2,,,,,,,1,,,,,
1234,vt5_Toranki,2020/05/02,1,"11 HA-PA",8,5,,3,2,4,19,8,18,36,43,58,53,78,69,53,48,52,28,33,19,16,5,7
1234,vt5_Toranki,2020/05/02,1,"12 KAIP",,,,,,,,,,1,,2,1,1,,1,,2,,,1,,,
1234,vt5_Toranki,2020/05/02,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,1,,,,,,
1234,vt5_Toranki,2020/05/02,1,"15 KATP",,,2,,,,,,,,1,,,2,,,1,,,,,2,,
1234,vt5_Toranki,2020/05/02,1,"16 HA + PK",,,,,,,1,1,2,2,1,2,3,7,5,3,7,6,2,1,2,1,1,1
1234,vt5_Toranki,2020/05/02,1,"17 HA + AV",,,,,,,,,1,,,,,,,,,1,,,1,,,
1234,vt5_Toranki,2020/05/02,2,"11 HA-PA",5,2,1,4,1,2,9,17,28,45,71,48,70,61,61,55,39,41,19,30,14,11,7,7
1234,vt5_Toranki,2020/05/02,2,"12 KAIP",1,,,,,,,,1,,2,,1,,1,,2,,,3,,,,
1234,vt5_Toranki,2020/05/02,2,"15 KATP",,,,1,,,,,,1,,2,1,1,,,,,,1,,,,
1234,vt5_Toranki,2020/05/02,2,"16 HA + PK",,,,,,2,,,6,4,5,3,6,4,2,10,5,,4,1,1,1,1,
1234,vt5_Toranki,2020/05/02,2,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
1234,vt5_Toranki,2020/05/03,1,"11 HA-PA",5,4,,1,,5,9,5,8,19,38,48,31,66,66,65,63,41,30,35,13,8,6,4
1234,vt5_Toranki,2020/05/03,1,"12 KAIP",,,,,,,,1,1,,,1,,,,,,,3,2,,,,
1234,vt5_Toranki,2020/05/03,1,"13 Linja-autot",,,1,,,,,,,,1,,,,,,1,,2,,1,,,
1234,vt5_Toranki,2020/05/03,1,"14 KAPP",,,,,,,,,,,,1,,,,,,1,,,,,,
1234,vt5_Toranki,2020/05/03,1,"15 KATP",,,,,,,,,,,,,1,1,,1,,2,,,,1,,
1234,vt5_Toranki,2020/05/03,1,"16 HA + PK",,,,,,2,1,2,1,,1,6,3,5,6,7,5,2,2,4,,1,,
1234,vt5_Toranki,2020/05/03,1,"17 HA + AV",,,,,,,,,,,1,,1,,,,,1,,,,,,
1234,vt5_Toranki,2020/05/03,2,"11 HA-PA",4,4,2,,2,2,7,11,26,41,52,51,77,52,55,39,49,36,29,23,15,13,6,5
