"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1326,vt28_Vuottolahti,2020/05/01,1,"11 HA-PA",1,4,2,2,,4,6,6,9,28,41,35,48,43,39,45,50,45,34,25,19,20,10,5
1326,vt28_Vuottolahti,2020/05/01,1,"12 KAIP",,1,,,,,,,,1,,,,,,,1,,,1,,,,
1326,vt28_Vuottolahti,2020/05/01,1,"14 KAPP",,,,,,,,,,1,,,,,,,,,,,,,,
1326,vt28_Vuottolahti,2020/05/01,1,"15 KATP",,,,,,,,2,,2,,,,2,1,,2,,,1,,,,1
1326,vt28_Vuottolahti,2020/05/01,1,"16 HA + PK",,,,,,,,,2,1,2,3,4,1,3,2,2,2,1,2,1,,,
1326,vt28_Vuottolahti,2020/05/01,1,"17 HA + AV",,,,,,,,1,,,1,,,,,1,,,,,,,,
1326,vt28_Vuottolahti,2020/05/01,2,"11 HA-PA",3,3,3,1,5,7,17,18,18,21,37,42,57,50,42,51,31,38,27,28,21,15,5,4
1326,vt28_Vuottolahti,2020/05/01,2,"12 KAIP",,1,,,,1,,,,,,,,,,,1,,,,,,,
1326,vt28_Vuottolahti,2020/05/01,2,"15 KATP",,,1,,,,,,2,,,,2,2,,1,1,1,1,,1,,,
1326,vt28_Vuottolahti,2020/05/01,2,"16 HA + PK",,,,,,2,1,,1,1,3,2,3,8,,2,1,1,1,,1,,,
1326,vt28_Vuottolahti,2020/05/01,2,"17 HA + AV",,,,,,,,,,,,3,,,,,,,,,,,,
1326,vt28_Vuottolahti,2020/05/02,1,"11 HA-PA",1,4,,,,4,2,9,28,32,37,48,29,47,56,50,42,53,34,24,22,20,10,3
1326,vt28_Vuottolahti,2020/05/02,1,"12 KAIP",,,1,,,1,,1,,,,1,,2,,1,,1,,,,1,,
1326,vt28_Vuottolahti,2020/05/02,1,"15 KATP",,1,1,2,,,,1,1,,1,,1,1,1,,,,,,,,,
1326,vt28_Vuottolahti,2020/05/02,1,"16 HA + PK",,,,,,,,,1,1,3,1,3,2,1,4,4,5,2,2,,,,
1326,vt28_Vuottolahti,2020/05/02,2,"11 HA-PA",5,4,3,2,4,9,11,15,21,30,44,50,57,60,38,41,44,32,22,19,19,17,9,2
1326,vt28_Vuottolahti,2020/05/02,2,"12 KAIP",,,1,,,1,,,,2,,,,,,,,,,,,,,
1326,vt28_Vuottolahti,2020/05/02,2,"14 KAPP",,,,,,,,,,1,,,,,,,,,,,,,,
1326,vt28_Vuottolahti,2020/05/02,2,"15 KATP",,,,1,,2,1,2,,1,,,,1,,1,,,,,,,,
1326,vt28_Vuottolahti,2020/05/02,2,"16 HA + PK",,,,,1,,1,1,,2,4,,4,3,1,,2,2,1,2,1,,,
1326,vt28_Vuottolahti,2020/05/02,2,"17 HA + AV",,,,,,,,,,1,,,,1,,1,,,,,,,,
1326,vt28_Vuottolahti,2020/05/03,1,"11 HA-PA",2,1,2,,3,3,5,7,6,15,19,31,43,54,61,58,63,50,56,30,22,23,13,3
1326,vt28_Vuottolahti,2020/05/03,1,"12 KAIP",,,,,,,,,,,1,,1,,1,1,,,1,1,,,,
1326,vt28_Vuottolahti,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
1326,vt28_Vuottolahti,2020/05/03,1,"14 KAPP",,,,,,,,,,,,,,,,,,2,1,1,1,1,,
1326,vt28_Vuottolahti,2020/05/03,1,"15 KATP",,,,,,,,,,,,1,,,,,4,1,,,1,3,,3
1326,vt28_Vuottolahti,2020/05/03,1,"16 HA + PK",,,,,,,,,,,2,2,4,4,4,1,7,3,1,2,2,1,,1
1326,vt28_Vuottolahti,2020/05/03,1,"17 HA + AV",,,,,,,,,,,,,,,,1,1,,1,,,,,
1326,vt28_Vuottolahti,2020/05/03,2,"11 HA-PA",2,3,,2,1,9,10,11,10,16,16,50,66,57,59,53,53,45,33,31,17,14,4,1
1326,vt28_Vuottolahti,2020/05/03,2,"12 KAIP",,,,,,,,2,,,,1,,,,,1,,,,1,,,
1326,vt28_Vuottolahti,2020/05/03,2,"15 KATP",,,,,,,,1,,,,,,1,1,2,2,,2,1,,2,1,
1326,vt28_Vuottolahti,2020/05/03,2,"16 HA + PK",,,,1,,1,1,1,2,,1,6,4,3,9,1,5,3,,,1,1,1,
1326,vt28_Vuottolahti,2020/05/03,2,"17 HA + AV",,,,,,,,,1,,,1,1,,,,1,,,,,,,
