"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
145,st101_Kannelmäki,2020/05/01,1,"11 HA-PA",304,236,154,119,113,168,331,362,451,780,1073,1442,1576,1712,1789,1645,1478,1343,1222,985,805,663,507,410
145,st101_Kannelmäki,2020/05/01,1,"12 KAIP",,5,3,,,2,1,4,5,2,10,7,9,9,5,12,7,4,2,4,5,1,2,3
145,st101_Kannelmäki,2020/05/01,1,"13 Linja-autot",6,1,2,,,,,1,,,,3,1,,,2,,,1,1,,2,4,9
145,st101_Kannelmäki,2020/05/01,1,"14 KAPP",1,3,2,1,1,2,3,2,8,5,10,4,,3,4,6,8,2,2,1,,2,7,9
145,st101_Kannelmäki,2020/05/01,1,"15 KATP",4,2,1,,3,2,2,1,6,2,6,5,2,1,,4,6,3,2,2,2,4,2,6
145,st101_Kannelmäki,2020/05/01,1,"16 HA + PK",,1,,,,1,,4,5,11,14,17,21,23,11,15,13,13,10,10,4,4,1,1
145,st101_Kannelmäki,2020/05/01,1,"17 HA + AV",,,,,,,,1,1,3,3,3,2,4,2,1,1,,4,,1,,1,1
145,st101_Kannelmäki,2020/05/01,2,"11 HA-PA",350,239,190,128,105,196,478,389,413,663,941,1292,1433,1608,1785,1637,1560,1439,1313,1084,881,717,542,404
145,st101_Kannelmäki,2020/05/01,2,"12 KAIP",4,5,2,,2,4,6,15,16,9,4,9,5,9,7,4,7,7,9,2,5,4,3,3
145,st101_Kannelmäki,2020/05/01,2,"13 Linja-autot",,,,,,4,11,3,,,,1,,,,1,2,,,,,,,
145,st101_Kannelmäki,2020/05/01,2,"14 KAPP",3,,1,,1,3,30,45,41,5,4,7,11,11,11,4,1,,3,3,12,5,5,3
