"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
179,vt7_Fazerila,2020/05/01,1,"11 HA-PA",25,23,18,13,18,28,68,97,175,274,480,555,544,511,453,370,321,243,208,167,123,98,58,40
179,vt7_Fazerila,2020/05/01,1,"12 KAIP",,,,,,,,1,,,3,6,4,1,3,1,1,,,,1,1,1,
179,vt7_Fazerila,2020/05/01,1,"13 Linja-autot",,,,,,,,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,1
179,vt7_Fazerila,2020/05/01,1,"14 KAPP",1,,,,,,,2,,3,5,,1,,1,1,3,,,,,,1,1
179,vt7_Fazerila,2020/05/01,1,"15 KATP",2,,1,2,1,1,1,3,1,6,1,,1,,1,4,,,2,,,,,
179,vt7_Fazerila,2020/05/01,1,"16 HA + PK",,,,,,,,,1,5,13,9,9,7,5,6,3,4,,2,1,2,1,
179,vt7_Fazerila,2020/05/01,1,"17 HA + AV",,,,,,,,,1,1,,3,1,1,2,1,,,,,1,,,1
179,vt7_Fazerila,2020/05/01,2,"11 HA-PA",49,29,14,15,12,28,79,60,74,81,159,243,276,291,333,353,403,348,344,305,198,150,116,66
179,vt7_Fazerila,2020/05/01,2,"12 KAIP",1,,,1,,1,2,3,3,1,,2,,3,1,,1,1,2,,,,,
179,vt7_Fazerila,2020/05/01,2,"13 Linja-autot",,,,,,,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1
179,vt7_Fazerila,2020/05/01,2,"14 KAPP",,,,,,,6,4,7,3,1,4,1,3,4,1,1,,1,2,,2,,
179,vt7_Fazerila,2020/05/01,2,"15 KATP",,1,,,1,,4,1,2,2,,2,,3,,1,1,1,1,,1,1,1,
179,vt7_Fazerila,2020/05/01,2,"16 HA + PK",,,,,,,,,1,2,1,6,4,3,3,6,5,1,1,8,2,,1,
179,vt7_Fazerila,2020/05/01,2,"17 HA + AV",,1,,,,,,,,1,,1,2,1,1,1,,,,,,,1,
179,vt7_Fazerila,2020/05/02,1,"11 HA-PA",24,23,5,12,9,26,66,90,149,307,448,463,434,410,402,335,279,221,193,158,105,75,51,38
179,vt7_Fazerila,2020/05/02,1,"12 KAIP",,1,,,,1,2,3,3,,6,1,3,1,3,3,1,4,2,,1,,,
179,vt7_Fazerila,2020/05/02,1,"13 Linja-autot",1,,,,,,,1,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1
179,vt7_Fazerila,2020/05/02,1,"14 KAPP",,,,,,,,,2,2,1,4,3,2,2,,5,,,,,2,3,3
179,vt7_Fazerila,2020/05/02,1,"15 KATP",,,,1,,,,2,,1,1,1,1,2,3,1,,,,,1,1,1,
179,vt7_Fazerila,2020/05/02,1,"16 HA + PK",,,,,,,1,,1,1,6,9,2,4,9,4,4,1,3,,1,1,1,
179,vt7_Fazerila,2020/05/02,1,"17 HA + AV",,,,,,,,1,1,2,1,,,,1,1,,,,1,,,1,
179,vt7_Fazerila,2020/05/02,2,"11 HA-PA",29,20,16,13,16,21,69,75,77,145,211,259,309,396,465,449,439,452,358,345,241,154,96,66
179,vt7_Fazerila,2020/05/02,2,"12 KAIP",,,,,2,1,2,,1,1,4,1,3,2,2,2,3,,1,1,,,,
179,vt7_Fazerila,2020/05/02,2,"13 Linja-autot",,,,,,,1,1,2,1,1,2,1,2,1,2,2,1,1,1,1,1,1,1
179,vt7_Fazerila,2020/05/02,2,"14 KAPP",,,,1,,,1,1,1,1,6,9,,,1,1,1,1,,1,,1,,
179,vt7_Fazerila,2020/05/02,2,"15 KATP",,,,,,,,1,2,2,2,,1,1,1,3,2,,3,,1,,,
179,vt7_Fazerila,2020/05/02,2,"16 HA + PK",,,,,,,1,1,5,5,7,4,6,6,3,7,3,3,7,2,4,,1,
179,vt7_Fazerila,2020/05/02,2,"17 HA + AV",,,,,,,,1,,,,,,1,,,2,,1,,,1,1,
179,vt7_Fazerila,2020/05/03,1,"11 HA-PA",28,16,8,7,14,16,46,63,117,221,389,476,515,452,428,375,330,329,286,226,170,126,50,31
179,vt7_Fazerila,2020/05/03,1,"12 KAIP",1,,,1,,1,,,1,3,1,1,2,2,3,2,4,2,3,1,1,1,2,2
179,vt7_Fazerila,2020/05/03,1,"13 Linja-autot",1,,,,,,,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
179,vt7_Fazerila,2020/05/03,1,"14 KAPP",,,,,1,,,,1,1,2,,2,,1,3,7,,1,1,2,,6,6
179,vt7_Fazerila,2020/05/03,1,"15 KATP",,2,,1,,,,,1,3,1,3,4,,1,,1,1,,2,2,2,2,
179,vt7_Fazerila,2020/05/03,1,"16 HA + PK",,,,,,,,2,2,3,7,4,9,2,3,5,2,2,7,4,4,5,1,1
179,vt7_Fazerila,2020/05/03,1,"17 HA + AV",,,,,,,,,,,,,,1,,1,1,1,,,,,,1
179,vt7_Fazerila,2020/05/03,2,"11 HA-PA",31,23,10,11,14,15,53,49,58,105,189,310,415,627,706,812,957,958,867,774,527,300,144,42
179,vt7_Fazerila,2020/05/03,2,"12 KAIP",,,,,,,1,1,,3,1,2,5,3,3,2,,2,2,2,1,1,3,1
179,vt7_Fazerila,2020/05/03,2,"13 Linja-autot",,,,,,,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1
179,vt7_Fazerila,2020/05/03,2,"14 KAPP",,,,,,,,1,,1,4,6,2,4,1,2,1,,4,2,,1,,1
179,vt7_Fazerila,2020/05/03,2,"15 KATP",,,,,,,,,1,,1,,,2,,,1,2,3,3,1,,,
179,vt7_Fazerila,2020/05/03,2,"16 HA + PK",,,,,,,,1,,5,4,6,4,6,14,6,19,17,16,17,18,6,1,1
179,vt7_Fazerila,2020/05/03,2,"17 HA + AV",,,,,,,,,3,,,,3,1,2,1,,,3,2,2,,1,1
179,vt7_Fazerila,2020/05/04,1,"11 HA-PA",21,12,4,10,18,77,295,358,272,264,230,299,325,348,469,743,623,450,310,240,175,105,64,32
179,vt7_Fazerila,2020/05/04,1,"12 KAIP",2,,,2,1,2,6,17,14,11,11,17,10,13,13,19,14,6,2,2,1,1,,1
179,vt7_Fazerila,2020/05/04,1,"13 Linja-autot",1,,,,,,1,4,3,2,4,4,3,3,4,3,4,9,3,2,2,1,1,1
179,vt7_Fazerila,2020/05/04,1,"14 KAPP",,,1,,,1,5,6,8,21,18,7,10,10,9,14,22,6,4,3,3,1,12,3
179,vt7_Fazerila,2020/05/04,1,"15 KATP",1,,3,4,2,3,7,8,8,7,18,7,9,11,6,8,4,5,1,1,1,1,1,
179,vt7_Fazerila,2020/05/04,1,"16 HA + PK",,,,,,1,1,3,5,4,9,5,6,4,7,3,7,14,4,5,2,,2,
179,vt7_Fazerila,2020/05/04,1,"17 HA + AV",,,,,,,1,2,3,,1,1,,3,,1,1,1,1,,2,,,
179,vt7_Fazerila,2020/05/04,2,"11 HA-PA",16,10,13,11,34,169,679,587,467,357,274,312,345,324,340,462,486,420,340,284,227,193,107,39
179,vt7_Fazerila,2020/05/04,2,"12 KAIP",,,1,4,2,9,36,17,15,14,17,15,15,12,10,12,6,3,8,4,3,4,3,1
179,vt7_Fazerila,2020/05/04,2,"13 Linja-autot",,,,,,4,5,4,2,3,2,3,5,4,2,4,6,2,1,1,2,1,1,1
179,vt7_Fazerila,2020/05/04,2,"14 KAPP",,,,1,,3,10,11,8,7,14,14,15,9,15,8,12,6,7,10,6,2,3,
179,vt7_Fazerila,2020/05/04,2,"15 KATP",1,3,,2,4,5,8,10,7,9,12,11,10,11,5,4,12,3,5,4,5,,4,
179,vt7_Fazerila,2020/05/04,2,"16 HA + PK",,,,1,,,2,11,6,7,3,8,3,2,7,9,13,13,5,8,1,4,5,
179,vt7_Fazerila,2020/05/04,2,"17 HA + AV",,,,,1,,1,1,1,2,,5,2,1,,1,2,1,1,1,2,1,,
179,vt7_Fazerila,2020/05/05,1,"11 HA-PA",17,8,8,9,13,64,299,322,281,301,310,333,336,364,514,747,694,523,321,249,167,133,75,27
179,vt7_Fazerila,2020/05/05,1,"12 KAIP",,1,2,,1,4,4,15,6,19,25,18,15,17,11,19,12,9,5,6,5,,3,2
179,vt7_Fazerila,2020/05/05,1,"13 Linja-autot",1,,,,,,1,5,2,4,4,3,4,3,2,4,5,7,3,2,1,1,1,1
179,vt7_Fazerila,2020/05/05,1,"14 KAPP",,1,,1,,2,4,11,9,16,19,6,10,13,11,9,22,7,5,2,8,1,7,6
179,vt7_Fazerila,2020/05/05,1,"15 KATP",3,2,3,,3,3,7,11,8,9,15,11,5,11,9,9,7,6,4,2,4,2,2,
179,vt7_Fazerila,2020/05/05,1,"16 HA + PK",,,,,1,1,,,3,6,4,9,2,6,11,6,7,8,7,5,3,1,,
179,vt7_Fazerila,2020/05/05,1,"17 HA + AV",,,,,,,,1,1,,1,3,3,1,1,,2,1,,1,,,,
179,vt7_Fazerila,2020/05/05,2,"11 HA-PA",16,9,14,9,23,169,625,565,448,327,268,296,311,303,362,461,489,406,346,350,299,217,104,49
179,vt7_Fazerila,2020/05/05,2,"12 KAIP",2,1,3,2,2,5,32,24,16,24,24,21,12,15,15,11,10,3,3,4,4,1,1,
179,vt7_Fazerila,2020/05/05,2,"13 Linja-autot",,,,,1,3,6,2,3,3,3,5,3,3,3,4,5,2,1,1,2,1,1,1
179,vt7_Fazerila,2020/05/05,2,"14 KAPP",1,1,,1,,3,13,17,18,10,9,12,12,20,10,9,11,9,7,7,8,5,4,1
179,vt7_Fazerila,2020/05/05,2,"15 KATP",,3,1,2,3,5,14,9,9,14,6,8,8,14,6,11,6,5,8,4,3,2,1,2
179,vt7_Fazerila,2020/05/05,2,"16 HA + PK",2,,,,1,2,3,7,6,2,5,3,7,2,8,4,6,7,5,6,5,2,1,4
179,vt7_Fazerila,2020/05/05,2,"17 HA + AV",,,,,,,2,,3,2,1,1,1,1,1,1,1,1,2,,1,1,,
179,vt7_Fazerila,2020/05/06,1,"11 HA-PA",22,5,16,11,25,52,299,314,304,311,277,318,338,410,483,814,705,511,369,261,151,130,85,40
179,vt7_Fazerila,2020/05/06,1,"12 KAIP",,,,1,1,3,6,12,22,9,22,14,18,18,9,23,16,14,7,5,2,3,2,1
179,vt7_Fazerila,2020/05/06,1,"13 Linja-autot",1,,,,,,1,5,3,3,3,3,4,3,2,3,5,7,3,2,1,1,2,1
179,vt7_Fazerila,2020/05/06,1,"14 KAPP",1,,,,,2,5,4,11,10,20,14,9,7,11,7,13,2,3,1,3,1,9,5
179,vt7_Fazerila,2020/05/06,1,"15 KATP",4,,1,1,6,3,7,10,10,8,17,9,10,8,6,8,3,3,3,2,1,3,,2
179,vt7_Fazerila,2020/05/06,1,"16 HA + PK",,,,,,,1,7,4,4,6,7,6,3,10,11,5,5,6,7,3,1,1,1
179,vt7_Fazerila,2020/05/06,1,"17 HA + AV",,,,,,,1,,4,,1,1,1,1,,1,3,2,1,1,1,,,
179,vt7_Fazerila,2020/05/06,2,"11 HA-PA",26,15,8,5,27,176,650,544,429,348,285,299,301,323,352,456,516,452,421,345,258,204,93,55
179,vt7_Fazerila,2020/05/06,2,"12 KAIP",2,,1,5,4,9,23,22,22,14,12,14,26,20,10,12,8,5,9,1,2,5,1,1
179,vt7_Fazerila,2020/05/06,2,"13 Linja-autot",,,,,,2,6,3,3,3,3,3,3,6,3,4,6,2,1,2,1,1,1,1
179,vt7_Fazerila,2020/05/06,2,"14 KAPP",,,,,,4,18,21,20,12,11,14,10,24,17,3,5,7,8,7,5,1,3,3
179,vt7_Fazerila,2020/05/06,2,"15 KATP",2,4,,,2,11,17,12,10,14,10,6,10,12,7,5,10,4,4,7,2,3,,
179,vt7_Fazerila,2020/05/06,2,"16 HA + PK",,,,,,1,1,9,4,7,5,3,6,5,3,6,6,9,5,4,4,3,3,1
179,vt7_Fazerila,2020/05/06,2,"17 HA + AV",,,,,,,4,1,1,1,1,3,1,3,1,,,,1,1,,,,
179,vt7_Fazerila,2020/05/07,1,"11 HA-PA",19,15,7,7,18,62,292,318,284,305,305,347,344,386,586,808,762,593,416,272,214,128,69,50
179,vt7_Fazerila,2020/05/07,1,"12 KAIP",,1,3,1,1,2,9,16,14,17,16,9,18,13,15,12,16,8,9,5,3,1,4,1
179,vt7_Fazerila,2020/05/07,1,"13 Linja-autot",1,,,,,,1,5,3,3,3,3,4,3,3,3,5,6,5,2,1,1,1,1
179,vt7_Fazerila,2020/05/07,1,"14 KAPP",2,1,,,1,2,1,8,9,15,16,6,10,6,3,10,12,4,4,4,3,3,13,4
179,vt7_Fazerila,2020/05/07,1,"15 KATP",2,2,2,1,6,3,3,7,10,7,12,2,9,7,9,4,3,7,2,2,,1,4,4
179,vt7_Fazerila,2020/05/07,1,"16 HA + PK",,,,,,,,2,2,2,4,4,7,6,6,12,6,9,7,4,1,,1,
179,vt7_Fazerila,2020/05/07,1,"17 HA + AV",,,2,,,1,,1,3,,4,4,2,5,1,1,2,4,1,,1,1,1,
179,vt7_Fazerila,2020/05/07,2,"11 HA-PA",21,7,10,6,22,165,665,567,456,340,289,313,295,325,392,501,511,447,398,305,263,216,91,52
179,vt7_Fazerila,2020/05/07,2,"12 KAIP",2,1,2,3,3,10,21,16,15,15,18,22,15,19,13,10,6,6,6,3,3,1,,2
179,vt7_Fazerila,2020/05/07,2,"13 Linja-autot",1,,,,,4,3,4,3,3,3,4,2,4,3,4,5,2,2,1,1,1,1,1
179,vt7_Fazerila,2020/05/07,2,"14 KAPP",,,,,1,1,17,15,11,12,11,18,12,11,8,5,8,12,9,6,2,7,4,4
179,vt7_Fazerila,2020/05/07,2,"15 KATP",2,1,2,,2,4,14,15,9,12,7,7,5,7,5,2,4,1,6,5,5,3,3,2
179,vt7_Fazerila,2020/05/07,2,"16 HA + PK",,,,,,2,5,3,5,6,6,4,3,7,4,5,4,5,1,,2,2,1,
179,vt7_Fazerila,2020/05/07,2,"17 HA + AV",1,,,,,,,1,,1,1,,,,3,2,,1,,,,,,
179,vt7_Fazerila,2020/05/08,1,"11 HA-PA",22,13,9,10,20,64,278,319,264,284,329,417,465,581,748,951,895,785,548,329,201,146,93,58
179,vt7_Fazerila,2020/05/08,1,"12 KAIP",,,1,1,1,4,4,10,13,18,13,16,17,17,16,13,13,2,3,2,3,,3,1
179,vt7_Fazerila,2020/05/08,1,"13 Linja-autot",1,,,,,,1,5,3,5,4,3,4,4,5,3,4,6,4,2,1,1,1,1
179,vt7_Fazerila,2020/05/08,1,"14 KAPP",2,2,,,,1,3,6,6,11,12,12,9,10,7,1,2,7,1,,,2,5,2
179,vt7_Fazerila,2020/05/08,1,"15 KATP",1,1,2,5,3,4,9,3,6,5,10,12,4,5,11,5,3,4,2,,4,1,1,1
179,vt7_Fazerila,2020/05/08,1,"16 HA + PK",1,,,,,1,2,2,3,6,7,11,2,5,8,14,15,14,11,8,3,3,2,1
179,vt7_Fazerila,2020/05/08,1,"17 HA + AV",,,,,1,,2,1,1,2,,3,2,2,6,4,6,,3,,2,,,
179,vt7_Fazerila,2020/05/08,2,"11 HA-PA",17,13,7,9,32,163,608,519,387,331,305,337,345,401,461,550,540,475,424,356,303,202,128,65
179,vt7_Fazerila,2020/05/08,2,"12 KAIP",4,1,,4,2,6,35,14,11,15,17,11,18,7,13,8,3,5,2,7,1,2,1,1
179,vt7_Fazerila,2020/05/08,2,"13 Linja-autot",,,,,,5,5,5,3,3,3,4,2,6,3,3,6,2,1,1,1,1,1,1
179,vt7_Fazerila,2020/05/08,2,"14 KAPP",,,,,1,4,17,14,15,9,15,18,8,13,10,7,6,5,5,6,4,,,
179,vt7_Fazerila,2020/05/08,2,"15 KATP",,1,1,1,4,10,11,13,7,11,11,10,8,3,5,4,2,3,1,3,3,1,2,2
179,vt7_Fazerila,2020/05/08,2,"16 HA + PK",,,,,,1,7,3,8,3,8,4,12,4,5,6,10,5,5,3,5,2,1,
179,vt7_Fazerila,2020/05/08,2,"17 HA + AV",,,,,,,3,1,2,,,2,2,2,1,1,2,1,3,1,2,1,1,
179,vt7_Fazerila,2020/05/09,1,"11 HA-PA",27,23,17,6,8,38,126,152,262,489,637,712,666,618,531,458,409,304,283,231,152,112,78,56
179,vt7_Fazerila,2020/05/09,1,"12 KAIP",,,,1,1,,,3,2,,3,2,6,5,1,1,1,3,1,,1,,1,
179,vt7_Fazerila,2020/05/09,1,"13 Linja-autot",1,,,,,,,1,1,1,1,1,3,1,3,1,1,3,1,1,1,1,1,1
179,vt7_Fazerila,2020/05/09,1,"14 KAPP",1,,,,,1,,2,3,2,4,2,2,3,1,,6,2,,,,2,,1
179,vt7_Fazerila,2020/05/09,1,"15 KATP",,,1,2,4,1,,3,1,2,,,5,1,2,2,1,1,,,1,,1,
179,vt7_Fazerila,2020/05/09,1,"16 HA + PK",1,1,,,,,2,2,7,8,14,12,8,9,7,7,6,5,5,3,2,4,1,
179,vt7_Fazerila,2020/05/09,1,"17 HA + AV",,,,,,,,,,,4,3,1,1,1,1,,1,1,1,,,,
179,vt7_Fazerila,2020/05/09,2,"11 HA-PA",43,17,15,14,11,30,76,104,119,217,278,391,439,454,493,524,596,613,556,524,406,276,152,99
179,vt7_Fazerila,2020/05/09,2,"12 KAIP",1,,,1,,,6,3,4,3,4,3,4,4,4,3,3,,,1,,1,,2
179,vt7_Fazerila,2020/05/09,2,"13 Linja-autot",,,,,,,1,1,1,1,1,2,1,2,1,2,2,3,1,1,1,1,1,1
179,vt7_Fazerila,2020/05/09,2,"14 KAPP",,,,1,,,7,6,6,4,7,3,1,2,,2,,1,,1,1,,,
179,vt7_Fazerila,2020/05/09,2,"15 KATP",,1,1,,,1,3,1,2,3,3,2,2,1,3,,1,1,,,1,,,
