"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
225,st180_Parainen,2020/05/01,1,"11 HA-PA",1,,2,1,2,3,3,24,26,45,67,75,95,80,68,92,53,41,29,20,13,11,3,2
225,st180_Parainen,2020/05/01,1,"12 KAIP",,,,,,,1,,,,,1,1,2,1,,,,,,1,,,
225,st180_Parainen,2020/05/01,1,"13 Linja-autot",,,,,,,,1,,,1,,,1,,,1,,,1,,,,
225,st180_Parainen,2020/05/01,1,"15 KATP",,,,,,,,,,,,1,,,,,,,,,,,,
225,st180_Parainen,2020/05/01,1,"16 HA + PK",,,,,,,,5,1,1,8,11,2,6,5,2,3,2,2,2,,1,,
225,st180_Parainen,2020/05/01,1,"17 HA + AV",,,,,,,,1,,1,1,,1,1,1,1,,,,,,,,
225,st180_Parainen,2020/05/01,2,"11 HA-PA",3,,,,1,3,2,4,4,13,17,28,40,37,62,40,47,44,33,51,18,12,8,6
225,st180_Parainen,2020/05/01,2,"12 KAIP",,,,,1,,,,,,1,1,,1,,,1,,,1,1,,,
225,st180_Parainen,2020/05/01,2,"13 Linja-autot",,,,,,,,,,1,,1,,,1,,,,,1,,,,
225,st180_Parainen,2020/05/01,2,"15 KATP",,,,,,,,,,,1,,,,,,,,,,,,,
225,st180_Parainen,2020/05/01,2,"16 HA + PK",,,,,,,,,,,2,2,2,3,3,5,1,2,3,2,1,,,1
225,st180_Parainen,2020/05/01,2,"17 HA + AV",1,,,,,,,,,,,,1,,3,,,2,1,1,,,,
225,st180_Parainen,2020/05/02,1,"11 HA-PA",1,,,,,6,1,8,25,22,46,65,64,79,77,72,51,30,21,25,13,10,6,3
225,st180_Parainen,2020/05/02,1,"12 KAIP",,,1,,,,,,,2,2,,,1,,1,1,,,,,,,
225,st180_Parainen,2020/05/02,1,"13 Linja-autot",,,,,,,,1,,,1,,1,,1,,,1,,1,,,,
225,st180_Parainen,2020/05/02,1,"16 HA + PK",,,,,,,,,1,,2,4,8,2,3,3,4,1,2,,,,,
225,st180_Parainen,2020/05/02,1,"17 HA + AV",,,,,,,,,,1,2,2,3,,1,1,2,1,,,,1,,
225,st180_Parainen,2020/05/02,2,"11 HA-PA",1,4,,1,1,1,1,7,18,26,42,60,51,61,110,46,68,75,73,41,27,23,10,10
225,st180_Parainen,2020/05/02,2,"12 KAIP",,,,,,,,,,,1,,1,,,,1,1,,,1,,,
225,st180_Parainen,2020/05/02,2,"13 Linja-autot",,,,,,,,1,,1,1,1,1,,1,,1,2,,,,,,
225,st180_Parainen,2020/05/02,2,"15 KATP",,,,,,,,,,,,,,,,,,1,,,,,,
225,st180_Parainen,2020/05/02,2,"16 HA + PK",,,,,,,,,2,2,2,,4,2,9,2,3,4,5,1,2,,,
225,st180_Parainen,2020/05/02,2,"17 HA + AV",,,,,,,,,,,1,1,,,,,1,1,,1,,,,
225,st180_Parainen,2020/05/03,1,"11 HA-PA",5,,3,1,1,4,1,14,17,45,59,70,61,57,53,30,32,33,26,13,11,8,3,1
225,st180_Parainen,2020/05/03,1,"12 KAIP",,,,,,,,,2,,1,1,,,,,,,,1,,,,
225,st180_Parainen,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,1,,,,1,,1,,,1,,,,
225,st180_Parainen,2020/05/03,1,"14 KAPP",,,,,,,,,,,,,,,,,,,,,,1,,
225,st180_Parainen,2020/05/03,1,"15 KATP",,,,,,,,,,,,,,,,,,,,,,,,1
225,st180_Parainen,2020/05/03,1,"16 HA + PK",,,,,,,,2,,2,3,4,3,6,,1,2,,,,2,1,,
225,st180_Parainen,2020/05/03,1,"17 HA + AV",,,,,,,,2,1,,2,,2,1,,4,2,,,2,,,,
225,st180_Parainen,2020/05/03,2,"11 HA-PA",5,,1,3,,3,1,6,3,13,52,61,125,87,231,128,189,151,198,206,129,41,10,6
225,st180_Parainen,2020/05/03,2,"12 KAIP",,,,,,,,,,,,,1,1,,1,,1,2,1,,,,
225,st180_Parainen,2020/05/03,2,"13 Linja-autot",,,,,1,,,,,,1,1,,,1,,,1,,1,,1,,
225,st180_Parainen,2020/05/03,2,"14 KAPP",,,,,,,,,,,,,,,1,,,,,,,,,
225,st180_Parainen,2020/05/03,2,"15 KATP",,,,,,,,,,,,,,,1,,2,1,,1,,,,
225,st180_Parainen,2020/05/03,2,"16 HA + PK",,,,,,,,,1,1,8,4,12,2,21,9,19,10,24,20,16,3,2,
225,st180_Parainen,2020/05/03,2,"17 HA + AV",,,,,,,,,,,2,1,2,1,2,,1,3,5,3,3,1,,
225,st180_Parainen,2020/05/04,1,"11 HA-PA",3,,2,1,1,10,25,48,45,42,27,50,48,54,57,63,68,52,35,41,17,8,2,1
225,st180_Parainen,2020/05/04,1,"12 KAIP",,,,,,1,3,3,3,3,4,3,1,,,,1,,,1,,,,1
225,st180_Parainen,2020/05/04,1,"13 Linja-autot",,,,,,1,,3,2,,1,,2,1,1,,3,1,,1,,,,
225,st180_Parainen,2020/05/04,1,"14 KAPP",,,,,,,,,,,,,,1,,,1,1,,,,,,
225,st180_Parainen,2020/05/04,1,"15 KATP",,,,,,,1,2,1,3,1,1,2,1,1,,,1,,,,,,
225,st180_Parainen,2020/05/04,1,"16 HA + PK",,,,,,,,1,2,3,7,4,2,2,2,2,1,3,2,1,,,,
225,st180_Parainen,2020/05/04,1,"17 HA + AV",,,,,,,3,,1,6,,,4,1,1,2,,1,,1,1,,,
225,st180_Parainen,2020/05/04,2,"11 HA-PA",1,,,1,3,13,33,38,46,40,72,66,56,73,85,65,73,79,53,43,32,17,12,
225,st180_Parainen,2020/05/04,2,"12 KAIP",,,,,,1,1,2,,2,2,,3,2,3,,,,,,,,,
225,st180_Parainen,2020/05/04,2,"13 Linja-autot",,,,,,,,1,,,4,1,,1,1,1,1,2,,1,,1,2,
225,st180_Parainen,2020/05/04,2,"14 KAPP",,,,,,,,,,,,,1,,,,1,,,2,,,,
225,st180_Parainen,2020/05/04,2,"15 KATP",,,,,,3,,1,1,1,,,,1,2,,1,,1,1,,,,
225,st180_Parainen,2020/05/04,2,"16 HA + PK",,,,,,1,2,1,,1,4,4,8,6,7,5,4,5,2,2,1,,3,
225,st180_Parainen,2020/05/04,2,"17 HA + AV",,,,,,,1,,1,,,1,,,3,3,2,2,,,,,,
225,st180_Parainen,2020/05/05,1,"11 HA-PA",1,,1,1,1,14,32,48,59,71,69,53,65,50,47,65,69,58,47,35,24,12,5,2
225,st180_Parainen,2020/05/05,1,"12 KAIP",,,,1,1,1,,3,1,2,2,,1,1,1,1,1,,2,,,,,
225,st180_Parainen,2020/05/05,1,"13 Linja-autot",,,,,,1,1,3,4,1,1,,1,,1,,1,1,,1,,,,
225,st180_Parainen,2020/05/05,1,"14 KAPP",,,,,,,,,,,,,,,2,,,,,,,,,
225,st180_Parainen,2020/05/05,1,"15 KATP",,,,1,,,1,,,1,1,,,,1,,,,,,,,,
