"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
409,kt66_Ruovesi,2020/05/01,1,"11 HA-PA",5,2,1,1,2,7,6,12,22,27,55,106,101,100,70,74,51,32,36,33,15,13,5,5
409,kt66_Ruovesi,2020/05/01,1,"12 KAIP",,,,1,,,2,,2,1,3,3,2,1,2,1,1,,4,1,,,,
409,kt66_Ruovesi,2020/05/01,1,"13 Linja-autot",,,,1,,,,1,,1,1,,1,2,1,,,1,,,,1,,
409,kt66_Ruovesi,2020/05/01,1,"14 KAPP",,,,,,,1,,,,,,,,,,,,1,,,,,
409,kt66_Ruovesi,2020/05/01,1,"15 KATP",2,3,,,,3,,,,2,2,4,1,7,,2,2,1,2,,,1,,2
409,kt66_Ruovesi,2020/05/01,1,"16 HA + PK",,,2,,,,1,1,2,2,6,9,8,10,3,6,5,4,2,,1,,1,
409,kt66_Ruovesi,2020/05/01,1,"17 HA + AV",,,,,,,1,,,,,,2,1,,1,1,,,,,,,
409,kt66_Ruovesi,2020/05/01,2,"11 HA-PA",5,4,1,1,2,3,8,13,10,26,32,47,52,70,62,62,64,42,43,28,29,14,9,12
409,kt66_Ruovesi,2020/05/01,2,"12 KAIP",,,,,,,,1,2,,1,1,,1,2,,2,4,1,,1,,,1
409,kt66_Ruovesi,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,,,,,2,,,,,,,,,
409,kt66_Ruovesi,2020/05/01,2,"14 KAPP",,,,,1,,1,,,,,,,,,,,,,1,,,,
409,kt66_Ruovesi,2020/05/01,2,"15 KATP",,1,,2,,,1,2,,,1,1,3,3,3,2,1,2,1,,,,1,
409,kt66_Ruovesi,2020/05/01,2,"16 HA + PK",1,1,1,1,,1,,1,1,1,1,4,2,2,3,6,4,5,1,3,3,3,1,
409,kt66_Ruovesi,2020/05/01,2,"17 HA + AV",,,,,,,,,,1,,,1,,1,1,1,,,1,,1,,
409,kt66_Ruovesi,2020/05/02,1,"11 HA-PA",5,3,1,,1,2,8,10,21,40,82,72,93,82,86,84,47,38,33,28,23,9,6,4
409,kt66_Ruovesi,2020/05/02,1,"12 KAIP",,,,,,1,1,,1,1,1,1,2,3,4,3,2,2,2,2,1,,,1
409,kt66_Ruovesi,2020/05/02,1,"13 Linja-autot",,,,,,,,,,,1,,,2,,,1,1,,,,1,,
409,kt66_Ruovesi,2020/05/02,1,"15 KATP",1,1,,1,,,,1,,4,4,1,1,3,,3,,,,,,,,
409,kt66_Ruovesi,2020/05/02,1,"16 HA + PK",2,,,,,,,,3,1,6,9,7,7,4,8,4,2,2,2,3,2,,
409,kt66_Ruovesi,2020/05/02,1,"17 HA + AV",,,,,,,,,1,,,1,,,1,3,2,,,1,,,1,
409,kt66_Ruovesi,2020/05/02,2,"11 HA-PA",4,1,3,2,,1,11,13,23,58,50,84,71,70,87,77,70,53,45,33,29,23,17,5
409,kt66_Ruovesi,2020/05/02,2,"12 KAIP",,,,,,,,3,1,3,2,3,3,1,3,,3,3,2,,1,1,,
409,kt66_Ruovesi,2020/05/02,2,"13 Linja-autot",,,,,,,,,,1,,,,,1,,,1,,,,,,
409,kt66_Ruovesi,2020/05/02,2,"14 KAPP",,,,,,,,,,,,1,,,,,,,,,,,,
409,kt66_Ruovesi,2020/05/02,2,"15 KATP",,2,,,1,,1,3,,,,2,,,1,1,1,,,,,1,,
