"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
429,vt3_Riihimäki_Herajoki,2020/05/01,1,"11 HA-PA",71,29,27,20,13,20,72,131,210,453,730,811,847,688,599,521,400,382,334,258,172,140,122,66
429,vt3_Riihimäki_Herajoki,2020/05/01,1,"12 KAIP",1,1,3,,,,1,3,2,1,7,4,1,5,3,4,2,6,2,2,2,4,3,1
429,vt3_Riihimäki_Herajoki,2020/05/01,1,"13 Linja-autot",,1,,,,,,,,1,,,3,1,1,1,1,,1,1,,,,
429,vt3_Riihimäki_Herajoki,2020/05/01,1,"14 KAPP",4,1,2,,,1,3,3,3,3,6,6,3,5,3,4,4,,1,3,1,1,1,1
429,vt3_Riihimäki_Herajoki,2020/05/01,1,"15 KATP",15,8,3,5,7,2,3,4,9,7,10,12,13,11,6,10,9,9,8,9,9,8,3,4
429,vt3_Riihimäki_Herajoki,2020/05/01,1,"16 HA + PK",1,,,,,1,,4,17,15,34,25,21,13,14,11,14,6,9,6,5,1,,
429,vt3_Riihimäki_Herajoki,2020/05/01,1,"17 HA + AV",,,,,,,,3,5,1,2,4,4,1,2,3,3,4,1,1,,,1,
429,vt3_Riihimäki_Herajoki,2020/05/01,2,"11 HA-PA",51,44,22,24,23,51,83,74,83,180,217,325,372,419,444,468,461,397,364,296,279,177,124,93
429,vt3_Riihimäki_Herajoki,2020/05/01,2,"12 KAIP",2,1,2,,,,,4,3,4,3,1,2,3,5,1,3,6,3,5,4,,1,1
429,vt3_Riihimäki_Herajoki,2020/05/01,2,"13 Linja-autot",,,,,,,,,,1,1,,3,,,1,2,,,2,1,,,
429,vt3_Riihimäki_Herajoki,2020/05/01,2,"14 KAPP",,1,,1,2,,4,9,7,8,6,2,6,7,6,3,3,,2,2,3,3,1,3
