"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
529,vt6_Utti,2020/05/01,1,"11 HA-PA",21,25,15,9,7,11,22,46,75,165,209,254,281,244,250,222,136,129,127,92,73,54,41,33
529,vt6_Utti,2020/05/01,1,"12 KAIP",,,1,,1,,,1,6,,1,2,2,5,2,1,2,5,,1,2,,1,
529,vt6_Utti,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,,,
529,vt6_Utti,2020/05/01,1,"14 KAPP",1,4,2,1,2,,,1,2,1,4,3,5,4,5,2,1,,1,2,2,1,1,1
529,vt6_Utti,2020/05/01,1,"15 KATP",11,10,3,2,2,3,1,6,4,7,2,7,2,8,4,5,6,4,3,3,6,4,,6
529,vt6_Utti,2020/05/01,1,"16 HA + PK",,,,,,2,,,7,16,16,11,20,15,17,8,8,7,1,6,1,,,
529,vt6_Utti,2020/05/01,1,"17 HA + AV",,,,,,,,,,1,2,2,2,,1,3,2,1,1,,,,,
529,vt6_Utti,2020/05/01,2,"11 HA-PA",20,18,11,7,6,15,28,25,32,66,90,123,160,162,185,154,176,176,137,136,96,70,44,41
529,vt6_Utti,2020/05/01,2,"12 KAIP",1,2,,,,2,1,2,2,1,2,1,2,3,1,3,3,,1,,,1,1,
529,vt6_Utti,2020/05/01,2,"13 Linja-autot",,,,,,,,,,1,,2,2,,2,,1,,,,,,,
529,vt6_Utti,2020/05/01,2,"14 KAPP",,,,2,,3,,2,1,7,1,4,,6,,,3,3,2,1,2,3,2,
