"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
550,st170_Vaahterikonsuo,2020/05/01,1,"11 HA-PA",1,3,3,,,2,4,1,4,6,10,17,19,17,21,16,15,15,9,8,13,7,6,7
550,st170_Vaahterikonsuo,2020/05/01,1,"12 KAIP",,,,,,,,,,,1,,1,,,,,,,,,,1,
550,st170_Vaahterikonsuo,2020/05/01,1,"14 KAPP",,,,,,,,,,,,,1,,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/01,1,"16 HA + PK",,,,,,,,,1,,2,,,2,1,1,1,1,,,1,,,
550,st170_Vaahterikonsuo,2020/05/01,2,"11 HA-PA",1,1,1,,2,1,3,6,3,4,13,16,16,20,16,21,17,19,17,14,12,5,4,4
550,st170_Vaahterikonsuo,2020/05/01,2,"12 KAIP",,,,,,,,1,,,,,,,,,1,,,,,,,
550,st170_Vaahterikonsuo,2020/05/01,2,"14 KAPP",,,,,,,,,,,,,,,,,,,1,,,,,
550,st170_Vaahterikonsuo,2020/05/01,2,"15 KATP",,,,,,,,,,,,,,,,,,1,,,,,,
550,st170_Vaahterikonsuo,2020/05/01,2,"16 HA + PK",,,,,,,,,,,1,,1,1,1,1,1,1,1,,,,,
550,st170_Vaahterikonsuo,2020/05/02,1,"11 HA-PA",1,1,1,1,1,1,2,3,9,7,21,38,12,27,25,21,13,14,11,11,5,5,1,1
550,st170_Vaahterikonsuo,2020/05/02,1,"12 KAIP",,,,,,,,1,,,,,,,,1,,,,1,,,,
550,st170_Vaahterikonsuo,2020/05/02,1,"13 Linja-autot",,,,,,,1,,,,,,,,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/02,1,"16 HA + PK",,,,,,,,2,,1,1,1,1,1,1,1,1,,,,,,,
550,st170_Vaahterikonsuo,2020/05/02,2,"11 HA-PA",1,1,,,,2,4,5,4,17,21,24,21,16,24,26,19,13,12,8,8,7,3,3
550,st170_Vaahterikonsuo,2020/05/02,2,"12 KAIP",,,,1,,,,,1,,,,,,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/02,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/02,2,"16 HA + PK",,,,,,,,,,,2,3,1,2,2,,1,,1,,,,,
550,st170_Vaahterikonsuo,2020/05/03,1,"11 HA-PA",1,3,2,,1,,3,,6,7,10,17,12,14,16,10,18,16,21,12,7,3,4,1
550,st170_Vaahterikonsuo,2020/05/03,1,"12 KAIP",,,,,,,,,,,,1,,,1,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/03,1,"14 KAPP",,,,,,,,,,,,1,2,1,,,,,,,,,1,
550,st170_Vaahterikonsuo,2020/05/03,1,"15 KATP",,,,,,,,,,,,,1,,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/03,1,"16 HA + PK",,,,,,,,,,1,2,1,1,1,1,1,,1,1,,,,,
550,st170_Vaahterikonsuo,2020/05/03,1,"17 HA + AV",,,,,,,,,,,,,1,,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/03,2,"11 HA-PA",,,2,,2,,3,3,4,7,10,15,21,16,21,24,27,22,22,11,7,2,3,3
550,st170_Vaahterikonsuo,2020/05/03,2,"12 KAIP",,,,,,,,,1,,,,,,1,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/03,2,"13 Linja-autot",,,,,,,,,,,,,2,,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/03,2,"14 KAPP",,,,,,,,,,,1,1,2,1,,,1,,,1,1,,,
550,st170_Vaahterikonsuo,2020/05/03,2,"15 KATP",,,,,,,,,,,,,,1,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/03,2,"16 HA + PK",,,,,,,,,,1,,1,1,2,2,1,1,1,,1,,,,
550,st170_Vaahterikonsuo,2020/05/03,2,"17 HA + AV",,,,,,,,,,,1,1,,,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/04,1,"11 HA-PA",2,,,,2,6,11,14,17,13,24,12,30,22,26,23,21,14,12,7,15,7,4,1
550,st170_Vaahterikonsuo,2020/05/04,1,"12 KAIP",,,,,,,,,1,2,1,1,1,1,3,,,1,2,,,,,
550,st170_Vaahterikonsuo,2020/05/04,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/04,1,"14 KAPP",,,,,,,,1,,1,1,1,1,,1,,,1,,,,,,
550,st170_Vaahterikonsuo,2020/05/04,1,"15 KATP",,,,,,,,1,,,,,,1,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/04,1,"16 HA + PK",,,,,,,,,1,2,2,,3,2,,1,4,1,2,,,,,
550,st170_Vaahterikonsuo,2020/05/04,1,"17 HA + AV",,,,,,,,1,2,1,2,1,1,,,,1,,,,,,,
550,st170_Vaahterikonsuo,2020/05/04,2,"11 HA-PA",1,,1,,2,7,19,12,12,16,17,20,15,24,30,26,24,16,12,10,10,5,6,1
550,st170_Vaahterikonsuo,2020/05/04,2,"12 KAIP",,,,1,,,2,4,2,3,2,1,1,1,,1,,2,,1,,,,
550,st170_Vaahterikonsuo,2020/05/04,2,"14 KAPP",,,,,,,,,,2,1,,1,1,,,1,1,,,,,,
550,st170_Vaahterikonsuo,2020/05/04,2,"15 KATP",,,,,,1,,,,,1,,,,2,,,1,,,,,3,
550,st170_Vaahterikonsuo,2020/05/04,2,"16 HA + PK",,,,,,,2,1,,1,1,1,1,3,,2,2,1,,2,1,,,
550,st170_Vaahterikonsuo,2020/05/04,2,"17 HA + AV",,,,,,,1,,1,3,1,,2,1,,,,1,,1,,,,
550,st170_Vaahterikonsuo,2020/05/05,1,"11 HA-PA",1,,1,1,2,2,14,19,14,17,26,30,18,19,26,34,25,19,10,11,8,5,6,1
550,st170_Vaahterikonsuo,2020/05/05,1,"12 KAIP",,,,,,1,1,,,,2,1,1,3,1,1,,1,2,,1,,,
550,st170_Vaahterikonsuo,2020/05/05,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,1,,,,
550,st170_Vaahterikonsuo,2020/05/05,1,"14 KAPP",,,,,,,,,1,1,1,2,2,,1,1,1,2,,,,,,
550,st170_Vaahterikonsuo,2020/05/05,1,"15 KATP",,,,,,,,,,1,,,1,,2,1,1,,,,,,,
550,st170_Vaahterikonsuo,2020/05/05,1,"16 HA + PK",,,,,,,,1,1,1,2,2,,3,1,,1,1,,,,,,
550,st170_Vaahterikonsuo,2020/05/05,2,"11 HA-PA",2,1,,1,3,8,20,22,13,17,18,21,28,30,24,33,29,24,9,10,14,5,,
550,st170_Vaahterikonsuo,2020/05/05,2,"12 KAIP",,,,,,,1,,4,2,,,2,3,1,1,3,,,,,,,
550,st170_Vaahterikonsuo,2020/05/05,2,"14 KAPP",,,,,,,,1,,,1,,,2,1,1,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/05,2,"15 KATP",,,,,1,,,,,1,,,,,3,,,,,,,,1,
550,st170_Vaahterikonsuo,2020/05/05,2,"16 HA + PK",,,,,,,,,,1,2,2,3,1,,,2,2,1,2,,,,
550,st170_Vaahterikonsuo,2020/05/05,2,"17 HA + AV",,,,,,,,,,,,,,,1,,2,,,1,,,,
550,st170_Vaahterikonsuo,2020/05/06,1,"11 HA-PA",3,,,,2,3,11,19,21,22,21,12,26,13,30,25,28,30,15,9,10,11,6,1
550,st170_Vaahterikonsuo,2020/05/06,1,"12 KAIP",,,,,,1,,1,3,,1,2,3,2,1,,1,1,1,2,,,,
550,st170_Vaahterikonsuo,2020/05/06,1,"14 KAPP",,,,,,,,1,2,1,1,2,2,1,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/06,1,"15 KATP",,,,,,,1,1,,1,,,1,1,,,,,1,,,,,
550,st170_Vaahterikonsuo,2020/05/06,1,"16 HA + PK",,,,,,,1,1,1,2,2,2,2,1,2,2,,,1,1,1,,,
550,st170_Vaahterikonsuo,2020/05/06,1,"17 HA + AV",,,,,,,,,,1,1,1,,,1,1,1,,,,,,,
550,st170_Vaahterikonsuo,2020/05/06,2,"11 HA-PA",1,,,1,3,14,20,15,15,12,19,29,24,21,28,27,27,20,15,6,12,8,4,
550,st170_Vaahterikonsuo,2020/05/06,2,"12 KAIP",,,,1,,,1,2,1,,,1,2,,3,1,,,,,1,,,
550,st170_Vaahterikonsuo,2020/05/06,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
550,st170_Vaahterikonsuo,2020/05/06,2,"14 KAPP",,,,,,,,1,2,2,,,,3,1,,,,,1,1,,,
550,st170_Vaahterikonsuo,2020/05/06,2,"15 KATP",,,,,,1,1,1,,,,1,,,2,,,,,1,,,,
550,st170_Vaahterikonsuo,2020/05/06,2,"16 HA + PK",,,,,,,1,2,1,3,1,2,3,2,1,1,,1,2,1,,,,
550,st170_Vaahterikonsuo,2020/05/06,2,"17 HA + AV",,,,,,,,1,,,2,,,1,,,,1,,,,,,
550,st170_Vaahterikonsuo,2020/05/07,1,"11 HA-PA",1,1,1,,2,4,6,15,17,20,14,26,24,28,28,29,27,18,21,13,11,7,4,2
550,st170_Vaahterikonsuo,2020/05/07,1,"12 KAIP",,,,,,,2,1,2,,,,1,1,3,1,,1,,,,,,
550,st170_Vaahterikonsuo,2020/05/07,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/07,1,"14 KAPP",,,,,,,,1,,,,2,,,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/07,1,"15 KATP",,,,,,1,,,1,,,1,1,,,,,,,1,1,,,
550,st170_Vaahterikonsuo,2020/05/07,1,"16 HA + PK",,,,,,,,2,1,2,1,1,1,1,2,1,1,3,1,,1,1,,
550,st170_Vaahterikonsuo,2020/05/07,2,"11 HA-PA",1,2,2,1,2,13,19,12,13,22,25,21,24,27,31,30,20,19,14,15,10,8,,2
550,st170_Vaahterikonsuo,2020/05/07,2,"12 KAIP",,,,,,,1,2,,3,,,1,,2,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/07,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
550,st170_Vaahterikonsuo,2020/05/07,2,"14 KAPP",,,,,,,,,,1,,,,1,,,,1,,,1,,,
550,st170_Vaahterikonsuo,2020/05/07,2,"15 KATP",,,,,,,,1,,,,,,2,,,,,,,,,,1
