"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
731,vt6_Reijola,2020/05/01,1,"11 HA-PA",14,10,15,4,10,14,44,24,45,59,82,112,124,140,136,147,136,128,122,109,73,63,33,26
731,vt6_Reijola,2020/05/01,1,"12 KAIP",,1,1,1,,,3,,4,2,1,1,2,2,2,1,1,2,1,1,1,,,
731,vt6_Reijola,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,,,2,,1,,,1,1,,,2,,
731,vt6_Reijola,2020/05/01,1,"14 KAPP",1,1,1,,1,1,1,4,4,2,2,4,7,4,2,1,4,3,,4,,,1,3
731,vt6_Reijola,2020/05/01,1,"15 KATP",4,,2,1,,,3,1,2,2,4,4,3,1,3,2,1,1,3,3,1,,1,1
731,vt6_Reijola,2020/05/01,1,"16 HA + PK",1,,,,1,,,,6,1,8,4,7,10,8,15,8,11,7,3,5,1,,2
731,vt6_Reijola,2020/05/01,1,"17 HA + AV",,,,1,,,,,,1,,3,3,3,,,,1,1,,1,2,,
731,vt6_Reijola,2020/05/01,2,"11 HA-PA",13,17,8,12,12,8,24,36,46,92,142,150,189,167,182,167,113,108,107,60,46,46,33,11
731,vt6_Reijola,2020/05/01,2,"12 KAIP",,1,,1,,,1,1,2,,4,3,2,3,3,,,1,3,2,4,,,
731,vt6_Reijola,2020/05/01,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
731,vt6_Reijola,2020/05/01,2,"14 KAPP",1,1,,1,2,,2,1,4,1,2,2,4,6,4,2,,5,3,3,1,4,2,
731,vt6_Reijola,2020/05/01,2,"15 KATP",1,1,,2,2,1,2,2,6,2,2,3,,4,4,3,,3,4,2,1,3,1,1
731,vt6_Reijola,2020/05/01,2,"16 HA + PK",,,,1,,,1,4,8,9,13,16,13,11,11,3,9,4,8,2,2,1,1,
731,vt6_Reijola,2020/05/01,2,"17 HA + AV",,,,,,,1,,2,,,1,3,2,,2,1,1,,,,,,
