"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
733,vt6_Joensuu2,2020/05/01,1,"11 HA-PA",72,46,55,33,37,65,97,127,171,291,399,476,488,558,523,520,466,391,359,277,246,188,97,78
733,vt6_Joensuu2,2020/05/01,1,"12 KAIP",2,,1,1,1,1,3,2,2,1,2,2,3,2,8,2,3,2,3,,,3,1,2
733,vt6_Joensuu2,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,1,1,1,1,1,3,,1,,1,,,,
733,vt6_Joensuu2,2020/05/01,1,"14 KAPP",2,,1,,1,1,,2,4,1,,2,9,1,1,1,1,4,,2,2,,1,2
733,vt6_Joensuu2,2020/05/01,1,"15 KATP",3,3,2,4,3,,4,5,2,5,2,6,3,4,5,6,2,3,4,3,,,1,
733,vt6_Joensuu2,2020/05/01,1,"16 HA + PK",,,1,1,1,1,3,6,14,11,30,18,26,23,16,16,18,17,13,5,3,4,1,3
733,vt6_Joensuu2,2020/05/01,1,"17 HA + AV",,,,,,,,3,,,,1,1,2,1,,1,,,,,1,,
733,vt6_Joensuu2,2020/05/01,2,"11 HA-PA",69,66,59,42,22,35,108,72,98,163,256,360,414,490,520,486,468,417,380,267,289,201,138,85
733,vt6_Joensuu2,2020/05/01,2,"12 KAIP",,1,,3,,1,1,2,2,1,5,4,4,1,3,4,,1,2,,2,,1,1
733,vt6_Joensuu2,2020/05/01,2,"13 Linja-autot",,,,,,,,,1,1,,,,1,,,1,1,,,1,,,
733,vt6_Joensuu2,2020/05/01,2,"14 KAPP",1,1,1,,4,,2,1,3,,2,2,2,4,2,,1,4,3,3,1,3,1,
733,vt6_Joensuu2,2020/05/01,2,"15 KATP",3,5,1,3,,3,3,4,2,,1,3,3,6,3,2,2,5,3,4,,3,2,
733,vt6_Joensuu2,2020/05/01,2,"16 HA + PK",1,,,2,,,1,4,8,12,15,14,30,26,23,11,25,16,11,11,4,1,1,
733,vt6_Joensuu2,2020/05/01,2,"17 HA + AV",,,,,,,,,2,1,1,1,4,3,,1,,1,1,1,,,,
733,vt6_Joensuu2,2020/05/02,1,"11 HA-PA",57,47,28,16,25,64,98,135,328,572,689,687,790,742,697,685,547,481,395,303,242,211,132,83
733,vt6_Joensuu2,2020/05/02,1,"12 KAIP",,,2,,,,3,2,2,,6,3,6,6,2,,7,2,2,1,1,1,,1
733,vt6_Joensuu2,2020/05/02,1,"13 Linja-autot",,,,1,,,,1,,1,2,1,,,,2,2,,,2,1,,,1
733,vt6_Joensuu2,2020/05/02,1,"14 KAPP",1,2,1,2,,,2,,1,3,3,1,1,2,1,1,2,,1,1,1,1,4,1
733,vt6_Joensuu2,2020/05/02,1,"15 KATP",3,1,2,2,3,1,5,5,4,6,3,3,2,2,3,3,3,2,3,1,4,,,
733,vt6_Joensuu2,2020/05/02,1,"16 HA + PK",1,1,,1,1,,2,9,23,27,47,49,41,35,28,22,26,19,13,9,4,4,3,
733,vt6_Joensuu2,2020/05/02,1,"17 HA + AV",,,,1,,,1,1,2,1,2,1,,1,2,1,,1,2,,,,,
733,vt6_Joensuu2,2020/05/02,2,"11 HA-PA",74,42,36,18,16,26,104,76,126,322,491,567,650,726,724,693,615,582,457,358,306,239,150,92
733,vt6_Joensuu2,2020/05/02,2,"12 KAIP",1,,,1,1,5,9,3,4,3,2,1,3,4,6,5,3,,2,1,1,,1,
733,vt6_Joensuu2,2020/05/02,2,"13 Linja-autot",,,,,,,1,,,,,,,,,,,,,1,,,,1
733,vt6_Joensuu2,2020/05/02,2,"14 KAPP",,1,,,1,,1,1,3,1,3,1,1,1,1,3,3,1,1,1,,1,,1
733,vt6_Joensuu2,2020/05/02,2,"15 KATP",,3,,3,3,3,3,4,2,1,3,3,3,5,2,5,3,6,1,1,1,,1,
733,vt6_Joensuu2,2020/05/02,2,"16 HA + PK",,,,,1,1,1,,12,30,33,36,36,43,28,36,42,23,12,10,6,5,2,
733,vt6_Joensuu2,2020/05/02,2,"17 HA + AV",,,,,,1,,,,1,,1,3,2,,2,1,1,1,,1,,,
733,vt6_Joensuu2,2020/05/03,1,"11 HA-PA",54,33,32,11,14,37,79,85,102,232,411,512,610,689,643,692,544,503,447,277,190,153,76,36
733,vt6_Joensuu2,2020/05/03,1,"12 KAIP",,,1,,,,2,1,,1,1,2,2,3,5,4,2,4,1,3,4,,1,1
733,vt6_Joensuu2,2020/05/03,1,"13 Linja-autot",,,,,,,,,,,,,1,,2,,,1,,2,,1,,1
733,vt6_Joensuu2,2020/05/03,1,"14 KAPP",1,2,,,,2,1,,2,3,,4,1,1,4,2,5,4,1,,3,1,1,4
733,vt6_Joensuu2,2020/05/03,1,"15 KATP",,1,1,2,2,1,4,2,3,3,3,5,1,5,9,6,7,6,5,3,1,3,2,3
733,vt6_Joensuu2,2020/05/03,1,"16 HA + PK",,,,,,1,,,8,8,19,24,27,28,35,23,21,20,11,8,7,3,2,1
