"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
825,vt5_Hiltulanlahti,2020/05/01,1,"11 HA-PA",39,27,14,11,13,21,66,38,71,136,164,229,295,314,305,327,341,281,240,231,163,121,66,45
825,vt5_Hiltulanlahti,2020/05/01,1,"12 KAIP",4,1,,1,2,,,2,,1,3,2,5,2,6,2,1,4,3,2,2,,1,1
825,vt5_Hiltulanlahti,2020/05/01,1,"13 Linja-autot",,,,,,,,,,,1,,1,,,,1,1,,,,1,,
825,vt5_Hiltulanlahti,2020/05/01,1,"14 KAPP",2,,,,1,1,,1,1,,,2,1,3,2,1,,1,2,1,1,,,
825,vt5_Hiltulanlahti,2020/05/01,1,"15 KATP",14,17,16,10,9,6,8,3,2,3,6,5,7,3,3,5,4,6,3,6,3,3,3,5
825,vt5_Hiltulanlahti,2020/05/01,1,"16 HA + PK",1,1,,1,,,,3,3,9,13,14,10,14,24,20,10,10,9,5,3,3,6,2
825,vt5_Hiltulanlahti,2020/05/01,1,"17 HA + AV",,,,,,,,,,1,,,2,1,1,1,3,,,,,,,
825,vt5_Hiltulanlahti,2020/05/01,2,"11 HA-PA",22,20,19,14,9,17,40,82,129,236,283,313,337,336,344,273,220,213,209,128,110,89,39,27
825,vt5_Hiltulanlahti,2020/05/01,2,"12 KAIP",,1,,,,3,,4,3,5,3,3,5,5,4,3,4,,5,1,,2,1,
825,vt5_Hiltulanlahti,2020/05/01,2,"13 Linja-autot",,1,,,,,,,1,1,1,1,1,,1,,,,,,,,,
825,vt5_Hiltulanlahti,2020/05/01,2,"14 KAPP",,,,,,1,1,4,3,,1,,,1,1,,,1,,1,,,2,
825,vt5_Hiltulanlahti,2020/05/01,2,"15 KATP",5,6,4,4,1,3,3,4,9,3,5,9,7,8,,7,3,4,1,8,2,6,6,2
825,vt5_Hiltulanlahti,2020/05/01,2,"16 HA + PK",,,,,,1,2,6,14,16,12,12,10,10,17,15,10,10,9,10,5,4,2,3
825,vt5_Hiltulanlahti,2020/05/01,2,"17 HA + AV",,,,,,1,,,,1,2,3,1,,,,,2,1,,,1,,
825,vt5_Hiltulanlahti,2020/05/02,1,"11 HA-PA",17,25,16,8,10,27,76,65,95,226,334,401,386,363,388,368,379,366,307,279,185,113,89,43
825,vt5_Hiltulanlahti,2020/05/02,1,"12 KAIP",,,1,,1,,,,,,3,4,3,,4,3,,6,,,,,1,
825,vt5_Hiltulanlahti,2020/05/02,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,1,2,,,,1,,1
825,vt5_Hiltulanlahti,2020/05/02,1,"14 KAPP",,1,1,,1,1,,1,,1,1,,1,1,1,1,,,1,2,,,2,
