"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
835,vt5_Sorsasalo_Vuorela,2020/05/01,1,"11 HA-PA",103,83,48,49,47,71,89,169,197,374,552,646,678,740,735,673,533,468,375,323,255,210,105,75
835,vt5_Sorsasalo_Vuorela,2020/05/01,1,"12 KAIP",3,5,1,1,1,1,,4,4,1,5,3,5,5,5,4,3,3,6,2,2,2,2,
835,vt5_Sorsasalo_Vuorela,2020/05/01,1,"13 Linja-autot",1,1,,,,1,1,1,1,1,2,1,1,4,3,1,2,1,1,2,,1,,1
835,vt5_Sorsasalo_Vuorela,2020/05/01,1,"14 KAPP",3,1,,1,,1,1,1,,,,1,,2,3,2,2,3,3,2,,,2,3
835,vt5_Sorsasalo_Vuorela,2020/05/01,1,"15 KATP",9,8,7,2,9,4,5,8,3,4,4,7,2,7,6,3,7,5,1,5,4,4,5,3
835,vt5_Sorsasalo_Vuorela,2020/05/01,1,"16 HA + PK",2,,1,,1,,4,4,16,18,29,28,29,30,32,26,27,14,13,15,1,5,5,
835,vt5_Sorsasalo_Vuorela,2020/05/01,1,"17 HA + AV",,,,,,,,,1,1,,2,1,1,2,1,1,1,,1,1,,,
835,vt5_Sorsasalo_Vuorela,2020/05/01,2,"11 HA-PA",67,55,46,35,31,54,173,136,131,208,321,408,526,541,576,570,578,548,503,418,402,255,153,90
835,vt5_Sorsasalo_Vuorela,2020/05/01,2,"12 KAIP",,,,1,1,,2,3,8,6,5,7,9,2,3,4,3,,2,4,4,4,2,3
835,vt5_Sorsasalo_Vuorela,2020/05/01,2,"13 Linja-autot",2,,1,,,,1,,1,1,1,1,1,4,1,1,1,1,2,1,1,,,1
835,vt5_Sorsasalo_Vuorela,2020/05/01,2,"14 KAPP",1,,,,1,,,4,1,,2,2,2,1,,1,2,2,1,1,,2,1,2
