"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1034,vt19_Seinäjoki,2020/04/01,1,"11 HA-PA",25,23,23,27,63,242,356,480,332,270,331,395,387,444,573,739,664,516,401,297,214,185,91,47
1034,vt19_Seinäjoki,2020/04/01,1,"12 KAIP",1,3,3,5,4,8,9,12,16,16,10,22,13,15,18,16,15,10,8,3,6,,3,1
1034,vt19_Seinäjoki,2020/04/01,1,"13 Linja-autot",,,,1,,,2,1,,2,,1,2,,2,2,,,,1,,1,,1
1034,vt19_Seinäjoki,2020/04/01,1,"14 KAPP",1,,,4,,2,1,2,2,2,3,5,4,2,1,1,,3,3,4,2,,,
1034,vt19_Seinäjoki,2020/04/01,1,"15 KATP",5,2,,8,4,9,13,13,11,16,17,10,16,19,17,23,19,13,12,6,6,5,5,2
1034,vt19_Seinäjoki,2020/04/01,1,"16 HA + PK",1,,,,,2,4,5,7,5,9,7,13,7,10,15,16,12,6,5,,2,1,1
1034,vt19_Seinäjoki,2020/04/01,1,"17 HA + AV",,,,,,,1,1,2,4,,,3,1,2,2,4,1,2,,3,1,,
1034,vt19_Seinäjoki,2020/04/01,2,"11 HA-PA",46,23,11,16,27,91,345,420,303,251,308,345,404,408,562,629,650,478,389,250,209,163,125,99
1034,vt19_Seinäjoki,2020/04/01,2,"12 KAIP",1,2,1,6,4,6,15,12,18,18,20,18,21,9,19,28,10,13,5,8,3,2,3,1
1034,vt19_Seinäjoki,2020/04/01,2,"13 Linja-autot",,,,1,1,1,1,1,1,2,1,2,1,,1,3,,2,1,,2,1,1,
1034,vt19_Seinäjoki,2020/04/01,2,"14 KAPP",,1,,,2,3,1,1,1,3,1,5,2,1,2,3,2,5,2,,,,,
1034,vt19_Seinäjoki,2020/04/01,2,"15 KATP",5,4,5,4,2,4,13,23,20,16,18,13,15,13,29,16,14,13,11,9,6,5,5,4
1034,vt19_Seinäjoki,2020/04/01,2,"16 HA + PK",,1,,1,1,3,15,8,14,17,18,13,13,19,18,22,27,19,12,8,13,6,4,3
1034,vt19_Seinäjoki,2020/04/01,2,"17 HA + AV",,,,1,,2,2,9,2,3,3,,4,4,5,2,4,2,4,2,2,3,1,
1034,vt19_Seinäjoki,2020/04/02,1,"11 HA-PA",29,34,18,30,59,255,331,466,290,284,308,347,377,496,551,760,690,513,394,275,192,185,83,50
1034,vt19_Seinäjoki,2020/04/02,1,"12 KAIP",,3,1,3,7,4,10,11,18,13,13,12,14,17,16,17,18,6,8,5,4,1,,1
1034,vt19_Seinäjoki,2020/04/02,1,"13 Linja-autot",,,,1,,,1,,,2,,1,1,,1,1,,1,1,,,1,,
1034,vt19_Seinäjoki,2020/04/02,1,"14 KAPP",,1,2,,,1,4,,1,4,2,6,8,1,2,1,2,4,2,2,4,3,1,
1034,vt19_Seinäjoki,2020/04/02,1,"15 KATP",8,5,5,5,4,5,6,10,8,13,17,17,8,16,20,22,15,23,9,4,4,4,7,3
1034,vt19_Seinäjoki,2020/04/02,1,"16 HA + PK",,,1,,,4,3,7,7,6,6,10,15,8,11,14,21,8,8,4,2,,,
1034,vt19_Seinäjoki,2020/04/02,1,"17 HA + AV",,,,,,1,1,3,1,1,1,1,2,3,,4,2,1,1,1,1,2,,
1034,vt19_Seinäjoki,2020/04/02,2,"11 HA-PA",62,17,16,17,27,88,337,426,323,282,289,331,356,410,611,663,674,498,375,283,234,171,123,105
1034,vt19_Seinäjoki,2020/04/02,2,"12 KAIP",2,2,2,4,2,7,7,13,18,14,8,10,18,12,16,29,13,13,8,6,3,5,1,1
1034,vt19_Seinäjoki,2020/04/02,2,"13 Linja-autot",1,,,,1,1,1,2,3,1,,1,3,2,1,3,2,,,,1,,,
1034,vt19_Seinäjoki,2020/04/02,2,"14 KAPP",1,1,,,,4,3,1,1,3,2,1,1,3,3,,2,,2,4,,,3,
1034,vt19_Seinäjoki,2020/04/02,2,"15 KATP",4,6,4,2,2,5,17,19,21,13,20,20,13,15,25,13,9,11,14,10,9,3,7,5
1034,vt19_Seinäjoki,2020/04/02,2,"16 HA + PK",1,1,1,1,2,1,12,7,16,15,11,18,10,18,25,30,16,16,9,8,7,4,2,1
1034,vt19_Seinäjoki,2020/04/02,2,"17 HA + AV",,,,2,1,2,4,4,5,1,4,5,6,3,4,4,1,3,4,1,1,,1,2
1034,vt19_Seinäjoki,2020/04/03,1,"11 HA-PA",22,18,21,21,70,232,325,436,324,256,338,348,425,539,629,700,650,482,387,296,205,191,118,70
1034,vt19_Seinäjoki,2020/04/03,1,"12 KAIP",1,,2,4,1,3,9,11,11,16,21,21,19,28,15,15,11,9,9,4,3,4,2,3
1034,vt19_Seinäjoki,2020/04/03,1,"13 Linja-autot",1,,,1,,,1,,,3,,,1,1,1,1,,,1,1,,1,,
