"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1035,kt63_Kauhava,2020/04/01,1,"11 HA-PA",3,1,2,3,5,11,23,31,26,38,34,29,43,48,62,84,78,52,55,19,21,11,7,4
1035,kt63_Kauhava,2020/04/01,1,"12 KAIP",,,,,2,1,1,1,3,1,,4,3,2,3,2,2,1,1,2,1,,1,
1035,kt63_Kauhava,2020/04/01,1,"13 Linja-autot",,,,,,,,1,,1,,,1,1,,2,,,,,1,,,
1035,kt63_Kauhava,2020/04/01,1,"14 KAPP",,,,,,,,1,3,,,3,5,1,1,,1,2,1,,,1,,
1035,kt63_Kauhava,2020/04/01,1,"15 KATP",2,2,3,3,1,5,1,4,4,7,4,4,4,4,5,6,4,9,2,3,3,1,2,4
1035,kt63_Kauhava,2020/04/01,1,"16 HA + PK",1,,,,,,2,1,1,1,2,2,3,2,1,3,1,3,1,,1,1,1,
1035,kt63_Kauhava,2020/04/01,1,"17 HA + AV",,,,,1,1,1,,,1,2,1,,1,1,1,2,,,,,,,
1035,kt63_Kauhava,2020/04/01,2,"11 HA-PA",5,2,,3,6,21,33,45,37,31,31,47,35,60,38,70,54,40,36,32,22,14,4,4
1035,kt63_Kauhava,2020/04/01,2,"12 KAIP",,1,,2,,,2,4,2,3,3,3,3,4,5,2,2,3,4,,2,,,
1035,kt63_Kauhava,2020/04/01,2,"13 Linja-autot",,,,,,,,,,,,,1,1,,,,,1,,,,,
1035,kt63_Kauhava,2020/04/01,2,"14 KAPP",,,,,,,1,,3,1,1,,,,1,3,1,1,1,,,,1,
1035,kt63_Kauhava,2020/04/01,2,"15 KATP",2,1,1,3,1,1,1,3,5,4,9,5,8,3,7,7,3,1,2,6,3,3,4,
1035,kt63_Kauhava,2020/04/01,2,"16 HA + PK",,,,,,1,1,6,3,2,8,4,3,6,1,4,5,1,2,3,1,,,
1035,kt63_Kauhava,2020/04/01,2,"17 HA + AV",,,,,,1,,,3,,1,1,3,3,3,,,,,,,,,
