"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1050,vt8_Kristiinankaupunki,2020/04/01,1,"11 HA-PA",1,,2,,1,2,9,14,13,14,11,10,15,20,13,16,17,15,14,15,5,14,3,2
1050,vt8_Kristiinankaupunki,2020/04/01,1,"12 KAIP",,,,,2,2,1,1,1,3,3,3,2,,2,2,2,,2,,2,,,
1050,vt8_Kristiinankaupunki,2020/04/01,1,"13 Linja-autot",,,,,,,,,,,,1,,,,1,,,,1,,,,
1050,vt8_Kristiinankaupunki,2020/04/01,1,"14 KAPP",,3,,,1,1,,,2,2,8,3,2,7,3,4,5,3,1,4,1,3,1,
1050,vt8_Kristiinankaupunki,2020/04/01,1,"15 KATP",1,2,4,4,2,,9,5,7,9,10,11,12,19,7,10,15,10,9,20,9,4,6,2
1050,vt8_Kristiinankaupunki,2020/04/01,1,"16 HA + PK",,,,,,,,,,1,1,4,,,2,1,2,1,2,3,2,2,,
1050,vt8_Kristiinankaupunki,2020/04/01,1,"17 HA + AV",,,,,,,,,,,,1,1,1,,,,,,,,,,
1050,vt8_Kristiinankaupunki,2020/04/01,2,"11 HA-PA",1,,,1,3,2,5,12,9,20,11,10,24,18,19,22,32,13,14,10,10,7,2,1
1050,vt8_Kristiinankaupunki,2020/04/01,2,"12 KAIP",,,,,,,,1,1,1,5,2,1,3,2,1,1,2,,,2,1,1,
1050,vt8_Kristiinankaupunki,2020/04/01,2,"13 Linja-autot",,,,,,,1,1,,,,,,,,1,1,,,,,,,
1050,vt8_Kristiinankaupunki,2020/04/01,2,"14 KAPP",,,,,,,1,,,6,2,3,4,3,5,6,3,6,3,5,,,,
1050,vt8_Kristiinankaupunki,2020/04/01,2,"15 KATP",2,3,2,3,3,4,7,7,4,10,9,13,4,15,8,17,22,17,18,7,6,5,4,3
1050,vt8_Kristiinankaupunki,2020/04/01,2,"16 HA + PK",,,,,,,,,1,1,,1,1,1,2,1,2,1,1,,,,,
1050,vt8_Kristiinankaupunki,2020/04/01,2,"17 HA + AV",,,,,,,,,,,1,,,,,,1,1,1,,,,,
1050,vt8_Kristiinankaupunki,2020/04/02,1,"11 HA-PA",2,,,1,,,7,18,10,8,14,21,12,13,16,18,27,22,20,14,10,12,9,6
1050,vt8_Kristiinankaupunki,2020/04/02,1,"12 KAIP",,1,,1,2,,1,1,3,,2,,3,,1,2,4,1,1,,1,1,1,1
1050,vt8_Kristiinankaupunki,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
