"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1065,vt18_Ähtäri_Inha,2020/04/01,1,"11 HA-PA",6,5,1,1,,35,47,41,39,49,55,62,48,54,68,104,86,77,49,41,30,17,8,5
1065,vt18_Ähtäri_Inha,2020/04/01,1,"12 KAIP",,,1,1,,3,2,2,6,3,2,4,1,2,4,2,,4,2,2,2,,,
1065,vt18_Ähtäri_Inha,2020/04/01,1,"13 Linja-autot",,,,,,,,,,,,,1,1,,1,,,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/01,1,"14 KAPP",2,,,,,,,,1,2,1,,1,2,,,1,1,1,1,1,,,
1065,vt18_Ähtäri_Inha,2020/04/01,1,"15 KATP",,,,,5,1,5,2,2,4,1,3,3,,3,5,5,3,4,6,2,2,2,1
1065,vt18_Ähtäri_Inha,2020/04/01,1,"16 HA + PK",,,,,,,3,3,1,,4,1,1,4,4,5,3,2,2,,1,,,
1065,vt18_Ähtäri_Inha,2020/04/01,1,"17 HA + AV",,,,,,,,,,2,4,1,1,1,2,,,1,,,3,,,
1065,vt18_Ähtäri_Inha,2020/04/01,2,"11 HA-PA",3,1,,3,2,20,32,44,57,53,53,63,62,76,89,107,58,53,56,39,24,11,8,2
1065,vt18_Ähtäri_Inha,2020/04/01,2,"12 KAIP",,1,,,,,4,1,1,3,3,2,5,10,5,,,5,2,,,,1,1
1065,vt18_Ähtäri_Inha,2020/04/01,2,"13 Linja-autot",,,,,,,,,,,,,1,1,,,,,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/01,2,"14 KAPP",,,,,,,,1,1,,,2,,,,,,2,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/01,2,"15 KATP",,3,,,1,1,2,1,1,4,3,,1,2,4,4,2,5,4,2,2,2,1,2
1065,vt18_Ähtäri_Inha,2020/04/01,2,"16 HA + PK",,,,,,,1,1,,4,2,1,3,1,1,6,3,2,1,1,,1,,
1065,vt18_Ähtäri_Inha,2020/04/01,2,"17 HA + AV",,,,,1,1,1,,1,,,1,3,3,2,1,,,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/02,1,"11 HA-PA",3,1,1,3,2,34,46,42,36,43,52,71,46,70,80,94,78,47,61,43,28,18,8,3
1065,vt18_Ähtäri_Inha,2020/04/02,1,"12 KAIP",,,,,,2,,3,4,5,3,3,3,4,2,4,2,2,3,3,1,1,,
1065,vt18_Ähtäri_Inha,2020/04/02,1,"13 Linja-autot",,,,,,,,,,1,,2,2,,,,1,,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/02,1,"14 KAPP",,,,,,,,,,1,1,2,1,,3,1,1,,,1,,,,
1065,vt18_Ähtäri_Inha,2020/04/02,1,"15 KATP",1,1,,,2,4,3,8,4,1,4,7,11,3,1,6,3,3,4,3,3,1,4,1
1065,vt18_Ähtäri_Inha,2020/04/02,1,"16 HA + PK",,,,,,1,2,,1,5,2,2,4,3,2,4,3,1,2,,1,1,,
1065,vt18_Ähtäri_Inha,2020/04/02,1,"17 HA + AV",,,,,,,1,,1,,1,,2,,1,3,,,,,,1,,
1065,vt18_Ähtäri_Inha,2020/04/02,2,"11 HA-PA",4,,2,3,4,17,37,58,39,57,52,62,68,82,75,85,49,61,57,41,28,12,16,3
1065,vt18_Ähtäri_Inha,2020/04/02,2,"12 KAIP",1,,,,,,2,4,4,4,4,4,6,1,5,5,1,1,1,4,,1,,
1065,vt18_Ähtäri_Inha,2020/04/02,2,"13 Linja-autot",,,,,,,,,,,,1,1,,1,1,,,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/02,2,"14 KAPP",,,,,,,,,,2,,,,2,1,1,,2,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/02,2,"15 KATP",,3,2,1,1,,,4,6,1,6,5,2,3,9,3,1,4,5,4,2,1,2,
1065,vt18_Ähtäri_Inha,2020/04/02,2,"16 HA + PK",,,,,1,1,2,1,3,1,,,3,4,4,1,4,2,1,1,,,,
1065,vt18_Ähtäri_Inha,2020/04/02,2,"17 HA + AV",,,,,,1,,1,1,1,3,1,2,1,1,,4,1,,,1,,,
1065,vt18_Ähtäri_Inha,2020/04/03,1,"11 HA-PA",4,4,2,3,2,34,44,48,43,47,47,65,86,55,92,91,81,79,85,36,28,28,17,2
1065,vt18_Ähtäri_Inha,2020/04/03,1,"12 KAIP",,,,,,2,3,2,,2,3,5,2,5,,3,2,1,1,,,,,
1065,vt18_Ähtäri_Inha,2020/04/03,1,"13 Linja-autot",,,,,,,1,,,,,,,,1,,,1,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/03,1,"14 KAPP",,,,,,,,,,,,3,1,1,1,,,,,,2,,,
1065,vt18_Ähtäri_Inha,2020/04/03,1,"15 KATP",1,,,,2,1,5,4,4,2,3,5,,4,4,,1,3,1,2,3,2,2,
1065,vt18_Ähtäri_Inha,2020/04/03,1,"16 HA + PK",,,,,,1,3,,,1,4,1,2,2,7,6,5,5,3,1,,,,1
1065,vt18_Ähtäri_Inha,2020/04/03,1,"17 HA + AV",,,,,,,1,,,1,1,,1,2,1,1,,,2,,,,,
1065,vt18_Ähtäri_Inha,2020/04/03,2,"11 HA-PA",6,1,,4,3,20,35,45,63,52,71,58,84,83,104,81,81,74,51,43,22,15,11,3
1065,vt18_Ähtäri_Inha,2020/04/03,2,"12 KAIP",1,1,,,,,3,1,1,2,2,2,4,5,1,2,2,,2,,1,,1,
1065,vt18_Ähtäri_Inha,2020/04/03,2,"13 Linja-autot",,,,,,,,1,,,1,1,,,,,,,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/03,2,"14 KAPP",,1,,,,,,2,1,,1,1,,,,1,1,2,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/03,2,"15 KATP",1,1,2,,,1,1,3,3,5,3,1,2,3,1,3,4,2,1,2,3,2,1,4
1065,vt18_Ähtäri_Inha,2020/04/03,2,"16 HA + PK",,,,,,1,4,2,1,5,3,4,3,1,2,7,1,7,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/03,2,"17 HA + AV",,,,,,,1,,,1,1,,,1,2,1,,,,1,,,,
1065,vt18_Ähtäri_Inha,2020/04/04,1,"11 HA-PA",3,6,2,2,2,4,9,21,25,26,66,76,73,77,75,83,66,57,47,35,28,18,13,9
1065,vt18_Ähtäri_Inha,2020/04/04,1,"12 KAIP",,,,,,,2,1,1,2,1,1,,1,,1,2,,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/04,1,"13 Linja-autot",,,,,,,1,,1,,,,,,,,2,,,,1,,,
1065,vt18_Ähtäri_Inha,2020/04/04,1,"14 KAPP",,,,,,,1,,,,1,,,1,,,,,,,,,1,
1065,vt18_Ähtäri_Inha,2020/04/04,1,"15 KATP",1,,,,,1,2,,1,,2,3,1,1,1,,3,1,,1,,,,1
1065,vt18_Ähtäri_Inha,2020/04/04,1,"16 HA + PK",,,,,,,,,2,7,4,7,3,2,3,5,4,2,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/04,1,"17 HA + AV",,,,,,,,1,,,,1,,1,1,,,,3,,,,,
1065,vt18_Ähtäri_Inha,2020/04/04,2,"11 HA-PA",3,3,1,1,6,5,11,15,25,42,47,66,78,65,71,69,68,55,41,35,33,18,12,4
1065,vt18_Ähtäri_Inha,2020/04/04,2,"12 KAIP",,1,,,1,1,,,,2,,2,3,2,,2,2,2,1,,1,,,
1065,vt18_Ähtäri_Inha,2020/04/04,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,1,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/04,2,"14 KAPP",,,,,,,,1,,2,,1,,,,,,1,,,,1,,
1065,vt18_Ähtäri_Inha,2020/04/04,2,"15 KATP",,1,,,,,1,1,3,2,2,1,2,2,1,3,,1,2,,,,,
1065,vt18_Ähtäri_Inha,2020/04/04,2,"16 HA + PK",1,,1,,,,1,1,4,2,7,7,5,1,1,4,4,1,3,,,,,
1065,vt18_Ähtäri_Inha,2020/04/04,2,"17 HA + AV",,,,,,,,,1,,,,,,,,,,,,,,,
1065,vt18_Ähtäri_Inha,2020/04/05,1,"11 HA-PA",7,5,7,1,1,1,4,13,19,28,31,56,72,64,87,74,62,65,38,44,43,18,5,7
1065,vt18_Ähtäri_Inha,2020/04/05,1,"12 KAIP",,,,,,,,,,2,2,1,,,1,1,1,,2,,,,,
1065,vt18_Ähtäri_Inha,2020/04/05,1,"13 Linja-autot",,,,,,,1,,1,1,,,,,,,,,,,,,,
