"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1121,vt4_Kärsämäki,2020/04/01,1,"11 HA-PA",4,3,3,1,6,15,13,30,22,27,31,30,41,44,35,47,44,35,35,30,19,21,12,9
1121,vt4_Kärsämäki,2020/04/01,1,"12 KAIP",,2,,,,,2,3,2,2,2,1,1,,5,4,2,2,2,1,1,3,3,
1121,vt4_Kärsämäki,2020/04/01,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,,1,,,1,,,
1121,vt4_Kärsämäki,2020/04/01,1,"14 KAPP",1,2,1,1,,,2,2,3,1,4,1,,1,8,3,5,9,4,4,4,2,8,3
1121,vt4_Kärsämäki,2020/04/01,1,"15 KATP",15,10,7,11,7,6,12,8,8,4,5,6,6,8,6,11,12,14,7,13,6,12,10,14
1121,vt4_Kärsämäki,2020/04/01,1,"16 HA + PK",,,1,,,1,1,,1,2,3,3,2,5,2,3,4,2,,2,2,1,,1
1121,vt4_Kärsämäki,2020/04/01,1,"17 HA + AV",,1,,,,1,1,1,,,,1,,2,1,,,,,,,,,
1121,vt4_Kärsämäki,2020/04/01,2,"11 HA-PA",5,4,2,3,4,10,13,21,20,36,34,40,40,62,60,63,54,43,43,20,16,10,8,6
1121,vt4_Kärsämäki,2020/04/01,2,"12 KAIP",,1,,,,,1,1,1,2,1,2,2,1,,3,2,,2,,1,1,1,
1121,vt4_Kärsämäki,2020/04/01,2,"13 Linja-autot",,,,,,,,,,,,1,,,,3,1,,,,,1,,
1121,vt4_Kärsämäki,2020/04/01,2,"14 KAPP",,,,,1,1,1,1,3,9,4,7,10,4,3,10,9,16,7,1,2,,2,
1121,vt4_Kärsämäki,2020/04/01,2,"15 KATP",5,3,2,7,2,2,6,7,5,7,8,11,14,8,23,12,14,19,10,11,11,9,4,6
1121,vt4_Kärsämäki,2020/04/01,2,"16 HA + PK",,,,2,,,1,,1,5,2,2,5,4,,5,2,4,3,1,3,1,,
1121,vt4_Kärsämäki,2020/04/01,2,"17 HA + AV",,,,2,,,,1,,,,,,1,,,1,,,,,,1,
1121,vt4_Kärsämäki,2020/04/02,1,"11 HA-PA",3,3,6,2,7,16,11,30,27,25,29,25,37,35,44,56,57,60,37,32,31,39,17,6
1121,vt4_Kärsämäki,2020/04/02,1,"12 KAIP",,1,2,,,,2,1,1,1,,2,1,7,3,2,2,4,2,2,2,2,1,3
1121,vt4_Kärsämäki,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,,1,,,,,,
1121,vt4_Kärsämäki,2020/04/02,1,"14 KAPP",1,,,1,2,1,3,2,2,3,6,3,1,5,6,2,5,7,2,6,2,1,2,3
1121,vt4_Kärsämäki,2020/04/02,1,"15 KATP",13,8,11,9,8,10,3,4,10,2,11,13,5,10,8,7,11,20,9,14,18,11,9,22
