"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1201,vt4_Oulu_Mäntylä,2020/04/01,1,"11 HA-PA",60,52,40,45,83,314,1382,1482,917,647,599,711,795,864,906,1148,1228,855,742,621,502,309,240,119
1201,vt4_Oulu_Mäntylä,2020/04/01,1,"12 KAIP",2,2,4,5,4,12,28,29,45,40,45,39,27,48,28,31,27,10,16,8,8,7,7,5
1201,vt4_Oulu_Mäntylä,2020/04/01,1,"13 Linja-autot",1,2,,,,3,5,9,5,5,6,4,3,6,4,5,6,6,11,7,6,6,1,2
1201,vt4_Oulu_Mäntylä,2020/04/01,1,"14 KAPP",1,1,2,4,2,1,9,12,18,15,15,11,6,15,8,9,12,8,11,6,6,4,,4
1201,vt4_Oulu_Mäntylä,2020/04/01,1,"15 KATP",23,21,27,15,26,16,45,35,37,44,29,31,33,32,34,26,26,31,25,24,13,18,21,17
1201,vt4_Oulu_Mäntylä,2020/04/01,1,"16 HA + PK",1,,,,,4,8,10,10,15,22,26,30,18,24,20,27,22,15,11,7,3,3,
1201,vt4_Oulu_Mäntylä,2020/04/01,1,"17 HA + AV",,,1,,,,2,10,10,5,3,4,3,6,4,6,7,5,,2,1,,,1
1201,vt4_Oulu_Mäntylä,2020/04/01,2,"11 HA-PA",79,45,32,34,65,298,559,851,652,571,573,680,762,954,1140,1945,1682,1037,786,636,489,406,225,127
1201,vt4_Oulu_Mäntylä,2020/04/01,2,"12 KAIP",2,2,4,4,8,25,31,41,25,40,33,35,37,35,47,28,26,14,9,6,11,6,3,5
1201,vt4_Oulu_Mäntylä,2020/04/01,2,"13 Linja-autot",1,,1,,2,4,7,12,5,6,5,4,4,7,7,7,7,5,6,5,5,,1,
1201,vt4_Oulu_Mäntylä,2020/04/01,2,"14 KAPP",1,2,2,,3,5,4,13,10,16,11,10,14,14,12,22,19,10,9,10,5,4,3,5
1201,vt4_Oulu_Mäntylä,2020/04/01,2,"15 KATP",8,9,12,13,16,18,18,20,42,38,40,38,35,44,41,36,31,28,30,31,24,18,18,10
1201,vt4_Oulu_Mäntylä,2020/04/01,2,"16 HA + PK",3,5,,1,2,,1,5,14,15,18,19,23,24,21,34,28,32,16,12,10,7,3,2
1201,vt4_Oulu_Mäntylä,2020/04/01,2,"17 HA + AV",,,,,,,2,4,3,3,2,4,5,2,6,4,7,4,1,1,,2,,1
1201,vt4_Oulu_Mäntylä,2020/04/02,1,"11 HA-PA",66,57,44,40,82,328,1385,1443,879,650,623,746,851,877,964,1163,1179,861,706,560,493,360,230,115
1201,vt4_Oulu_Mäntylä,2020/04/02,1,"12 KAIP",6,5,1,7,4,7,24,35,28,35,22,36,36,44,42,33,19,17,21,11,8,7,11,6
1201,vt4_Oulu_Mäntylä,2020/04/02,1,"13 Linja-autot",2,1,,,,4,5,7,6,7,6,3,4,6,6,7,9,7,6,8,4,4,1,2
1201,vt4_Oulu_Mäntylä,2020/04/02,1,"14 KAPP",5,4,1,1,,3,10,12,22,11,15,8,17,13,3,13,17,8,7,7,6,6,3,
1201,vt4_Oulu_Mäntylä,2020/04/02,1,"15 KATP",16,24,13,28,25,16,29,52,31,28,36,25,29,33,31,28,24,20,24,32,20,21,16,17
1201,vt4_Oulu_Mäntylä,2020/04/02,1,"16 HA + PK",,,,3,1,3,16,14,17,16,9,17,15,14,22,22,20,19,11,11,8,3,,
1201,vt4_Oulu_Mäntylä,2020/04/02,1,"17 HA + AV",,,1,,,,3,5,6,9,3,7,3,2,6,5,6,8,4,2,2,1,2,
1201,vt4_Oulu_Mäntylä,2020/04/02,2,"11 HA-PA",82,56,30,36,65,265,587,829,638,576,643,691,805,963,1188,1976,1623,1007,748,579,430,361,203,104
1201,vt4_Oulu_Mäntylä,2020/04/02,2,"12 KAIP",5,1,5,3,6,15,32,32,29,27,32,41,39,40,36,30,29,10,16,5,11,16,6,9
1201,vt4_Oulu_Mäntylä,2020/04/02,2,"13 Linja-autot",,1,,1,2,6,9,13,7,8,6,6,4,6,7,6,8,8,3,5,3,,2,1
1201,vt4_Oulu_Mäntylä,2020/04/02,2,"14 KAPP",,,,2,1,6,6,5,18,16,16,14,9,22,26,16,11,17,7,13,6,2,1,5
1201,vt4_Oulu_Mäntylä,2020/04/02,2,"15 KATP",8,10,9,12,14,15,14,28,29,39,32,33,41,31,27,39,31,27,32,26,23,21,23,10
1201,vt4_Oulu_Mäntylä,2020/04/02,2,"16 HA + PK",1,,,1,2,3,2,7,15,13,11,11,17,19,22,26,32,18,17,11,9,2,,1
1201,vt4_Oulu_Mäntylä,2020/04/02,2,"17 HA + AV",,,1,,,2,1,3,5,4,3,4,5,7,3,5,7,5,3,2,,,,1
1201,vt4_Oulu_Mäntylä,2020/04/03,1,"11 HA-PA",65,65,37,33,89,310,1253,1346,829,686,701,750,847,997,1123,1172,1271,996,852,615,545,429,275,194
1201,vt4_Oulu_Mäntylä,2020/04/03,1,"12 KAIP",2,1,3,5,5,9,26,30,32,39,48,36,39,39,44,22,18,14,15,15,6,6,7,4
1201,vt4_Oulu_Mäntylä,2020/04/03,1,"13 Linja-autot",2,1,,,,4,6,10,8,4,6,4,5,4,6,6,5,7,7,11,5,5,1,3
1201,vt4_Oulu_Mäntylä,2020/04/03,1,"14 KAPP",1,5,1,2,,2,5,7,11,20,9,9,9,3,9,7,12,4,6,4,2,4,3,1
1201,vt4_Oulu_Mäntylä,2020/04/03,1,"15 KATP",17,24,24,19,20,29,33,38,38,33,32,35,26,27,17,25,16,18,15,10,16,14,13,17
1201,vt4_Oulu_Mäntylä,2020/04/03,1,"16 HA + PK",2,1,1,,1,4,10,18,13,18,26,30,27,41,23,37,40,27,22,13,9,6,5,2
1201,vt4_Oulu_Mäntylä,2020/04/03,1,"17 HA + AV",1,,,,,1,8,4,4,4,6,6,4,7,6,5,2,2,4,1,1,1,1,
1201,vt4_Oulu_Mäntylä,2020/04/03,2,"11 HA-PA",88,47,34,26,78,267,507,841,621,527,652,732,948,1260,1459,1939,1498,1091,791,634,482,430,261,170
1201,vt4_Oulu_Mäntylä,2020/04/03,2,"12 KAIP",5,3,3,6,6,19,36,40,33,29,38,29,32,44,26,26,18,14,8,7,19,6,3,1
1201,vt4_Oulu_Mäntylä,2020/04/03,2,"13 Linja-autot",,,,,2,6,6,13,9,6,6,4,4,7,7,7,8,6,6,7,4,,2,1
1201,vt4_Oulu_Mäntylä,2020/04/03,2,"14 KAPP",1,3,2,2,4,7,6,11,9,14,9,6,19,21,9,18,9,9,13,6,5,2,6,2
1201,vt4_Oulu_Mäntylä,2020/04/03,2,"15 KATP",16,8,6,11,14,16,17,29,36,36,32,28,41,40,38,26,32,17,23,18,16,15,11,10
1201,vt4_Oulu_Mäntylä,2020/04/03,2,"16 HA + PK",1,1,1,1,,1,3,5,9,16,23,21,22,23,27,31,39,29,14,16,4,,3,1
1201,vt4_Oulu_Mäntylä,2020/04/03,2,"17 HA + AV",,,,,,1,2,7,6,4,6,8,3,4,7,6,6,1,3,1,3,,,
1201,vt4_Oulu_Mäntylä,2020/04/04,1,"11 HA-PA",134,105,77,71,58,80,249,138,197,373,565,719,871,951,1023,932,777,786,640,484,406,339,245,207
1201,vt4_Oulu_Mäntylä,2020/04/04,1,"12 KAIP",1,3,5,4,2,6,6,8,11,12,6,6,5,4,11,6,5,3,6,3,3,4,1,1
1201,vt4_Oulu_Mäntylä,2020/04/04,1,"13 Linja-autot",2,2,,,1,,1,3,1,2,7,1,3,2,6,2,4,6,3,2,,1,1,2
1201,vt4_Oulu_Mäntylä,2020/04/04,1,"14 KAPP",1,1,1,1,1,3,4,3,1,2,3,1,2,4,,1,3,4,3,2,3,,1,3
1201,vt4_Oulu_Mäntylä,2020/04/04,1,"15 KATP",9,12,21,11,14,12,12,13,15,12,9,7,5,8,7,4,6,9,4,11,5,1,3,1
1201,vt4_Oulu_Mäntylä,2020/04/04,1,"16 HA + PK",1,,,1,2,2,3,9,19,23,39,33,28,35,39,30,24,15,18,10,3,4,2,
1201,vt4_Oulu_Mäntylä,2020/04/04,1,"17 HA + AV",,,1,,,,1,2,5,4,5,2,2,4,3,2,2,1,2,6,,,1,
1201,vt4_Oulu_Mäntylä,2020/04/04,2,"11 HA-PA",132,132,102,46,69,89,132,192,238,422,559,711,923,963,973,985,871,708,600,427,382,383,226,204
1201,vt4_Oulu_Mäntylä,2020/04/04,2,"12 KAIP",3,5,,2,5,10,2,9,6,7,7,10,5,7,9,10,2,4,2,4,1,3,2,
1201,vt4_Oulu_Mäntylä,2020/04/04,2,"13 Linja-autot",1,1,,,,2,4,,1,5,3,2,2,2,1,4,4,4,1,,3,1,1,
1201,vt4_Oulu_Mäntylä,2020/04/04,2,"14 KAPP",,2,3,,1,4,2,2,6,2,3,4,5,4,1,4,1,2,7,5,,1,,1
1201,vt4_Oulu_Mäntylä,2020/04/04,2,"15 KATP",11,4,4,4,4,7,8,10,8,7,9,10,10,7,10,11,14,6,2,5,3,4,4,3
1201,vt4_Oulu_Mäntylä,2020/04/04,2,"16 HA + PK",2,,1,,1,5,2,3,15,21,30,39,35,26,34,28,29,29,20,6,13,9,5,1
