"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1206,vt4_Oulu_Ouluntulli,2020/04/01,1,"11 HA-PA",48,41,34,35,69,281,1120,1146,724,494,450,527,594,638,668,848,911,598,561,464,357,238,163,86
1206,vt4_Oulu_Ouluntulli,2020/04/01,1,"12 KAIP",2,3,5,7,6,11,27,30,38,27,37,24,24,34,23,24,23,16,20,6,13,4,6,6
1206,vt4_Oulu_Ouluntulli,2020/04/01,1,"13 Linja-autot",2,,,,,2,2,2,1,2,,1,,2,1,3,2,,3,2,1,1,1,
1206,vt4_Oulu_Ouluntulli,2020/04/01,1,"14 KAPP",1,3,,2,3,2,8,18,22,15,14,11,5,10,9,10,13,9,10,6,3,5,2,4
1206,vt4_Oulu_Ouluntulli,2020/04/01,1,"15 KATP",21,23,27,13,19,18,34,35,30,41,32,28,28,34,34,27,29,29,29,24,17,16,21,16
1206,vt4_Oulu_Ouluntulli,2020/04/01,1,"16 HA + PK",,,,,1,3,5,7,8,13,12,25,22,12,15,14,21,13,9,12,6,2,1,
1206,vt4_Oulu_Ouluntulli,2020/04/01,1,"17 HA + AV",,,,,,,2,7,2,6,1,3,3,7,4,5,6,4,2,,,1,,1
1206,vt4_Oulu_Ouluntulli,2020/04/01,2,"11 HA-PA",40,31,27,27,48,172,354,553,394,371,408,427,515,622,788,1372,1236,763,550,467,344,279,159,97
1206,vt4_Oulu_Ouluntulli,2020/04/01,2,"12 KAIP",1,1,,,2,2,,2,5,6,9,4,7,4,11,2,5,5,3,4,1,3,,2
1206,vt4_Oulu_Ouluntulli,2020/04/01,2,"13 Linja-autot",,,,,,,,2,,,,,,,,,1,,,,,,,
1206,vt4_Oulu_Ouluntulli,2020/04/01,2,"14 KAPP",1,,,,,,,,,2,2,,2,,2,4,1,,,,2,1,,
1206,vt4_Oulu_Ouluntulli,2020/04/01,2,"15 KATP",1,,,,2,1,,,3,2,3,5,2,,5,2,1,,,3,,,,
1206,vt4_Oulu_Ouluntulli,2020/04/01,2,"16 HA + PK",2,1,,1,,2,1,5,7,7,10,12,11,10,16,21,18,21,12,9,5,2,3,2
1206,vt4_Oulu_Ouluntulli,2020/04/01,2,"17 HA + AV",,1,,,,,1,1,2,2,,2,2,1,2,2,,1,,,,2,,
1206,vt4_Oulu_Ouluntulli,2020/04/02,1,"11 HA-PA",46,42,36,38,63,301,1111,1172,665,494,456,549,606,603,721,837,866,681,556,379,329,245,162,83
1206,vt4_Oulu_Ouluntulli,2020/04/02,1,"12 KAIP",8,5,1,10,5,7,19,32,28,28,23,31,30,29,33,29,19,14,19,11,11,7,11,6
1206,vt4_Oulu_Ouluntulli,2020/04/02,1,"13 Linja-autot",2,1,,,,2,3,2,3,2,,,,2,1,,2,,3,3,1,1,,
1206,vt4_Oulu_Ouluntulli,2020/04/02,1,"14 KAPP",5,3,1,,,3,10,16,23,10,14,12,16,9,4,16,20,8,11,5,5,4,7,
1206,vt4_Oulu_Ouluntulli,2020/04/02,1,"15 KATP",17,27,19,23,22,12,30,45,35,19,31,23,27,31,30,23,18,23,25,34,18,17,15,18
1206,vt4_Oulu_Ouluntulli,2020/04/02,1,"16 HA + PK",,,,1,1,2,14,13,9,15,8,11,9,9,11,12,12,9,9,11,6,2,1,
1206,vt4_Oulu_Ouluntulli,2020/04/02,1,"17 HA + AV",,,,1,,2,3,3,2,5,2,4,4,1,4,5,3,4,4,3,2,1,1,1
1206,vt4_Oulu_Ouluntulli,2020/04/02,2,"11 HA-PA",43,37,28,26,51,172,372,566,399,379,408,434,524,635,833,1377,1171,769,521,414,288,245,135,83
1206,vt4_Oulu_Ouluntulli,2020/04/02,2,"12 KAIP",,,1,2,,,1,5,5,3,5,4,3,5,4,7,3,3,2,3,2,4,1,
1206,vt4_Oulu_Ouluntulli,2020/04/02,2,"13 Linja-autot",,,,,,,1,,,,,,,,1,,,,,1,,,,1
1206,vt4_Oulu_Ouluntulli,2020/04/02,2,"14 KAPP",,,,,,,,,3,,,,,1,1,3,,3,1,2,,,,
1206,vt4_Oulu_Ouluntulli,2020/04/02,2,"15 KATP",,,1,1,1,,1,1,,4,,3,2,,1,5,1,3,4,1,,1,,
1206,vt4_Oulu_Ouluntulli,2020/04/02,2,"16 HA + PK",1,,,,1,2,1,2,9,10,4,8,11,14,13,10,17,15,9,7,6,1,,1
1206,vt4_Oulu_Ouluntulli,2020/04/02,2,"17 HA + AV",,,,,1,,,,,2,,2,1,2,2,2,4,,1,,,,,
