"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
128,kt50_Voutila,2020/04/01,1,"11 HA-PA",81,72,56,84,197,838,2248,2303,1580,1268,1241,1351,1469,1700,1959,2634,2141,1648,1265,835,666,539,341,172
128,kt50_Voutila,2020/04/01,1,"12 KAIP",14,14,17,21,31,63,116,166,177,204,223,217,198,240,249,203,129,96,63,53,44,20,20,22
128,kt50_Voutila,2020/04/01,1,"13 Linja-autot",,,1,1,1,11,8,8,9,8,1,8,4,6,11,8,8,7,7,3,2,1,,2
128,kt50_Voutila,2020/04/01,1,"14 KAPP",11,8,3,6,7,14,26,44,57,101,132,103,100,93,83,78,79,44,43,37,25,23,58,14
128,kt50_Voutila,2020/04/01,1,"15 KATP",30,20,26,19,19,24,45,67,73,71,96,64,84,102,84,94,68,63,45,44,25,40,43,25
128,kt50_Voutila,2020/04/01,1,"16 HA + PK",1,,,,,2,11,9,19,18,21,13,16,24,23,22,27,20,17,11,5,4,1,1
128,kt50_Voutila,2020/04/01,1,"17 HA + AV",,,,,,,9,2,4,6,10,5,4,6,8,13,10,4,2,,,,4,
128,kt50_Voutila,2020/04/01,2,"11 HA-PA",114,71,52,53,105,461,1835,1840,1337,1068,1070,1266,1407,1516,2058,2844,2584,1809,1486,1089,789,566,521,285
128,kt50_Voutila,2020/04/01,2,"12 KAIP",9,11,11,12,39,63,190,217,222,191,192,213,204,204,179,150,130,58,59,37,31,27,5,15
128,kt50_Voutila,2020/04/01,2,"13 Linja-autot",,,1,2,,4,9,7,10,9,4,7,7,7,6,9,5,10,5,2,4,3,2,2
128,kt50_Voutila,2020/04/01,2,"14 KAPP",9,8,8,12,12,9,45,61,74,58,90,99,86,100,91,65,68,57,48,30,27,8,8,19
128,kt50_Voutila,2020/04/01,2,"15 KATP",32,22,22,12,20,34,69,66,91,81,91,102,86,88,98,87,83,63,51,49,54,41,32,27
128,kt50_Voutila,2020/04/01,2,"16 HA + PK",2,1,4,,3,11,26,41,29,39,41,23,47,46,41,33,24,20,26,17,6,7,4,1
128,kt50_Voutila,2020/04/01,2,"17 HA + AV",2,1,,3,1,4,12,11,17,13,14,15,5,12,10,10,6,2,5,4,2,,1,
128,kt50_Voutila,2020/04/02,1,"11 HA-PA",98,63,52,86,225,838,2290,2242,1560,1323,1184,1304,1420,1706,1910,2558,2171,1545,1220,864,651,545,322,145
128,kt50_Voutila,2020/04/02,1,"12 KAIP",7,7,16,16,26,63,123,163,176,196,231,199,184,219,217,234,138,81,66,48,42,21,28,14
128,kt50_Voutila,2020/04/02,1,"13 Linja-autot",,,1,1,2,11,12,10,8,6,2,8,4,7,6,8,10,7,3,4,1,1,,2
128,kt50_Voutila,2020/04/02,1,"14 KAPP",11,4,5,5,9,12,36,45,67,101,141,113,108,93,90,86,79,50,39,39,20,30,79,15
128,kt50_Voutila,2020/04/02,1,"15 KATP",25,15,26,16,22,17,50,83,86,101,109,95,92,105,84,88,61,62,60,54,33,37,37,33
128,kt50_Voutila,2020/04/02,1,"16 HA + PK",2,,1,1,1,4,11,11,16,17,17,22,34,27,20,26,28,28,21,11,6,4,2,
128,kt50_Voutila,2020/04/02,1,"17 HA + AV",,,,,1,,6,6,5,10,6,5,5,6,5,8,6,2,3,1,1,2,2,
128,kt50_Voutila,2020/04/02,2,"11 HA-PA",128,65,46,73,97,471,1878,1720,1320,1080,1057,1285,1399,1516,2059,2786,2543,1865,1349,1022,765,565,488,252
128,kt50_Voutila,2020/04/02,2,"12 KAIP",11,8,10,10,33,71,184,230,204,208,172,218,200,176,172,161,118,68,54,34,30,22,13,8
128,kt50_Voutila,2020/04/02,2,"13 Linja-autot",,,,,2,5,8,12,9,11,4,4,3,8,4,13,9,14,7,2,2,1,1,1
128,kt50_Voutila,2020/04/02,2,"14 KAPP",8,6,10,10,15,10,44,52,77,65,76,107,89,91,106,81,77,67,46,34,18,12,20,14
128,kt50_Voutila,2020/04/02,2,"15 KATP",29,31,19,15,19,21,96,82,92,97,97,97,109,96,102,92,70,65,72,56,39,41,38,35
128,kt50_Voutila,2020/04/02,2,"16 HA + PK",2,4,3,,3,8,24,36,36,35,33,32,36,32,40,42,37,30,20,6,11,6,5,
128,kt50_Voutila,2020/04/02,2,"17 HA + AV",1,,1,3,2,2,10,16,21,10,13,13,9,10,7,10,10,6,2,4,2,2,1,2
