"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1328,vt5_Tapiola,2020/04/01,1,"11 HA-PA",,,1,,,,1,2,3,2,4,6,5,7,5,10,9,4,6,3,,5,2,2
1328,vt5_Tapiola,2020/04/01,1,"12 KAIP",1,,,,1,,1,1,,,,,,1,,,,,1,,,1,1,
1328,vt5_Tapiola,2020/04/01,1,"14 KAPP",,,,,,,,,,,,1,,,,,,,,,,,,
1328,vt5_Tapiola,2020/04/01,1,"15 KATP",,,3,1,,1,1,,,,,,1,,1,1,,2,3,,1,,,
1328,vt5_Tapiola,2020/04/01,1,"16 HA + PK",,,,,,,,,,2,,,,,2,,,,1,,2,,,1
1328,vt5_Tapiola,2020/04/01,1,"17 HA + AV",,,,,,,,,,,,,,,,2,1,,,,,,,
1328,vt5_Tapiola,2020/04/01,2,"11 HA-PA",,,,,1,1,3,4,4,8,10,10,10,4,4,3,5,5,3,2,2,,,
1328,vt5_Tapiola,2020/04/01,2,"12 KAIP",,1,,,,1,1,2,,2,,3,,1,,,1,,,,,1,,
1328,vt5_Tapiola,2020/04/01,2,"14 KAPP",,,,,,,,,,,1,,,,,,,,,,,,,
1328,vt5_Tapiola,2020/04/01,2,"15 KATP",,,,,,2,,1,,2,,1,,2,,,,2,1,,1,1,,1
1328,vt5_Tapiola,2020/04/01,2,"16 HA + PK",,,,,,,,,,,,1,1,,1,,1,,,,,,,
1328,vt5_Tapiola,2020/04/01,2,"17 HA + AV",,,,,,,,1,,,,,,,,,,,,,,,,
1328,vt5_Tapiola,2020/04/02,1,"11 HA-PA",1,,1,1,1,1,2,1,4,3,4,2,13,9,10,16,13,12,7,7,3,1,1,1
1328,vt5_Tapiola,2020/04/02,1,"12 KAIP",,,,,,,,,1,,1,,,,,,,,1,1,,,,
1328,vt5_Tapiola,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1328,vt5_Tapiola,2020/04/02,1,"14 KAPP",,,,,,,,,,,,,,,1,,,,,,,,,
1328,vt5_Tapiola,2020/04/02,1,"15 KATP",,,1,,2,,,,3,1,,,1,1,1,1,1,2,,,1,,1,
1328,vt5_Tapiola,2020/04/02,1,"16 HA + PK",,,,,,,,,,,1,,,2,2,1,,1,,,,1,,
1328,vt5_Tapiola,2020/04/02,1,"17 HA + AV",,,,,1,,,,,,,,,,2,,1,1,,,,,,
1328,vt5_Tapiola,2020/04/02,2,"11 HA-PA",,,,,2,3,5,3,2,11,12,12,7,14,6,6,10,4,4,2,1,,2,1
1328,vt5_Tapiola,2020/04/02,2,"12 KAIP",1,1,,,1,,,,1,,,1,1,,,,,,,1,,,,
1328,vt5_Tapiola,2020/04/02,2,"14 KAPP",,,,,,,,,,1,,,,,,,,1,,,,,,
1328,vt5_Tapiola,2020/04/02,2,"15 KATP",,,,,,,2,1,,1,1,3,2,,,,2,3,3,2,1,,1,
1328,vt5_Tapiola,2020/04/02,2,"16 HA + PK",,,,,,,,,1,,,,2,,,,1,,,,,,,1
1328,vt5_Tapiola,2020/04/02,2,"17 HA + AV",,,,,,1,,,,,,,,1,,,1,,,,,,,
1328,vt5_Tapiola,2020/04/03,1,"11 HA-PA",1,,1,,,1,,,1,4,9,6,9,3,11,12,13,12,6,6,4,1,,3
1328,vt5_Tapiola,2020/04/03,1,"12 KAIP",,,,,,,,1,,,,,,1,,,,,1,,,,,
1328,vt5_Tapiola,2020/04/03,1,"14 KAPP",,,,,,,,,,,,,,1,1,,,,,,,,,
1328,vt5_Tapiola,2020/04/03,1,"15 KATP",,,1,,2,,,,,1,,,2,,,1,,1,,,,,,
1328,vt5_Tapiola,2020/04/03,1,"16 HA + PK",1,,,,,,,,1,1,,1,2,1,1,1,1,3,3,,1,,1,
1328,vt5_Tapiola,2020/04/03,1,"17 HA + AV",,,,,1,,,,,,,,,,1,,1,,,,,1,1,
1328,vt5_Tapiola,2020/04/03,2,"11 HA-PA",,,,,1,4,4,7,11,9,13,20,12,9,10,10,6,6,5,3,1,1,1,
1328,vt5_Tapiola,2020/04/03,2,"12 KAIP",,,,,,,,,,1,,2,,,1,1,,,1,,,1,,
1328,vt5_Tapiola,2020/04/03,2,"14 KAPP",,,,,,,,,,,,,,1,,,,1,,,,,,
1328,vt5_Tapiola,2020/04/03,2,"15 KATP",,1,,,,,,,,,,,,1,,,,2,1,,,,,
1328,vt5_Tapiola,2020/04/03,2,"16 HA + PK",,,,,,,,,1,2,1,1,1,2,1,,2,,,1,,,,
1328,vt5_Tapiola,2020/04/03,2,"17 HA + AV",,,,,,,,,,,,,,1,,2,,,,,,,,
1328,vt5_Tapiola,2020/04/04,1,"11 HA-PA",,1,,1,,2,2,,3,4,4,16,7,12,24,12,11,5,4,8,,1,2,2
1328,vt5_Tapiola,2020/04/04,1,"12 KAIP",,,,,,,,,,,,,1,,,1,,,,,,1,1,
1328,vt5_Tapiola,2020/04/04,1,"14 KAPP",,,,,,,,,,,,1,,,,,,,,,,,,
1328,vt5_Tapiola,2020/04/04,1,"15 KATP",1,,,,,,1,,,,,1,,,1,1,2,,,,,,,
1328,vt5_Tapiola,2020/04/04,1,"16 HA + PK",1,1,,,,,,,,,1,,3,,3,2,,1,,1,,,,
1328,vt5_Tapiola,2020/04/04,1,"17 HA + AV",,,,,,,,,,,,,,,,,,1,,1,,,,
1328,vt5_Tapiola,2020/04/04,2,"11 HA-PA",,,,1,,1,2,7,7,10,11,17,22,9,9,4,5,6,4,1,1,1,,
1328,vt5_Tapiola,2020/04/04,2,"12 KAIP",,,,,,,,,,,,2,,,,,1,,,1,,,,
1328,vt5_Tapiola,2020/04/04,2,"14 KAPP",,,,,,,,,1,,,,,,,1,,,,,,,,
1328,vt5_Tapiola,2020/04/04,2,"15 KATP",,,,,,,,2,1,,,,1,,,,,,,,,,,
1328,vt5_Tapiola,2020/04/04,2,"16 HA + PK",,,,,1,,,2,1,2,,4,2,2,1,2,1,2,1,,,,,
1328,vt5_Tapiola,2020/04/04,2,"17 HA + AV",,,,,,,,,,,,,2,1,,,,,,,,,,1
1328,vt5_Tapiola,2020/04/05,1,"11 HA-PA",,,,,,,,4,2,2,2,4,5,5,8,11,6,6,9,5,7,5,,1
1328,vt5_Tapiola,2020/04/05,1,"12 KAIP",,,,,,,,1,,,,1,1,,,1,,,,,,,,
1328,vt5_Tapiola,2020/04/05,1,"14 KAPP",,,,,,,,,,,,,1,,,,,,,,,,,
1328,vt5_Tapiola,2020/04/05,1,"15 KATP",,,,,,,,,,,,,,,,1,,,1,,,,1,
1328,vt5_Tapiola,2020/04/05,1,"16 HA + PK",,,,,,,,,,,,2,,3,2,1,,1,1,1,,,,1
1328,vt5_Tapiola,2020/04/05,1,"17 HA + AV",,,,,,,,,1,,,,,1,,,,,,,,,,
1328,vt5_Tapiola,2020/04/05,2,"11 HA-PA",,,,,,1,,1,3,10,10,13,8,16,10,11,6,7,11,6,2,2,2,
1328,vt5_Tapiola,2020/04/05,2,"12 KAIP",,,,,,,,,1,1,,,,1,1,,1,,,,,,,
1328,vt5_Tapiola,2020/04/05,2,"14 KAPP",,,,,,,,,,,,,,,1,,,,,,,,,
1328,vt5_Tapiola,2020/04/05,2,"15 KATP",,,,,,,,,,1,,,,,,1,1,1,,,,,,
1328,vt5_Tapiola,2020/04/05,2,"16 HA + PK",,,,,,,,,,1,5,1,,2,1,,,,1,,1,,,
1328,vt5_Tapiola,2020/04/05,2,"17 HA + AV",,,,,,,,,,,,1,1,,,1,2,,,,,,1,
1328,vt5_Tapiola,2020/04/06,1,"11 HA-PA",,,,,,1,2,4,6,5,6,11,6,6,10,9,14,8,4,1,3,1,,2
1328,vt5_Tapiola,2020/04/06,1,"12 KAIP",,,,,,,,,1,,1,,,,,,,,1,2,,,,
1328,vt5_Tapiola,2020/04/06,1,"13 Linja-autot",,,,,,,,,,1,,,,,,1,,,,,,,,
1328,vt5_Tapiola,2020/04/06,1,"14 KAPP",,,,,,,,,,,,,1,,,1,,,,,,,,
1328,vt5_Tapiola,2020/04/06,1,"15 KATP",1,,,,1,,,1,,,2,1,1,2,1,,1,1,,,,,,
1328,vt5_Tapiola,2020/04/06,1,"16 HA + PK",,,,,,,,,1,,,,,,1,,,,,,,,,
1328,vt5_Tapiola,2020/04/06,2,"11 HA-PA",1,1,,,1,5,6,5,4,11,13,11,8,7,8,9,5,4,5,1,2,1,1,
1328,vt5_Tapiola,2020/04/06,2,"12 KAIP",,,,,,,2,,,,,2,1,1,,,,,,,,,,
1328,vt5_Tapiola,2020/04/06,2,"14 KAPP",,,,,,,,,,,,,1,,,2,,,,,,,,
1328,vt5_Tapiola,2020/04/06,2,"15 KATP",,,,1,,,1,1,,1,,2,,1,3,,3,1,1,1,,1,1,
1328,vt5_Tapiola,2020/04/06,2,"16 HA + PK",,,,,,1,,,,,1,1,1,,2,1,,1,,,1,,,
1328,vt5_Tapiola,2020/04/06,2,"17 HA + AV",,,,,,,,,,,,,1,,,,,1,,,,,,
1328,vt5_Tapiola,2020/04/07,1,"11 HA-PA",,,,,,1,3,3,3,2,3,9,7,8,12,13,13,7,8,5,8,3,4,1
1328,vt5_Tapiola,2020/04/07,1,"12 KAIP",1,,,,1,,,2,2,,,1,,1,1,,,,1,,,,,
1328,vt5_Tapiola,2020/04/07,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,,,1,,,,,
1328,vt5_Tapiola,2020/04/07,1,"15 KATP",1,,2,,1,1,,,,1,2,1,2,,2,1,3,1,1,3,1,,1,1
1328,vt5_Tapiola,2020/04/07,1,"16 HA + PK",,,,,,,,,,,,,,2,1,3,,,1,,1,,,
1328,vt5_Tapiola,2020/04/07,1,"17 HA + AV",,,,,,,,,,1,,,2,,,1,,,,,,1,,
1328,vt5_Tapiola,2020/04/07,2,"11 HA-PA",,,,,1,4,4,6,5,6,9,9,7,8,4,2,6,4,4,3,2,2,1,
1328,vt5_Tapiola,2020/04/07,2,"12 KAIP",,,1,,,,,,1,1,,1,,,,1,,,,,,1,,
1328,vt5_Tapiola,2020/04/07,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
1328,vt5_Tapiola,2020/04/07,2,"15 KATP",,,,,,,1,2,1,1,1,1,,2,1,,3,1,1,3,1,1,1,
1328,vt5_Tapiola,2020/04/07,2,"16 HA + PK",,,,,,,,2,1,1,1,,,,,1,1,,,,1,,,
1328,vt5_Tapiola,2020/04/07,2,"17 HA + AV",,,,,,,,,,1,,,1,,,,,,,,,,,
1328,vt5_Tapiola,2020/04/08,1,"11 HA-PA",1,,,,2,4,1,1,3,7,10,13,11,15,15,19,19,17,9,8,4,3,3,2
1328,vt5_Tapiola,2020/04/08,1,"12 KAIP",,,,,,,,,,1,,,,1,,,1,,1,,,,,
1328,vt5_Tapiola,2020/04/08,1,"15 KATP",1,1,1,1,1,2,,,,,3,1,1,,3,,,2,1,3,,,1,
1328,vt5_Tapiola,2020/04/08,1,"16 HA + PK",,,,,,,,1,,1,1,,,1,1,1,,1,1,1,1,1,1,1
1328,vt5_Tapiola,2020/04/08,1,"17 HA + AV",,,,,,,2,,,,1,,1,,,3,,1,,1,,,,
1328,vt5_Tapiola,2020/04/08,2,"11 HA-PA",,,,1,2,2,8,3,4,7,8,7,10,10,10,6,4,8,3,5,2,1,,
1328,vt5_Tapiola,2020/04/08,2,"12 KAIP",,1,1,,,,,,,1,1,2,,,,,,,,1,,,1,
1328,vt5_Tapiola,2020/04/08,2,"14 KAPP",,,,,,,,,,,,,,,,,,,,1,,,,
1328,vt5_Tapiola,2020/04/08,2,"15 KATP",,1,1,,,,2,2,2,,1,,1,,,1,,1,1,2,1,,,1
1328,vt5_Tapiola,2020/04/08,2,"16 HA + PK",,,,,,,,1,,,3,2,1,1,1,,,2,,,,,,
1328,vt5_Tapiola,2020/04/08,2,"17 HA + AV",,,,,,,,,,,,,1,,,,,1,,1,,,,
1328,vt5_Tapiola,2020/04/09,1,"11 HA-PA",4,2,,,,,1,3,3,5,3,14,14,16,27,22,31,24,26,23,18,12,11,3
1328,vt5_Tapiola,2020/04/09,1,"12 KAIP",,,,1,,,,,2,,,1,,,1,,1,,1,,1,,2,1
