"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1405,kt82_Misi,2020/04/01,1,"11 HA-PA",1,,,1,2,2,15,14,15,11,11,15,26,27,25,25,29,18,26,15,15,2,3,6
1405,kt82_Misi,2020/04/01,1,"12 KAIP",,,,,,,,3,,1,1,2,2,,1,1,1,1,,1,,,,
1405,kt82_Misi,2020/04/01,1,"13 Linja-autot",,,,,,,1,,,,,,,,,,,,1,,,,,
1405,kt82_Misi,2020/04/01,1,"14 KAPP",,,,,1,,,,1,,,,,,,,,1,,,1,,,
1405,kt82_Misi,2020/04/01,1,"15 KATP",,3,,1,1,6,5,4,6,5,3,4,3,2,4,2,1,6,1,4,4,3,2,2
1405,kt82_Misi,2020/04/01,1,"16 HA + PK",1,,,,,,,,2,3,3,,,2,1,,,3,1,1,1,1,,1
1405,kt82_Misi,2020/04/01,1,"17 HA + AV",,,,,,,,,,,,,,,1,1,,,,,,,,
1405,kt82_Misi,2020/04/01,2,"11 HA-PA",3,,,,1,5,22,26,18,15,23,22,21,14,20,25,29,18,19,10,6,7,,1
1405,kt82_Misi,2020/04/01,2,"12 KAIP",,,,,,,,,,,2,1,1,1,1,4,,1,,,,,,
1405,kt82_Misi,2020/04/01,2,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
1405,kt82_Misi,2020/04/01,2,"14 KAPP",,,,,,,,,,,,,,1,,,,,,1,,,,
1405,kt82_Misi,2020/04/01,2,"15 KATP",3,1,1,1,1,,1,1,3,9,3,4,7,4,9,3,5,,4,2,1,2,4,4
1405,kt82_Misi,2020/04/01,2,"16 HA + PK",,,,,,,,,,,,2,2,4,2,1,1,,1,,,1,,
1405,kt82_Misi,2020/04/01,2,"17 HA + AV",,,,,,,,1,,,1,1,1,,,,,,,,,,,
1405,kt82_Misi,2020/04/02,1,"11 HA-PA",2,2,,1,3,3,13,18,23,14,13,21,21,36,35,37,35,25,28,11,16,7,3,2
1405,kt82_Misi,2020/04/02,1,"12 KAIP",,,,,,,3,4,2,3,,,,,1,1,,1,1,,,,,
1405,kt82_Misi,2020/04/02,1,"13 Linja-autot",,,,,,,,1,,,,,,1,,1,1,,,,,,,
1405,kt82_Misi,2020/04/02,1,"14 KAPP",,,,,,,,,,,,,,,,,,,2,1,,,,
1405,kt82_Misi,2020/04/02,1,"15 KATP",2,1,1,1,2,6,3,2,3,1,3,6,,3,3,2,,4,3,5,4,3,,4
1405,kt82_Misi,2020/04/02,1,"16 HA + PK",1,,,,,,,,,,1,1,,1,,,1,,1,1,1,,1,
1405,kt82_Misi,2020/04/02,1,"17 HA + AV",,,,,,,,,,,,,,,1,1,,,,,1,1,,
1405,kt82_Misi,2020/04/02,2,"11 HA-PA",3,1,,,,9,13,21,22,13,23,29,28,23,18,29,29,19,19,14,8,8,1,1
1405,kt82_Misi,2020/04/02,2,"12 KAIP",,,,,,1,1,,1,1,,,1,1,3,1,2,,1,1,,,,
1405,kt82_Misi,2020/04/02,2,"13 Linja-autot",,,,,,,,,1,,,1,1,,,,,,,,,,,
1405,kt82_Misi,2020/04/02,2,"14 KAPP",,,,,,,,,1,,,,,,,,,,,,,,,
1405,kt82_Misi,2020/04/02,2,"15 KATP",2,3,1,1,1,3,2,4,3,4,4,3,1,5,4,1,4,4,1,1,2,6,1,3
1405,kt82_Misi,2020/04/02,2,"16 HA + PK",,,,,,,1,,,1,,,1,,1,5,1,1,1,2,,,,
1405,kt82_Misi,2020/04/02,2,"17 HA + AV",,,,,,,,,,,1,,,,,,,,,,,,,
1405,kt82_Misi,2020/04/03,1,"11 HA-PA",1,3,4,2,2,3,8,17,15,21,7,15,34,32,37,50,45,46,38,13,21,6,4,
1405,kt82_Misi,2020/04/03,1,"12 KAIP",,,,1,,,1,3,4,2,,1,1,2,1,,1,2,,,,,,
1405,kt82_Misi,2020/04/03,1,"13 Linja-autot",,,,,,,,,,,1,,,,,1,,,1,,,,,
1405,kt82_Misi,2020/04/03,1,"15 KATP",2,,1,,2,3,4,4,3,5,2,7,2,1,3,3,2,2,1,3,3,3,,4
1405,kt82_Misi,2020/04/03,1,"16 HA + PK",,,,,,,,,2,,1,1,3,1,1,2,3,6,4,1,1,,,
1405,kt82_Misi,2020/04/03,1,"17 HA + AV",,,,,,,,,,,1,,,,2,1,1,,1,,,1,,
1405,kt82_Misi,2020/04/03,2,"11 HA-PA",3,,,,,7,14,13,15,15,21,20,19,28,30,35,21,19,21,10,5,8,1,1
