"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1453,vt4_Siikalahti,2020/04/01,1,"11 HA-PA",12,13,10,4,19,84,223,183,142,117,130,157,156,171,187,174,158,143,146,91,66,56,25,21
1453,vt4_Siikalahti,2020/04/01,1,"12 KAIP",2,,1,2,1,3,5,5,6,7,7,2,2,2,5,5,4,7,1,3,2,2,1,1
1453,vt4_Siikalahti,2020/04/01,1,"13 Linja-autot",,,,,,,,,,1,,1,,,,,,1,,,,,,
1453,vt4_Siikalahti,2020/04/01,1,"14 KAPP",1,,1,,,1,4,1,3,4,4,7,11,3,11,8,5,5,6,3,5,5,2,2
1453,vt4_Siikalahti,2020/04/01,1,"15 KATP",10,12,10,14,17,16,22,25,23,25,24,19,29,20,15,18,22,19,21,22,14,13,9,7
1453,vt4_Siikalahti,2020/04/01,1,"16 HA + PK",1,,,,,,3,1,4,1,5,2,5,8,7,7,6,1,3,5,3,4,1,1
1453,vt4_Siikalahti,2020/04/01,1,"17 HA + AV",,,,,,,,2,1,2,2,2,1,1,1,1,1,,,,,,,
1453,vt4_Siikalahti,2020/04/01,2,"11 HA-PA",14,15,9,8,15,41,114,100,96,121,129,144,172,185,208,299,243,180,142,101,65,63,44,6
1453,vt4_Siikalahti,2020/04/01,2,"12 KAIP",,,,,,1,5,4,6,11,3,7,6,5,3,7,6,4,5,,,2,2,1
1453,vt4_Siikalahti,2020/04/01,2,"13 Linja-autot",,,,,,,,1,,,1,,,1,1,1,1,,1,,,,,
1453,vt4_Siikalahti,2020/04/01,2,"14 KAPP",1,1,,2,,,3,1,4,5,6,4,13,9,16,7,9,10,3,7,5,6,3,1
1453,vt4_Siikalahti,2020/04/01,2,"15 KATP",4,7,8,3,3,13,11,20,24,26,26,29,30,22,27,24,31,21,20,21,19,15,11,8
1453,vt4_Siikalahti,2020/04/01,2,"16 HA + PK",2,,,,,,4,3,1,8,2,8,5,2,9,9,5,6,7,2,2,2,,
1453,vt4_Siikalahti,2020/04/01,2,"17 HA + AV",,,,,1,,,1,1,,,,,1,1,1,1,,,1,1,,,1
1453,vt4_Siikalahti,2020/04/02,1,"11 HA-PA",19,12,9,4,14,80,226,199,125,97,129,166,144,162,199,170,176,160,166,118,89,39,29,25
1453,vt4_Siikalahti,2020/04/02,1,"12 KAIP",1,3,,1,4,2,6,8,9,7,10,10,3,3,8,4,8,7,3,3,2,2,,1
1453,vt4_Siikalahti,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,,1,,1,,,,1,,,,,,
1453,vt4_Siikalahti,2020/04/02,1,"14 KAPP",,2,5,2,1,1,,7,12,10,13,12,4,7,10,6,4,7,8,1,2,2,,
1453,vt4_Siikalahti,2020/04/02,1,"15 KATP",7,12,10,12,17,19,12,26,25,28,34,19,22,17,13,17,23,16,13,18,19,6,12,11
1453,vt4_Siikalahti,2020/04/02,1,"16 HA + PK",,,,,,2,,2,5,2,4,8,5,7,5,9,9,6,5,4,2,2,1,1
1453,vt4_Siikalahti,2020/04/02,1,"17 HA + AV",,,,,,1,1,2,1,2,,4,2,1,1,,1,2,2,2,,,,
1453,vt4_Siikalahti,2020/04/02,2,"11 HA-PA",13,11,7,8,19,30,97,88,81,114,117,149,193,177,221,317,277,187,130,100,68,65,46,14
1453,vt4_Siikalahti,2020/04/02,2,"12 KAIP",,,,,1,2,9,3,6,4,9,11,6,3,6,9,5,9,3,1,3,2,,1
1453,vt4_Siikalahti,2020/04/02,2,"13 Linja-autot",,,,,,,1,,,,2,,1,3,,,,,1,,,,,
1453,vt4_Siikalahti,2020/04/02,2,"14 KAPP",1,,1,1,3,1,1,3,6,10,12,9,11,15,9,8,8,8,7,6,2,1,,1
1453,vt4_Siikalahti,2020/04/02,2,"15 KATP",2,4,8,7,4,6,14,22,31,14,32,18,27,32,24,31,20,20,19,23,15,15,13,4
1453,vt4_Siikalahti,2020/04/02,2,"16 HA + PK",,1,,,,1,1,2,2,4,5,7,7,6,11,7,5,5,8,4,2,,2,
1453,vt4_Siikalahti,2020/04/02,2,"17 HA + AV",,,,,,,,,,,,2,,1,2,3,,1,1,,,,1,
1453,vt4_Siikalahti,2020/04/03,1,"11 HA-PA",18,9,3,6,18,78,204,176,116,115,155,175,185,215,181,240,180,189,181,131,96,74,51,45
1453,vt4_Siikalahti,2020/04/03,1,"12 KAIP",2,1,1,,2,2,2,7,4,3,8,6,1,,1,4,3,9,2,1,3,1,,2
1453,vt4_Siikalahti,2020/04/03,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,,,,,,,
1453,vt4_Siikalahti,2020/04/03,1,"14 KAPP",1,,1,3,1,,3,7,3,5,11,7,7,4,5,2,1,3,4,5,1,3,1,1
1453,vt4_Siikalahti,2020/04/03,1,"15 KATP",10,6,11,12,11,19,19,14,21,24,21,18,17,14,8,16,10,12,8,8,4,13,5,7
1453,vt4_Siikalahti,2020/04/03,1,"16 HA + PK",,,1,,,2,2,2,6,4,5,5,9,10,11,7,6,9,7,3,6,4,5,1
1453,vt4_Siikalahti,2020/04/03,1,"17 HA + AV",,,,,,,,3,1,,,2,1,1,,1,,1,,,,1,,
1453,vt4_Siikalahti,2020/04/03,2,"11 HA-PA",13,10,6,4,13,32,89,84,83,111,158,170,203,224,278,341,282,198,169,130,82,79,35,22
1453,vt4_Siikalahti,2020/04/03,2,"12 KAIP",,,1,,1,1,2,2,5,8,2,6,7,7,6,9,6,4,3,2,,3,1,1
1453,vt4_Siikalahti,2020/04/03,2,"13 Linja-autot",,,,,,,,1,,,1,,,1,,1,,3,1,,,,,
1453,vt4_Siikalahti,2020/04/03,2,"14 KAPP",2,1,1,,1,1,1,,5,4,8,7,15,11,9,9,7,6,9,4,2,4,1,
1453,vt4_Siikalahti,2020/04/03,2,"15 KATP",2,6,8,2,3,6,16,11,26,21,12,22,18,20,22,20,17,19,10,17,11,7,5,3
1453,vt4_Siikalahti,2020/04/03,2,"16 HA + PK",,,,,,1,1,1,,8,5,4,7,6,11,6,12,7,7,2,2,2,3,
1453,vt4_Siikalahti,2020/04/03,2,"17 HA + AV",,,,,,,2,,1,1,,2,,1,2,1,1,1,,,,,,
1453,vt4_Siikalahti,2020/04/04,1,"11 HA-PA",16,20,7,7,22,29,75,42,58,73,98,143,168,182,194,178,165,159,118,94,83,62,36,31
1453,vt4_Siikalahti,2020/04/04,1,"12 KAIP",,,1,1,1,1,3,1,,1,2,2,3,2,,,,,4,1,1,,2,
1453,vt4_Siikalahti,2020/04/04,1,"13 Linja-autot",,,,,,,,,,,,,4,,,,,,1,1,,,,
1453,vt4_Siikalahti,2020/04/04,1,"14 KAPP",,,1,1,1,,2,1,5,2,3,2,1,3,2,2,,1,1,2,2,1,4,
1453,vt4_Siikalahti,2020/04/04,1,"15 KATP",6,3,5,5,7,8,2,4,3,7,7,7,6,5,6,6,4,6,6,6,6,2,3,
1453,vt4_Siikalahti,2020/04/04,1,"16 HA + PK",1,,,,1,1,3,1,5,5,7,14,9,6,8,13,8,8,4,7,4,,2,1
1453,vt4_Siikalahti,2020/04/04,1,"17 HA + AV",,,,1,,,,1,1,,2,,,,,2,,,4,,2,1,,
1453,vt4_Siikalahti,2020/04/04,2,"11 HA-PA",27,25,7,7,11,17,49,51,62,107,137,145,189,228,187,161,148,115,110,100,55,57,28,27
1453,vt4_Siikalahti,2020/04/04,2,"12 KAIP",,,,,,2,,,,3,,3,2,4,5,1,1,1,,1,,,,1
1453,vt4_Siikalahti,2020/04/04,2,"13 Linja-autot",,,,,,,,,,,,1,1,1,2,,,,2,,,,,
1453,vt4_Siikalahti,2020/04/04,2,"14 KAPP",2,2,1,,1,,3,3,1,4,6,4,4,,4,3,2,7,,2,1,2,,2
1453,vt4_Siikalahti,2020/04/04,2,"15 KATP",3,6,1,3,1,2,3,6,7,7,6,7,8,9,9,7,6,5,5,1,2,9,4,5
1453,vt4_Siikalahti,2020/04/04,2,"16 HA + PK",,,,,,,1,2,10,9,10,15,13,6,9,11,7,3,8,4,2,1,2,
1453,vt4_Siikalahti,2020/04/04,2,"17 HA + AV",,,1,,,1,1,,,,,3,1,,,1,1,1,1,1,,,,
1453,vt4_Siikalahti,2020/04/05,1,"11 HA-PA",26,20,13,7,11,17,47,30,26,34,73,86,139,145,182,164,189,194,167,137,96,73,30,24
1453,vt4_Siikalahti,2020/04/05,1,"12 KAIP",1,,,,,,1,,1,1,,2,1,1,,2,,1,3,1,,,,
1453,vt4_Siikalahti,2020/04/05,1,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
1453,vt4_Siikalahti,2020/04/05,1,"14 KAPP",1,,,,,,,1,4,,4,4,3,5,7,2,2,6,5,6,4,4,3,
1453,vt4_Siikalahti,2020/04/05,1,"15 KATP",1,,2,1,4,1,2,2,6,6,,5,8,5,9,4,9,10,12,9,18,9,6,6
1453,vt4_Siikalahti,2020/04/05,1,"16 HA + PK",,,1,,,,1,1,1,2,6,4,5,9,5,10,11,7,4,2,11,,3,1
1453,vt4_Siikalahti,2020/04/05,1,"17 HA + AV",,,,,,,1,,,,1,1,,,2,,1,,1,,,,,
1453,vt4_Siikalahti,2020/04/05,2,"11 HA-PA",20,21,10,9,10,17,40,24,45,57,93,136,164,178,156,166,175,156,132,118,68,60,34,8
1453,vt4_Siikalahti,2020/04/05,2,"12 KAIP",,,,,,,,,,1,2,,,1,1,2,3,2,1,,1,,,
1453,vt4_Siikalahti,2020/04/05,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,2,,,,,1
1453,vt4_Siikalahti,2020/04/05,2,"14 KAPP",1,,1,1,1,,,1,,1,1,2,2,3,2,1,2,3,,2,2,,2,
1453,vt4_Siikalahti,2020/04/05,2,"15 KATP",1,1,,,3,,3,3,7,3,2,8,7,5,6,8,13,4,3,2,9,9,4,2
1453,vt4_Siikalahti,2020/04/05,2,"16 HA + PK",,1,,1,,,1,2,3,3,3,14,11,5,8,15,14,17,11,4,2,5,,
1453,vt4_Siikalahti,2020/04/05,2,"17 HA + AV",,,,,,,,,,,1,,,1,4,1,,,4,,1,1,,
1453,vt4_Siikalahti,2020/04/06,1,"11 HA-PA",13,9,8,6,23,93,216,213,135,145,125,137,164,182,150,178,158,127,123,110,75,55,35,26
1453,vt4_Siikalahti,2020/04/06,1,"12 KAIP",,1,1,2,4,4,5,8,7,5,3,4,8,5,7,7,5,6,,,2,4,,
