"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
146,st101_Länsi-Pakila,2020/04/01,1,"11 HA-PA",158,83,83,56,120,488,2141,2395,2021,1723,1646,1836,2047,2282,2939,4061,3300,2601,2012,1452,1189,891,503,337
146,st101_Länsi-Pakila,2020/04/01,1,"12 KAIP",7,6,9,11,11,28,63,85,96,103,118,111,105,112,101,102,64,41,22,29,21,14,14,7
146,st101_Länsi-Pakila,2020/04/01,1,"13 Linja-autot",2,,,,3,10,10,11,3,6,5,5,4,6,9,8,6,5,7,3,3,3,4,3
146,st101_Länsi-Pakila,2020/04/01,1,"14 KAPP",1,1,3,1,3,4,25,15,31,59,56,27,29,23,26,57,71,18,14,7,10,8,48,27
146,st101_Länsi-Pakila,2020/04/01,1,"15 KATP",5,3,,5,3,5,24,19,21,23,38,27,20,26,32,15,12,11,9,9,5,3,3,8
146,st101_Länsi-Pakila,2020/04/01,1,"16 HA + PK",1,,,1,,,9,11,12,15,9,10,17,17,19,19,11,18,14,9,12,2,1,
146,st101_Länsi-Pakila,2020/04/01,1,"17 HA + AV",,1,1,,1,,2,6,6,5,5,4,3,4,10,9,5,1,1,3,,1,1,
146,st101_Länsi-Pakila,2020/04/01,2,"11 HA-PA",168,85,58,61,116,842,3075,2878,2192,1697,1565,1831,1837,2014,2575,3405,3029,2344,1883,1541,1162,801,583,295
146,st101_Länsi-Pakila,2020/04/01,2,"12 KAIP",10,8,6,8,20,50,127,118,136,129,121,121,119,98,117,81,60,44,29,28,24,14,5,12
146,st101_Länsi-Pakila,2020/04/01,2,"13 Linja-autot",,,,,2,4,6,3,2,6,3,2,2,2,3,4,3,8,4,2,4,2,3,2
146,st101_Länsi-Pakila,2020/04/01,2,"14 KAPP",4,4,,2,1,8,27,46,28,17,24,28,36,48,34,24,27,26,20,16,24,10,8,7
146,st101_Länsi-Pakila,2020/04/01,2,"15 KATP",3,2,5,2,3,9,22,21,20,24,32,26,27,32,21,17,11,11,8,3,5,2,2,2
146,st101_Länsi-Pakila,2020/04/01,2,"16 HA + PK",,,,,,1,7,9,12,13,13,7,13,20,20,15,17,17,12,5,7,1,4,
146,st101_Länsi-Pakila,2020/04/01,2,"17 HA + AV",3,,,,,,5,4,6,4,5,2,6,3,2,4,8,6,3,3,1,1,1,
146,st101_Länsi-Pakila,2020/04/02,1,"11 HA-PA",161,101,72,73,119,532,2099,2438,1926,1574,1602,1790,2034,2293,2945,4112,3409,2575,2052,1560,1145,841,519,319
146,st101_Länsi-Pakila,2020/04/02,1,"12 KAIP",6,7,11,7,13,29,46,92,99,119,109,74,121,115,109,98,62,49,34,21,17,14,12,8
146,st101_Länsi-Pakila,2020/04/02,1,"13 Linja-autot",1,1,1,,4,10,13,11,3,6,5,4,3,8,6,6,7,9,4,3,2,5,3,3
146,st101_Länsi-Pakila,2020/04/02,1,"14 KAPP",4,3,1,1,3,6,21,23,44,33,55,37,25,16,19,49,50,15,10,9,6,9,34,14
146,st101_Länsi-Pakila,2020/04/02,1,"15 KATP",3,3,,5,4,6,23,24,19,15,33,24,32,26,19,14,13,6,8,7,5,3,9,6
146,st101_Länsi-Pakila,2020/04/02,1,"16 HA + PK",,,1,,,,6,12,14,16,13,13,20,13,17,19,18,17,9,10,11,4,,1
146,st101_Länsi-Pakila,2020/04/02,1,"17 HA + AV",,1,,,,1,4,4,8,5,1,2,7,5,9,6,4,1,3,1,,,,1
146,st101_Länsi-Pakila,2020/04/02,2,"11 HA-PA",162,93,68,77,135,857,3144,2764,2072,1719,1587,1764,1946,1991,2508,3294,2979,2373,1971,1577,1149,732,539,312
146,st101_Länsi-Pakila,2020/04/02,2,"12 KAIP",8,5,6,4,19,41,124,137,121,105,124,103,116,106,94,85,72,44,33,28,19,11,6,7
146,st101_Länsi-Pakila,2020/04/02,2,"13 Linja-autot",,,,,1,3,3,5,3,5,2,2,2,2,2,4,3,6,6,1,4,3,2,2
146,st101_Länsi-Pakila,2020/04/02,2,"14 KAPP",2,4,5,2,2,8,32,50,38,30,27,20,37,31,36,25,29,26,24,26,20,6,10,6
146,st101_Länsi-Pakila,2020/04/02,2,"15 KATP",,8,4,3,7,7,23,22,25,23,21,27,17,24,20,20,8,9,6,4,9,2,8,
146,st101_Länsi-Pakila,2020/04/02,2,"16 HA + PK",,,,,,1,13,14,8,21,16,16,19,13,17,12,15,9,17,16,3,5,2,
146,st101_Länsi-Pakila,2020/04/02,2,"17 HA + AV",1,,,,,,7,8,4,5,5,1,7,3,2,3,5,4,2,3,1,,,1
146,st101_Länsi-Pakila,2020/04/03,1,"11 HA-PA",155,107,83,63,110,503,1885,2371,1868,1593,1616,1862,2121,2373,3243,3823,3205,2515,1906,1503,1163,824,586,394
146,st101_Länsi-Pakila,2020/04/03,1,"12 KAIP",8,7,5,6,11,30,74,76,105,94,110,85,119,104,95,60,47,27,24,18,12,12,11,9
146,st101_Länsi-Pakila,2020/04/03,1,"13 Linja-autot",,,,,6,9,14,9,5,5,4,5,3,8,6,6,5,5,5,5,3,2,2,1
146,st101_Länsi-Pakila,2020/04/03,1,"14 KAPP",7,3,,3,,12,12,15,38,18,46,27,21,12,26,28,25,17,10,7,4,4,9,3
146,st101_Länsi-Pakila,2020/04/03,1,"15 KATP",5,4,3,5,6,6,17,14,18,29,24,21,21,24,11,17,12,4,4,4,1,1,2,6
146,st101_Länsi-Pakila,2020/04/03,1,"16 HA + PK",1,,,,,1,3,6,12,10,13,21,16,17,16,12,19,20,10,8,2,2,2,1
146,st101_Länsi-Pakila,2020/04/03,1,"17 HA + AV",1,1,1,,2,1,3,5,6,1,5,5,5,5,6,6,4,5,1,2,,1,,2
146,st101_Länsi-Pakila,2020/04/03,2,"11 HA-PA",153,101,75,64,145,803,2807,2760,1989,1604,1581,1692,1991,2251,2641,3215,2982,2455,1862,1471,1058,813,602,346
146,st101_Länsi-Pakila,2020/04/03,2,"12 KAIP",6,7,7,7,24,48,122,125,124,111,123,109,107,113,86,66,42,35,27,14,13,20,7,6
146,st101_Länsi-Pakila,2020/04/03,2,"13 Linja-autot",2,,,,2,4,4,4,3,3,1,1,2,,1,5,3,8,3,1,1,1,,2
146,st101_Länsi-Pakila,2020/04/03,2,"14 KAPP",3,4,,5,5,5,36,37,45,17,24,24,26,36,35,21,26,37,18,16,13,8,4,7
146,st101_Länsi-Pakila,2020/04/03,2,"15 KATP",3,1,5,6,4,14,17,19,20,17,27,25,16,20,14,14,7,3,2,2,2,,4,1
146,st101_Länsi-Pakila,2020/04/03,2,"16 HA + PK",,,,,,4,8,16,19,11,16,6,14,12,16,20,10,17,6,12,3,2,1,
146,st101_Länsi-Pakila,2020/04/03,2,"17 HA + AV",,,,1,,2,2,6,3,5,2,5,6,1,10,4,1,5,1,3,2,1,1,1
146,st101_Länsi-Pakila,2020/04/04,1,"11 HA-PA",264,205,123,90,102,192,391,483,588,982,1322,1704,2143,2362,2353,2273,2016,1756,1459,1132,1021,755,555,362
146,st101_Länsi-Pakila,2020/04/04,1,"12 KAIP",3,5,1,6,4,5,9,13,13,17,23,14,15,11,14,17,16,9,7,5,4,,7,3
146,st101_Länsi-Pakila,2020/04/04,1,"13 Linja-autot",1,,,,2,2,2,2,2,1,2,2,3,3,2,1,2,2,3,3,3,2,1,2
146,st101_Länsi-Pakila,2020/04/04,1,"14 KAPP",1,4,1,2,2,3,,5,2,6,7,2,1,6,3,3,11,2,,1,5,5,5,22
146,st101_Länsi-Pakila,2020/04/04,1,"15 KATP",3,3,3,1,1,4,1,3,1,2,,1,1,2,3,2,2,,1,,3,2,1,
146,st101_Länsi-Pakila,2020/04/04,1,"16 HA + PK",,,,,,1,,3,7,7,10,21,11,16,18,17,16,6,7,9,4,3,,
146,st101_Länsi-Pakila,2020/04/04,1,"17 HA + AV",,,,,,,1,,1,1,1,,2,4,4,5,,1,,1,,,,
146,st101_Länsi-Pakila,2020/04/04,2,"11 HA-PA",267,188,120,98,119,179,540,522,532,967,1284,1755,1984,2177,2314,2271,2125,1823,1530,1139,947,791,581,372
146,st101_Länsi-Pakila,2020/04/04,2,"12 KAIP",6,4,5,6,8,14,21,25,18,16,13,25,23,18,14,13,14,13,4,7,2,4,3,1
146,st101_Länsi-Pakila,2020/04/04,2,"13 Linja-autot",,,,,1,,1,1,,1,1,2,1,1,2,2,1,,1,1,,1,1,2
146,st101_Länsi-Pakila,2020/04/04,2,"14 KAPP",6,,1,4,6,3,15,26,20,4,5,6,9,13,11,6,5,2,5,3,,2,2,1
146,st101_Länsi-Pakila,2020/04/04,2,"15 KATP",2,3,5,3,2,,4,3,1,2,,4,3,3,1,1,,1,1,2,,,1,
146,st101_Länsi-Pakila,2020/04/04,2,"16 HA + PK",,,,,,,1,5,4,10,16,8,22,15,20,13,13,12,6,5,7,2,1,1
146,st101_Länsi-Pakila,2020/04/04,2,"17 HA + AV",,,,,,,2,,1,,1,3,,6,,2,2,4,2,1,2,,1,1
146,st101_Länsi-Pakila,2020/04/05,1,"11 HA-PA",270,213,169,106,68,127,238,300,343,591,972,1436,1794,2016,2225,2123,2001,1787,1555,1270,1004,736,425,243
146,st101_Länsi-Pakila,2020/04/05,1,"12 KAIP",1,3,1,,,1,1,1,3,5,9,15,7,15,6,19,17,6,7,10,8,6,10,6
146,st101_Länsi-Pakila,2020/04/05,1,"13 Linja-autot",1,,,,,2,2,2,3,4,3,,2,2,1,2,3,3,2,3,2,2,2,3
146,st101_Länsi-Pakila,2020/04/05,1,"14 KAPP",,,,,,2,1,1,1,3,26,6,,6,2,36,45,1,3,4,2,5,35,19
146,st101_Länsi-Pakila,2020/04/05,1,"15 KATP",,,,,,,,,,,2,1,1,,,2,6,2,,2,4,,1,2
146,st101_Länsi-Pakila,2020/04/05,1,"16 HA + PK",,1,1,,,,,1,2,4,5,14,11,12,13,11,14,10,11,10,5,4,2,
146,st101_Länsi-Pakila,2020/04/05,1,"17 HA + AV",,,,,,,,,1,,1,,2,,1,1,1,2,1,1,,1,,
146,st101_Länsi-Pakila,2020/04/05,2,"11 HA-PA",275,184,160,102,83,128,303,317,316,596,970,1393,1757,1978,2042,2020,2036,1909,1804,1304,972,704,451,242
146,st101_Länsi-Pakila,2020/04/05,2,"12 KAIP",3,3,1,1,,7,12,5,5,4,8,9,9,17,8,14,6,8,7,10,13,8,7,9
146,st101_Länsi-Pakila,2020/04/05,2,"13 Linja-autot",,,,,,,2,1,,,,1,1,,,1,,1,1,,1,,,2
146,st101_Länsi-Pakila,2020/04/05,2,"14 KAPP",2,,2,1,3,,4,4,2,3,,4,9,8,7,5,4,4,4,5,13,6,5,4
146,st101_Länsi-Pakila,2020/04/05,2,"15 KATP",2,,,,,,,,1,,1,,,4,1,2,1,,2,1,4,2,6,2
146,st101_Länsi-Pakila,2020/04/05,2,"16 HA + PK",2,,,,,1,,2,3,3,9,11,18,17,9,13,9,14,9,10,2,3,,2
146,st101_Länsi-Pakila,2020/04/05,2,"17 HA + AV",,,,,,,1,,1,,2,2,2,2,2,1,2,,,2,,2,1,1
146,st101_Länsi-Pakila,2020/04/06,1,"11 HA-PA",156,109,61,55,121,510,2206,2471,2086,1707,1638,1811,1988,2245,2898,4106,3374,2544,1983,1480,1099,840,517,305
146,st101_Länsi-Pakila,2020/04/06,1,"12 KAIP",6,9,7,4,20,20,59,94,87,123,108,115,135,134,106,90,61,54,29,24,23,12,14,10
146,st101_Länsi-Pakila,2020/04/06,1,"13 Linja-autot",1,,,,4,11,12,11,5,5,4,3,3,7,10,9,7,7,6,4,3,5,2,3
146,st101_Länsi-Pakila,2020/04/06,1,"14 KAPP",5,2,6,1,2,4,18,28,60,45,57,18,30,17,18,49,45,34,11,6,6,8,39,17
146,st101_Länsi-Pakila,2020/04/06,1,"15 KATP",5,3,1,3,12,4,24,21,26,33,33,22,21,27,18,21,10,15,9,10,2,4,7,8
146,st101_Länsi-Pakila,2020/04/06,1,"16 HA + PK",2,,,,,1,12,14,18,15,12,16,14,20,17,22,23,14,19,9,8,3,,1
146,st101_Länsi-Pakila,2020/04/06,1,"17 HA + AV",1,,,,1,2,5,5,5,6,3,1,10,6,8,5,6,3,4,,1,1,,1
146,st101_Länsi-Pakila,2020/04/06,2,"11 HA-PA",157,85,76,73,133,860,3174,2906,2194,1809,1603,1766,1915,2070,2470,3330,3087,2358,1910,1506,1100,739,497,253
146,st101_Länsi-Pakila,2020/04/06,2,"12 KAIP",10,2,7,8,18,50,126,121,134,101,117,115,121,119,104,82,65,31,33,26,18,20,9,8
146,st101_Länsi-Pakila,2020/04/06,2,"13 Linja-autot",2,,,,3,6,4,5,3,2,4,1,1,2,2,3,2,8,2,2,4,2,3,1
146,st101_Länsi-Pakila,2020/04/06,2,"14 KAPP",3,3,1,1,3,5,25,31,25,27,25,22,22,38,32,18,18,13,18,20,16,5,6,5
146,st101_Länsi-Pakila,2020/04/06,2,"15 KATP",2,,4,4,8,24,20,15,22,23,29,28,22,25,29,17,15,7,4,5,7,7,3,7
146,st101_Länsi-Pakila,2020/04/06,2,"16 HA + PK",1,,,1,1,2,11,11,18,24,13,15,17,14,18,20,13,12,6,12,4,7,2,
146,st101_Länsi-Pakila,2020/04/06,2,"17 HA + AV",,,,,,2,7,6,7,4,5,7,10,4,4,4,4,3,4,2,1,3,,1
146,st101_Länsi-Pakila,2020/04/07,1,"11 HA-PA",182,84,84,77,121,567,2174,2561,2000,1752,1826,1962,2208,2340,3054,4128,3393,2651,2148,1470,1128,826,539,287
146,st101_Länsi-Pakila,2020/04/07,1,"12 KAIP",8,7,11,6,10,26,66,99,111,124,116,108,112,136,117,91,85,49,33,16,20,12,17,5
146,st101_Länsi-Pakila,2020/04/07,1,"13 Linja-autot",,1,,,1,6,14,7,5,4,3,2,3,6,10,5,6,7,4,3,2,3,1,3
146,st101_Länsi-Pakila,2020/04/07,1,"14 KAPP",3,3,3,2,5,5,16,15,54,37,61,29,36,20,24,71,58,12,9,12,7,6,46,20
146,st101_Länsi-Pakila,2020/04/07,1,"15 KATP",7,,3,2,7,7,24,20,18,28,27,22,17,30,23,24,13,10,2,12,4,3,6,4
