"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1605,vt1_Hauklampi,2020/04/01,1,"11 HA-PA",7,2,2,1,2,18,58,78,60,55,46,59,67,84,99,141,163,115,76,51,42,22,25,23
1605,vt1_Hauklampi,2020/04/01,1,"12 KAIP",1,3,1,1,3,3,6,6,6,8,11,12,15,9,10,14,13,4,6,2,5,2,4,2
1605,vt1_Hauklampi,2020/04/01,1,"13 Linja-autot",,,,,,,,,,1,1,,,1,,,,1,,1,1,1,,
1605,vt1_Hauklampi,2020/04/01,1,"14 KAPP",3,1,6,3,5,1,5,13,15,19,22,23,17,16,23,29,21,25,22,11,4,3,7,4
1605,vt1_Hauklampi,2020/04/01,1,"15 KATP",20,10,11,11,6,9,11,20,25,19,28,23,26,20,26,28,33,24,22,13,8,9,14,14
1605,vt1_Hauklampi,2020/04/01,1,"16 HA + PK",,,,,,,,,,,,1,,2,5,2,1,3,,1,2,,1,1
1605,vt1_Hauklampi,2020/04/01,1,"17 HA + AV",,,,3,,,1,,1,1,,1,1,1,4,3,2,,1,2,,,1,
1605,vt1_Hauklampi,2020/04/01,2,"11 HA-PA",6,4,6,5,17,122,141,113,97,74,61,71,68,61,62,65,91,73,68,48,28,27,4,7
1605,vt1_Hauklampi,2020/04/01,2,"12 KAIP",2,3,,2,1,4,9,10,13,13,8,10,8,8,7,3,10,5,3,6,1,4,,
1605,vt1_Hauklampi,2020/04/01,2,"13 Linja-autot",,,,,,,,1,1,1,,,,,1,1,1,1,2,,,1,,
1605,vt1_Hauklampi,2020/04/01,2,"14 KAPP",6,1,1,3,2,6,3,11,28,61,28,21,24,17,13,16,20,7,10,7,13,61,16,3
1605,vt1_Hauklampi,2020/04/01,2,"15 KATP",8,7,7,4,7,11,14,15,26,66,29,33,23,22,26,24,24,23,14,12,15,34,20,14
1605,vt1_Hauklampi,2020/04/01,2,"16 HA + PK",,,,,,1,1,6,4,1,1,1,2,,1,2,,1,1,1,1,,,
1605,vt1_Hauklampi,2020/04/01,2,"17 HA + AV",,,,,,1,,3,,,,1,,1,2,1,1,,2,,1,,,
1605,vt1_Hauklampi,2020/04/02,1,"11 HA-PA",9,5,5,,3,19,53,62,62,53,42,69,72,71,104,162,179,142,109,49,41,34,20,9
1605,vt1_Hauklampi,2020/04/02,1,"12 KAIP",2,1,1,3,3,,1,11,5,7,4,4,7,9,14,16,10,4,3,3,3,2,3,1
1605,vt1_Hauklampi,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,2,,,1,,,1,,,,,,1,
1605,vt1_Hauklampi,2020/04/02,1,"14 KAPP",5,5,4,2,3,5,6,9,14,17,13,18,21,19,17,32,20,18,14,10,4,9,16,4
1605,vt1_Hauklampi,2020/04/02,1,"15 KATP",9,19,13,11,4,8,11,14,17,19,30,13,30,30,24,32,30,20,21,19,15,11,11,15
1605,vt1_Hauklampi,2020/04/02,1,"16 HA + PK",,,,,,,,,1,1,2,,1,2,3,1,1,6,,2,1,,,
1605,vt1_Hauklampi,2020/04/02,1,"17 HA + AV",,,,,,,1,1,,,1,,1,2,1,3,1,1,1,2,1,1,,
