"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
164,vt3_Kivihaka,2020/04/01,1,"11 HA-PA",63,41,41,24,31,94,323,596,543,538,645,675,783,790,1128,1603,1203,934,698,518,444,328,204,129
164,vt3_Kivihaka,2020/04/01,1,"12 KAIP",1,3,1,2,5,11,26,34,50,47,48,43,45,50,47,50,26,15,16,9,10,8,8,2
164,vt3_Kivihaka,2020/04/01,1,"13 Linja-autot",11,7,,,21,42,43,40,28,25,20,17,24,24,32,32,35,28,27,18,16,17,15,13
164,vt3_Kivihaka,2020/04/01,1,"14 KAPP",3,,1,1,1,7,4,7,7,6,2,4,8,10,6,3,3,3,,3,2,2,3,1
164,vt3_Kivihaka,2020/04/01,1,"15 KATP",1,,1,,1,2,2,5,7,4,7,7,5,5,8,11,6,4,3,2,2,3,3,1
164,vt3_Kivihaka,2020/04/01,1,"16 HA + PK",1,1,,,,,4,5,8,8,9,10,14,12,14,9,4,7,4,3,7,,2,1
164,vt3_Kivihaka,2020/04/01,1,"17 HA + AV",,,1,,,,2,3,2,2,3,2,5,5,7,7,1,6,1,,1,3,,3
164,vt3_Kivihaka,2020/04/01,2,"11 HA-PA",61,39,34,29,78,393,1435,1235,972,745,599,678,707,656,726,778,750,665,528,502,378,241,156,73
164,vt3_Kivihaka,2020/04/01,2,"12 KAIP",5,5,2,3,4,25,57,75,46,56,55,50,43,32,29,21,25,11,13,15,7,10,7,14
164,vt3_Kivihaka,2020/04/01,2,"13 Linja-autot",,2,2,,,6,13,22,14,17,13,6,8,10,12,15,12,20,24,6,6,5,8,7
164,vt3_Kivihaka,2020/04/01,2,"14 KAPP",10,4,3,,1,5,11,6,9,12,9,7,7,7,3,8,6,11,12,11,3,8,7,8
164,vt3_Kivihaka,2020/04/01,2,"15 KATP",,,,1,1,3,5,3,7,4,6,2,2,4,3,3,1,,1,,1,,,
164,vt3_Kivihaka,2020/04/01,2,"16 HA + PK",,,,,,1,5,2,3,5,2,6,2,4,1,3,5,5,3,1,1,,,
164,vt3_Kivihaka,2020/04/01,2,"17 HA + AV",2,2,1,,,3,10,7,8,5,7,5,7,5,5,5,5,8,5,5,10,4,5,3
164,vt3_Kivihaka,2020/04/02,1,"11 HA-PA",69,38,42,25,28,95,311,569,580,515,576,715,713,855,1142,1532,1242,936,687,522,473,338,195,100
164,vt3_Kivihaka,2020/04/02,1,"12 KAIP",1,1,1,2,7,15,19,28,44,33,49,40,48,57,46,36,23,19,17,8,12,14,9,2
164,vt3_Kivihaka,2020/04/02,1,"13 Linja-autot",10,7,,1,21,36,44,40,27,24,19,15,19,19,36,27,32,21,22,14,17,14,11,11
164,vt3_Kivihaka,2020/04/02,1,"14 KAPP",2,,1,1,2,4,7,6,3,6,8,5,2,5,7,7,3,4,3,5,4,1,3,2
164,vt3_Kivihaka,2020/04/02,1,"15 KATP",,,2,,2,2,4,11,7,8,9,4,9,6,5,9,6,2,3,4,1,3,,1
164,vt3_Kivihaka,2020/04/02,1,"16 HA + PK",1,,1,,,1,3,6,8,7,9,12,11,9,14,12,8,3,2,3,3,3,1,
164,vt3_Kivihaka,2020/04/02,1,"17 HA + AV",1,,1,,,4,3,3,4,3,8,7,6,4,3,7,4,7,3,4,3,1,1,2
