"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
189,vt7_Loviisa_Itä,2020/04/01,1,"11 HA-PA",4,5,1,3,3,10,59,76,56,24,41,31,45,48,67,147,114,63,53,35,24,18,25,13
189,vt7_Loviisa_Itä,2020/04/01,1,"12 KAIP",,,1,,1,5,5,11,7,4,8,5,3,4,5,11,9,4,4,1,2,1,2,1
189,vt7_Loviisa_Itä,2020/04/01,1,"13 Linja-autot",,,,,,,1,1,,,1,,,,1,1,,1,,,,,,
189,vt7_Loviisa_Itä,2020/04/01,1,"14 KAPP",1,1,,1,3,2,3,9,3,11,22,12,12,14,21,19,15,21,8,2,3,3,1,7
189,vt7_Loviisa_Itä,2020/04/01,1,"15 KATP",6,4,5,4,6,7,7,12,12,5,16,16,20,14,8,17,20,12,11,8,11,7,7,10
189,vt7_Loviisa_Itä,2020/04/01,1,"16 HA + PK",,,,,,1,1,3,4,4,3,,2,1,1,1,3,,,4,1,1,,1
189,vt7_Loviisa_Itä,2020/04/01,1,"17 HA + AV",1,,,,,,1,,1,1,2,1,,1,,2,1,,2,,,,,
189,vt7_Loviisa_Itä,2020/04/01,2,"11 HA-PA",4,1,2,3,15,98,188,98,41,41,52,44,38,61,54,65,79,63,45,32,18,15,8,3
189,vt7_Loviisa_Itä,2020/04/01,2,"12 KAIP",2,,1,,2,1,8,4,4,4,4,3,5,6,1,8,10,6,3,2,,1,,1
189,vt7_Loviisa_Itä,2020/04/01,2,"13 Linja-autot",,,,,,2,,1,,,1,,,1,,,,,,,,,,
189,vt7_Loviisa_Itä,2020/04/01,2,"14 KAPP",1,,1,1,,7,1,6,6,13,21,25,24,21,18,13,11,15,11,9,8,4,1,1
189,vt7_Loviisa_Itä,2020/04/01,2,"15 KATP",3,3,4,3,6,5,4,16,12,21,11,14,10,16,14,18,10,11,14,14,3,8,5,6
189,vt7_Loviisa_Itä,2020/04/01,2,"16 HA + PK",,1,,,,,3,3,3,1,3,,2,1,2,1,2,1,,2,,,,
189,vt7_Loviisa_Itä,2020/04/01,2,"17 HA + AV",,,,,,,1,1,1,,,,1,,,,1,,,,,,,
189,vt7_Loviisa_Itä,2020/04/02,1,"11 HA-PA",7,3,2,1,3,18,51,76,36,29,40,39,41,53,72,170,125,63,49,42,27,17,23,13
189,vt7_Loviisa_Itä,2020/04/02,1,"12 KAIP",1,,,,1,6,2,9,11,11,11,9,5,11,2,12,6,3,8,1,1,1,1,1
189,vt7_Loviisa_Itä,2020/04/02,1,"13 Linja-autot",,,,,,,,,1,,,,1,,,1,,,1,,,,,
189,vt7_Loviisa_Itä,2020/04/02,1,"14 KAPP",5,,,1,2,,4,4,7,20,9,9,15,14,21,18,17,19,12,7,2,2,,16
189,vt7_Loviisa_Itä,2020/04/02,1,"15 KATP",5,4,3,2,3,6,2,11,10,20,14,27,15,12,12,14,17,11,11,9,11,7,3,6
189,vt7_Loviisa_Itä,2020/04/02,1,"16 HA + PK",1,,,,,,1,1,1,4,2,1,2,4,1,1,2,2,1,1,1,1,,1
189,vt7_Loviisa_Itä,2020/04/02,1,"17 HA + AV",1,,,,,,,1,,,,1,,2,,2,1,1,,,,,,
189,vt7_Loviisa_Itä,2020/04/02,2,"11 HA-PA",1,2,,1,14,103,169,95,49,43,49,41,53,70,61,59,76,78,55,29,17,12,10,4
189,vt7_Loviisa_Itä,2020/04/02,2,"12 KAIP",1,1,1,,1,,6,8,4,11,11,5,6,8,9,5,8,8,3,1,,2,,2
189,vt7_Loviisa_Itä,2020/04/02,2,"13 Linja-autot",,,,,,2,2,1,,,2,1,,,1,1,,,,1,,,,
189,vt7_Loviisa_Itä,2020/04/02,2,"14 KAPP",1,1,1,1,3,1,6,5,8,13,24,22,17,14,8,21,10,13,13,12,10,4,2,
189,vt7_Loviisa_Itä,2020/04/02,2,"15 KATP",4,4,1,2,7,5,5,13,11,12,15,16,17,16,18,18,14,16,8,11,4,8,5,4
189,vt7_Loviisa_Itä,2020/04/02,2,"16 HA + PK",,,,,,,,1,,2,,,3,1,,2,3,2,,1,,,,
189,vt7_Loviisa_Itä,2020/04/02,2,"17 HA + AV",,,,,,,,,,,,,1,,,1,,1,,,,,,
189,vt7_Loviisa_Itä,2020/04/03,1,"11 HA-PA",13,3,1,4,,15,53,68,28,27,43,45,46,76,101,170,111,80,57,45,37,22,13,9
189,vt7_Loviisa_Itä,2020/04/03,1,"12 KAIP",,1,,,2,6,7,4,10,4,9,8,9,8,4,10,3,5,2,2,2,,,4
189,vt7_Loviisa_Itä,2020/04/03,1,"13 Linja-autot",,,,,,,,,,,,,,,1,2,,,,1,,,,
189,vt7_Loviisa_Itä,2020/04/03,1,"14 KAPP",6,1,1,2,2,,5,10,14,10,12,22,13,18,16,15,17,7,9,8,5,5,2,9
189,vt7_Loviisa_Itä,2020/04/03,1,"15 KATP",5,5,2,6,5,5,8,4,10,9,18,18,17,17,13,11,11,8,3,4,3,8,1,5
189,vt7_Loviisa_Itä,2020/04/03,1,"16 HA + PK",,,,,,,2,,5,2,,6,1,2,1,3,1,4,2,4,2,2,1,
189,vt7_Loviisa_Itä,2020/04/03,1,"17 HA + AV",1,,,,,,,,2,2,2,,2,1,2,,,2,1,,,1,,1
189,vt7_Loviisa_Itä,2020/04/03,2,"11 HA-PA",1,2,1,1,17,87,166,78,53,42,41,52,40,69,61,83,81,52,43,44,21,13,9,4
189,vt7_Loviisa_Itä,2020/04/03,2,"12 KAIP",1,,1,,2,1,3,5,5,6,8,4,5,4,9,7,6,5,1,1,1,1,,
189,vt7_Loviisa_Itä,2020/04/03,2,"13 Linja-autot",,,,,,1,,,,2,1,,,,,,,2,,,,,,
189,vt7_Loviisa_Itä,2020/04/03,2,"14 KAPP",1,1,,2,2,10,6,9,9,10,16,14,14,16,9,17,14,10,5,4,4,,1,
189,vt7_Loviisa_Itä,2020/04/03,2,"15 KATP",2,2,5,4,11,12,13,13,9,12,18,11,16,14,8,13,8,10,5,4,2,1,2,1
189,vt7_Loviisa_Itä,2020/04/03,2,"16 HA + PK",,,,,,1,2,,1,1,2,1,4,,,2,2,,,,,,,
189,vt7_Loviisa_Itä,2020/04/03,2,"17 HA + AV",,,,,,,1,,,,2,1,2,,,,,,,1,,,,
189,vt7_Loviisa_Itä,2020/04/04,1,"11 HA-PA",6,7,2,3,3,3,12,22,20,26,27,37,53,34,37,25,22,25,22,23,13,12,10,5
189,vt7_Loviisa_Itä,2020/04/04,1,"12 KAIP",,,,,,,1,3,4,1,6,6,4,1,1,,2,1,,1,,,,1
189,vt7_Loviisa_Itä,2020/04/04,1,"13 Linja-autot",,,,,,,,,,,,1,1,,,,,,,,1,,,
189,vt7_Loviisa_Itä,2020/04/04,1,"14 KAPP",7,,,,,1,1,1,1,1,1,3,1,3,1,,,,2,1,,,3,8
189,vt7_Loviisa_Itä,2020/04/04,1,"15 KATP",6,4,3,,,1,2,3,2,3,8,6,2,1,3,4,4,2,,3,1,,5,5
189,vt7_Loviisa_Itä,2020/04/04,1,"16 HA + PK",,,,,,,,,,,2,1,,,,1,,,2,1,,1,,
189,vt7_Loviisa_Itä,2020/04/04,1,"17 HA + AV",,,,,,,,,,1,,,1,,,,,,,,,,,
189,vt7_Loviisa_Itä,2020/04/04,2,"11 HA-PA",1,4,1,4,13,13,16,11,17,19,32,32,23,29,39,45,38,42,37,22,26,15,8,4
189,vt7_Loviisa_Itä,2020/04/04,2,"12 KAIP",2,,,,2,,3,1,1,1,1,2,2,2,2,1,,3,,1,2,6,,
189,vt7_Loviisa_Itä,2020/04/04,2,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
189,vt7_Loviisa_Itä,2020/04/04,2,"14 KAPP",,,,,,,,,3,1,1,3,3,1,,1,2,,1,2,,,3,1
189,vt7_Loviisa_Itä,2020/04/04,2,"15 KATP",1,1,,1,3,2,2,1,1,2,7,3,5,1,1,1,2,5,1,1,2,1,,
189,vt7_Loviisa_Itä,2020/04/04,2,"16 HA + PK",,,,,,,1,,1,,,,1,1,,2,1,,,,1,,,
189,vt7_Loviisa_Itä,2020/04/04,2,"17 HA + AV",,,,,,,,,,,,,1,,1,,1,,,,,,,
189,vt7_Loviisa_Itä,2020/04/05,1,"11 HA-PA",6,3,2,2,,,10,14,13,12,24,25,32,45,45,37,38,34,36,32,23,20,5,8
189,vt7_Loviisa_Itä,2020/04/05,1,"12 KAIP",,,,,,,1,2,1,3,2,1,,1,3,,,4,1,1,1,1,,2
189,vt7_Loviisa_Itä,2020/04/05,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,3
189,vt7_Loviisa_Itä,2020/04/05,1,"14 KAPP",3,,1,,,,,,1,1,5,2,1,,,1,3,5,2,3,,,2,5
189,vt7_Loviisa_Itä,2020/04/05,1,"15 KATP",,,,,,,,1,2,1,2,1,2,,2,2,2,6,1,1,5,3,6,2
189,vt7_Loviisa_Itä,2020/04/05,1,"16 HA + PK",,,,,,,,,1,2,1,1,,1,,1,1,,,,1,,,
189,vt7_Loviisa_Itä,2020/04/05,1,"17 HA + AV",,,,,,,,,,,,,,1,1,,,,,,1,,,
189,vt7_Loviisa_Itä,2020/04/05,2,"11 HA-PA",2,3,,3,4,12,15,7,6,13,11,28,45,44,46,56,52,75,61,49,51,23,14,5
189,vt7_Loviisa_Itä,2020/04/05,2,"12 KAIP",,,,,,,1,,,3,1,,1,2,4,,,1,1,2,3,1,,
189,vt7_Loviisa_Itä,2020/04/05,2,"13 Linja-autot",,,,,,,,,,,,,,,,1,,,,,,,,
