"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
208,vt9_Aura,2020/04/01,1,"11 HA-PA",10,5,6,7,12,48,112,209,174,127,126,140,183,186,267,462,427,232,187,105,105,86,47,25
208,vt9_Aura,2020/04/01,1,"12 KAIP",1,,1,2,,2,9,9,12,14,17,12,6,15,19,13,17,14,6,8,7,6,1,1
208,vt9_Aura,2020/04/01,1,"13 Linja-autot",,,,,,1,,,2,,1,1,1,,1,1,3,,,,1,,,
208,vt9_Aura,2020/04/01,1,"14 KAPP",,,1,1,1,,4,6,18,23,11,9,4,8,7,7,5,4,10,5,7,2,3,1
208,vt9_Aura,2020/04/01,1,"15 KATP",8,4,4,5,5,7,9,25,30,16,23,11,18,17,21,24,23,15,23,12,17,27,4,6
208,vt9_Aura,2020/04/01,1,"16 HA + PK",,,,,,,3,3,6,10,6,2,6,4,9,8,8,12,2,5,3,1,3,
208,vt9_Aura,2020/04/01,1,"17 HA + AV",,,,1,1,,1,3,3,1,2,,3,4,6,4,3,2,1,,1,,,
208,vt9_Aura,2020/04/01,2,"11 HA-PA",11,5,6,19,21,183,456,313,208,142,148,169,162,153,158,241,286,186,134,108,92,55,46,18
208,vt9_Aura,2020/04/01,2,"12 KAIP",,1,1,,3,6,17,12,17,14,7,16,15,14,10,13,13,12,2,6,2,3,1,1
208,vt9_Aura,2020/04/01,2,"13 Linja-autot",,,,,,,1,,1,,,1,,,1,1,,,1,,,,,
208,vt9_Aura,2020/04/01,2,"14 KAPP",1,,,3,3,1,8,10,5,8,7,7,7,5,5,4,9,15,5,8,4,3,1,3
208,vt9_Aura,2020/04/01,2,"15 KATP",4,5,5,10,13,10,24,15,15,16,14,14,24,20,17,19,25,14,22,11,14,10,10,5
208,vt9_Aura,2020/04/01,2,"16 HA + PK",,,,,,,9,8,7,2,7,2,7,11,8,10,13,5,5,7,2,2,,
208,vt9_Aura,2020/04/01,2,"17 HA + AV",1,1,,,,1,5,5,2,2,2,1,3,2,2,3,3,1,1,,,1,,1
208,vt9_Aura,2020/04/02,1,"11 HA-PA",11,4,6,11,16,50,109,186,145,108,139,151,181,191,286,479,417,241,191,146,87,82,40,22
208,vt9_Aura,2020/04/02,1,"12 KAIP",1,,,2,1,8,5,18,19,12,17,12,15,10,17,20,19,9,10,4,2,1,1,
208,vt9_Aura,2020/04/02,1,"13 Linja-autot",,,,,,,,,4,1,2,,2,2,,,2,1,1,,1,,,
208,vt9_Aura,2020/04/02,1,"14 KAPP",,1,,,,1,3,6,19,12,18,14,10,8,9,9,3,8,5,5,12,5,4,1
208,vt9_Aura,2020/04/02,1,"15 KATP",5,6,2,6,6,11,8,21,26,24,22,22,22,17,13,20,20,14,18,12,20,13,6,4
208,vt9_Aura,2020/04/02,1,"16 HA + PK",,,,,,2,2,1,6,2,5,8,11,6,10,8,9,7,7,7,2,2,1,
208,vt9_Aura,2020/04/02,1,"17 HA + AV",1,,1,,,1,,1,1,3,,3,4,4,2,4,8,4,1,1,,1,1,
208,vt9_Aura,2020/04/02,2,"11 HA-PA",13,5,1,9,22,174,458,298,179,161,128,135,184,168,204,210,292,199,157,115,78,57,27,19
208,vt9_Aura,2020/04/02,2,"12 KAIP",,,2,1,2,5,24,21,11,12,15,14,5,14,11,14,13,9,5,3,3,1,3,
208,vt9_Aura,2020/04/02,2,"13 Linja-autot",,,,,,1,,,1,2,1,,,1,1,3,1,,,1,,,,
