"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
425,vt10_Tammela,2020/04/01,1,"11 HA-PA",2,3,2,4,9,32,56,64,52,54,49,65,75,72,107,114,103,71,50,40,37,22,12,3
425,vt10_Tammela,2020/04/01,1,"12 KAIP",,1,1,,2,3,3,5,8,6,4,9,6,9,7,3,6,1,4,4,1,4,,1
425,vt10_Tammela,2020/04/01,1,"13 Linja-autot",,,,,,,,1,,,,2,1,1,1,,,1,,,,1,,
425,vt10_Tammela,2020/04/01,1,"14 KAPP",1,,1,,,1,,8,7,9,7,6,7,7,6,3,4,2,2,1,2,4,4,2
425,vt10_Tammela,2020/04/01,1,"15 KATP",1,4,5,1,9,11,9,19,16,25,30,25,17,18,14,19,21,16,11,17,9,15,9,6
425,vt10_Tammela,2020/04/01,1,"16 HA + PK",,,,,1,1,1,1,3,3,3,4,2,4,3,2,3,4,3,3,,,,
425,vt10_Tammela,2020/04/01,1,"17 HA + AV",,,1,,,,,1,,1,,3,1,,,,,,1,,,,,
425,vt10_Tammela,2020/04/01,2,"11 HA-PA",4,2,2,4,13,34,72,81,86,53,55,71,69,64,89,94,103,97,49,51,21,26,15,7
425,vt10_Tammela,2020/04/01,2,"12 KAIP",,1,1,1,1,1,3,6,10,4,4,2,11,7,8,2,3,1,5,3,1,,1,2
425,vt10_Tammela,2020/04/01,2,"13 Linja-autot",,,,,,,1,,3,,,,2,,,,,2,,,,,,
425,vt10_Tammela,2020/04/01,2,"14 KAPP",1,1,,,,2,7,3,3,4,4,6,6,12,7,7,5,6,7,5,,,2,1
425,vt10_Tammela,2020/04/01,2,"15 KATP",6,5,8,7,5,7,16,10,15,15,18,27,16,17,21,29,18,24,16,16,9,11,14,5
425,vt10_Tammela,2020/04/01,2,"16 HA + PK",,,,,,1,,1,1,3,3,4,2,3,6,4,,5,2,2,3,1,,1
425,vt10_Tammela,2020/04/01,2,"17 HA + AV",,,,,,,,1,,,,,1,1,1,3,,,1,,,,,
425,vt10_Tammela,2020/04/02,1,"11 HA-PA",1,4,4,1,4,34,67,64,50,52,46,61,71,83,98,127,125,87,66,60,31,18,12,8
425,vt10_Tammela,2020/04/02,1,"12 KAIP",,,,1,1,4,4,5,3,7,5,5,7,9,3,4,4,4,3,8,1,2,1,
425,vt10_Tammela,2020/04/02,1,"13 Linja-autot",,,,,,,1,,,,,1,1,1,,,1,,,,,,2,
425,vt10_Tammela,2020/04/02,1,"14 KAPP",1,,1,1,,,7,4,3,7,8,8,10,10,5,3,4,2,1,1,3,2,5,1
425,vt10_Tammela,2020/04/02,1,"15 KATP",3,3,2,3,6,9,18,19,23,21,23,18,16,26,21,17,16,15,14,9,14,7,10,4
425,vt10_Tammela,2020/04/02,1,"16 HA + PK",,,,,,,,2,2,4,3,4,2,3,4,2,3,1,4,2,1,1,,
425,vt10_Tammela,2020/04/02,1,"17 HA + AV",,,,,,1,,,,1,1,,,1,1,,,1,,,,,,
425,vt10_Tammela,2020/04/02,2,"11 HA-PA",1,6,1,1,10,40,72,82,75,33,51,70,82,80,99,105,113,94,68,54,39,24,15,2
425,vt10_Tammela,2020/04/02,2,"12 KAIP",,,1,,2,2,4,3,7,7,5,3,6,5,5,5,2,5,3,4,3,,1,3
425,vt10_Tammela,2020/04/02,2,"13 Linja-autot",,,,,,,,3,1,,,,,,,,,1,,,,,,
425,vt10_Tammela,2020/04/02,2,"14 KAPP",,1,,1,,1,4,1,4,3,5,8,7,6,10,3,6,3,3,3,1,3,,
425,vt10_Tammela,2020/04/02,2,"15 KATP",15,7,2,7,6,9,12,16,20,22,17,13,15,14,8,17,19,19,13,20,16,8,13,4
425,vt10_Tammela,2020/04/02,2,"16 HA + PK",,,,,,,,1,,6,6,1,4,1,1,3,2,2,3,1,1,,,
425,vt10_Tammela,2020/04/02,2,"17 HA + AV",,,,,,,,,1,,,1,,,1,,1,1,2,,1,1,,
425,vt10_Tammela,2020/04/03,1,"11 HA-PA",6,3,3,1,5,33,56,46,61,61,54,90,90,104,140,148,144,100,71,46,34,18,25,11
425,vt10_Tammela,2020/04/03,1,"12 KAIP",,,,,,4,2,6,6,4,1,11,8,13,8,3,3,2,2,3,1,3,3,
425,vt10_Tammela,2020/04/03,1,"13 Linja-autot",,,,,,,,,1,,,2,,,,2,,2,,1,,,1,
425,vt10_Tammela,2020/04/03,1,"14 KAPP",1,,1,,1,,3,2,2,4,11,3,5,9,3,7,1,5,3,,,4,2,1
425,vt10_Tammela,2020/04/03,1,"15 KATP",3,3,3,4,3,8,10,12,17,19,17,20,26,22,15,9,9,7,8,17,14,4,7,3
425,vt10_Tammela,2020/04/03,1,"16 HA + PK",,,,,,,2,1,3,2,2,3,3,4,5,5,5,,1,1,1,2,,
425,vt10_Tammela,2020/04/03,1,"17 HA + AV",,,,,,1,,,2,2,3,1,1,,1,1,1,,,,1,,1,
425,vt10_Tammela,2020/04/03,2,"11 HA-PA",3,2,,2,10,30,65,67,66,54,66,69,86,87,110,141,130,96,91,70,48,26,14,11
425,vt10_Tammela,2020/04/03,2,"12 KAIP",,1,,,,3,8,2,4,5,7,4,7,8,4,9,1,2,6,1,,3,,
425,vt10_Tammela,2020/04/03,2,"13 Linja-autot",,,,,,,,,2,,,,1,,,,,1,,,1,,,
425,vt10_Tammela,2020/04/03,2,"14 KAPP",,,2,,,2,2,4,3,2,5,5,8,4,9,9,5,6,3,,1,,1,
425,vt10_Tammela,2020/04/03,2,"15 KATP",11,6,4,5,7,6,16,9,12,15,11,10,17,12,13,24,16,18,14,14,11,5,7,7
425,vt10_Tammela,2020/04/03,2,"16 HA + PK",,,1,,,,,1,1,4,7,1,4,1,4,5,6,2,2,1,1,1,,
425,vt10_Tammela,2020/04/03,2,"17 HA + AV",,,,,,1,3,1,1,1,1,,1,,,,3,,1,,1,,,
425,vt10_Tammela,2020/04/04,1,"11 HA-PA",6,4,6,3,1,10,13,15,35,52,62,92,97,89,87,96,59,57,42,33,33,18,18,9
425,vt10_Tammela,2020/04/04,1,"12 KAIP",,,,,,,,4,3,2,1,2,2,,3,,,,,2,,1,,
425,vt10_Tammela,2020/04/04,1,"13 Linja-autot",,,,,,,,,,1,,,,,,,,1,,,,2,,
425,vt10_Tammela,2020/04/04,1,"14 KAPP",,1,1,2,1,,,1,2,2,1,1,,2,,1,,3,,1,,3,2,
425,vt10_Tammela,2020/04/04,1,"15 KATP",3,4,2,1,2,,3,3,7,9,3,1,3,2,1,3,2,1,1,5,1,4,1,1
425,vt10_Tammela,2020/04/04,1,"16 HA + PK",,,,,,1,,2,2,3,7,6,11,3,4,3,1,3,4,3,,,,
425,vt10_Tammela,2020/04/04,1,"17 HA + AV",,,,,,,,1,,,,,,3,1,1,,,,,1,,,
425,vt10_Tammela,2020/04/04,2,"11 HA-PA",6,3,4,2,3,8,17,16,33,56,67,89,63,77,76,83,71,73,54,44,43,23,19,8
425,vt10_Tammela,2020/04/04,2,"12 KAIP",,,1,,,1,1,1,1,,3,4,,2,2,2,,2,2,1,,,1,
425,vt10_Tammela,2020/04/04,2,"13 Linja-autot",,,,,1,,,,,,,,1,,,,,,,,,,,
425,vt10_Tammela,2020/04/04,2,"14 KAPP",1,,,,,,1,1,,2,1,1,2,,,3,2,1,1,2,,,2,
425,vt10_Tammela,2020/04/04,2,"15 KATP",9,5,1,3,3,2,1,4,5,1,1,6,8,5,6,1,3,6,2,1,1,2,,1
425,vt10_Tammela,2020/04/04,2,"16 HA + PK",,,,,,,,1,2,9,8,12,4,5,8,6,5,5,1,2,,,1,
425,vt10_Tammela,2020/04/04,2,"17 HA + AV",,,,,,,,1,,,1,,3,,1,,2,,,,,,,
425,vt10_Tammela,2020/04/05,1,"11 HA-PA",10,6,3,4,3,10,9,3,13,33,44,58,75,104,92,82,84,87,85,59,37,31,16,8
425,vt10_Tammela,2020/04/05,1,"12 KAIP",,,,,,,,,,1,,3,,2,,,,2,,1,2,,,
425,vt10_Tammela,2020/04/05,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
425,vt10_Tammela,2020/04/05,1,"14 KAPP",,,,,1,,,1,1,,1,,,1,,1,2,2,2,,1,4,2,1
425,vt10_Tammela,2020/04/05,1,"15 KATP",,1,,,,1,1,2,4,2,3,,1,5,2,6,5,5,4,4,11,5,3,3
425,vt10_Tammela,2020/04/05,1,"16 HA + PK",,,,,,1,,,3,3,3,3,5,8,4,3,8,5,2,3,1,,,
425,vt10_Tammela,2020/04/05,1,"17 HA + AV",,,,,,,,,,,,1,,1,2,1,,,1,1,,,,
425,vt10_Tammela,2020/04/05,2,"11 HA-PA",10,7,5,,5,7,8,8,8,30,46,51,66,80,78,96,105,104,95,69,45,25,19,4
425,vt10_Tammela,2020/04/05,2,"12 KAIP",,,,,,,,,,,1,,1,1,2,1,2,2,1,5,3,,,
425,vt10_Tammela,2020/04/05,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
425,vt10_Tammela,2020/04/05,2,"14 KAPP",1,,,,,1,1,,,1,1,,,,4,2,3,2,2,,1,4,,
425,vt10_Tammela,2020/04/05,2,"15 KATP",1,,,,2,,1,1,,3,,3,3,2,5,1,4,6,5,3,6,4,5,5
425,vt10_Tammela,2020/04/05,2,"16 HA + PK",,,,,,,1,,1,2,2,3,2,3,3,4,3,4,5,2,1,2,,
425,vt10_Tammela,2020/04/05,2,"17 HA + AV",,,,,,,,,,1,,1,,,,,1,1,1,1,,,,
425,vt10_Tammela,2020/04/06,1,"11 HA-PA",,2,6,5,12,43,91,80,76,67,60,66,92,81,81,126,94,81,52,54,36,25,16,10
425,vt10_Tammela,2020/04/06,1,"12 KAIP",,,,1,1,4,4,6,6,2,4,2,5,8,7,3,4,6,3,,1,3,,
425,vt10_Tammela,2020/04/06,1,"13 Linja-autot",,,,,,,,1,,1,,,,1,,,1,,,,,,1,
425,vt10_Tammela,2020/04/06,1,"14 KAPP",,,,,1,,3,3,8,8,7,6,9,9,9,4,3,6,2,10,1,2,3,1
425,vt10_Tammela,2020/04/06,1,"15 KATP",2,6,3,3,8,14,10,16,20,19,22,19,16,27,23,10,16,18,9,13,16,13,7,4
425,vt10_Tammela,2020/04/06,1,"16 HA + PK",,,,,,1,1,3,5,1,5,5,5,3,5,5,5,2,4,,1,2,1,
425,vt10_Tammela,2020/04/06,1,"17 HA + AV",,,,,,2,2,2,,1,,4,,2,2,,,1,,,,,,1
425,vt10_Tammela,2020/04/06,2,"11 HA-PA",3,7,,4,17,48,104,100,68,64,69,78,63,74,85,120,110,87,46,59,33,20,16,7
425,vt10_Tammela,2020/04/06,2,"12 KAIP",,,,,,4,3,3,4,8,6,5,5,7,4,1,6,5,1,4,2,2,,
425,vt10_Tammela,2020/04/06,2,"13 Linja-autot",,,,,,,,,2,,,,,,,,,1,,,,,,
425,vt10_Tammela,2020/04/06,2,"14 KAPP",1,,,,1,1,5,4,5,6,5,9,9,6,6,8,12,7,15,2,2,1,2,1
425,vt10_Tammela,2020/04/06,2,"15 KATP",6,1,7,1,5,9,17,12,9,21,16,11,15,14,26,23,15,17,12,20,13,10,19,10
425,vt10_Tammela,2020/04/06,2,"16 HA + PK",,,,,,1,,,1,10,7,5,3,5,9,5,6,6,5,4,1,2,,
425,vt10_Tammela,2020/04/06,2,"17 HA + AV",,,,,,,1,1,1,2,,,1,1,,1,,1,,,,1,1,
425,vt10_Tammela,2020/04/07,1,"11 HA-PA",5,2,5,1,7,44,66,65,54,73,62,77,95,57,109,132,116,89,50,43,28,17,13,8
425,vt10_Tammela,2020/04/07,1,"12 KAIP",,,,1,1,5,5,3,10,5,8,5,6,11,7,8,6,4,6,4,,2,,
425,vt10_Tammela,2020/04/07,1,"13 Linja-autot",,,,,,,1,,,,,,,1,1,1,,,,,,,1,
425,vt10_Tammela,2020/04/07,1,"14 KAPP",2,1,1,1,1,,3,5,4,5,3,7,7,3,8,4,7,4,2,3,4,2,2,2
425,vt10_Tammela,2020/04/07,1,"15 KATP",6,6,4,3,5,7,13,12,16,25,23,19,17,10,21,16,15,21,13,13,19,13,10,5
425,vt10_Tammela,2020/04/07,1,"16 HA + PK",,,,,,,,1,,2,5,5,4,3,4,7,5,4,6,1,4,1,,
425,vt10_Tammela,2020/04/07,1,"17 HA + AV",,,,,,,,2,1,1,2,1,,1,1,,1,2,1,1,,1,,
425,vt10_Tammela,2020/04/07,2,"11 HA-PA",2,3,3,4,10,37,82,88,68,61,58,74,79,92,88,110,117,86,64,48,27,20,14,7
425,vt10_Tammela,2020/04/07,2,"12 KAIP",,,1,,,2,3,3,5,7,4,13,5,6,6,4,4,6,4,5,2,,1,
425,vt10_Tammela,2020/04/07,2,"13 Linja-autot",,,,,,,,,2,,,,1,,,,,1,,,,,,
425,vt10_Tammela,2020/04/07,2,"14 KAPP",1,,2,1,,2,4,1,2,7,8,5,14,5,12,6,8,5,6,8,3,3,,
425,vt10_Tammela,2020/04/07,2,"15 KATP",9,7,4,6,2,12,11,10,9,19,15,14,21,16,12,19,25,19,18,12,5,7,7,9
425,vt10_Tammela,2020/04/07,2,"16 HA + PK",,,,,,,3,,5,6,4,2,1,4,3,3,3,7,1,4,2,,1,
425,vt10_Tammela,2020/04/07,2,"17 HA + AV",,,,,1,,,2,,,,1,2,1,3,,,,1,,,,,
425,vt10_Tammela,2020/04/08,1,"11 HA-PA",1,2,4,5,7,37,55,61,61,60,75,78,79,96,99,145,128,105,78,57,41,29,21,5
425,vt10_Tammela,2020/04/08,1,"12 KAIP",,,,1,,4,4,8,6,9,3,5,8,7,5,6,3,1,1,1,2,1,2,1
425,vt10_Tammela,2020/04/08,1,"13 Linja-autot",,,,,,,3,1,1,,,,,1,1,1,,1,,,,3,1,
425,vt10_Tammela,2020/04/08,1,"14 KAPP",1,,,,3,,2,6,5,5,5,4,8,8,5,7,5,3,6,5,1,1,3,3
425,vt10_Tammela,2020/04/08,1,"15 KATP",5,9,1,2,8,12,12,16,18,28,17,12,17,15,14,14,11,21,11,19,13,13,14,5
425,vt10_Tammela,2020/04/08,1,"16 HA + PK",,,,,,1,1,2,7,4,5,4,2,3,2,1,7,7,3,2,,,,1
425,vt10_Tammela,2020/04/08,1,"17 HA + AV",,,,,,,2,2,,,1,1,1,,1,1,1,,1,,,1,,1
425,vt10_Tammela,2020/04/08,2,"11 HA-PA",3,6,2,1,8,34,69,101,80,72,74,85,79,85,90,126,109,100,67,75,44,20,26,7
425,vt10_Tammela,2020/04/08,2,"12 KAIP",,,1,,2,1,4,3,8,5,6,4,7,4,9,8,4,8,6,1,5,3,1,
425,vt10_Tammela,2020/04/08,2,"13 Linja-autot",,,1,,,,,,1,,,,1,,,,2,1,,2,,,,
425,vt10_Tammela,2020/04/08,2,"14 KAPP",,1,1,,1,,3,2,4,7,3,10,7,4,6,10,3,5,2,5,1,1,2,
425,vt10_Tammela,2020/04/08,2,"15 KATP",14,7,8,10,4,5,12,8,15,11,13,18,22,16,29,17,18,19,16,9,8,10,15,7
425,vt10_Tammela,2020/04/08,2,"16 HA + PK",,,,,1,,1,3,1,5,5,5,6,2,5,8,3,2,5,6,2,2,,
425,vt10_Tammela,2020/04/08,2,"17 HA + AV",,,,,,,1,1,,,1,,1,1,2,1,,,2,,,,,
425,vt10_Tammela,2020/04/09,1,"11 HA-PA",3,1,4,2,5,38,57,58,59,83,86,112,114,154,149,217,161,149,108,73,49,31,18,15
425,vt10_Tammela,2020/04/09,1,"12 KAIP",,,,,1,3,7,4,4,10,2,6,6,7,7,12,8,5,2,3,,,,
425,vt10_Tammela,2020/04/09,1,"13 Linja-autot",,,,,,1,,2,1,1,,,1,2,,2,1,1,3,,,,1,
425,vt10_Tammela,2020/04/09,1,"14 KAPP",1,,1,1,2,2,2,2,3,9,9,4,1,5,8,3,3,2,2,1,,4,,1
425,vt10_Tammela,2020/04/09,1,"15 KATP",2,5,4,1,7,7,12,16,21,29,27,9,16,14,14,18,16,12,6,4,11,9,9,6
425,vt10_Tammela,2020/04/09,1,"16 HA + PK",,,,,,,2,2,2,6,3,7,4,6,10,13,3,12,4,1,2,,3,
425,vt10_Tammela,2020/04/09,1,"17 HA + AV",,,,,1,,2,,,,3,3,1,4,2,1,3,,,,,,,
425,vt10_Tammela,2020/04/09,2,"11 HA-PA",1,,2,6,11,27,69,83,70,65,66,113,105,116,144,178,150,122,130,97,75,26,27,17
425,vt10_Tammela,2020/04/09,2,"12 KAIP",1,,1,,1,4,5,1,5,7,7,2,4,1,6,8,4,4,4,1,1,,1,1
425,vt10_Tammela,2020/04/09,2,"13 Linja-autot",,,,,,,1,1,1,,1,1,1,,,1,2,1,,,,1,,
425,vt10_Tammela,2020/04/09,2,"14 KAPP",1,,,,1,1,1,1,2,2,5,8,7,3,4,11,3,2,4,6,6,,,
425,vt10_Tammela,2020/04/09,2,"15 KATP",8,9,10,5,6,10,9,19,13,12,16,16,12,15,17,11,14,16,16,13,10,4,5,5
425,vt10_Tammela,2020/04/09,2,"16 HA + PK",,,,,,,,,2,2,7,5,4,7,8,5,8,5,5,5,5,2,1,1
425,vt10_Tammela,2020/04/09,2,"17 HA + AV",,,,,,,1,,1,,2,,,1,2,2,2,1,,,,,,1
425,vt10_Tammela,2020/04/10,1,"11 HA-PA",4,6,3,5,1,7,14,15,47,73,106,137,129,102,96,104,96,67,63,38,38,23,19,11
425,vt10_Tammela,2020/04/10,1,"12 KAIP",,,,,,,,1,,2,,2,2,3,2,4,,3,1,3,,,,
425,vt10_Tammela,2020/04/10,1,"13 Linja-autot",,,,,,,,,,,1,,1,,1,,,2,1,,,,,
425,vt10_Tammela,2020/04/10,1,"14 KAPP",,1,1,,,,,1,1,,2,1,,2,,,,1,,,1,1,,2
425,vt10_Tammela,2020/04/10,1,"15 KATP",6,5,2,2,1,1,4,7,7,8,4,3,3,1,3,3,5,2,2,8,2,4,,2
425,vt10_Tammela,2020/04/10,1,"16 HA + PK",,1,,,,1,3,1,2,3,14,11,7,9,8,7,6,5,3,4,4,1,,
425,vt10_Tammela,2020/04/10,1,"17 HA + AV",,,,,,,,1,,,1,2,1,1,2,3,2,,1,,,1,,
425,vt10_Tammela,2020/04/10,2,"11 HA-PA",9,3,2,3,3,6,7,22,37,53,86,89,112,98,94,100,91,90,53,58,48,31,19,11
425,vt10_Tammela,2020/04/10,2,"12 KAIP",,,,,,,,1,1,2,1,1,1,2,1,4,5,,,2,1,,,
425,vt10_Tammela,2020/04/10,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
425,vt10_Tammela,2020/04/10,2,"14 KAPP",1,,,,1,1,,,1,,,1,1,2,,,1,,,,2,,,
425,vt10_Tammela,2020/04/10,2,"15 KATP",8,7,5,4,5,1,2,3,3,5,2,1,5,3,4,6,1,4,4,3,2,,6,5
425,vt10_Tammela,2020/04/10,2,"16 HA + PK",,,,,1,1,,1,3,5,9,6,5,4,7,6,5,8,6,4,,2,,1
425,vt10_Tammela,2020/04/10,2,"17 HA + AV",,,,,,,,,,,,1,,2,,3,,,1,,,1,,
425,vt10_Tammela,2020/04/11,1,"11 HA-PA",9,4,4,7,3,4,9,12,41,54,84,131,116,95,119,101,93,88,78,72,42,38,20,13
425,vt10_Tammela,2020/04/11,1,"12 KAIP",,,,,1,,,,1,3,2,3,,1,3,1,1,1,1,,,,,1
425,vt10_Tammela,2020/04/11,1,"13 Linja-autot",,,,,,,,,,,,1,,,,,,1,,,,,,
425,vt10_Tammela,2020/04/11,1,"14 KAPP",,,,,,,,1,1,1,,,,2,,,,1,,1,1,2,3,
425,vt10_Tammela,2020/04/11,1,"15 KATP",,,,,,1,2,6,1,3,6,6,2,4,2,4,6,2,1,2,,1,1,
425,vt10_Tammela,2020/04/11,1,"16 HA + PK",,,,,,,,,2,4,3,5,8,8,7,5,15,9,2,6,5,4,3,1
425,vt10_Tammela,2020/04/11,1,"17 HA + AV",,,,,,,,,,,1,2,,,1,,,1,1,1,,,,1
425,vt10_Tammela,2020/04/11,2,"11 HA-PA",6,6,2,5,8,7,12,15,46,62,90,101,82,105,83,90,94,89,79,68,49,28,29,14
425,vt10_Tammela,2020/04/11,2,"12 KAIP",,1,,,,,,1,,2,1,1,3,1,1,3,2,1,1,,2,,1,
425,vt10_Tammela,2020/04/11,2,"13 Linja-autot",,,,,,,,,,,,,1,,,,,,,,,,,
425,vt10_Tammela,2020/04/11,2,"14 KAPP",,1,,,,,,,,1,1,,1,,1,,1,,,3,1,,,
425,vt10_Tammela,2020/04/11,2,"15 KATP",6,,,,1,,1,1,3,5,4,,2,3,2,2,3,3,4,3,2,1,,1
425,vt10_Tammela,2020/04/11,2,"16 HA + PK",,1,,1,,,2,2,4,4,6,8,5,7,3,3,7,8,3,6,4,2,,1
425,vt10_Tammela,2020/04/11,2,"17 HA + AV",,1,,,1,,1,1,,1,,1,,,,,,1,,,,1,,
425,vt10_Tammela,2020/04/12,1,"11 HA-PA",1,7,1,3,3,5,11,9,8,17,32,75,71,81,68,88,61,67,57,46,23,12,11,5
425,vt10_Tammela,2020/04/12,1,"12 KAIP",,,,,,,,1,1,1,,4,1,,1,1,4,1,2,1,,,,
425,vt10_Tammela,2020/04/12,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
425,vt10_Tammela,2020/04/12,1,"14 KAPP",,,,1,,,,2,,,,,,,,,,,1,,,1,1,1
425,vt10_Tammela,2020/04/12,1,"15 KATP",,,,1,,,3,2,1,3,3,1,2,1,1,5,4,5,3,,5,3,1,1
425,vt10_Tammela,2020/04/12,1,"16 HA + PK",,,,,,,,1,1,3,2,3,2,2,8,7,3,4,1,2,2,,,1
425,vt10_Tammela,2020/04/12,1,"17 HA + AV",,,,,,1,,,,1,,2,,1,,1,1,,,1,,,,
425,vt10_Tammela,2020/04/12,2,"11 HA-PA",8,5,6,1,4,2,8,11,8,24,41,63,83,68,88,79,85,77,61,54,37,24,14,8
