"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
450,vt3_Myllypuro,2020/04/01,1,"11 HA-PA",17,16,11,11,14,109,335,379,319,231,215,250,259,369,521,797,672,452,330,230,149,109,120,30
450,vt3_Myllypuro,2020/04/01,1,"12 KAIP",1,1,3,,4,5,16,18,38,23,30,31,34,25,36,29,15,12,10,2,2,3,2,3
450,vt3_Myllypuro,2020/04/01,1,"13 Linja-autot",,,,,,,1,1,,,,,1,,1,,,,,,,,,
450,vt3_Myllypuro,2020/04/01,1,"14 KAPP",2,1,,1,,1,8,7,7,10,11,18,14,16,13,18,8,4,10,14,4,5,3,3
450,vt3_Myllypuro,2020/04/01,1,"15 KATP",16,10,8,4,3,5,12,15,13,26,12,22,28,22,26,16,18,15,19,18,22,11,15,12
450,vt3_Myllypuro,2020/04/01,1,"16 HA + PK",,,,,,,4,7,5,10,7,10,8,8,5,8,17,15,6,10,7,1,1,
450,vt3_Myllypuro,2020/04/01,1,"17 HA + AV",,,,,,,2,4,4,2,1,4,2,1,1,3,3,2,2,2,1,,,
450,vt3_Myllypuro,2020/04/01,2,"11 HA-PA",36,11,11,14,43,270,607,607,357,248,235,257,297,337,385,523,482,371,249,181,155,140,77,31
450,vt3_Myllypuro,2020/04/01,2,"12 KAIP",1,1,,1,4,4,15,29,32,37,24,24,30,35,27,28,17,11,6,4,3,2,3,
450,vt3_Myllypuro,2020/04/01,2,"13 Linja-autot",,,,,,,,2,1,,,,,,,,1,,,,,,,
450,vt3_Myllypuro,2020/04/01,2,"14 KAPP",,1,2,,1,1,7,8,17,11,12,7,12,15,13,9,20,16,7,6,7,2,2,1
450,vt3_Myllypuro,2020/04/01,2,"15 KATP",4,7,6,8,3,11,16,13,17,23,19,19,25,14,22,25,32,12,22,16,13,11,13,7
450,vt3_Myllypuro,2020/04/01,2,"16 HA + PK",,,1,,,2,3,5,8,8,8,14,8,9,4,6,15,16,11,2,5,,1,
450,vt3_Myllypuro,2020/04/01,2,"17 HA + AV",,,,,,,2,3,2,2,4,4,2,3,3,1,,,,,,1,,
450,vt3_Myllypuro,2020/04/02,1,"11 HA-PA",31,17,8,11,23,111,309,375,269,236,238,248,292,355,569,853,758,449,311,224,148,118,95,36
450,vt3_Myllypuro,2020/04/02,1,"12 KAIP",2,2,2,2,2,7,10,21,31,26,25,17,32,30,30,26,12,13,10,4,4,3,5,1
450,vt3_Myllypuro,2020/04/02,1,"14 KAPP",1,1,,,,2,4,5,9,14,16,18,31,7,12,9,11,16,13,5,9,4,6,2
450,vt3_Myllypuro,2020/04/02,1,"15 KATP",18,12,3,4,3,6,7,13,15,15,17,23,16,17,23,20,26,20,19,19,19,21,19,15
450,vt3_Myllypuro,2020/04/02,1,"16 HA + PK",,,,,1,2,,5,4,7,4,10,11,7,10,22,9,15,7,3,2,1,1,
450,vt3_Myllypuro,2020/04/02,1,"17 HA + AV",,,,,,,,1,2,5,3,1,,3,4,3,4,,,4,,1,,
450,vt3_Myllypuro,2020/04/02,2,"11 HA-PA",31,19,9,14,45,248,608,608,362,257,212,254,284,361,396,560,479,338,230,204,133,131,69,27
450,vt3_Myllypuro,2020/04/02,2,"12 KAIP",2,2,,1,2,3,16,23,30,25,37,22,20,23,18,20,22,17,8,8,5,4,,1
450,vt3_Myllypuro,2020/04/02,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,1,,,1,,
450,vt3_Myllypuro,2020/04/02,2,"14 KAPP",,1,1,,1,3,2,6,10,8,14,10,13,22,12,13,14,14,14,7,7,2,1,
450,vt3_Myllypuro,2020/04/02,2,"15 KATP",8,5,3,7,4,5,7,21,13,18,17,17,25,20,20,19,19,27,15,14,20,11,8,14
450,vt3_Myllypuro,2020/04/02,2,"16 HA + PK",,,,,,,6,3,6,3,3,13,10,7,11,6,8,11,5,6,2,1,1,
450,vt3_Myllypuro,2020/04/02,2,"17 HA + AV",,,,,,1,1,2,5,2,4,1,,5,,1,3,4,2,2,,,,
450,vt3_Myllypuro,2020/04/03,1,"11 HA-PA",27,18,8,13,15,128,292,350,316,284,276,298,359,456,627,819,680,498,371,220,154,102,109,47
450,vt3_Myllypuro,2020/04/03,1,"12 KAIP",2,2,1,1,5,10,17,26,25,28,30,16,33,29,36,18,25,9,8,5,1,,3,5
450,vt3_Myllypuro,2020/04/03,1,"13 Linja-autot",,,,,,,1,,,1,,,,1,,,,,,,,,,
450,vt3_Myllypuro,2020/04/03,1,"14 KAPP",4,1,,,1,3,7,12,12,12,9,11,9,7,14,8,6,5,5,4,3,,1,1
450,vt3_Myllypuro,2020/04/03,1,"15 KATP",14,9,3,7,2,6,9,11,19,16,18,19,25,21,17,23,9,14,19,15,12,11,11,12
450,vt3_Myllypuro,2020/04/03,1,"16 HA + PK",,,,,,,1,2,5,4,11,12,17,13,16,23,20,15,10,9,2,,2,
450,vt3_Myllypuro,2020/04/03,1,"17 HA + AV",,,,,,,1,2,1,2,3,2,7,2,3,5,4,5,,,1,1,,
450,vt3_Myllypuro,2020/04/03,2,"11 HA-PA",24,16,12,10,54,249,572,560,346,249,279,299,324,424,498,554,451,348,230,203,138,101,67,53
450,vt3_Myllypuro,2020/04/03,2,"12 KAIP",,2,,2,2,3,17,28,24,33,31,21,34,26,23,13,15,12,11,6,5,2,2,5
