"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
462,vt3_Nokia_Rajasalmi,2020/04/01,1,"11 HA-PA",65,36,39,32,72,306,703,923,734,550,553,600,746,897,1167,1973,1753,1106,826,544,409,323,225,97
462,vt3_Nokia_Rajasalmi,2020/04/01,1,"12 KAIP",6,7,7,2,9,20,46,60,84,55,73,56,55,65,76,61,41,15,25,11,11,6,5,4
462,vt3_Nokia_Rajasalmi,2020/04/01,1,"13 Linja-autot",,,,,,2,4,4,1,4,1,2,3,5,1,3,4,1,,,,1,,1
462,vt3_Nokia_Rajasalmi,2020/04/01,1,"14 KAPP",9,13,4,6,11,9,22,28,26,34,25,31,24,32,36,31,23,12,19,18,9,11,3,3
462,vt3_Nokia_Rajasalmi,2020/04/01,1,"15 KATP",30,15,12,18,12,12,30,33,30,42,44,48,50,42,50,53,43,39,33,37,32,27,33,27
462,vt3_Nokia_Rajasalmi,2020/04/01,1,"16 HA + PK",,,,,1,1,3,10,11,8,12,20,16,13,17,25,26,35,16,11,13,4,2,
462,vt3_Nokia_Rajasalmi,2020/04/01,1,"17 HA + AV",1,2,1,5,6,4,5,7,8,7,5,5,6,10,6,13,7,2,3,2,1,1,,
462,vt3_Nokia_Rajasalmi,2020/04/01,2,"11 HA-PA",49,44,29,42,108,503,1334,1494,933,619,588,637,715,819,991,1308,1168,834,643,469,351,263,189,90
462,vt3_Nokia_Rajasalmi,2020/04/01,2,"12 KAIP",5,4,2,2,12,15,49,57,67,80,52,68,65,65,64,62,44,26,16,15,10,8,9,2
462,vt3_Nokia_Rajasalmi,2020/04/01,2,"13 Linja-autot",,,,,,,2,3,1,4,,2,1,,1,1,4,,1,,,,,1
462,vt3_Nokia_Rajasalmi,2020/04/01,2,"14 KAPP",5,6,9,4,12,10,12,21,41,35,28,25,31,30,35,28,25,37,9,8,7,5,5,1
462,vt3_Nokia_Rajasalmi,2020/04/01,2,"15 KATP",10,13,16,13,10,30,34,34,40,52,36,46,58,50,44,50,44,39,38,36,31,27,21,16
462,vt3_Nokia_Rajasalmi,2020/04/01,2,"16 HA + PK",1,,,,,,8,19,21,20,23,22,23,28,16,27,29,24,17,12,6,4,3,1
462,vt3_Nokia_Rajasalmi,2020/04/01,2,"17 HA + AV",1,,,,4,1,7,7,9,6,3,5,8,9,11,3,7,3,3,1,2,1,1,
462,vt3_Nokia_Rajasalmi,2020/04/02,1,"11 HA-PA",90,30,33,34,82,308,682,880,712,564,531,631,782,917,1246,1936,1761,1131,782,614,366,328,223,100
462,vt3_Nokia_Rajasalmi,2020/04/02,1,"12 KAIP",8,7,6,4,8,31,44,61,62,71,68,58,56,70,67,58,34,30,17,17,11,8,6,4
462,vt3_Nokia_Rajasalmi,2020/04/02,1,"13 Linja-autot",1,,,,,2,,1,1,2,1,2,4,3,1,1,3,,1,1,,2,,
462,vt3_Nokia_Rajasalmi,2020/04/02,1,"14 KAPP",2,9,9,3,7,3,22,26,33,34,34,28,36,39,24,21,27,18,21,14,18,9,5,8
462,vt3_Nokia_Rajasalmi,2020/04/02,1,"15 KATP",24,19,9,11,12,13,31,22,50,44,39,50,48,47,51,48,49,47,37,38,31,32,36,24
462,vt3_Nokia_Rajasalmi,2020/04/02,1,"16 HA + PK",,,,,1,2,2,11,13,10,7,14,17,19,16,32,18,24,14,8,5,2,2,1
462,vt3_Nokia_Rajasalmi,2020/04/02,1,"17 HA + AV",,,1,2,1,1,4,4,6,10,2,6,5,7,6,10,5,,4,8,3,2,1,
462,vt3_Nokia_Rajasalmi,2020/04/02,2,"11 HA-PA",55,53,26,45,98,476,1298,1447,890,619,535,625,704,854,967,1263,1192,830,635,465,384,271,184,77
462,vt3_Nokia_Rajasalmi,2020/04/02,2,"12 KAIP",2,4,5,2,9,23,50,58,72,77,73,56,74,81,62,64,46,39,21,15,8,11,6,2
462,vt3_Nokia_Rajasalmi,2020/04/02,2,"13 Linja-autot",,,,,1,1,2,2,3,1,2,1,5,1,,2,1,1,2,3,,1,,1
462,vt3_Nokia_Rajasalmi,2020/04/02,2,"14 KAPP",3,5,3,,1,10,7,24,22,27,35,42,25,35,22,37,26,26,16,12,6,5,1,2
462,vt3_Nokia_Rajasalmi,2020/04/02,2,"15 KATP",14,15,10,17,20,14,24,43,31,48,47,45,61,43,49,40,42,46,34,33,33,30,17,18
462,vt3_Nokia_Rajasalmi,2020/04/02,2,"16 HA + PK",,1,,,,1,13,15,15,12,10,22,22,20,14,15,30,22,17,11,7,5,4,
462,vt3_Nokia_Rajasalmi,2020/04/02,2,"17 HA + AV",,1,,,1,1,6,8,9,6,7,8,6,5,2,4,5,4,3,3,1,1,,
462,vt3_Nokia_Rajasalmi,2020/04/03,1,"11 HA-PA",72,30,26,32,62,320,644,842,729,645,657,808,924,1112,1520,2016,1745,1225,864,598,407,320,230,133
462,vt3_Nokia_Rajasalmi,2020/04/03,1,"12 KAIP",8,7,5,2,14,26,43,61,62,70,73,63,68,75,67,59,39,23,18,8,13,6,3,7
462,vt3_Nokia_Rajasalmi,2020/04/03,1,"13 Linja-autot",1,,,,1,3,4,1,1,5,,3,4,4,1,3,1,2,1,,2,,,
462,vt3_Nokia_Rajasalmi,2020/04/03,1,"14 KAPP",11,8,2,3,6,9,20,26,30,30,25,18,21,22,25,13,18,10,9,9,5,6,3,3
462,vt3_Nokia_Rajasalmi,2020/04/03,1,"15 KATP",22,20,9,12,8,23,26,30,41,34,46,50,46,35,40,40,39,29,31,21,27,21,25,19
