"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
535,kt62_Imatra_raja1,2020/04/01,1,"11 HA-PA",,,,,,15,3,11,3,,1,2,8,8,2,1,4,2,1,4,2,6,,
535,kt62_Imatra_raja1,2020/04/01,1,"12 KAIP",1,,,,,,,,,,5,1,4,,1,,,,,,,,,
535,kt62_Imatra_raja1,2020/04/01,1,"14 KAPP",3,1,,,,2,1,2,6,3,5,8,3,7,1,5,3,4,3,8,1,4,3,4
535,kt62_Imatra_raja1,2020/04/01,1,"15 KATP",,,,,,,,,,,,,,,,,1,,,,,,,
535,kt62_Imatra_raja1,2020/04/01,1,"16 HA + PK",,,,,,,,,,,,,,,,,,,,,,,,1
535,kt62_Imatra_raja1,2020/04/01,1,"17 HA + AV",,,,1,,,,,,1,,1,,,,,,1,,,,,,
535,kt62_Imatra_raja1,2020/04/01,2,"11 HA-PA",,,,,1,,11,1,1,,1,2,1,7,9,7,11,5,2,1,5,6,5,
535,kt62_Imatra_raja1,2020/04/01,2,"12 KAIP",4,2,1,,,,2,,,1,,,,,1,,,,,1,,,,1
535,kt62_Imatra_raja1,2020/04/01,2,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
535,kt62_Imatra_raja1,2020/04/01,2,"14 KAPP",4,1,3,1,5,,4,2,,2,3,1,4,2,4,3,4,,8,1,,2,4,9
535,kt62_Imatra_raja1,2020/04/01,2,"15 KATP",,,,,,,1,,,,,,,,1,1,,,,,,1,,
535,kt62_Imatra_raja1,2020/04/01,2,"16 HA + PK",1,,,,1,,,,,,,,,,,,,,,,,,,
535,kt62_Imatra_raja1,2020/04/01,2,"17 HA + AV",,,,1,,,3,,,,,,,,,,,,,,,,,
535,kt62_Imatra_raja1,2020/04/02,1,"11 HA-PA",1,,,,,15,2,12,4,1,,1,8,8,3,2,,,2,3,4,8,,
535,kt62_Imatra_raja1,2020/04/02,1,"12 KAIP",,,,,,,,,1,1,5,3,2,,,1,,1,,,,,,
535,kt62_Imatra_raja1,2020/04/02,1,"13 Linja-autot",,,1,,,,,,1,,,,,,1,,,,1,,,,,1
535,kt62_Imatra_raja1,2020/04/02,1,"14 KAPP",2,,1,1,4,2,1,1,5,2,6,2,2,,6,8,11,9,5,5,,1,,2
535,kt62_Imatra_raja1,2020/04/02,1,"15 KATP",,,,,,,,,,,,,,,,1,,,,,,,,
535,kt62_Imatra_raja1,2020/04/02,1,"17 HA + AV",,,,,1,,,,1,,,1,,,,,,,,,,,,
535,kt62_Imatra_raja1,2020/04/02,2,"11 HA-PA",,,,,,4,9,,,,1,1,1,4,16,14,3,1,1,5,5,1,7,
535,kt62_Imatra_raja1,2020/04/02,2,"12 KAIP",,2,5,1,1,,,,,,,1,2,,,1,,,,,,,,1
535,kt62_Imatra_raja1,2020/04/02,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,,,1,
