"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
564,vt6_Vesivalo,2020/04/01,1,"11 HA-PA",11,6,8,7,19,70,265,313,225,160,138,203,199,224,294,411,347,233,171,114,80,67,50,31
564,vt6_Vesivalo,2020/04/01,1,"12 KAIP",2,3,2,4,2,7,13,26,24,20,24,15,22,20,25,7,4,4,5,,5,1,,1
564,vt6_Vesivalo,2020/04/01,1,"13 Linja-autot",,,,,,,,,,,,,,2,,,1,,,,2,,,
564,vt6_Vesivalo,2020/04/01,1,"14 KAPP",6,1,2,1,2,1,4,11,12,10,17,16,16,13,9,10,17,12,15,15,8,5,4,4
564,vt6_Vesivalo,2020/04/01,1,"15 KATP",6,10,12,5,8,10,22,25,26,23,13,20,21,25,26,21,24,20,22,17,14,11,13,10
564,vt6_Vesivalo,2020/04/01,1,"16 HA + PK",,,,,,1,4,2,2,3,2,6,4,4,7,6,3,4,7,1,,,,
564,vt6_Vesivalo,2020/04/01,1,"17 HA + AV",,,2,,,,1,1,2,2,1,1,1,1,2,,1,4,,,1,,1,
564,vt6_Vesivalo,2020/04/01,2,"11 HA-PA",8,14,5,11,26,103,373,295,194,175,167,170,202,279,275,363,337,221,154,105,86,56,39,23
564,vt6_Vesivalo,2020/04/01,2,"12 KAIP",2,4,1,3,2,3,12,15,15,22,22,16,17,21,19,16,10,4,1,4,1,,3,1
564,vt6_Vesivalo,2020/04/01,2,"13 Linja-autot",,,,,,,,1,,,,,1,,,,,,,,,,,
564,vt6_Vesivalo,2020/04/01,2,"14 KAPP",3,6,2,2,4,3,5,5,12,17,11,18,10,10,13,17,12,15,8,11,9,2,6,10
564,vt6_Vesivalo,2020/04/01,2,"15 KATP",7,3,5,10,11,11,14,27,20,20,27,32,20,15,26,31,25,29,21,12,10,9,16,17
564,vt6_Vesivalo,2020/04/01,2,"16 HA + PK",2,,,,,,,2,2,1,4,7,1,4,8,10,7,7,1,2,2,1,,
564,vt6_Vesivalo,2020/04/01,2,"17 HA + AV",1,,1,,1,,2,,,,3,2,1,1,,1,,,,,1,,,
564,vt6_Vesivalo,2020/04/02,1,"11 HA-PA",16,11,7,7,17,71,263,323,178,179,179,197,218,215,273,418,346,227,170,116,95,79,66,15
564,vt6_Vesivalo,2020/04/02,1,"12 KAIP",3,1,,2,4,6,14,33,19,15,23,16,17,17,21,5,7,7,2,,3,1,1,3
564,vt6_Vesivalo,2020/04/02,1,"13 Linja-autot",,1,,,,,1,,1,,1,,,,,1,1,2,,,1,,,
564,vt6_Vesivalo,2020/04/02,1,"14 KAPP",1,3,2,,3,,2,8,11,7,15,12,14,14,19,22,18,20,8,11,7,6,4,
564,vt6_Vesivalo,2020/04/02,1,"15 KATP",13,7,6,12,13,7,15,17,26,18,14,21,26,26,28,27,16,24,7,13,14,17,9,11
564,vt6_Vesivalo,2020/04/02,1,"16 HA + PK",,,,,,1,2,6,4,4,6,4,4,4,5,4,2,1,1,,1,,,
564,vt6_Vesivalo,2020/04/02,1,"17 HA + AV",,,,,,1,,1,1,,3,1,,3,1,,,1,,,,,,
564,vt6_Vesivalo,2020/04/02,2,"11 HA-PA",11,9,6,13,26,109,370,291,198,181,181,179,209,255,255,390,328,186,137,87,80,81,50,16
564,vt6_Vesivalo,2020/04/02,2,"12 KAIP",,1,4,,3,3,9,21,19,19,22,16,18,14,24,17,4,4,2,2,,3,1,
564,vt6_Vesivalo,2020/04/02,2,"13 Linja-autot",,,,,,,,2,1,,1,1,1,,,,,,,,,,,
564,vt6_Vesivalo,2020/04/02,2,"14 KAPP",2,4,5,8,5,4,,5,10,8,12,9,13,13,17,7,7,8,13,11,9,5,4,2
564,vt6_Vesivalo,2020/04/02,2,"15 KATP",8,6,9,4,8,16,18,27,16,21,20,25,22,18,23,21,27,28,22,11,10,6,14,11
564,vt6_Vesivalo,2020/04/02,2,"16 HA + PK",,,,,,,2,2,4,1,2,5,3,4,4,4,3,3,1,1,,,2,
564,vt6_Vesivalo,2020/04/02,2,"17 HA + AV",,3,1,1,1,,,2,1,1,3,1,3,1,,1,1,,,,,,,
564,vt6_Vesivalo,2020/04/03,1,"11 HA-PA",16,18,7,7,17,69,253,296,182,189,200,223,231,316,343,425,389,261,214,139,90,69,64,19
564,vt6_Vesivalo,2020/04/03,1,"12 KAIP",2,1,,1,4,5,19,22,25,15,19,9,13,18,13,8,5,3,2,,1,3,2,1
564,vt6_Vesivalo,2020/04/03,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,1,,,
564,vt6_Vesivalo,2020/04/03,1,"14 KAPP",,4,5,1,4,2,2,3,10,5,13,13,20,18,8,11,10,8,7,6,2,1,1,1
564,vt6_Vesivalo,2020/04/03,1,"15 KATP",9,9,4,6,11,17,18,23,31,19,27,12,19,23,20,15,17,13,12,9,12,8,7,5
564,vt6_Vesivalo,2020/04/03,1,"16 HA + PK",,,1,,,,2,3,2,7,4,5,5,3,8,7,9,8,7,4,1,1,1,
564,vt6_Vesivalo,2020/04/03,1,"17 HA + AV",,,,,1,,,1,1,4,,3,4,2,1,,,,2,,,,,
564,vt6_Vesivalo,2020/04/03,2,"11 HA-PA",9,5,6,7,25,116,344,271,189,173,175,218,236,300,310,367,290,220,164,103,81,61,31,20
564,vt6_Vesivalo,2020/04/03,2,"12 KAIP",3,,3,1,6,1,10,11,12,17,18,12,22,20,12,9,8,4,1,5,1,2,3,
564,vt6_Vesivalo,2020/04/03,2,"13 Linja-autot",,,,,,,,1,,,,,1,1,,1,,1,,,,,1,
564,vt6_Vesivalo,2020/04/03,2,"14 KAPP",4,2,3,2,5,1,9,6,9,7,12,15,9,11,14,7,9,9,7,7,5,4,3,2
564,vt6_Vesivalo,2020/04/03,2,"15 KATP",3,5,2,6,7,14,25,28,16,32,23,21,19,23,21,17,12,8,13,10,8,10,8,4
564,vt6_Vesivalo,2020/04/03,2,"16 HA + PK",,,,,1,,2,3,4,6,1,4,9,4,5,5,6,6,,1,1,3,,
564,vt6_Vesivalo,2020/04/03,2,"17 HA + AV",3,1,,,2,1,1,,,,,1,2,,,2,,,,,,,,
564,vt6_Vesivalo,2020/04/04,1,"11 HA-PA",34,17,13,9,9,34,66,82,90,140,158,192,246,192,205,195,156,126,114,73,68,58,58,25
564,vt6_Vesivalo,2020/04/04,1,"12 KAIP",4,,,1,1,4,1,,3,2,3,,5,3,,3,2,6,3,,1,1,1,2
564,vt6_Vesivalo,2020/04/04,1,"13 Linja-autot",,,,,1,,,,,,,,,,,,,,,,1,,,
564,vt6_Vesivalo,2020/04/04,1,"14 KAPP",2,7,7,2,2,1,2,5,4,2,5,6,3,8,4,3,3,5,2,1,4,1,1,2
564,vt6_Vesivalo,2020/04/04,1,"15 KATP",1,5,3,4,4,4,4,10,7,5,6,8,8,7,1,6,7,3,3,2,2,3,,2
564,vt6_Vesivalo,2020/04/04,1,"16 HA + PK",,,,1,,,,2,5,11,17,12,12,10,6,12,5,2,4,1,1,,,
564,vt6_Vesivalo,2020/04/04,1,"17 HA + AV",,,,,,,,1,3,,,,2,,,,,,,,,1,,
564,vt6_Vesivalo,2020/04/04,2,"11 HA-PA",25,10,15,10,13,40,62,56,60,111,135,150,183,221,236,183,175,144,95,97,88,60,32,20
564,vt6_Vesivalo,2020/04/04,2,"12 KAIP",1,,1,2,2,2,,6,4,1,3,2,2,3,3,3,2,2,2,,2,2,1,1
564,vt6_Vesivalo,2020/04/04,2,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
564,vt6_Vesivalo,2020/04/04,2,"14 KAPP",4,2,2,,1,1,3,2,5,9,3,2,6,4,2,7,4,7,6,7,1,1,1,3
564,vt6_Vesivalo,2020/04/04,2,"15 KATP",6,3,2,,2,9,8,5,2,7,6,6,8,6,5,3,4,6,3,3,,,4,3
564,vt6_Vesivalo,2020/04/04,2,"16 HA + PK",,,,,,,,2,3,7,7,4,12,5,10,12,6,7,3,3,1,,,1
564,vt6_Vesivalo,2020/04/04,2,"17 HA + AV",,,,,,,,1,,,,,3,1,,,,,1,,,,,
564,vt6_Vesivalo,2020/04/05,1,"11 HA-PA",22,18,12,5,6,17,34,53,38,82,110,168,192,203,194,212,145,124,131,110,88,73,46,15
564,vt6_Vesivalo,2020/04/05,1,"12 KAIP",1,1,,,,,,,,1,,2,1,,1,1,2,,1,3,,,,2
564,vt6_Vesivalo,2020/04/05,1,"13 Linja-autot",,,,,,,,,,,1,,1,,,,,,,,1,,,
564,vt6_Vesivalo,2020/04/05,1,"14 KAPP",4,1,4,2,3,2,2,1,2,1,3,4,6,7,,4,1,2,3,5,3,1,3,5
564,vt6_Vesivalo,2020/04/05,1,"15 KATP",4,,1,,,4,,2,4,3,5,6,3,7,4,2,4,5,11,2,8,6,6,2
564,vt6_Vesivalo,2020/04/05,1,"16 HA + PK",,,,,,,,1,2,5,5,7,7,7,7,3,2,2,1,3,4,,,
564,vt6_Vesivalo,2020/04/05,1,"17 HA + AV",1,,,,,,,,,,,,,,,2,,1,,,,,,
564,vt6_Vesivalo,2020/04/05,2,"11 HA-PA",19,12,11,2,7,26,51,40,36,76,90,152,206,248,274,263,226,223,174,142,110,69,27,23
564,vt6_Vesivalo,2020/04/05,2,"12 KAIP",1,,,,1,,,,1,,,,,,2,2,1,2,5,5,,,,
564,vt6_Vesivalo,2020/04/05,2,"13 Linja-autot",,,,,,,,,,,1,,,1,,,,,,,,,,
564,vt6_Vesivalo,2020/04/05,2,"14 KAPP",9,1,2,1,1,1,2,2,1,2,3,3,8,3,7,14,4,8,6,2,4,4,4,1
564,vt6_Vesivalo,2020/04/05,2,"15 KATP",2,2,,1,1,,3,,3,3,4,6,8,4,5,6,6,2,6,4,5,8,10,2
564,vt6_Vesivalo,2020/04/05,2,"16 HA + PK",,,,,,,,,1,2,11,2,4,10,14,12,9,7,6,4,2,1,,
564,vt6_Vesivalo,2020/04/05,2,"17 HA + AV",,,,,,,,,,,,,,,,,,1,,,,,,
564,vt6_Vesivalo,2020/04/06,1,"11 HA-PA",13,6,6,9,13,87,279,343,210,204,190,210,214,233,329,427,361,204,153,97,65,64,65,18
564,vt6_Vesivalo,2020/04/06,1,"12 KAIP",,,,1,2,2,15,26,17,16,11,13,9,15,17,6,5,8,6,2,3,1,,2
