"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
573,vt7_Hamina_Summa,2020/04/01,1,"11 HA-PA",17,9,5,8,11,77,390,409,238,191,195,216,234,272,362,481,401,273,209,139,99,114,97,37
573,vt7_Hamina_Summa,2020/04/01,1,"12 KAIP",,5,,,1,6,9,16,13,15,16,9,9,13,13,10,6,2,4,1,3,1,2,
573,vt7_Hamina_Summa,2020/04/01,1,"13 Linja-autot",,,,,1,,,,2,1,,,1,,,1,1,1,,,,,,
573,vt7_Hamina_Summa,2020/04/01,1,"14 KAPP",3,3,,2,4,3,7,10,16,15,17,26,14,22,20,23,18,26,17,6,3,5,5,7
573,vt7_Hamina_Summa,2020/04/01,1,"15 KATP",14,7,9,6,4,7,18,30,15,26,22,32,28,35,23,30,19,17,18,14,13,9,13,9
573,vt7_Hamina_Summa,2020/04/01,1,"16 HA + PK",,,,,,1,3,2,1,6,3,4,3,3,8,8,3,4,2,4,,2,,
573,vt7_Hamina_Summa,2020/04/01,1,"17 HA + AV",,,,,,,1,,1,2,1,2,,,,1,,,,1,,,,
573,vt7_Hamina_Summa,2020/04/01,2,"11 HA-PA",11,11,5,10,25,160,379,344,180,190,156,230,209,283,280,409,314,241,222,116,114,67,65,23
573,vt7_Hamina_Summa,2020/04/01,2,"12 KAIP",1,1,,,3,2,11,13,14,15,12,8,6,13,6,11,10,5,6,4,4,1,1,1
573,vt7_Hamina_Summa,2020/04/01,2,"13 Linja-autot",,,,,,1,1,,2,1,1,2,1,2,,3,,2,2,,1,,,
573,vt7_Hamina_Summa,2020/04/01,2,"14 KAPP",2,3,3,3,2,4,6,4,10,25,16,17,14,17,9,13,12,13,5,8,10,1,1,5
573,vt7_Hamina_Summa,2020/04/01,2,"15 KATP",5,8,6,9,10,12,24,23,21,25,36,28,34,39,35,22,26,16,15,18,11,14,8,13
573,vt7_Hamina_Summa,2020/04/01,2,"16 HA + PK",,,,,,3,3,7,3,7,5,7,6,8,6,11,5,5,4,2,1,,,
573,vt7_Hamina_Summa,2020/04/01,2,"17 HA + AV",1,,3,,1,,3,1,1,1,2,2,,1,2,1,1,1,,1,,,,
573,vt7_Hamina_Summa,2020/04/02,1,"11 HA-PA",18,19,11,13,10,67,404,372,210,142,171,216,210,276,382,499,431,295,184,164,112,119,62,18
573,vt7_Hamina_Summa,2020/04/02,1,"12 KAIP",1,2,1,,1,3,8,13,17,14,12,11,13,15,11,14,7,4,4,3,2,1,1,2
573,vt7_Hamina_Summa,2020/04/02,1,"13 Linja-autot",,,,,,,,,,,,,1,,1,,1,,,,,,,
573,vt7_Hamina_Summa,2020/04/02,1,"14 KAPP",4,5,4,1,2,4,9,11,11,26,32,30,24,31,21,34,33,31,15,13,6,4,2,12
573,vt7_Hamina_Summa,2020/04/02,1,"15 KATP",9,9,10,7,5,12,15,23,25,34,28,32,32,21,22,25,18,16,21,11,16,11,13,11
573,vt7_Hamina_Summa,2020/04/02,1,"16 HA + PK",,,,,,,,,,1,2,3,3,8,7,2,2,4,3,4,,1,,
573,vt7_Hamina_Summa,2020/04/02,1,"17 HA + AV",,,,,,,,1,1,2,,,,,1,,,3,,,,1,1,
573,vt7_Hamina_Summa,2020/04/02,2,"11 HA-PA",16,11,8,12,27,150,362,331,165,147,156,201,235,280,267,412,351,206,222,127,107,67,46,25
573,vt7_Hamina_Summa,2020/04/02,2,"12 KAIP",,2,,,1,6,8,13,11,15,17,15,12,10,11,7,15,3,3,5,,1,1,3
573,vt7_Hamina_Summa,2020/04/02,2,"13 Linja-autot",,,1,,,,,,1,1,,,1,2,,2,1,,,,1,,,
573,vt7_Hamina_Summa,2020/04/02,2,"14 KAPP",1,6,2,5,2,9,6,7,11,26,14,16,26,16,18,13,9,9,17,13,10,9,2,2
573,vt7_Hamina_Summa,2020/04/02,2,"15 KATP",8,10,2,6,7,14,22,25,34,28,31,34,24,39,28,24,24,23,19,17,13,11,4,9
573,vt7_Hamina_Summa,2020/04/02,2,"16 HA + PK",1,,,,,,2,3,7,5,6,5,7,2,4,5,7,4,5,3,,1,,1
573,vt7_Hamina_Summa,2020/04/02,2,"17 HA + AV",,,,2,2,,,,,1,,,,3,1,,2,,1,1,1,,,
573,vt7_Hamina_Summa,2020/04/03,1,"11 HA-PA",21,17,9,11,11,77,371,373,229,178,207,255,283,317,467,543,441,273,229,158,117,122,80,30
