"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
587,vt6_Somerharju,2020/04/01,1,"11 HA-PA",2,5,2,1,3,19,57,36,48,41,35,44,37,44,50,60,78,54,39,27,19,12,11,4
587,vt6_Somerharju,2020/04/01,1,"12 KAIP",2,,1,1,2,2,4,8,4,6,6,3,2,4,2,10,6,5,4,2,4,3,,1
587,vt6_Somerharju,2020/04/01,1,"13 Linja-autot",,,,,,,,1,,,,1,,,,2,1,,,,,,,
587,vt6_Somerharju,2020/04/01,1,"14 KAPP",3,3,4,1,3,4,6,8,4,7,5,10,9,10,8,12,7,7,8,7,3,2,4,2
587,vt6_Somerharju,2020/04/01,1,"15 KATP",12,16,10,8,12,8,11,13,10,21,22,22,16,18,16,25,19,15,28,9,14,5,16,7
587,vt6_Somerharju,2020/04/01,1,"16 HA + PK",,,,,,1,,3,3,1,2,3,9,3,3,6,3,2,,,1,1,,
587,vt6_Somerharju,2020/04/01,1,"17 HA + AV",,1,,,,1,2,2,2,2,1,1,2,,,1,2,,,,,,,3
587,vt6_Somerharju,2020/04/01,2,"11 HA-PA",1,2,2,5,5,13,40,56,37,42,34,52,55,56,61,82,64,42,42,18,23,13,5,7
587,vt6_Somerharju,2020/04/01,2,"12 KAIP",1,,,1,,2,5,3,5,3,6,6,8,3,10,6,8,4,2,2,2,,,
587,vt6_Somerharju,2020/04/01,2,"14 KAPP",3,3,3,,3,5,2,3,10,4,4,8,11,5,7,11,10,10,5,10,5,5,2,2
587,vt6_Somerharju,2020/04/01,2,"15 KATP",2,5,4,9,4,12,7,12,13,14,15,22,27,22,13,18,20,23,29,18,10,13,6,8
587,vt6_Somerharju,2020/04/01,2,"16 HA + PK",,,,,,,5,2,4,2,5,3,3,9,1,3,5,3,2,,,1,1,1
587,vt6_Somerharju,2020/04/01,2,"17 HA + AV",,,,,,,,1,3,2,1,,,3,3,1,2,2,1,,,,,
587,vt6_Somerharju,2020/04/02,1,"11 HA-PA",4,6,2,3,8,14,48,50,42,36,34,47,46,30,54,52,58,59,48,33,22,17,8,6
587,vt6_Somerharju,2020/04/02,1,"12 KAIP",,,,1,1,,2,8,1,5,6,1,2,3,4,6,3,3,3,1,2,3,1,2
587,vt6_Somerharju,2020/04/02,1,"13 Linja-autot",,,,,,,,,2,,,,,,,,,,,,,,,
587,vt6_Somerharju,2020/04/02,1,"14 KAPP",4,6,7,3,2,2,3,6,3,7,6,14,11,11,18,10,16,10,7,4,6,4,1,2
587,vt6_Somerharju,2020/04/02,1,"15 KATP",12,10,17,8,4,12,9,9,16,14,17,25,23,31,25,27,16,15,15,18,11,16,8,13
587,vt6_Somerharju,2020/04/02,1,"16 HA + PK",1,,,,1,,4,2,7,1,2,6,2,3,2,3,2,2,3,3,,2,,
587,vt6_Somerharju,2020/04/02,1,"17 HA + AV",,,,,1,1,,,,2,,2,,2,1,,2,1,2,,,,,1
587,vt6_Somerharju,2020/04/02,2,"11 HA-PA",3,1,2,3,5,11,33,49,38,24,33,41,55,55,45,65,75,49,33,20,10,7,7,4
