"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
727,vt6_Kontiolahti2,2020/04/01,1,"11 HA-PA",24,13,7,11,14,141,216,212,182,161,159,206,260,265,375,516,457,283,222,145,114,88,53,29
727,vt6_Kontiolahti2,2020/04/01,1,"12 KAIP",,2,,,2,5,9,18,8,11,12,11,9,10,11,13,7,6,1,6,5,3,2,1
727,vt6_Kontiolahti2,2020/04/01,1,"13 Linja-autot",1,,,,,1,,,2,,,1,,,,,,,1,,1,1,,
727,vt6_Kontiolahti2,2020/04/01,1,"14 KAPP",,,,1,1,2,,2,,2,2,3,2,,,3,1,1,1,,1,2,,
727,vt6_Kontiolahti2,2020/04/01,1,"15 KATP",1,4,2,4,4,2,7,4,13,9,11,5,8,10,6,9,6,7,1,7,1,4,3,
727,vt6_Kontiolahti2,2020/04/01,1,"16 HA + PK",,,,,,,6,6,9,9,4,6,7,10,12,14,11,8,5,1,3,1,1,1
727,vt6_Kontiolahti2,2020/04/01,1,"17 HA + AV",,,1,,,1,2,4,3,1,2,,2,2,1,4,2,1,1,,,,1,
727,vt6_Kontiolahti2,2020/04/01,2,"11 HA-PA",15,11,7,13,23,184,418,375,225,232,190,228,234,280,319,401,242,228,160,120,96,73,63,30
727,vt6_Kontiolahti2,2020/04/01,2,"12 KAIP",,,1,1,2,2,11,10,4,4,7,7,9,9,13,9,3,4,5,3,,,1,2
727,vt6_Kontiolahti2,2020/04/01,2,"13 Linja-autot",,1,,,,1,4,7,3,1,,1,1,1,2,1,1,3,,1,,1,,1
727,vt6_Kontiolahti2,2020/04/01,2,"14 KAPP",1,,,1,1,1,,2,,,1,1,3,,1,2,5,3,,1,2,2,,
727,vt6_Kontiolahti2,2020/04/01,2,"15 KATP",2,5,1,3,5,3,7,8,5,9,8,9,8,10,6,7,7,6,9,5,3,4,4,2
727,vt6_Kontiolahti2,2020/04/01,2,"16 HA + PK",1,,1,,,3,7,10,3,3,9,8,9,10,11,15,7,7,3,7,,1,,
727,vt6_Kontiolahti2,2020/04/01,2,"17 HA + AV",,1,,,,,1,2,1,1,3,2,3,6,2,4,3,1,,,1,,,
727,vt6_Kontiolahti2,2020/04/02,1,"11 HA-PA",17,8,6,11,15,152,197,202,190,187,201,203,239,300,374,544,444,292,207,154,113,100,57,19
727,vt6_Kontiolahti2,2020/04/02,1,"12 KAIP",,1,1,,1,9,15,13,13,10,13,7,11,10,13,5,8,7,2,6,1,1,6,1
727,vt6_Kontiolahti2,2020/04/02,1,"13 Linja-autot",,,,,,,1,4,,1,1,1,,,,2,,,,1,,,,
