"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
803,vt5_Siilinjärvi,2020/04/01,1,"11 HA-PA",11,11,7,3,18,44,142,155,100,103,100,141,154,171,186,317,297,176,146,86,51,53,38,14
803,vt5_Siilinjärvi,2020/04/01,1,"12 KAIP",,1,2,,1,5,11,5,7,5,6,5,7,6,3,5,4,5,1,9,2,,,
803,vt5_Siilinjärvi,2020/04/01,1,"13 Linja-autot",,,,,,1,2,,3,,1,,1,2,,3,3,,,,,,,
803,vt5_Siilinjärvi,2020/04/01,1,"14 KAPP",,,4,,,,2,3,1,4,3,1,2,5,1,2,2,3,4,1,2,2,,
803,vt5_Siilinjärvi,2020/04/01,1,"15 KATP",8,3,13,16,15,9,15,13,15,16,12,16,10,9,23,21,9,14,16,15,15,7,7,6
803,vt5_Siilinjärvi,2020/04/01,1,"16 HA + PK",,,1,,1,3,2,4,4,5,10,11,4,9,6,9,12,7,8,5,2,2,2,
803,vt5_Siilinjärvi,2020/04/01,1,"17 HA + AV",1,,1,,,1,3,1,3,2,3,2,3,,,4,3,,2,1,1,3,,
803,vt5_Siilinjärvi,2020/04/01,2,"11 HA-PA",5,3,1,12,27,95,262,219,131,139,120,151,142,157,153,211,214,146,109,81,73,36,20,12
803,vt5_Siilinjärvi,2020/04/01,2,"12 KAIP",,,,1,2,5,4,2,4,7,3,4,4,9,10,5,2,3,,1,2,,,
803,vt5_Siilinjärvi,2020/04/01,2,"13 Linja-autot",,,,,,,1,1,,1,,,,,1,1,3,,1,,1,,,
803,vt5_Siilinjärvi,2020/04/01,2,"14 KAPP",2,1,,1,,1,1,2,3,2,9,2,7,3,2,4,,4,3,,1,1,1,
803,vt5_Siilinjärvi,2020/04/01,2,"15 KATP",5,5,5,5,3,9,10,6,12,15,12,22,9,22,15,21,19,12,16,13,18,12,10,6
803,vt5_Siilinjärvi,2020/04/01,2,"16 HA + PK",,,,,,1,3,4,3,12,6,5,8,8,16,8,7,7,6,2,2,,1,
803,vt5_Siilinjärvi,2020/04/01,2,"17 HA + AV",,,1,,,1,1,1,2,2,1,3,4,1,1,1,4,1,1,1,2,,,
803,vt5_Siilinjärvi,2020/04/02,1,"11 HA-PA",7,6,5,9,15,42,130,137,133,118,117,138,165,156,229,319,296,194,134,108,73,52,26,18
