"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
902,vt4_Äänekoski,2020/04/01,1,"11 HA-PA",6,2,4,3,5,13,38,44,41,48,66,70,86,87,70,124,108,97,43,49,33,30,19,8
902,vt4_Äänekoski,2020/04/01,1,"12 KAIP",1,,,,1,1,4,8,1,,4,2,7,3,3,6,2,,1,1,2,,1,
902,vt4_Äänekoski,2020/04/01,1,"13 Linja-autot",,,,,,,1,,,,,,,1,1,2,1,,1,,,,1,
902,vt4_Äänekoski,2020/04/01,1,"14 KAPP",1,2,,2,,1,3,5,1,2,3,6,10,9,5,10,4,4,12,4,9,5,2,1
902,vt4_Äänekoski,2020/04/01,1,"15 KATP",12,16,12,10,10,11,8,8,15,12,10,15,14,17,20,14,14,16,27,9,19,21,23,12
902,vt4_Äänekoski,2020/04/01,1,"16 HA + PK",1,,,,,,1,6,4,2,2,4,3,1,4,3,4,4,3,6,1,1,2,2
902,vt4_Äänekoski,2020/04/01,1,"17 HA + AV",,,,1,2,1,,,,1,,2,,,2,,,,,2,,1,,
902,vt4_Äänekoski,2020/04/01,2,"11 HA-PA",5,6,7,8,8,43,67,63,47,54,50,67,79,89,85,102,92,75,52,59,31,26,11,13
902,vt4_Äänekoski,2020/04/01,2,"12 KAIP",,1,,1,,1,3,1,7,2,3,3,,4,5,5,5,4,4,1,1,,,
902,vt4_Äänekoski,2020/04/01,2,"13 Linja-autot",1,,1,,,,1,,2,1,1,,2,2,,,,,1,1,,,,2
902,vt4_Äänekoski,2020/04/01,2,"14 KAPP",1,1,,1,,,2,7,5,10,5,6,5,4,11,10,9,7,10,16,7,5,2,1
902,vt4_Äänekoski,2020/04/01,2,"15 KATP",13,12,12,9,8,11,9,18,7,12,10,14,20,18,14,21,31,30,19,28,19,25,19,15
902,vt4_Äänekoski,2020/04/01,2,"16 HA + PK",,,1,,,1,,,2,2,1,2,9,5,5,4,5,1,1,4,1,3,2,
902,vt4_Äänekoski,2020/04/01,2,"17 HA + AV",,,,1,,,,,1,1,2,,,,1,,3,2,,1,1,,1,
902,vt4_Äänekoski,2020/04/02,1,"11 HA-PA",13,6,10,2,2,12,51,58,48,45,76,74,78,89,104,138,130,110,94,70,47,31,37,9
902,vt4_Äänekoski,2020/04/02,1,"12 KAIP",,1,1,1,,2,2,5,2,4,8,4,3,5,2,7,2,2,4,4,1,4,2,
902,vt4_Äänekoski,2020/04/02,1,"13 Linja-autot",,,1,,1,,,,,,2,,1,,2,2,1,,,,,,1,
902,vt4_Äänekoski,2020/04/02,1,"14 KAPP",,2,1,2,,1,1,2,4,2,4,8,4,8,8,8,8,3,2,4,4,4,,1
902,vt4_Äänekoski,2020/04/02,1,"15 KATP",18,16,16,13,8,8,19,12,14,14,14,19,13,22,18,30,15,18,23,20,14,32,15,22
902,vt4_Äänekoski,2020/04/02,1,"16 HA + PK",1,,1,,,,,2,3,4,4,4,5,3,5,7,5,5,4,1,2,1,1,
902,vt4_Äänekoski,2020/04/02,1,"17 HA + AV",,,,,,,1,1,4,1,1,1,3,4,2,3,3,3,1,,,1,,
902,vt4_Äänekoski,2020/04/02,2,"11 HA-PA",8,5,11,7,10,40,60,61,51,62,57,68,80,97,99,84,119,81,59,68,32,27,16,10
902,vt4_Äänekoski,2020/04/02,2,"12 KAIP",1,1,,1,,1,2,1,7,2,2,5,2,3,2,2,4,4,1,4,,1,,
902,vt4_Äänekoski,2020/04/02,2,"13 Linja-autot",,,,,,,1,,2,,,,,1,,1,1,,,1,,,,
902,vt4_Äänekoski,2020/04/02,2,"14 KAPP",1,,1,1,,3,2,2,2,5,7,7,11,10,12,4,6,11,4,9,4,5,3,3
902,vt4_Äänekoski,2020/04/02,2,"15 KATP",5,14,5,9,9,15,9,12,17,10,15,16,16,17,19,17,15,23,17,19,22,16,16,9
902,vt4_Äänekoski,2020/04/02,2,"16 HA + PK",2,,,,,,3,,3,,3,3,4,1,9,4,5,,5,2,4,1,2,
902,vt4_Äänekoski,2020/04/02,2,"17 HA + AV",1,1,,,,,1,,,1,1,,2,1,1,1,4,3,,,3,,,
902,vt4_Äänekoski,2020/04/03,1,"11 HA-PA",8,4,2,4,3,15,51,34,57,68,87,92,112,103,142,180,136,114,86,72,47,29,27,17
902,vt4_Äänekoski,2020/04/03,1,"12 KAIP",,,,2,1,,2,1,4,2,,3,4,5,4,3,5,2,,,1,,1,
902,vt4_Äänekoski,2020/04/03,1,"13 Linja-autot",,1,1,,,,1,,,,1,,,,,2,1,,,,,,1,
902,vt4_Äänekoski,2020/04/03,1,"14 KAPP",,1,3,,1,2,2,,3,3,4,1,2,1,3,2,4,2,4,2,,,1,2
902,vt4_Äänekoski,2020/04/03,1,"15 KATP",10,13,20,8,6,10,15,17,14,12,15,10,14,12,23,16,16,10,20,12,12,16,18,13
902,vt4_Äänekoski,2020/04/03,1,"16 HA + PK",,,,,1,,3,1,3,3,4,4,4,8,4,4,5,7,11,2,5,1,,
902,vt4_Äänekoski,2020/04/03,1,"17 HA + AV",,,,2,,,,,1,2,1,2,1,1,2,,1,,1,,,1,,
902,vt4_Äänekoski,2020/04/03,2,"11 HA-PA",7,8,6,6,14,40,61,53,47,54,71,83,84,102,107,112,114,91,55,51,38,32,22,14
902,vt4_Äänekoski,2020/04/03,2,"12 KAIP",,1,,1,1,,1,3,3,1,3,5,3,2,3,8,1,3,3,,,3,,2
902,vt4_Äänekoski,2020/04/03,2,"13 Linja-autot",,,,,,,,,1,1,,,,1,1,1,,,,,,,,1
902,vt4_Äänekoski,2020/04/03,2,"14 KAPP",3,,,1,3,2,4,4,8,7,5,6,8,7,5,5,5,10,4,7,1,4,2,
902,vt4_Äänekoski,2020/04/03,2,"15 KATP",13,9,7,10,7,16,8,9,18,12,13,13,8,18,21,13,15,26,10,12,10,17,13,11
902,vt4_Äänekoski,2020/04/03,2,"16 HA + PK",,,,,,1,2,,,6,4,2,4,3,5,7,2,3,7,4,2,1,,1
902,vt4_Äänekoski,2020/04/03,2,"17 HA + AV",,,,,,,,,2,,1,1,,,2,2,1,,,1,,,,
902,vt4_Äänekoski,2020/04/04,1,"11 HA-PA",8,6,4,3,6,20,40,39,60,92,109,95,110,101,97,98,60,50,51,29,39,24,14,8
902,vt4_Äänekoski,2020/04/04,1,"12 KAIP",,,,1,,,,1,,,1,,1,4,2,1,1,,2,,,,,1
902,vt4_Äänekoski,2020/04/04,1,"13 Linja-autot",,,1,,,,1,,,,,,1,,,1,1,,,,,,,
902,vt4_Äänekoski,2020/04/04,1,"14 KAPP",,1,,,,2,1,,1,,1,,2,3,2,3,,2,,1,3,,,
902,vt4_Äänekoski,2020/04/04,1,"15 KATP",12,13,14,9,9,3,6,10,12,7,6,4,6,5,3,8,4,7,6,3,2,3,3,
902,vt4_Äänekoski,2020/04/04,1,"16 HA + PK",,1,,1,1,3,2,1,6,9,11,9,13,10,5,2,5,1,4,4,1,,1,2
902,vt4_Äänekoski,2020/04/04,1,"17 HA + AV",,,,,,,,3,,,1,1,1,,1,1,,,1,,,,,
902,vt4_Äänekoski,2020/04/04,2,"11 HA-PA",7,9,4,3,7,8,13,19,26,43,58,80,97,85,135,118,129,84,86,49,36,35,16,17
902,vt4_Äänekoski,2020/04/04,2,"12 KAIP",,1,1,,,,1,,1,,,2,2,2,,2,3,1,,,,1,1,
902,vt4_Äänekoski,2020/04/04,2,"13 Linja-autot",,,,,,,,,,,2,,,1,,,,,,1,,,,1
902,vt4_Äänekoski,2020/04/04,2,"14 KAPP",,,3,2,,,3,1,,4,4,2,2,,1,1,2,1,1,1,1,2,2,1
902,vt4_Äänekoski,2020/04/04,2,"15 KATP",6,11,4,7,4,5,13,10,11,7,7,4,6,1,4,2,12,4,2,4,1,4,,
902,vt4_Äänekoski,2020/04/04,2,"16 HA + PK",1,,,,,,,,2,1,4,2,5,10,7,6,12,3,9,3,2,3,1,
902,vt4_Äänekoski,2020/04/04,2,"17 HA + AV",1,,,,,,,1,1,2,1,,1,1,1,2,,1,,,1,2,,
902,vt4_Äänekoski,2020/04/05,1,"11 HA-PA",9,7,8,6,4,13,12,22,32,59,65,66,83,103,81,85,88,77,66,59,24,23,22,7
902,vt4_Äänekoski,2020/04/05,1,"12 KAIP",,1,,,,,,,,,1,,,5,3,1,3,1,2,3,,,,
902,vt4_Äänekoski,2020/04/05,1,"13 Linja-autot",,,,,,,1,,,,,,1,3,,1,1,,,2,2,,,
902,vt4_Äänekoski,2020/04/05,1,"14 KAPP",,,,,,,,,1,,1,5,1,7,8,4,8,,5,6,10,3,2,1
902,vt4_Äänekoski,2020/04/05,1,"15 KATP",1,1,3,2,,,3,2,4,5,2,6,3,3,4,4,7,4,7,10,18,7,9,4
902,vt4_Äänekoski,2020/04/05,1,"16 HA + PK",,,,,,,1,1,1,1,2,2,3,8,3,2,2,4,5,3,1,2,,1
902,vt4_Äänekoski,2020/04/05,1,"17 HA + AV",,,,,,,1,,,1,,1,2,1,1,,1,3,,,1,,,
902,vt4_Äänekoski,2020/04/05,2,"11 HA-PA",13,10,8,9,3,5,8,5,21,31,62,51,94,107,146,151,141,157,138,99,79,43,28,13
902,vt4_Äänekoski,2020/04/05,2,"12 KAIP",,,,1,,,,,,,1,,,1,,,4,4,2,1,,1,,
902,vt4_Äänekoski,2020/04/05,2,"13 Linja-autot",,,,,,,,,,,,,,1,,1,,,,,,,3,2
902,vt4_Äänekoski,2020/04/05,2,"14 KAPP",1,,,1,,,,1,1,2,,,1,4,3,,3,2,2,2,2,,1,1
902,vt4_Äänekoski,2020/04/05,2,"15 KATP",5,5,1,2,4,3,5,5,1,4,6,4,6,7,8,15,12,10,17,11,8,9,4,2
902,vt4_Äänekoski,2020/04/05,2,"16 HA + PK",,,,,2,,,1,1,,3,4,2,5,9,9,10,15,11,5,3,,1,
902,vt4_Äänekoski,2020/04/05,2,"17 HA + AV",1,,,,,,,1,,,,,,2,2,2,1,1,1,,,,,
902,vt4_Äänekoski,2020/04/06,1,"11 HA-PA",5,3,4,7,12,23,43,58,65,54,60,73,67,94,91,118,94,90,34,49,34,22,10,9
902,vt4_Äänekoski,2020/04/06,1,"12 KAIP",,,2,,,1,4,3,6,3,1,1,,2,1,6,2,4,1,3,1,3,1,2
902,vt4_Äänekoski,2020/04/06,1,"13 Linja-autot",,,1,,,,,,,,,,1,2,1,2,,,,1,,,1,
902,vt4_Äänekoski,2020/04/06,1,"14 KAPP",,1,1,1,,1,3,2,1,5,1,3,6,5,8,6,12,6,10,3,7,8,1,
902,vt4_Äänekoski,2020/04/06,1,"15 KATP",7,2,3,7,5,7,9,18,11,10,10,15,14,19,20,18,22,28,20,27,17,26,24,20
902,vt4_Äänekoski,2020/04/06,1,"16 HA + PK",1,,,,,2,1,2,3,5,5,8,3,4,1,7,5,1,2,4,1,,,1
902,vt4_Äänekoski,2020/04/06,1,"17 HA + AV",1,,,,,,,,2,,1,,,1,1,,,,,1,1,,,
902,vt4_Äänekoski,2020/04/06,2,"11 HA-PA",6,11,6,8,24,58,82,80,87,59,74,90,70,87,85,93,111,52,47,50,26,24,18,11
902,vt4_Äänekoski,2020/04/06,2,"12 KAIP",2,,,,2,1,,5,3,5,7,4,4,4,2,1,4,2,1,2,,,,
902,vt4_Äänekoski,2020/04/06,2,"13 Linja-autot",,,,,,1,,,1,1,,,1,1,2,1,,1,,,,,1,1
902,vt4_Äänekoski,2020/04/06,2,"14 KAPP",1,,,,,,,,1,2,3,6,3,6,7,4,8,5,5,10,1,7,3,
902,vt4_Äänekoski,2020/04/06,2,"15 KATP",2,,5,7,8,13,7,11,9,12,16,19,17,24,23,31,26,28,22,14,30,27,15,11
902,vt4_Äänekoski,2020/04/06,2,"16 HA + PK",,,,,,,1,3,4,2,4,3,3,3,4,5,4,5,2,1,1,1,,
902,vt4_Äänekoski,2020/04/06,2,"17 HA + AV",,,,,,,,1,,,,4,,,,,,,1,,,,,
902,vt4_Äänekoski,2020/04/07,1,"11 HA-PA",3,6,2,1,4,16,53,55,59,89,95,96,79,103,87,125,132,91,59,56,32,22,11,6
902,vt4_Äänekoski,2020/04/07,1,"12 KAIP",1,,,,1,,3,6,4,5,2,4,3,2,3,2,2,3,1,,2,2,,
902,vt4_Äänekoski,2020/04/07,1,"13 Linja-autot",,,,,,,1,2,,1,2,,1,,,2,1,,,1,1,,,1
902,vt4_Äänekoski,2020/04/07,1,"14 KAPP",1,,1,1,1,1,4,4,5,6,,6,5,7,6,8,5,9,8,9,12,4,4,2
902,vt4_Äänekoski,2020/04/07,1,"15 KATP",9,16,18,12,8,17,12,12,15,16,16,4,22,18,19,16,26,16,29,18,29,20,32,22
902,vt4_Äänekoski,2020/04/07,1,"16 HA + PK",,,,,,1,3,2,1,,6,6,4,6,7,3,3,6,4,2,2,1,1,
902,vt4_Äänekoski,2020/04/07,1,"17 HA + AV",,,1,,,1,,,1,,,,2,2,,2,2,1,1,,1,1,1,
902,vt4_Äänekoski,2020/04/07,2,"11 HA-PA",4,1,4,5,15,38,68,69,56,59,64,70,60,71,91,94,118,90,75,52,28,33,11,2
902,vt4_Äänekoski,2020/04/07,2,"12 KAIP",,,1,,1,3,1,2,6,,3,2,2,4,3,1,4,2,3,2,2,,,
902,vt4_Äänekoski,2020/04/07,2,"13 Linja-autot",1,,,1,,,,,,3,,,1,2,,,1,,,,,,1,2
902,vt4_Äänekoski,2020/04/07,2,"14 KAPP",2,,1,2,,1,1,6,7,3,5,6,4,4,10,6,5,6,17,4,4,4,2,1
902,vt4_Äänekoski,2020/04/07,2,"15 KATP",9,16,12,15,7,8,7,17,17,18,9,18,18,22,25,24,25,28,17,24,21,15,20,21
902,vt4_Äänekoski,2020/04/07,2,"16 HA + PK",,,,,,,1,2,3,2,3,4,,3,6,6,7,5,3,2,3,1,,1
902,vt4_Äänekoski,2020/04/07,2,"17 HA + AV",1,,1,,,,,,,3,,,,,,1,,,1,1,1,1,,
