"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
903,vt9_Lievestuore,2020/04/01,1,"11 HA-PA",9,5,8,8,6,40,100,103,105,121,118,107,121,173,194,287,285,168,129,75,66,47,37,13
903,vt9_Lievestuore,2020/04/01,1,"12 KAIP",1,,1,1,2,2,6,4,8,7,8,5,3,8,5,10,5,3,7,1,3,1,1,1
903,vt9_Lievestuore,2020/04/01,1,"13 Linja-autot",,,1,,,,,,2,1,,1,1,1,,1,,,1,,,,,
903,vt9_Lievestuore,2020/04/01,1,"14 KAPP",2,,1,2,,,,1,4,7,8,6,9,8,5,1,3,6,5,3,3,2,5,
903,vt9_Lievestuore,2020/04/01,1,"15 KATP",12,24,13,9,4,9,7,4,13,11,11,13,15,9,9,18,21,16,23,15,11,13,8,12
903,vt9_Lievestuore,2020/04/01,1,"16 HA + PK",1,,,,,1,2,1,3,3,6,2,2,8,8,6,10,5,5,4,,1,1,
903,vt9_Lievestuore,2020/04/01,1,"17 HA + AV",,,,,,1,,1,,3,2,,,,1,1,1,2,,1,1,,,
903,vt9_Lievestuore,2020/04/01,2,"11 HA-PA",13,1,6,6,32,84,223,198,139,110,111,109,155,143,139,210,181,143,101,88,67,36,30,9
903,vt9_Lievestuore,2020/04/01,2,"12 KAIP",1,,3,,2,,7,5,7,5,5,11,15,8,8,9,8,8,3,2,,1,1,3
903,vt9_Lievestuore,2020/04/01,2,"13 Linja-autot",,,,,,,,1,,,1,,,1,1,1,1,,,,,,,
903,vt9_Lievestuore,2020/04/01,2,"14 KAPP",1,2,1,,1,,,,5,4,5,3,6,3,7,4,3,8,8,4,2,2,1,
903,vt9_Lievestuore,2020/04/01,2,"15 KATP",4,1,6,3,5,11,9,11,13,14,11,14,21,17,16,21,14,14,11,17,19,25,15,11
903,vt9_Lievestuore,2020/04/01,2,"16 HA + PK",,,,,,2,4,3,5,4,6,5,4,6,3,5,4,4,3,5,,,1,
903,vt9_Lievestuore,2020/04/01,2,"17 HA + AV",,,,,,,2,,,,4,1,,4,2,,1,,1,,,,,1
903,vt9_Lievestuore,2020/04/02,1,"11 HA-PA",9,9,4,6,6,47,125,100,113,93,99,123,140,183,222,285,287,180,169,99,83,45,37,16
903,vt9_Lievestuore,2020/04/02,1,"12 KAIP",2,2,1,1,,,4,2,11,6,15,5,9,11,7,1,5,6,2,,2,4,1,2
903,vt9_Lievestuore,2020/04/02,1,"13 Linja-autot",,,,,,,,,3,,,,,2,,,1,,2,,,,1,
903,vt9_Lievestuore,2020/04/02,1,"14 KAPP",4,,3,1,1,,4,5,4,6,7,2,6,9,12,8,3,2,2,1,3,1,,3
903,vt9_Lievestuore,2020/04/02,1,"15 KATP",20,15,13,8,3,6,7,5,19,11,16,19,12,18,8,16,17,13,17,11,10,12,15,14
903,vt9_Lievestuore,2020/04/02,1,"16 HA + PK",1,,,,,1,,3,,4,2,3,9,7,4,6,6,8,8,,3,,1,
903,vt9_Lievestuore,2020/04/02,1,"17 HA + AV",,,,,,,,1,,2,,1,3,,,1,,,1,1,1,,,
903,vt9_Lievestuore,2020/04/02,2,"11 HA-PA",18,7,9,9,32,78,216,176,127,109,122,126,139,141,168,224,204,152,131,87,70,53,30,14
903,vt9_Lievestuore,2020/04/02,2,"12 KAIP",,,1,,,1,2,3,5,4,7,9,8,7,13,9,11,3,1,1,3,2,1,2
903,vt9_Lievestuore,2020/04/02,2,"13 Linja-autot",,,,,,,,1,,,2,,1,2,2,,1,,1,1,,,,
903,vt9_Lievestuore,2020/04/02,2,"14 KAPP",,2,,1,,1,1,3,3,2,3,2,4,3,4,2,3,,,2,,1,1,
903,vt9_Lievestuore,2020/04/02,2,"15 KATP",8,5,4,8,6,4,11,15,15,14,13,17,14,15,18,30,20,10,12,14,16,21,12,19
903,vt9_Lievestuore,2020/04/02,2,"16 HA + PK",,,,,,1,4,5,6,3,4,4,5,10,6,3,6,4,2,2,4,,,
903,vt9_Lievestuore,2020/04/02,2,"17 HA + AV",,,,,,,,,,,1,1,,3,1,1,2,,,,1,,1,
903,vt9_Lievestuore,2020/04/03,1,"11 HA-PA",10,8,8,3,8,45,98,102,103,106,129,170,177,213,284,348,328,272,195,116,90,55,26,18
903,vt9_Lievestuore,2020/04/03,1,"12 KAIP",1,,3,1,,2,10,3,6,8,5,5,6,7,8,6,2,8,7,2,2,1,,
903,vt9_Lievestuore,2020/04/03,1,"13 Linja-autot",,,,,1,,,,3,1,,1,,1,1,1,,,1,,,,,
903,vt9_Lievestuore,2020/04/03,1,"14 KAPP",1,,2,2,3,,1,4,,6,4,4,10,7,1,3,3,4,,5,2,,2,
903,vt9_Lievestuore,2020/04/03,1,"15 KATP",17,21,14,8,4,4,5,10,8,15,12,13,17,13,9,11,13,9,11,12,6,5,8,13
903,vt9_Lievestuore,2020/04/03,1,"16 HA + PK",,,,1,,1,1,2,4,10,8,9,6,7,8,8,13,11,8,5,5,,1,
903,vt9_Lievestuore,2020/04/03,1,"17 HA + AV",,,,,1,,1,,2,1,1,3,1,2,1,,5,3,1,2,,,2,
903,vt9_Lievestuore,2020/04/03,2,"11 HA-PA",10,6,4,8,29,86,185,155,125,138,141,155,178,177,221,241,203,160,138,119,71,38,27,25
903,vt9_Lievestuore,2020/04/03,2,"12 KAIP",,1,3,1,2,1,3,2,7,8,10,9,5,3,10,10,7,3,1,1,,3,1,1
903,vt9_Lievestuore,2020/04/03,2,"13 Linja-autot",,,,,,1,,2,,,,,,4,,,1,,1,,,,,
903,vt9_Lievestuore,2020/04/03,2,"14 KAPP",1,3,,,,2,1,1,,2,4,4,4,5,7,5,8,2,3,2,,1,,
903,vt9_Lievestuore,2020/04/03,2,"15 KATP",2,7,1,8,5,12,8,11,21,13,17,13,8,6,22,11,14,11,13,13,13,18,7,16
903,vt9_Lievestuore,2020/04/03,2,"16 HA + PK",,,,,1,1,3,1,3,1,2,3,5,4,9,6,6,5,3,6,2,3,1,
903,vt9_Lievestuore,2020/04/03,2,"17 HA + AV",,,,,1,,,1,,3,2,2,1,2,2,,,1,,,,,,
903,vt9_Lievestuore,2020/04/04,1,"11 HA-PA",12,10,9,7,11,12,24,49,71,136,175,212,232,223,208,165,149,143,110,82,47,30,22,15
903,vt9_Lievestuore,2020/04/04,1,"12 KAIP",,1,,1,,,,1,3,3,5,2,3,1,2,1,,2,5,,1,,,
903,vt9_Lievestuore,2020/04/04,1,"13 Linja-autot",,,,,,,,,,,,1,,,,1,,,,,,,,
903,vt9_Lievestuore,2020/04/04,1,"14 KAPP",2,1,1,1,,2,,1,,1,,2,,2,2,,,,1,,,,,1
903,vt9_Lievestuore,2020/04/04,1,"15 KATP",10,15,15,2,1,4,2,5,4,5,4,6,6,5,4,3,5,3,3,2,1,5,1,
903,vt9_Lievestuore,2020/04/04,1,"16 HA + PK",1,1,1,,,,,2,8,13,11,14,10,16,9,12,13,9,5,6,2,2,,
903,vt9_Lievestuore,2020/04/04,1,"17 HA + AV",,,,,,,,,,1,1,1,1,3,1,2,1,,,,,,,
