"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
922,vt9_Muurame,2020/04/01,1,"11 HA-PA",11,6,5,7,16,85,215,208,160,147,142,172,155,200,209,251,256,166,161,113,103,70,39,25
922,vt9_Muurame,2020/04/01,1,"12 KAIP",1,2,,1,1,6,12,4,15,8,8,10,9,11,9,2,5,7,6,6,6,1,1,1
922,vt9_Muurame,2020/04/01,1,"13 Linja-autot",2,,,,,,,,1,3,,2,1,,3,2,1,,1,1,1,,,
922,vt9_Muurame,2020/04/01,1,"14 KAPP",1,2,3,,,1,3,2,3,10,6,8,7,9,6,6,3,5,5,4,4,4,,4
922,vt9_Muurame,2020/04/01,1,"15 KATP",12,12,4,4,8,4,14,10,16,8,17,15,9,24,15,13,27,15,9,17,11,16,16,20
922,vt9_Muurame,2020/04/01,1,"16 HA + PK",,,,,,2,5,5,7,6,7,2,6,7,8,6,6,7,7,6,4,1,3,
922,vt9_Muurame,2020/04/01,1,"17 HA + AV",,,,,1,,,,2,,1,2,2,1,,1,2,2,2,,2,,,1
922,vt9_Muurame,2020/04/01,2,"11 HA-PA",9,7,3,2,11,43,133,173,132,144,147,142,147,178,242,315,352,207,162,116,97,61,40,10
922,vt9_Muurame,2020/04/01,2,"12 KAIP",,1,1,,2,7,6,14,11,11,8,8,11,7,5,5,6,6,6,5,4,2,3,
922,vt9_Muurame,2020/04/01,2,"13 Linja-autot",,,,,,,2,1,,2,2,1,2,1,3,1,2,2,1,,,,,
922,vt9_Muurame,2020/04/01,2,"14 KAPP",2,1,3,,1,3,,4,3,5,5,5,8,6,12,7,7,8,2,8,2,4,,
922,vt9_Muurame,2020/04/01,2,"15 KATP",9,8,12,4,7,9,7,13,18,12,20,18,9,25,20,19,22,14,14,10,12,5,8,10
922,vt9_Muurame,2020/04/01,2,"16 HA + PK",,,,,,,1,,6,6,8,6,7,5,8,11,8,12,6,6,5,2,,1
922,vt9_Muurame,2020/04/01,2,"17 HA + AV",,,,,,,,3,3,,,2,,2,3,,,5,,1,1,,,
922,vt9_Muurame,2020/04/02,1,"11 HA-PA",10,7,7,8,13,74,238,198,134,160,159,161,167,181,197,244,290,217,176,129,88,70,37,10
922,vt9_Muurame,2020/04/02,1,"12 KAIP",,6,2,1,1,2,6,4,9,11,12,6,9,5,13,9,4,5,4,2,7,4,1,1
922,vt9_Muurame,2020/04/02,1,"13 Linja-autot",1,1,,,,,1,,1,2,,1,1,,2,1,2,,1,1,1,,2,
922,vt9_Muurame,2020/04/02,1,"14 KAPP",1,2,1,1,,,1,1,6,,5,8,9,12,11,5,2,2,2,5,3,6,1,2
922,vt9_Muurame,2020/04/02,1,"15 KATP",7,9,11,7,3,1,10,13,16,15,18,19,20,6,18,15,20,19,12,17,15,18,16,13
922,vt9_Muurame,2020/04/02,1,"16 HA + PK",,1,,1,,1,5,,5,8,6,7,6,6,11,3,10,10,3,3,4,1,,
922,vt9_Muurame,2020/04/02,1,"17 HA + AV",,,,,,,1,2,,1,,1,,2,2,1,2,,4,,1,1,,
922,vt9_Muurame,2020/04/02,2,"11 HA-PA",17,5,7,8,12,43,137,159,131,109,113,152,174,178,244,334,350,219,152,117,91,53,40,20
922,vt9_Muurame,2020/04/02,2,"12 KAIP",2,3,2,,2,4,9,7,9,8,9,6,10,12,4,8,5,4,2,3,2,2,,2
922,vt9_Muurame,2020/04/02,2,"13 Linja-autot",,,1,,,,1,2,,,1,1,1,1,3,1,2,1,,,1,,,
922,vt9_Muurame,2020/04/02,2,"14 KAPP",2,1,1,,1,2,2,3,6,6,3,3,5,5,5,3,8,4,7,1,2,1,2,
922,vt9_Muurame,2020/04/02,2,"15 KATP",14,12,8,3,4,13,8,6,17,20,10,24,16,13,23,21,16,18,10,11,15,10,10,13
922,vt9_Muurame,2020/04/02,2,"16 HA + PK",,,,,,,1,2,3,5,5,6,5,9,8,10,8,6,5,5,5,1,,
922,vt9_Muurame,2020/04/02,2,"17 HA + AV",,,,,,,,,3,,,,2,3,1,2,1,,1,,,1,,
922,vt9_Muurame,2020/04/03,1,"11 HA-PA",15,7,4,7,23,70,219,186,144,140,175,192,212,220,308,305,262,251,193,141,95,61,43,22
922,vt9_Muurame,2020/04/03,1,"12 KAIP",,4,,1,2,,8,8,9,7,8,10,12,12,6,6,2,3,5,6,3,,,
922,vt9_Muurame,2020/04/03,1,"13 Linja-autot",2,,,,,,2,1,1,1,,,2,1,2,3,1,,1,1,1,,,
922,vt9_Muurame,2020/04/03,1,"14 KAPP",2,3,2,1,,1,,2,2,2,3,8,5,7,4,1,3,1,1,2,1,1,2,1
922,vt9_Muurame,2020/04/03,1,"15 KATP",16,7,8,6,6,2,13,10,10,13,13,15,17,9,16,8,11,9,8,8,9,9,14,14
922,vt9_Muurame,2020/04/03,1,"16 HA + PK",,,,2,,4,2,7,6,4,7,6,3,8,5,12,12,7,7,4,,1,,2
922,vt9_Muurame,2020/04/03,1,"17 HA + AV",,1,,,,,2,,2,1,5,2,,2,2,2,3,1,2,,2,3,1,
922,vt9_Muurame,2020/04/03,2,"11 HA-PA",12,5,8,5,10,55,94,135,122,158,150,188,212,258,309,392,341,271,199,131,98,55,41,16
922,vt9_Muurame,2020/04/03,2,"12 KAIP",,1,1,,,1,11,10,10,10,9,11,11,5,12,9,6,3,3,1,4,2,1,
922,vt9_Muurame,2020/04/03,2,"13 Linja-autot",,,,,,,2,2,,2,1,1,,1,3,,3,2,1,,1,,,
922,vt9_Muurame,2020/04/03,2,"14 KAPP",1,,1,1,1,2,3,3,3,4,5,3,5,5,5,3,8,5,1,1,1,1,1,
922,vt9_Muurame,2020/04/03,2,"15 KATP",6,15,8,3,9,10,5,6,12,19,12,18,15,10,8,13,13,10,16,6,6,7,4,11
922,vt9_Muurame,2020/04/03,2,"16 HA + PK",,,,,,1,3,1,4,2,4,9,8,12,15,18,9,8,9,4,3,4,2,1
922,vt9_Muurame,2020/04/03,2,"17 HA + AV",,,,,,,,,1,2,4,3,1,1,2,1,3,1,,1,1,,,
922,vt9_Muurame,2020/04/04,1,"11 HA-PA",13,4,6,5,3,20,29,39,86,129,182,202,250,262,276,214,245,198,136,132,97,57,40,18
922,vt9_Muurame,2020/04/04,1,"12 KAIP",,1,3,1,,,,,1,4,3,5,3,2,1,2,2,2,5,1,1,,,
