"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
9,kt45_Vantaa_Ilola,2020/04/01,1,"11 HA-PA",97,59,36,22,64,193,785,934,690,697,784,870,1013,1207,1833,2829,2345,1633,1176,864,660,495,369,196
9,kt45_Vantaa_Ilola,2020/04/01,1,"12 KAIP",8,9,11,13,14,20,52,72,81,86,97,102,105,109,93,108,62,39,16,24,15,6,7,7
9,kt45_Vantaa_Ilola,2020/04/01,1,"13 Linja-autot",,,,1,,2,2,1,1,,,4,1,3,4,,,,2,,2,,,
9,kt45_Vantaa_Ilola,2020/04/01,1,"14 KAPP",1,1,4,1,3,2,10,11,20,25,28,25,24,26,24,24,11,14,11,9,3,6,12,10
9,kt45_Vantaa_Ilola,2020/04/01,1,"15 KATP",3,3,3,2,,2,13,13,24,18,23,21,29,20,33,22,16,11,7,4,5,3,5,3
9,kt45_Vantaa_Ilola,2020/04/01,1,"16 HA + PK",,,,,,2,2,4,9,10,13,11,15,18,17,19,13,18,14,8,4,2,2,
9,kt45_Vantaa_Ilola,2020/04/01,1,"17 HA + AV",,1,,1,,3,2,1,2,2,4,4,4,4,4,5,3,4,1,4,,,1,
9,kt45_Vantaa_Ilola,2020/04/01,2,"11 HA-PA",73,32,33,57,146,783,2613,2174,1426,921,864,939,1008,998,1086,1351,1315,1020,910,634,477,392,216,117
9,kt45_Vantaa_Ilola,2020/04/01,2,"12 KAIP",9,7,5,11,26,45,127,118,111,101,107,85,110,81,92,65,37,22,15,10,8,3,8,9
9,kt45_Vantaa_Ilola,2020/04/01,2,"13 Linja-autot",,,,,,,2,,,1,,,,,1,,1,,3,,,1,,1
9,kt45_Vantaa_Ilola,2020/04/01,2,"14 KAPP",1,1,3,4,,7,17,24,20,22,14,22,28,21,18,10,18,5,10,5,6,3,3,3
9,kt45_Vantaa_Ilola,2020/04/01,2,"15 KATP",6,4,1,2,8,3,12,22,23,13,23,12,16,24,23,19,14,11,9,5,5,4,4,4
9,kt45_Vantaa_Ilola,2020/04/01,2,"16 HA + PK",,,,,,2,9,9,5,16,9,16,9,21,15,9,12,18,11,10,6,2,1,1
9,kt45_Vantaa_Ilola,2020/04/01,2,"17 HA + AV",,1,2,,,2,2,4,3,7,3,3,2,2,2,,4,3,5,1,,1,,
9,kt45_Vantaa_Ilola,2020/04/02,1,"11 HA-PA",104,63,34,37,60,194,810,927,724,685,752,879,1019,1187,1816,2815,2211,1658,1214,883,621,475,382,216
9,kt45_Vantaa_Ilola,2020/04/02,1,"12 KAIP",5,3,9,5,15,20,48,86,91,91,100,96,110,87,107,105,64,49,29,15,18,10,7,3
9,kt45_Vantaa_Ilola,2020/04/02,1,"13 Linja-autot",,,,,1,2,5,1,,,1,3,4,1,3,1,1,,,,,,,1
9,kt45_Vantaa_Ilola,2020/04/02,1,"14 KAPP",2,1,1,4,1,2,9,14,16,25,16,22,24,22,24,22,19,16,9,4,11,5,9,4
9,kt45_Vantaa_Ilola,2020/04/02,1,"15 KATP",4,3,3,,1,4,14,17,21,16,24,28,22,30,23,20,13,10,10,8,5,3,7,4
9,kt45_Vantaa_Ilola,2020/04/02,1,"16 HA + PK",1,,1,,,3,,5,11,9,11,12,17,21,14,11,14,12,9,13,8,3,1,
9,kt45_Vantaa_Ilola,2020/04/02,1,"17 HA + AV",,1,2,,,2,2,5,5,2,4,4,7,5,4,,4,1,1,,,2,,
9,kt45_Vantaa_Ilola,2020/04/02,2,"11 HA-PA",54,28,29,52,166,835,2550,2067,1369,974,861,907,984,1011,1107,1302,1250,1107,847,674,521,356,214,120
9,kt45_Vantaa_Ilola,2020/04/02,2,"12 KAIP",6,2,2,11,23,50,135,121,109,98,101,89,87,86,87,69,46,30,24,16,9,10,2,5
9,kt45_Vantaa_Ilola,2020/04/02,2,"13 Linja-autot",,,,,,,1,1,,,3,,,,2,,,1,2,,,1,1,4
9,kt45_Vantaa_Ilola,2020/04/02,2,"14 KAPP",3,1,2,1,1,4,16,30,17,21,14,14,18,14,21,11,20,13,6,6,5,2,1,3
9,kt45_Vantaa_Ilola,2020/04/02,2,"15 KATP",3,1,2,2,4,8,14,16,16,20,17,29,17,22,24,17,14,7,5,8,4,7,3,4
9,kt45_Vantaa_Ilola,2020/04/02,2,"16 HA + PK",,,,,1,5,10,13,12,9,5,11,11,14,12,13,8,19,12,6,4,3,1,
9,kt45_Vantaa_Ilola,2020/04/02,2,"17 HA + AV",,,,,,1,1,2,9,2,3,3,1,2,2,2,2,2,2,1,,,,
9,kt45_Vantaa_Ilola,2020/04/03,1,"11 HA-PA",94,56,38,48,53,177,689,936,734,679,782,957,1097,1437,2103,2684,2179,1564,1138,810,603,497,431,268
9,kt45_Vantaa_Ilola,2020/04/03,1,"12 KAIP",3,6,7,17,11,24,43,80,81,85,105,100,102,109,95,64,39,32,29,13,7,5,5,6
9,kt45_Vantaa_Ilola,2020/04/03,1,"13 Linja-autot",,,,1,2,1,2,,1,,1,1,,2,3,2,,,,,,,,1
9,kt45_Vantaa_Ilola,2020/04/03,1,"14 KAPP",2,,2,1,4,5,10,14,18,21,31,22,20,17,20,20,13,13,8,4,2,6,2,1
9,kt45_Vantaa_Ilola,2020/04/03,1,"15 KATP",1,1,1,3,5,5,10,16,20,19,28,18,13,19,17,17,11,6,5,6,2,2,3,2
9,kt45_Vantaa_Ilola,2020/04/03,1,"16 HA + PK",1,,,,,1,2,1,5,7,9,11,10,13,13,10,16,18,16,8,5,3,,
9,kt45_Vantaa_Ilola,2020/04/03,1,"17 HA + AV",,,,,,1,1,,1,3,3,3,9,4,2,6,1,2,2,,2,,,
9,kt45_Vantaa_Ilola,2020/04/03,2,"11 HA-PA",56,35,40,58,135,796,2412,2056,1310,961,910,937,975,1165,1215,1419,1300,1057,880,581,474,376,292,146
9,kt45_Vantaa_Ilola,2020/04/03,2,"12 KAIP",1,3,4,14,31,41,146,127,104,91,92,80,75,65,72,66,26,23,20,8,6,4,7,3
9,kt45_Vantaa_Ilola,2020/04/03,2,"13 Linja-autot",,,,,,,,,1,2,1,,,,,,1,1,2,,,,2,
9,kt45_Vantaa_Ilola,2020/04/03,2,"14 KAPP",3,,2,2,,5,10,22,10,15,24,23,21,20,16,14,14,2,3,12,2,3,2,2
9,kt45_Vantaa_Ilola,2020/04/03,2,"15 KATP",4,1,,4,4,6,8,12,15,15,18,15,20,17,14,15,12,6,7,3,7,,2,4
9,kt45_Vantaa_Ilola,2020/04/03,2,"16 HA + PK",,,,,,3,9,9,10,10,14,9,7,12,10,12,13,17,8,10,8,2,,
9,kt45_Vantaa_Ilola,2020/04/03,2,"17 HA + AV",1,1,,,,3,2,6,,2,2,2,3,1,3,2,1,1,1,4,,,,2
9,kt45_Vantaa_Ilola,2020/04/04,1,"11 HA-PA",160,88,75,53,49,83,191,223,254,403,607,850,1076,1238,1335,1347,1109,932,768,596,461,424,336,249
9,kt45_Vantaa_Ilola,2020/04/04,1,"12 KAIP",3,5,5,3,6,1,4,4,11,15,14,13,13,15,11,9,12,7,1,,2,1,3,1
9,kt45_Vantaa_Ilola,2020/04/04,1,"13 Linja-autot",1,,,,,1,,,1,,,,,,,,,,,,,,,
9,kt45_Vantaa_Ilola,2020/04/04,1,"14 KAPP",,1,,,,1,2,1,1,1,5,4,7,3,6,3,2,3,2,,1,2,1,
9,kt45_Vantaa_Ilola,2020/04/04,1,"15 KATP",4,2,2,2,,,1,1,1,1,1,,1,,2,,4,1,,,,2,,
9,kt45_Vantaa_Ilola,2020/04/04,1,"16 HA + PK",,,,,,,,,2,3,9,8,12,16,14,15,17,13,7,6,5,4,,
9,kt45_Vantaa_Ilola,2020/04/04,1,"17 HA + AV",,,1,,,1,,1,,3,,,,1,2,1,1,1,2,2,,,,
9,kt45_Vantaa_Ilola,2020/04/04,2,"11 HA-PA",108,85,65,52,63,196,405,385,362,608,805,959,1108,1184,1179,1119,910,755,653,486,429,359,250,204
9,kt45_Vantaa_Ilola,2020/04/04,2,"12 KAIP",4,6,2,3,2,4,10,10,12,6,13,8,8,6,18,12,3,8,1,3,1,,4,1
9,kt45_Vantaa_Ilola,2020/04/04,2,"13 Linja-autot",1,,,,,,,,,,,,,,,,,,,,,,,1
9,kt45_Vantaa_Ilola,2020/04/04,2,"14 KAPP",1,1,,1,,1,7,2,7,,3,5,6,2,,3,5,2,2,,,,,
9,kt45_Vantaa_Ilola,2020/04/04,2,"15 KATP",2,1,,,2,,1,1,1,2,,2,1,,,4,6,3,3,,,3,,1
9,kt45_Vantaa_Ilola,2020/04/04,2,"16 HA + PK",,,,,,,1,1,,8,21,11,9,17,8,10,9,14,8,7,3,,2,1
9,kt45_Vantaa_Ilola,2020/04/04,2,"17 HA + AV",,,,,,1,,3,1,1,4,1,,,2,1,,,,1,,,,
9,kt45_Vantaa_Ilola,2020/04/05,1,"11 HA-PA",157,117,67,45,35,44,104,142,148,240,454,673,826,1024,1095,1056,1005,909,790,618,444,368,249,172
9,kt45_Vantaa_Ilola,2020/04/05,1,"12 KAIP",1,1,,,,1,,1,,2,7,13,4,10,2,7,13,3,10,3,11,9,3,5
9,kt45_Vantaa_Ilola,2020/04/05,1,"13 Linja-autot",,,,,,2,,,,,,,,,,,,,,,,,,
9,kt45_Vantaa_Ilola,2020/04/05,1,"14 KAPP",,,,,,,,2,1,2,5,3,1,3,2,7,4,3,2,2,2,3,5,1
9,kt45_Vantaa_Ilola,2020/04/05,1,"15 KATP",,1,,,,1,,,,2,1,2,4,2,3,,,,1,3,2,2,2,3
9,kt45_Vantaa_Ilola,2020/04/05,1,"16 HA + PK",1,,,,,,,,,4,6,8,5,5,17,11,9,7,9,5,4,,2,1
9,kt45_Vantaa_Ilola,2020/04/05,1,"17 HA + AV",,,,,,,1,1,,,,,,1,,1,,1,1,2,1,1,1,
9,kt45_Vantaa_Ilola,2020/04/05,2,"11 HA-PA",137,82,66,40,47,114,240,179,203,336,533,764,944,1030,994,972,841,848,717,548,457,314,177,97
9,kt45_Vantaa_Ilola,2020/04/05,2,"12 KAIP",,,,,1,,1,4,2,7,5,4,6,9,9,5,11,4,11,9,9,5,3,11
9,kt45_Vantaa_Ilola,2020/04/05,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,,,,2
9,kt45_Vantaa_Ilola,2020/04/05,2,"14 KAPP",,,,,,,,2,,1,3,2,2,1,7,1,5,4,2,2,3,2,2,1
9,kt45_Vantaa_Ilola,2020/04/05,2,"15 KATP",,,,,,,1,,,1,,2,1,3,2,1,,1,3,3,1,4,3,
9,kt45_Vantaa_Ilola,2020/04/05,2,"16 HA + PK",1,,,,,,,1,,4,14,6,9,16,14,6,5,9,11,2,3,,1,1
9,kt45_Vantaa_Ilola,2020/04/05,2,"17 HA + AV",1,,,,,,,,1,1,,,1,,1,,,1,,1,,,1,
9,kt45_Vantaa_Ilola,2020/04/06,1,"11 HA-PA",86,37,30,28,49,213,823,977,784,667,744,927,1030,1244,1786,2919,2395,1625,1244,882,607,423,353,217
9,kt45_Vantaa_Ilola,2020/04/06,1,"12 KAIP",7,3,8,9,15,28,45,74,82,78,111,102,114,103,108,99,62,42,31,26,22,4,9,9
9,kt45_Vantaa_Ilola,2020/04/06,1,"13 Linja-autot",,,,,1,5,3,2,1,3,,2,,1,3,1,,1,,,,,,
9,kt45_Vantaa_Ilola,2020/04/06,1,"14 KAPP",4,,4,2,5,6,11,10,24,28,23,25,18,25,18,23,19,14,9,5,4,6,9,3
9,kt45_Vantaa_Ilola,2020/04/06,1,"15 KATP",2,1,,2,2,,9,18,19,25,26,25,21,28,22,14,9,15,9,5,6,3,2,3
9,kt45_Vantaa_Ilola,2020/04/06,1,"16 HA + PK",,,,,,,2,3,7,10,13,15,15,23,21,24,18,25,15,9,4,1,1,
