"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1021,vt3_Koskue,2020/02/01,1,"11 HA-PA",12,11,10,4,2,9,20,21,53,72,117,137,154,149,128,108,122,121,108,119,103,86,45,23
1021,vt3_Koskue,2020/02/01,1,"12 KAIP",3,1,1,,,,,,3,,2,3,2,3,6,3,4,2,1,2,2,,1,
1021,vt3_Koskue,2020/02/01,1,"13 Linja-autot",,1,,,,2,,,,1,2,3,1,1,1,1,,1,,3,5,4,1,
1021,vt3_Koskue,2020/02/01,1,"14 KAPP",,2,1,,,,,,,,,,,2,,1,2,,,,,,2,1
1021,vt3_Koskue,2020/02/01,1,"15 KATP",18,12,11,3,2,1,,3,,4,3,2,2,4,7,3,8,1,4,6,6,5,3,1
1021,vt3_Koskue,2020/02/01,1,"16 HA + PK",,,,1,,2,,2,,7,1,4,3,5,3,6,4,6,7,5,4,7,3,2
1021,vt3_Koskue,2020/02/01,1,"17 HA + AV",,,1,,,1,,1,,2,,1,,1,2,1,1,,1,,1,2,2,
1021,vt3_Koskue,2020/02/01,2,"11 HA-PA",9,9,7,5,10,17,31,79,109,169,147,137,128,114,126,128,117,120,114,76,46,26,25,13
1021,vt3_Koskue,2020/02/01,2,"12 KAIP",,,1,1,2,,1,4,6,3,1,4,3,2,4,1,2,4,2,2,1,1,,1
1021,vt3_Koskue,2020/02/01,2,"13 Linja-autot",,,,1,,1,1,,2,1,2,3,1,,1,,1,2,,,,,,
1021,vt3_Koskue,2020/02/01,2,"14 KAPP",,1,,,1,1,2,1,,2,1,,1,2,2,2,1,1,,,1,1,,1
1021,vt3_Koskue,2020/02/01,2,"15 KATP",8,5,2,5,5,2,4,3,4,3,3,4,2,2,4,1,6,4,7,3,,1,1,1
1021,vt3_Koskue,2020/02/01,2,"16 HA + PK",1,,,1,1,,1,2,6,5,10,7,8,5,1,5,7,4,7,2,3,1,,
1021,vt3_Koskue,2020/02/01,2,"17 HA + AV",,,,1,1,,1,1,,3,,1,,2,,1,1,2,1,,,1,,
1021,vt3_Koskue,2020/02/02,1,"11 HA-PA",14,10,12,8,6,9,7,9,19,40,67,97,129,138,180,199,199,209,197,164,113,69,46,29
1021,vt3_Koskue,2020/02/02,1,"12 KAIP",1,1,,,,,,1,,1,1,3,2,2,1,5,6,1,,5,2,3,6,5
1021,vt3_Koskue,2020/02/02,1,"13 Linja-autot",,1,,,,,,,,2,1,,,1,2,1,,1,,1,2,1,3,
1021,vt3_Koskue,2020/02/02,1,"14 KAPP",1,,,,,,,,,,1,1,1,,3,1,,4,2,1,3,5,4,2
1021,vt3_Koskue,2020/02/02,1,"15 KATP",1,2,,1,,,,2,2,1,4,4,3,6,2,2,5,8,8,7,8,9,8,12
1021,vt3_Koskue,2020/02/02,1,"16 HA + PK",1,3,,,,1,,,1,,,3,4,2,3,6,5,4,12,2,6,2,2,2
1021,vt3_Koskue,2020/02/02,1,"17 HA + AV",,1,,,,,,,,2,,,,1,1,1,5,1,1,,2,,,
1021,vt3_Koskue,2020/02/02,2,"11 HA-PA",14,8,6,3,7,7,10,34,40,82,99,129,182,209,238,236,230,178,144,117,75,36,14,11
1021,vt3_Koskue,2020/02/02,2,"12 KAIP",,,,,1,,1,2,1,1,1,2,4,3,2,5,4,7,2,4,1,3,,
1021,vt3_Koskue,2020/02/02,2,"13 Linja-autot",,,,1,,,,1,,1,3,3,,1,,1,2,2,1,1,3,,,
1021,vt3_Koskue,2020/02/02,2,"14 KAPP",,,,,,,,,,,,,,3,,2,4,,5,2,2,,,
1021,vt3_Koskue,2020/02/02,2,"15 KATP",,,,1,1,,,,7,5,6,8,3,7,8,10,23,21,10,11,13,14,6,5
1021,vt3_Koskue,2020/02/02,2,"16 HA + PK",,,,1,,,,,2,3,7,4,8,8,7,4,4,5,7,,1,,3,1
1021,vt3_Koskue,2020/02/02,2,"17 HA + AV",1,,,,1,1,,,,,1,,,1,1,1,,3,,,,,,
1021,vt3_Koskue,2020/02/03,1,"11 HA-PA",7,9,6,4,6,28,66,73,71,82,93,93,88,84,103,90,101,78,89,74,51,44,19,10
1021,vt3_Koskue,2020/02/03,1,"12 KAIP",3,1,,1,3,1,1,2,5,4,4,5,3,4,4,1,1,5,3,1,1,,,1
1021,vt3_Koskue,2020/02/03,1,"13 Linja-autot",,1,,,,,,1,1,,,,1,,,2,1,,,,,,,
1021,vt3_Koskue,2020/02/03,1,"14 KAPP",5,,,1,,,2,2,3,,7,6,2,6,4,10,5,10,4,11,4,4,3,3
1021,vt3_Koskue,2020/02/03,1,"15 KATP",6,3,4,1,2,5,4,5,11,8,10,12,5,20,14,19,18,21,17,15,15,12,15,19
1021,vt3_Koskue,2020/02/03,1,"16 HA + PK",,1,1,,1,,,,2,3,2,4,3,3,2,3,3,4,2,4,,1,,1
1021,vt3_Koskue,2020/02/03,1,"17 HA + AV",,,,,,2,,1,,2,3,,,2,,1,1,,,,1,,,
1021,vt3_Koskue,2020/02/03,2,"11 HA-PA",3,2,5,4,10,40,68,70,88,85,64,77,93,82,102,145,100,105,60,68,42,30,12,5
1021,vt3_Koskue,2020/02/03,2,"12 KAIP",,,,,4,2,4,5,4,1,3,3,6,6,4,3,3,4,1,5,1,2,1,
1021,vt3_Koskue,2020/02/03,2,"13 Linja-autot",,,,,,,,,1,1,,1,,,,1,,1,1,,,,,
1021,vt3_Koskue,2020/02/03,2,"14 KAPP",1,,,1,,3,1,4,4,5,4,7,9,5,6,7,10,3,4,2,1,2,2,1
1021,vt3_Koskue,2020/02/03,2,"15 KATP",6,2,5,7,6,7,3,17,15,16,25,9,20,13,12,14,16,24,16,15,26,13,8,9
1021,vt3_Koskue,2020/02/03,2,"16 HA + PK",,,,2,,1,3,6,10,5,3,8,5,6,3,5,6,3,5,3,,1,2,
1021,vt3_Koskue,2020/02/03,2,"17 HA + AV",,,,,1,,2,3,,6,1,2,3,,1,1,2,1,,1,,,,
1021,vt3_Koskue,2020/02/04,1,"11 HA-PA",6,11,3,5,4,21,54,79,61,64,85,68,78,103,71,112,114,110,81,76,58,40,13,13
1021,vt3_Koskue,2020/02/04,1,"12 KAIP",1,1,,2,,1,2,2,5,3,4,4,,9,5,3,3,3,1,1,4,1,1,
1021,vt3_Koskue,2020/02/04,1,"13 Linja-autot",,,,,,,,,1,,1,1,1,,,2,1,2,,,,,2,1
1021,vt3_Koskue,2020/02/04,1,"14 KAPP",1,1,,,,2,5,2,4,4,1,2,4,6,8,9,6,3,4,8,4,3,4,3
1021,vt3_Koskue,2020/02/04,1,"15 KATP",22,15,16,8,1,2,12,4,12,12,9,9,12,20,17,9,16,15,32,15,20,16,17,14
1021,vt3_Koskue,2020/02/04,1,"16 HA + PK",,,,1,1,,,1,2,1,2,2,3,2,1,3,4,7,1,1,3,,2,
1021,vt3_Koskue,2020/02/04,1,"17 HA + AV",,1,1,,,,,2,,2,,,2,1,1,,,2,1,,,,,
1021,vt3_Koskue,2020/02/04,2,"11 HA-PA",2,2,4,5,7,25,50,58,65,75,75,73,80,88,107,143,114,89,58,40,45,26,9,10
1021,vt3_Koskue,2020/02/04,2,"12 KAIP",,,,,,1,3,3,3,4,,1,5,5,3,5,3,2,2,3,3,1,1,
1021,vt3_Koskue,2020/02/04,2,"13 Linja-autot",,1,,,,,,1,,1,,2,,,,2,1,1,1,1,2,,,1
1021,vt3_Koskue,2020/02/04,2,"14 KAPP",,,1,,,,3,2,5,3,4,3,3,5,5,5,6,6,5,4,1,,1,
