"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1039,kt68_Ähtäri,2020/02/01,1,"11 HA-PA",6,1,6,4,4,2,13,7,17,49,44,63,69,49,67,66,42,48,36,26,24,19,10,6
1039,kt68_Ähtäri,2020/02/01,1,"12 KAIP",,,,,,,,,,,,,,1,1,,,,,1,,,,
1039,kt68_Ähtäri,2020/02/01,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,1,,,,
1039,kt68_Ähtäri,2020/02/01,1,"15 KATP",1,,,,,,,,,,,,,1,1,1,,,,,,,,
1039,kt68_Ähtäri,2020/02/01,1,"16 HA + PK",,,,,,,,2,1,1,,1,,1,1,,1,,2,,1,,,
1039,kt68_Ähtäri,2020/02/01,1,"17 HA + AV",,,,1,,,,,,,,,,1,,1,1,,,,,,,
1039,kt68_Ähtäri,2020/02/01,2,"11 HA-PA",3,3,5,4,7,4,8,27,31,28,47,45,60,53,52,50,45,38,65,32,21,14,18,3
1039,kt68_Ähtäri,2020/02/01,2,"12 KAIP",,,,,,,,,,1,,1,,,,,,1,,1,1,,,
1039,kt68_Ähtäri,2020/02/01,2,"13 Linja-autot",,,,,,,1,,,,,,,,,1,,,,,,,,
1039,kt68_Ähtäri,2020/02/01,2,"15 KATP",,,,,1,,,,2,,,,1,,,,,,,,,,,1
1039,kt68_Ähtäri,2020/02/01,2,"16 HA + PK",,,,,,,,1,1,2,,2,1,,1,,2,,1,1,,2,,
1039,kt68_Ähtäri,2020/02/01,2,"17 HA + AV",,1,,,,,,,,,,1,,,,,,,,,,,,
1039,kt68_Ähtäri,2020/02/02,1,"11 HA-PA",6,5,2,,3,4,6,10,9,30,33,35,43,41,59,54,65,63,58,27,25,12,10,3
1039,kt68_Ähtäri,2020/02/02,1,"12 KAIP",,1,1,1,1,,,,,,,1,2,1,,2,,2,,1,1,,,
1039,kt68_Ähtäri,2020/02/02,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,1,,,,,
1039,kt68_Ähtäri,2020/02/02,1,"14 KAPP",,,,,,,,,,,,,,,,,,,,,,,1,
1039,kt68_Ähtäri,2020/02/02,1,"15 KATP",,,,1,,,,,,,1,,,,,,,,2,1,,,,
1039,kt68_Ähtäri,2020/02/02,1,"16 HA + PK",,,,,,,,,,,1,1,2,,,,,3,1,,1,,,
1039,kt68_Ähtäri,2020/02/02,1,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,,,,,
1039,kt68_Ähtäri,2020/02/02,2,"11 HA-PA",,3,6,4,,3,8,8,17,23,28,49,55,53,67,66,63,53,49,35,26,17,7,1
1039,kt68_Ähtäri,2020/02/02,2,"12 KAIP",,1,,1,1,,,,,1,,1,,,1,,1,1,1,,1,,,
1039,kt68_Ähtäri,2020/02/02,2,"13 Linja-autot",,,1,,,,,,,,,,,,1,,,,,1,,,,
1039,kt68_Ähtäri,2020/02/02,2,"14 KAPP",,,,,,,,,,,,,,1,,,,,,,,,,
1039,kt68_Ähtäri,2020/02/02,2,"15 KATP",,,,,,,,,,2,,,,,,,,,,1,,,,
1039,kt68_Ähtäri,2020/02/02,2,"16 HA + PK",,,,,,,,,,1,,,1,1,2,,1,1,3,,,,,
1039,kt68_Ähtäri,2020/02/02,2,"17 HA + AV",,,,,,,,,,,,,,1,1,,,,,,,,,
1039,kt68_Ähtäri,2020/02/03,1,"11 HA-PA",,2,1,5,1,26,47,74,61,42,38,52,55,51,50,61,58,51,35,32,14,10,7,3
1039,kt68_Ähtäri,2020/02/03,1,"12 KAIP",,,,,,,,2,3,4,4,1,2,2,,3,1,2,,,,,,
1039,kt68_Ähtäri,2020/02/03,1,"13 Linja-autot",,,,,,1,,1,1,,,,,2,,1,,,,,,,,
1039,kt68_Ähtäri,2020/02/03,1,"14 KAPP",,,,,,,,1,,1,1,1,2,,,2,,,,,,,,
1039,kt68_Ähtäri,2020/02/03,1,"15 KATP",,,,,,,1,1,2,,,2,1,4,1,1,,,1,2,,2,2,1
1039,kt68_Ähtäri,2020/02/03,1,"16 HA + PK",,,,,,,1,1,1,1,,,,,,2,,3,2,1,,,,
1039,kt68_Ähtäri,2020/02/03,1,"17 HA + AV",,,,1,,,,,,,1,1,,3,1,1,1,,1,,,,,
1039,kt68_Ähtäri,2020/02/03,2,"11 HA-PA",1,1,1,3,4,20,20,45,37,42,36,51,58,62,59,99,100,57,41,36,26,15,4,1
1039,kt68_Ähtäri,2020/02/03,2,"12 KAIP",,,,,2,,,3,2,4,1,2,3,2,1,3,1,,1,,4,2,,
1039,kt68_Ähtäri,2020/02/03,2,"13 Linja-autot",,,,,,,,1,1,,,,,1,1,,1,,,,,,,
1039,kt68_Ähtäri,2020/02/03,2,"14 KAPP",,,,,,,,,,,1,,1,,2,,,,,,,,,
1039,kt68_Ähtäri,2020/02/03,2,"15 KATP",,,,,1,,1,,2,1,1,2,2,,5,,3,,5,1,1,3,1,
1039,kt68_Ähtäri,2020/02/03,2,"16 HA + PK",,,,,,,,1,1,1,1,,2,1,1,4,,,,,,,,
1039,kt68_Ähtäri,2020/02/03,2,"17 HA + AV",,,,,,,,,1,1,,1,2,,1,1,1,1,1,,,,,
1039,kt68_Ähtäri,2020/02/04,1,"11 HA-PA",4,1,1,3,3,22,44,85,51,35,46,54,48,56,44,50,63,74,37,25,15,8,7,2
1039,kt68_Ähtäri,2020/02/04,1,"12 KAIP",,,,,,,,3,3,1,2,3,2,3,,2,2,5,2,1,1,,,1
1039,kt68_Ähtäri,2020/02/04,1,"13 Linja-autot",,,,,,,1,,1,,,,,1,,1,,,,,,,,
1039,kt68_Ähtäri,2020/02/04,1,"14 KAPP",,,,,,,1,2,,1,2,2,,1,1,,,,1,,,,,
1039,kt68_Ähtäri,2020/02/04,1,"15 KATP",,1,,,,,,2,,2,4,1,2,1,,1,,3,1,1,,,1,1
1039,kt68_Ähtäri,2020/02/04,1,"16 HA + PK",,,,,,,2,,1,1,1,,,,1,1,2,,1,,,,,
1039,kt68_Ähtäri,2020/02/04,1,"17 HA + AV",,,,,,,,,,1,1,1,,1,,,,,,1,,,,
1039,kt68_Ähtäri,2020/02/04,2,"11 HA-PA",,1,,,3,10,21,32,31,32,37,39,34,60,70,106,99,51,59,39,27,18,10,2
1039,kt68_Ähtäri,2020/02/04,2,"12 KAIP",,,,1,,,2,3,,5,1,,1,3,1,3,,1,1,,,,1,
1039,kt68_Ähtäri,2020/02/04,2,"13 Linja-autot",,,,,,1,,1,1,1,,,1,,,,1,,,,,,,
1039,kt68_Ähtäri,2020/02/04,2,"14 KAPP",,,,,,,,,,1,2,,1,,,,1,,,,,,,
1039,kt68_Ähtäri,2020/02/04,2,"15 KATP",2,,,2,,,,1,2,2,1,2,3,4,2,2,3,1,,1,3,,,
1039,kt68_Ähtäri,2020/02/04,2,"16 HA + PK",,,,,,,,,1,,2,,1,1,2,1,,1,,,,1,,
1039,kt68_Ähtäri,2020/02/04,2,"17 HA + AV",,,,,,,,,,1,,1,1,1,2,,,,,,,,,
1039,kt68_Ähtäri,2020/02/05,1,"11 HA-PA",3,,1,2,2,21,49,80,59,38,44,60,47,49,68,60,72,51,40,31,20,16,8,5
1039,kt68_Ähtäri,2020/02/05,1,"12 KAIP",,,,,,1,,1,2,4,2,1,5,5,3,2,,,,,,,1,
1039,kt68_Ähtäri,2020/02/05,1,"13 Linja-autot",,,,,,1,,2,1,,,,,1,,,1,,,,,,,
1039,kt68_Ähtäri,2020/02/05,1,"14 KAPP",,,1,,,,,1,,,3,2,,1,2,,1,,,,,,,
1039,kt68_Ähtäri,2020/02/05,1,"15 KATP",,,,,,,1,1,,,,1,1,,3,,2,3,,,1,,,2
1039,kt68_Ähtäri,2020/02/05,1,"16 HA + PK",,,,1,,1,,,3,1,,,,1,2,,,,,,,,,
1039,kt68_Ähtäri,2020/02/05,1,"17 HA + AV",,,,,,,,,,,,,,1,2,1,,,,,,,1,
1039,kt68_Ähtäri,2020/02/05,2,"11 HA-PA",,1,,1,2,16,19,31,45,39,40,39,48,56,66,107,85,49,47,52,36,31,10,1
1039,kt68_Ähtäri,2020/02/05,2,"12 KAIP",,,1,,1,3,1,3,2,2,,,3,6,3,3,1,1,,,,1,,
1039,kt68_Ähtäri,2020/02/05,2,"13 Linja-autot",,,,,,,,2,,1,,1,,,2,,1,,,,1,,,
1039,kt68_Ähtäri,2020/02/05,2,"14 KAPP",,,,,,,,,,,1,1,2,,1,,1,,2,,,,1,
1039,kt68_Ähtäri,2020/02/05,2,"15 KATP",,,,,,,1,,1,,1,,3,1,1,1,2,1,1,,1,1,,
1039,kt68_Ähtäri,2020/02/05,2,"16 HA + PK",,,,,,,,,2,1,,,1,3,2,,1,,,,,,,
1039,kt68_Ähtäri,2020/02/05,2,"17 HA + AV",,,,,,,,,,,,1,1,,1,1,1,,,,,,,1
1039,kt68_Ähtäri,2020/02/06,1,"11 HA-PA",5,,1,3,1,23,49,67,53,39,41,56,54,49,50,64,71,61,44,41,30,17,6,6
1039,kt68_Ähtäri,2020/02/06,1,"12 KAIP",,,,,,,1,3,2,3,2,3,1,8,4,5,1,1,1,,1,2,,
1039,kt68_Ähtäri,2020/02/06,1,"13 Linja-autot",,,,,,1,,1,1,,,,,1,,,1,,1,,,,,
1039,kt68_Ähtäri,2020/02/06,1,"14 KAPP",,,,,,,,,,,1,,1,,,1,,,1,,,,,
