"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1047,vt3_Kurikka_Tuiskula,2020/02/01,1,"11 HA-PA",19,14,10,8,8,18,35,45,117,196,198,251,227,227,183,224,196,206,146,116,103,94,57,39
1047,vt3_Kurikka_Tuiskula,2020/02/01,1,"12 KAIP",2,,,,1,,,1,5,2,,3,4,3,4,4,2,1,3,1,3,,,1
1047,vt3_Kurikka_Tuiskula,2020/02/01,1,"13 Linja-autot",,,,,,,,,,,1,1,,,,2,1,,,,,1,,
1047,vt3_Kurikka_Tuiskula,2020/02/01,1,"14 KAPP",,,,,,1,,1,1,1,,2,1,,,1,1,,,,1,,1,
1047,vt3_Kurikka_Tuiskula,2020/02/01,1,"15 KATP",2,5,2,1,1,,,1,2,,2,3,2,2,2,3,5,1,,2,2,1,1,
1047,vt3_Kurikka_Tuiskula,2020/02/01,1,"16 HA + PK",,,,,,,2,1,,3,7,3,7,3,6,2,,5,7,4,2,2,1,1
1047,vt3_Kurikka_Tuiskula,2020/02/01,1,"17 HA + AV",,,,,,,,,,,2,2,,1,1,2,1,1,,,,,,
1047,vt3_Kurikka_Tuiskula,2020/02/01,2,"11 HA-PA",27,17,14,15,11,27,35,55,110,137,153,171,201,197,248,273,272,240,219,143,112,101,67,38
1047,vt3_Kurikka_Tuiskula,2020/02/01,2,"12 KAIP",,,,1,,,1,2,2,3,1,2,,2,2,4,4,2,2,3,1,2,5,2
1047,vt3_Kurikka_Tuiskula,2020/02/01,2,"13 Linja-autot",,,,,,,,,,,,2,,1,,1,1,,1,,,1,1,
1047,vt3_Kurikka_Tuiskula,2020/02/01,2,"14 KAPP",1,1,1,,,,,,2,,1,2,1,1,,,,,,,,,,
1047,vt3_Kurikka_Tuiskula,2020/02/01,2,"15 KATP",1,1,1,3,,,1,,2,2,1,1,1,2,4,2,3,2,5,1,1,,,
1047,vt3_Kurikka_Tuiskula,2020/02/01,2,"16 HA + PK",,,1,,1,1,1,3,1,6,8,3,9,4,3,12,8,5,2,2,1,1,2,1
1047,vt3_Kurikka_Tuiskula,2020/02/01,2,"17 HA + AV",,,,,,,1,1,,1,1,,2,,,,3,,,2,4,,,
1047,vt3_Kurikka_Tuiskula,2020/02/02,1,"11 HA-PA",46,47,26,10,8,12,23,18,49,53,87,151,174,200,224,259,252,243,224,183,138,81,51,23
1047,vt3_Kurikka_Tuiskula,2020/02/02,1,"12 KAIP",,,1,,,1,,1,,,1,4,1,4,1,3,4,4,4,2,3,1,1,1
1047,vt3_Kurikka_Tuiskula,2020/02/02,1,"13 Linja-autot",,,,,,1,,,,,,,,1,,1,2,1,,3,1,1,1,
1047,vt3_Kurikka_Tuiskula,2020/02/02,1,"14 KAPP",,,,1,,,,,,1,1,,,,,2,,1,2,2,,2,,1
1047,vt3_Kurikka_Tuiskula,2020/02/02,1,"15 KATP",,,2,,,1,,,1,1,3,4,,2,2,5,2,4,2,2,2,2,2,1
1047,vt3_Kurikka_Tuiskula,2020/02/02,1,"16 HA + PK",,,,,,,1,,2,2,2,10,5,5,2,4,5,6,4,5,1,1,2,1
1047,vt3_Kurikka_Tuiskula,2020/02/02,1,"17 HA + AV",,,,,,,,,,1,,1,,,1,2,1,,,,,1,,
1047,vt3_Kurikka_Tuiskula,2020/02/02,2,"11 HA-PA",23,20,20,10,16,18,15,24,33,65,88,123,161,190,215,258,208,247,188,159,102,70,18,17
