"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
110,vt4_Mäntsälä,2020/02/01,1,"11 HA-PA",79,64,32,33,32,66,129,209,423,582,696,777,757,717,679,739,802,678,544,384,361,204,209,147
110,vt4_Mäntsälä,2020/02/01,1,"12 KAIP",2,,2,1,2,1,4,2,6,4,7,9,5,9,4,6,8,4,5,4,2,3,4,
110,vt4_Mäntsälä,2020/02/01,1,"13 Linja-autot",1,,,1,,,1,4,1,4,4,4,2,4,3,5,7,6,6,4,1,3,1,1
110,vt4_Mäntsälä,2020/02/01,1,"14 KAPP",3,2,1,,1,3,,4,3,3,16,4,5,8,3,11,6,2,2,3,5,,13,1
110,vt4_Mäntsälä,2020/02/01,1,"15 KATP",14,6,5,4,3,,,6,5,4,3,11,10,13,5,11,4,4,1,1,2,,2,1
110,vt4_Mäntsälä,2020/02/01,1,"16 HA + PK",,,,1,2,1,3,7,7,10,17,9,10,8,11,7,10,13,6,5,4,1,1,1
110,vt4_Mäntsälä,2020/02/01,1,"17 HA + AV",,,,,,,,1,1,1,2,1,1,,,2,1,1,,,,,1,
110,vt4_Mäntsälä,2020/02/01,2,"11 HA-PA",68,37,29,45,54,116,121,211,405,526,645,732,741,731,672,678,599,609,484,392,357,229,177,108
110,vt4_Mäntsälä,2020/02/01,2,"12 KAIP",2,1,,3,1,,1,6,6,8,6,12,10,8,11,6,8,3,7,4,8,4,2,1
110,vt4_Mäntsälä,2020/02/01,2,"13 Linja-autot",1,,,,2,1,1,1,5,5,6,6,9,4,6,2,2,1,3,4,3,1,,4
110,vt4_Mäntsälä,2020/02/01,2,"14 KAPP",,1,1,,1,3,6,8,7,5,6,7,10,4,2,4,11,7,2,,3,3,2,1
110,vt4_Mäntsälä,2020/02/01,2,"15 KATP",9,5,9,5,14,11,6,7,6,5,9,7,6,2,1,4,4,5,2,6,5,2,6,6
110,vt4_Mäntsälä,2020/02/01,2,"16 HA + PK",1,1,1,,,,3,1,6,9,14,15,16,18,12,11,14,10,8,6,7,3,3,1
110,vt4_Mäntsälä,2020/02/01,2,"17 HA + AV",,,1,,1,,,,,1,2,1,2,1,,2,2,,2,,,,,
110,vt4_Mäntsälä,2020/02/02,1,"11 HA-PA",141,66,41,30,31,30,69,77,177,293,534,647,702,774,708,799,770,673,539,407,295,198,154,91
110,vt4_Mäntsälä,2020/02/02,1,"12 KAIP",2,1,1,,,,,,,2,4,8,6,5,7,9,5,8,7,5,6,2,8,3
