"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
115,kt55_Saksala,2020/02/01,1,"11 HA-PA",29,14,16,12,12,17,37,61,99,142,161,186,235,301,253,225,206,191,170,101,101,79,72,42
115,kt55_Saksala,2020/02/01,1,"12 KAIP",,,,,,,1,1,,2,2,2,2,2,2,3,,,3,2,2,2,,
115,kt55_Saksala,2020/02/01,1,"13 Linja-autot",,,,,,,,,,1,2,1,1,1,,,,,1,1,1,1,,1
115,kt55_Saksala,2020/02/01,1,"14 KAPP",,,,,,,,,1,,,,,,,,,1,,,,,,
115,kt55_Saksala,2020/02/01,1,"15 KATP",,,,,,,,2,1,,2,2,2,,2,2,,2,2,,2,,,2
115,kt55_Saksala,2020/02/01,1,"16 HA + PK",,,,,,1,1,1,1,4,6,2,6,2,5,3,5,3,1,,2,2,,
115,kt55_Saksala,2020/02/01,1,"17 HA + AV",,,,1,,,,,1,1,,,,,1,,,,1,,,,,
115,kt55_Saksala,2020/02/01,2,"11 HA-PA",12,8,16,5,16,24,53,43,109,158,254,225,251,264,246,195,194,166,155,115,119,62,46,31
115,kt55_Saksala,2020/02/01,2,"12 KAIP",,1,,,1,,,,3,,2,1,4,,1,1,,1,1,,1,,,1
115,kt55_Saksala,2020/02/01,2,"13 Linja-autot",,,,,,,,1,4,1,,1,,1,1,,,1,,,,2,1,
115,kt55_Saksala,2020/02/01,2,"14 KAPP",1,,,,,,,,2,,2,,1,1,,,1,,2,,,,,
115,kt55_Saksala,2020/02/01,2,"15 KATP",,,,,,1,1,1,4,1,1,,,3,1,1,,,2,1,,,1,
115,kt55_Saksala,2020/02/01,2,"16 HA + PK",,,,,,,,,2,3,6,5,4,3,4,4,1,2,2,,1,,1,
115,kt55_Saksala,2020/02/01,2,"17 HA + AV",,,1,,,,,,,,,,,1,,,,1,,1,,,,
115,kt55_Saksala,2020/02/02,1,"11 HA-PA",28,22,15,21,23,11,19,41,31,73,100,140,181,229,243,272,233,194,178,122,78,50,30,11
115,kt55_Saksala,2020/02/02,1,"12 KAIP",,,,,,,,,1,,,2,1,3,1,3,2,2,1,1,1,1,4,
115,kt55_Saksala,2020/02/02,1,"13 Linja-autot",,,,,,,,,,,,1,1,,,,1,,,,2,,,
115,kt55_Saksala,2020/02/02,1,"14 KAPP",,,,,,,,,,,,5,,1,,,1,2,2,1,,,,
115,kt55_Saksala,2020/02/02,1,"15 KATP",,,,,,,,1,1,1,1,1,1,1,2,,4,4,5,1,2,,2,2
115,kt55_Saksala,2020/02/02,1,"16 HA + PK",,,,,1,,,,2,,1,3,2,4,3,4,2,3,5,1,,1,1,
115,kt55_Saksala,2020/02/02,1,"17 HA + AV",,,,,,,,,,1,,,1,,,1,,1,2,,,,,
115,kt55_Saksala,2020/02/02,2,"11 HA-PA",16,16,19,12,19,18,42,31,39,76,115,183,214,233,228,228,261,203,212,140,95,50,38,19
115,kt55_Saksala,2020/02/02,2,"12 KAIP",,,,,,,1,,1,1,2,1,3,2,4,2,3,1,4,3,,,,
115,kt55_Saksala,2020/02/02,2,"13 Linja-autot",,,,,,,,,,,1,,,1,1,,2,,,1,1,,,
115,kt55_Saksala,2020/02/02,2,"14 KAPP",,,,,,,,,,,3,,,,,,1,,,,,1,,
115,kt55_Saksala,2020/02/02,2,"15 KATP",,,,,,2,,,1,1,,1,,,,,2,2,2,,1,1,4,4
115,kt55_Saksala,2020/02/02,2,"16 HA + PK",,,,,,,,1,1,2,1,3,2,3,3,7,1,3,1,1,,4,1,
115,kt55_Saksala,2020/02/02,2,"17 HA + AV",,,,,,,,,1,,1,,,,,,,,1,1,,1,,1
115,kt55_Saksala,2020/02/03,1,"11 HA-PA",13,6,7,7,9,51,111,163,160,101,124,148,161,188,243,431,464,226,203,173,119,80,46,18
115,kt55_Saksala,2020/02/03,1,"12 KAIP",,,,1,,7,6,5,6,8,7,10,15,15,8,14,7,6,4,6,1,,1,
115,kt55_Saksala,2020/02/03,1,"13 Linja-autot",,,,,,,2,1,3,,,,1,,2,1,2,1,1,,1,,,
115,kt55_Saksala,2020/02/03,1,"14 KAPP",,,,,1,,5,4,3,3,5,3,5,4,2,2,3,1,3,,1,,,
115,kt55_Saksala,2020/02/03,1,"15 KATP",2,1,5,2,6,2,8,6,12,9,12,9,12,15,17,12,13,11,9,4,7,3,5,3
115,kt55_Saksala,2020/02/03,1,"16 HA + PK",,,,,,1,2,2,2,1,5,2,6,7,10,9,10,4,2,4,1,1,,
115,kt55_Saksala,2020/02/03,1,"17 HA + AV",,,,,,,,,,2,2,1,1,3,,1,3,,1,,1,,,
115,kt55_Saksala,2020/02/03,2,"11 HA-PA",8,2,7,7,35,158,451,379,317,201,155,165,176,153,182,206,219,196,133,75,74,50,24,9
115,kt55_Saksala,2020/02/03,2,"12 KAIP",,,1,,2,4,13,8,7,8,9,13,6,11,6,6,8,6,3,2,1,,,1
115,kt55_Saksala,2020/02/03,2,"13 Linja-autot",,,,,,1,3,2,1,1,1,,,,2,1,1,1,,,1,,,
115,kt55_Saksala,2020/02/03,2,"14 KAPP",,1,,,1,1,3,3,1,,2,5,7,5,,9,1,4,3,1,,,1,
115,kt55_Saksala,2020/02/03,2,"15 KATP",,3,5,4,4,3,7,7,11,3,8,7,9,7,12,7,10,4,5,2,4,2,1,6
115,kt55_Saksala,2020/02/03,2,"16 HA + PK",,,,,,3,2,4,8,7,5,4,5,5,5,4,5,,2,2,2,,1,
115,kt55_Saksala,2020/02/03,2,"17 HA + AV",,,,,,,1,,3,,2,1,,,1,1,3,1,,,,,,
115,kt55_Saksala,2020/02/04,1,"11 HA-PA",13,7,5,2,10,44,98,179,146,128,131,147,189,211,248,494,459,254,227,172,138,77,44,24
115,kt55_Saksala,2020/02/04,1,"12 KAIP",1,,,2,2,6,10,10,8,6,8,11,11,8,12,15,11,9,4,6,6,4,,
115,kt55_Saksala,2020/02/04,1,"13 Linja-autot",,,,,,,1,1,,,,,,,1,,2,,,,,,,
115,kt55_Saksala,2020/02/04,1,"14 KAPP",1,,,,,1,8,2,3,4,3,5,2,1,5,4,3,5,1,4,1,,1,1
115,kt55_Saksala,2020/02/04,1,"15 KATP",1,1,1,3,4,5,5,10,8,10,11,11,9,11,14,14,10,10,7,6,3,3,,1
115,kt55_Saksala,2020/02/04,1,"16 HA + PK",,1,,,,,2,2,1,8,3,5,9,6,8,9,4,4,5,3,2,,,1
115,kt55_Saksala,2020/02/04,1,"17 HA + AV",,,,1,,1,,,4,2,3,1,1,2,,3,1,,,,,,,
115,kt55_Saksala,2020/02/04,2,"11 HA-PA",5,,6,13,29,125,438,372,333,222,168,167,172,167,185,194,238,221,157,108,64,39,26,11
115,kt55_Saksala,2020/02/04,2,"12 KAIP",,1,,,3,2,9,8,9,13,7,7,13,7,9,6,9,3,3,1,1,3,,
115,kt55_Saksala,2020/02/04,2,"13 Linja-autot",,,,,,1,1,1,1,2,1,,1,1,1,1,,2,1,1,2,,,1
115,kt55_Saksala,2020/02/04,2,"14 KAPP",,,,,,,2,2,4,7,8,4,5,3,3,3,6,2,2,1,2,2,,1
115,kt55_Saksala,2020/02/04,2,"15 KATP",3,,4,4,4,7,14,12,4,8,8,10,10,8,12,6,6,7,6,2,2,3,4,
115,kt55_Saksala,2020/02/04,2,"16 HA + PK",,,,,,2,1,5,3,5,3,5,5,4,3,2,1,2,1,1,,,1,
115,kt55_Saksala,2020/02/04,2,"17 HA + AV",,1,,,,,1,1,1,2,1,3,,1,,,,2,,1,,,,
115,kt55_Saksala,2020/02/05,1,"11 HA-PA",10,6,3,2,8,39,102,162,153,115,116,151,169,170,243,463,463,256,184,184,131,85,56,21
115,kt55_Saksala,2020/02/05,1,"12 KAIP",,,,1,,7,8,10,6,12,10,9,11,13,11,17,9,4,6,,1,2,,1
115,kt55_Saksala,2020/02/05,1,"13 Linja-autot",,,,,,,1,,,,1,1,,,1,1,1,,1,,,,,
115,kt55_Saksala,2020/02/05,1,"14 KAPP",,,1,,1,2,2,8,1,4,7,5,6,1,5,1,2,2,2,2,,1,,
115,kt55_Saksala,2020/02/05,1,"15 KATP",1,3,,3,2,9,5,5,12,14,15,15,14,13,8,15,15,11,10,8,8,4,3,
115,kt55_Saksala,2020/02/05,1,"16 HA + PK",,,,,2,2,1,2,2,3,3,3,9,5,6,6,6,1,4,2,,,,
115,kt55_Saksala,2020/02/05,1,"17 HA + AV",,,,,1,,,,1,1,1,2,2,2,2,2,2,,2,1,,,,
115,kt55_Saksala,2020/02/05,2,"11 HA-PA",4,4,7,7,25,130,426,354,312,201,158,160,145,149,165,198,223,213,150,100,77,51,34,16
115,kt55_Saksala,2020/02/05,2,"12 KAIP",,,,2,4,4,18,8,4,8,14,8,10,6,9,5,5,5,7,2,2,,1,
115,kt55_Saksala,2020/02/05,2,"13 Linja-autot",,1,,1,1,3,4,2,1,1,2,1,,,2,2,,1,,,,,,
115,kt55_Saksala,2020/02/05,2,"14 KAPP",,,,,,3,2,3,8,4,8,3,5,4,5,7,4,1,2,1,1,,,1
115,kt55_Saksala,2020/02/05,2,"15 KATP",3,2,6,5,2,3,7,9,13,14,5,12,11,4,8,9,10,7,7,4,5,4,4,4
115,kt55_Saksala,2020/02/05,2,"16 HA + PK",,,,,,1,3,4,4,5,2,3,5,2,7,2,1,3,2,1,1,1,,1
115,kt55_Saksala,2020/02/05,2,"17 HA + AV",,,,,,,1,4,,,1,1,,1,,1,,,,,,1,,1
115,kt55_Saksala,2020/02/06,1,"11 HA-PA",16,6,6,6,11,34,96,180,160,111,102,156,177,188,282,480,437,282,213,144,133,101,58,16
115,kt55_Saksala,2020/02/06,1,"12 KAIP",,,,4,,5,8,4,12,8,12,6,12,6,13,16,10,6,4,3,2,,1,1
115,kt55_Saksala,2020/02/06,1,"13 Linja-autot",,,,,,2,,2,1,1,1,,1,1,2,1,1,1,,,,1,,
115,kt55_Saksala,2020/02/06,1,"14 KAPP",,,,,2,2,1,1,3,3,3,5,5,5,3,6,1,2,,1,,1,,
115,kt55_Saksala,2020/02/06,1,"15 KATP",2,2,1,1,5,5,8,15,13,14,15,11,15,17,8,13,14,13,15,5,6,4,5,1
115,kt55_Saksala,2020/02/06,1,"16 HA + PK",,,,1,,,1,2,1,1,5,8,4,5,6,7,5,6,2,3,2,,,
115,kt55_Saksala,2020/02/06,1,"17 HA + AV",,,1,2,,,1,,,2,1,,2,3,1,2,2,1,1,,,,,
115,kt55_Saksala,2020/02/06,2,"11 HA-PA",6,1,6,7,31,137,402,379,287,187,164,162,188,153,185,199,245,211,163,106,80,57,22,7
115,kt55_Saksala,2020/02/06,2,"12 KAIP",,1,1,2,2,4,6,8,7,6,11,6,8,9,14,15,5,4,1,4,1,,,1
115,kt55_Saksala,2020/02/06,2,"13 Linja-autot",,,,,,2,3,4,1,,2,1,,,3,2,,3,1,,,1,1,1
115,kt55_Saksala,2020/02/06,2,"14 KAPP",,1,1,,1,2,3,2,4,4,9,3,6,5,5,1,4,6,4,1,1,1,,
115,kt55_Saksala,2020/02/06,2,"15 KATP",1,2,3,3,4,6,9,12,9,11,17,15,4,10,9,7,6,9,6,4,10,6,4,
115,kt55_Saksala,2020/02/06,2,"16 HA + PK",,,1,,1,1,6,3,7,1,3,2,2,4,4,5,3,4,1,3,,1,,
115,kt55_Saksala,2020/02/06,2,"17 HA + AV",,,,1,,,,,1,2,1,,,,3,,2,,1,,,,,
115,kt55_Saksala,2020/02/07,1,"11 HA-PA",21,1,8,1,9,36,84,146,138,115,140,196,242,249,347,520,451,293,219,155,113,98,67,41
115,kt55_Saksala,2020/02/07,1,"12 KAIP",,,,2,1,9,6,7,10,8,9,5,16,12,10,16,11,5,4,1,1,1,1,
115,kt55_Saksala,2020/02/07,1,"13 Linja-autot",,,,,,1,,3,2,,,1,,1,2,4,1,2,1,1,,1,,
115,kt55_Saksala,2020/02/07,1,"14 KAPP",,,,1,,2,3,2,3,3,1,6,3,3,4,2,4,2,1,,,,,
115,kt55_Saksala,2020/02/07,1,"15 KATP",1,1,,3,7,3,7,12,10,11,14,13,12,11,12,16,5,6,7,4,7,,1,1
115,kt55_Saksala,2020/02/07,1,"16 HA + PK",,,,,1,,1,2,7,3,6,3,10,7,8,5,6,8,3,,1,1,,
115,kt55_Saksala,2020/02/07,1,"17 HA + AV",1,,,1,,1,,,3,1,3,,5,1,3,3,3,2,2,1,,,,
115,kt55_Saksala,2020/02/07,2,"11 HA-PA",8,3,7,8,24,129,397,334,250,194,179,164,187,188,228,259,245,222,193,122,91,59,43,29
115,kt55_Saksala,2020/02/07,2,"12 KAIP",1,,,,1,7,8,10,6,12,8,5,7,6,11,9,5,4,3,1,,2,1,
115,kt55_Saksala,2020/02/07,2,"13 Linja-autot",,1,,,,1,5,6,6,3,2,,,,4,,3,,,,3,,,
115,kt55_Saksala,2020/02/07,2,"14 KAPP",,,1,,,1,4,1,5,6,4,4,2,5,7,7,3,2,,1,1,1,,
115,kt55_Saksala,2020/02/07,2,"15 KATP",2,5,3,3,3,6,10,10,13,12,6,6,13,10,5,7,7,9,6,1,5,2,,3
115,kt55_Saksala,2020/02/07,2,"16 HA + PK",,,,,,3,6,2,1,2,3,3,7,4,4,7,3,2,2,3,,1,,
115,kt55_Saksala,2020/02/07,2,"17 HA + AV",,1,,,,,3,,3,,1,3,2,1,2,,2,,1,,1,,,
115,kt55_Saksala,2020/02/08,1,"11 HA-PA",27,14,18,14,10,16,30,53,93,154,153,205,243,253,229,253,206,197,167,128,95,75,57,43
