"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1205,kt86_Liminka,2020/02/01,1,"11 HA-PA",10,2,4,3,1,6,7,26,84,68,92,116,113,110,71,109,96,70,51,37,40,27,33,13
1205,kt86_Liminka,2020/02/01,1,"12 KAIP",,,1,,,2,,,2,,1,1,,2,,1,,,1,3,1,,1,
1205,kt86_Liminka,2020/02/01,1,"13 Linja-autot",,,,,,,,,3,,,,,,,1,1,,,1,,,,
1205,kt86_Liminka,2020/02/01,1,"14 KAPP",,,,,,,,,1,,,,,,,,1,,,,,,,
1205,kt86_Liminka,2020/02/01,1,"15 KATP",4,1,2,1,1,2,1,3,2,2,5,2,1,2,4,1,2,1,2,1,1,,1,
1205,kt86_Liminka,2020/02/01,1,"16 HA + PK",,1,,,,,,1,7,6,4,8,5,5,7,4,3,,5,5,3,7,,
1205,kt86_Liminka,2020/02/01,1,"17 HA + AV",,,,,1,,,,,,,,,,1,1,,,,,,,,
1205,kt86_Liminka,2020/02/01,2,"11 HA-PA",10,11,4,3,6,2,16,37,41,57,78,83,75,89,78,101,105,83,67,55,61,43,25,15
1205,kt86_Liminka,2020/02/01,2,"12 KAIP",1,,1,,,2,,2,,,,,,1,3,2,1,,2,,,,,
1205,kt86_Liminka,2020/02/01,2,"13 Linja-autot",,,,,,,,1,,,,,2,,,3,2,,1,1,2,,,
1205,kt86_Liminka,2020/02/01,2,"14 KAPP",,,,,,,,,1,,1,1,,,,,,,,1,,,,
1205,kt86_Liminka,2020/02/01,2,"15 KATP",,2,,,4,1,4,2,4,3,3,2,3,2,3,2,,3,1,1,,2,,
1205,kt86_Liminka,2020/02/01,2,"16 HA + PK",,,,,,,2,2,,7,2,4,3,4,4,8,1,6,1,,5,3,1,1
1205,kt86_Liminka,2020/02/01,2,"17 HA + AV",,,,,,,,1,,,,,,,,1,1,1,1,,2,,,1
1205,kt86_Liminka,2020/02/02,1,"11 HA-PA",10,6,3,4,2,2,6,8,19,31,45,70,78,71,82,111,120,114,97,94,73,39,27,11
1205,kt86_Liminka,2020/02/02,1,"12 KAIP",3,,,,,,,1,,,2,1,,,,1,1,,1,,1,3,1,
1205,kt86_Liminka,2020/02/02,1,"13 Linja-autot",,,,,,,,,,,,,,,,,1,,,,,,,
1205,kt86_Liminka,2020/02/02,1,"14 KAPP",,,,,,,,,,1,,1,,,,1,,1,,,2,2,,
1205,kt86_Liminka,2020/02/02,1,"15 KATP",,1,,1,1,1,1,,,1,,1,,2,,1,6,4,1,1,2,1,,1
1205,kt86_Liminka,2020/02/02,1,"16 HA + PK",,,,1,1,,,,1,2,1,6,6,1,7,2,4,4,3,2,1,1,,
1205,kt86_Liminka,2020/02/02,1,"17 HA + AV",,,,,,,,,,1,1,,,,,,,1,,,,,,
1205,kt86_Liminka,2020/02/02,2,"11 HA-PA",14,10,5,5,7,4,2,9,22,31,50,57,63,66,91,123,122,103,78,43,49,40,24,8
1205,kt86_Liminka,2020/02/02,2,"12 KAIP",1,,,,,,,,,2,,,1,1,,2,3,,1,,,,,
1205,kt86_Liminka,2020/02/02,2,"14 KAPP",,,,,,,,,,,,,,,,,1,1,1,,,,,
1205,kt86_Liminka,2020/02/02,2,"15 KATP",2,,2,,1,1,1,1,1,,1,2,1,1,1,4,3,1,2,2,3,2,3,1
1205,kt86_Liminka,2020/02/02,2,"16 HA + PK",,,,,,,,1,2,,2,3,4,2,4,6,6,6,8,5,2,2,,1
1205,kt86_Liminka,2020/02/02,2,"17 HA + AV",,,,,1,,,,,,1,,,,,1,1,,2,,,,,1
1205,kt86_Liminka,2020/02/03,1,"11 HA-PA",3,3,4,1,3,39,91,74,88,73,75,82,60,64,75,108,111,67,45,42,28,15,13,9
1205,kt86_Liminka,2020/02/03,1,"12 KAIP",2,1,1,,1,1,1,2,7,2,4,5,3,1,4,1,1,1,2,1,,,1,
1205,kt86_Liminka,2020/02/03,1,"13 Linja-autot",,,,,,,,,1,,,,,,,,1,,,,,,,
1205,kt86_Liminka,2020/02/03,1,"14 KAPP",,,,,,1,,,2,1,1,1,1,2,,2,1,,2,,1,2,,
1205,kt86_Liminka,2020/02/03,1,"15 KATP",2,,,3,3,2,5,2,,6,3,2,2,6,5,5,5,4,5,2,6,5,3,2
1205,kt86_Liminka,2020/02/03,1,"16 HA + PK",1,,,,,1,1,2,1,2,3,1,4,2,3,1,5,3,1,1,1,1,,2
1205,kt86_Liminka,2020/02/03,1,"17 HA + AV",2,,,,,,,,,2,,,,,,,,1,,,,1,,
1205,kt86_Liminka,2020/02/03,2,"11 HA-PA",5,2,5,4,4,18,81,98,80,63,37,41,56,64,83,79,105,82,56,40,30,17,8,3
1205,kt86_Liminka,2020/02/03,2,"12 KAIP",1,,,2,,2,5,3,5,1,1,1,1,1,3,1,1,2,2,,,,1,
1205,kt86_Liminka,2020/02/03,2,"13 Linja-autot",,,,,,,,,,,,,1,1,,,,,,,,,,
1205,kt86_Liminka,2020/02/03,2,"14 KAPP",,,1,1,,,2,,2,,2,1,1,1,1,2,1,,1,,,,,1
1205,kt86_Liminka,2020/02/03,2,"15 KATP",1,2,,1,,4,1,2,4,5,6,6,6,2,3,5,4,5,4,4,3,5,6,
1205,kt86_Liminka,2020/02/03,2,"16 HA + PK",1,,,,,,1,1,,1,,,3,2,3,4,,,2,1,,,,
