"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1248,st815_Oulunsalo,2020/02/01,1,"11 HA-PA",82,44,29,24,80,38,61,103,151,148,125,196,255,290,255,324,360,285,215,175,161,147,67,55
1248,st815_Oulunsalo,2020/02/01,1,"12 KAIP",1,,2,,3,1,1,1,1,2,2,4,5,2,2,6,3,4,,,1,1,,
1248,st815_Oulunsalo,2020/02/01,1,"13 Linja-autot",3,,1,,1,1,1,2,3,3,1,3,2,4,2,2,3,3,3,1,1,1,,
1248,st815_Oulunsalo,2020/02/01,1,"14 KAPP",,,,1,,,,1,,,,,,,,,,1,1,,,,,
1248,st815_Oulunsalo,2020/02/01,1,"15 KATP",,,,1,1,,,,,,1,1,,1,2,,,,,,1,,,
1248,st815_Oulunsalo,2020/02/01,1,"16 HA + PK",,,,,,,1,,3,4,4,4,4,6,3,12,5,2,6,2,1,2,4,
1248,st815_Oulunsalo,2020/02/01,1,"17 HA + AV",,,,,,,1,,1,1,,1,1,,,1,,,,,,,,
1248,st815_Oulunsalo,2020/02/01,2,"11 HA-PA",36,103,20,20,50,40,61,114,141,237,200,303,267,254,356,280,265,304,230,135,154,199,104,49
1248,st815_Oulunsalo,2020/02/01,2,"12 KAIP",1,,1,1,1,2,,2,2,,2,,2,1,1,1,1,2,3,1,,,,1
1248,st815_Oulunsalo,2020/02/01,2,"13 Linja-autot",,2,,,,,1,2,2,2,3,2,2,2,4,2,3,2,3,2,2,2,1,
1248,st815_Oulunsalo,2020/02/01,2,"15 KATP",,,,1,,,,,,3,1,,2,,2,,,,,,,,,
1248,st815_Oulunsalo,2020/02/01,2,"16 HA + PK",1,,,,,,1,,2,4,11,5,4,13,4,4,2,1,2,2,,3,2,
1248,st815_Oulunsalo,2020/02/01,2,"17 HA + AV",,,,,,,,1,,1,,,,,,,,,,,,,,
1248,st815_Oulunsalo,2020/02/02,1,"11 HA-PA",68,61,21,29,64,26,26,27,112,97,107,141,231,344,285,331,428,376,321,212,202,196,72,32
1248,st815_Oulunsalo,2020/02/02,1,"12 KAIP",2,,,,2,,,1,2,1,1,,4,4,2,7,2,5,3,2,1,2,,
1248,st815_Oulunsalo,2020/02/02,1,"13 Linja-autot",1,,,,1,,,2,3,2,2,3,3,2,2,2,4,3,3,4,3,1,2,
1248,st815_Oulunsalo,2020/02/02,1,"14 KAPP",,,,,1,,,,,,,,,,,,,,1,1,1,,1,
1248,st815_Oulunsalo,2020/02/02,1,"15 KATP",,,1,,,,,,,,,1,,1,2,,1,,1,,,,,
1248,st815_Oulunsalo,2020/02/02,1,"16 HA + PK",,,,,,,,1,1,4,,5,5,2,,5,4,4,5,2,4,1,,
1248,st815_Oulunsalo,2020/02/02,1,"17 HA + AV",,,,,,,,,,,,,,,,,1,,,,,,1,
1248,st815_Oulunsalo,2020/02/02,2,"11 HA-PA",24,107,15,24,45,40,34,28,69,144,146,184,256,292,349,345,435,374,326,180,195,142,182,19
