"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1327,kt78_Aska,2020/02/01,1,"11 HA-PA",,,,2,,,1,5,4,7,16,18,11,11,9,12,6,5,4,4,3,1,2,1
1327,kt78_Aska,2020/02/01,1,"12 KAIP",,,,,,,,,1,,,,1,,,,,,,,1,,,
1327,kt78_Aska,2020/02/01,1,"13 Linja-autot",,,,,,,,,,,,,,,1,,,,,,,,,
1327,kt78_Aska,2020/02/01,1,"14 KAPP",,,,,,,,,,,,,,1,,,,,,,,,,
1327,kt78_Aska,2020/02/01,1,"15 KATP",,,,,,,,,,,,,,1,1,,,,,,,,,
1327,kt78_Aska,2020/02/01,1,"16 HA + PK",,,,,,1,,1,,,,2,2,1,1,1,1,,,,,,,
1327,kt78_Aska,2020/02/01,2,"11 HA-PA",1,1,,,,,2,3,4,7,13,8,7,9,15,7,10,9,5,1,3,1,1,1
1327,kt78_Aska,2020/02/01,2,"12 KAIP",,,,,,,,,,,,,,,,1,,,,,1,,,
1327,kt78_Aska,2020/02/01,2,"14 KAPP",,,,,,,,,,,2,,,,,,,,,,,,,
1327,kt78_Aska,2020/02/01,2,"15 KATP",,,,,,,,,,1,,,,,,,,,,,,,,
1327,kt78_Aska,2020/02/01,2,"16 HA + PK",,,,,,,,,,1,1,1,,,1,5,,,,,2,,,
1327,kt78_Aska,2020/02/01,2,"17 HA + AV",,,,,,,,,,,,,,1,,,,,,,1,,,
1327,kt78_Aska,2020/02/02,1,"11 HA-PA",,,,,,,,1,,8,3,7,10,12,11,18,21,17,12,12,6,4,2,1
1327,kt78_Aska,2020/02/02,1,"12 KAIP",,,,,,,,,1,,,,,,,,1,,,,,,,
1327,kt78_Aska,2020/02/02,1,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,,,,,1
1327,kt78_Aska,2020/02/02,1,"16 HA + PK",,,,,,,,,,,,1,1,1,1,,,,,,2,1,,
1327,kt78_Aska,2020/02/02,1,"17 HA + AV",,,,,,,,,,,,,,,,1,,,,,,1,,
1327,kt78_Aska,2020/02/02,2,"11 HA-PA",,,,1,,1,,2,2,3,3,8,9,15,11,13,14,14,9,12,6,1,1,5
1327,kt78_Aska,2020/02/02,2,"12 KAIP",,,,,,,,,,,1,,,,,,,,,1,,,,
1327,kt78_Aska,2020/02/02,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,,,1,,,,
1327,kt78_Aska,2020/02/02,2,"16 HA + PK",,,,,,,,,,,,1,2,,,3,,2,,,,,,
1327,kt78_Aska,2020/02/02,2,"17 HA + AV",,,,,,,,,,1,,,,,,,,,,,,,,
1327,kt78_Aska,2020/02/03,1,"11 HA-PA",1,,,1,1,4,4,8,8,8,10,9,12,6,13,9,12,4,4,2,4,,1,1
1327,kt78_Aska,2020/02/03,1,"12 KAIP",,,,1,,,1,1,,,,1,,,1,,,1,,,,1,,
1327,kt78_Aska,2020/02/03,1,"14 KAPP",,,,,,,,,,,,,,1,,,,1,,,,,,
