"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1423,kt81_Peräposio,2020/02/01,1,"11 HA-PA",,2,,,4,1,1,1,3,6,7,10,11,12,13,9,15,8,4,5,4,,2,1
1423,kt81_Peräposio,2020/02/01,1,"12 KAIP",,,,,,1,,,,1,,,,,,1,1,,1,,,,,
1423,kt81_Peräposio,2020/02/01,1,"13 Linja-autot",,,,,,,1,,,1,,,,,,,,1,,,,,,
1423,kt81_Peräposio,2020/02/01,1,"15 KATP",,,,,1,,,,,,,,,,,,2,,,,,,1,
1423,kt81_Peräposio,2020/02/01,1,"16 HA + PK",,,,,,,,,,1,,2,2,2,,,1,,1,,,1,1,
1423,kt81_Peräposio,2020/02/01,1,"17 HA + AV",,,,,,,,,,,,,,,,1,2,1,,,,,,
1423,kt81_Peräposio,2020/02/01,2,"11 HA-PA",1,,,1,,,2,3,5,19,7,2,8,12,12,12,5,7,2,4,6,3,1,
1423,kt81_Peräposio,2020/02/01,2,"12 KAIP",,,,,,1,,1,,2,,,,1,1,,,,,,,,,
1423,kt81_Peräposio,2020/02/01,2,"13 Linja-autot",,,,,,,,,,,,,,,,,,1,,,,,,
1423,kt81_Peräposio,2020/02/01,2,"14 KAPP",,,,,,,,,,,,,,1,,,,,,,,,,
1423,kt81_Peräposio,2020/02/01,2,"15 KATP",,,,,,,,,,,,1,,,,,,,,,,,,
1423,kt81_Peräposio,2020/02/01,2,"16 HA + PK",,,,,,,,,2,3,,1,1,1,1,,,,,,,,,
1423,kt81_Peräposio,2020/02/01,2,"17 HA + AV",,,,,,,,,,1,1,1,1,,,,,,,,,,,
1423,kt81_Peräposio,2020/02/02,1,"11 HA-PA",1,,,,1,,,,2,5,6,6,10,9,11,17,10,13,8,7,4,1,,1
1423,kt81_Peräposio,2020/02/02,1,"12 KAIP",1,,,,,,,1,1,,,,,,,,,2,,1,,,,
1423,kt81_Peräposio,2020/02/02,1,"15 KATP",,,,,,,,,1,,,,,,,,,,1,1,,,,
1423,kt81_Peräposio,2020/02/02,1,"16 HA + PK",,,,,,,,,,,,,,1,1,2,3,,,,,,,
1423,kt81_Peräposio,2020/02/02,2,"11 HA-PA",,,1,,,,3,,1,8,14,16,10,27,18,15,17,26,14,11,5,2,2,
1423,kt81_Peräposio,2020/02/02,2,"12 KAIP",,,,,,,,1,,1,1,,,1,,1,1,,,,,,,
1423,kt81_Peräposio,2020/02/02,2,"15 KATP",,1,,,,,,,,,,1,,,,1,,,,,,1,,
1423,kt81_Peräposio,2020/02/02,2,"16 HA + PK",,,,,,,,,,,,,5,1,,1,,2,2,,,,1,
1423,kt81_Peräposio,2020/02/02,2,"17 HA + AV",,,,,,,,,,,,,2,1,,,,,,,,,,
1423,kt81_Peräposio,2020/02/03,1,"11 HA-PA",2,,,,5,4,8,7,12,5,7,7,6,14,9,8,8,8,5,8,1,4,1,
1423,kt81_Peräposio,2020/02/03,1,"12 KAIP",,,,,,,2,,3,1,1,1,1,1,,3,,,,,,,,
1423,kt81_Peräposio,2020/02/03,1,"15 KATP",,,,,,,,1,,,,,,1,1,,,,1,,,,,
1423,kt81_Peräposio,2020/02/03,1,"16 HA + PK",,,,,,,,,,,,,,,,1,1,,,,,,,
1423,kt81_Peräposio,2020/02/03,1,"17 HA + AV",,,,,,,,,,,2,,,,,,,1,,,,,,
