"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1441,vt29_Tornio_Torppi,2020/02/01,1,"11 HA-PA",20,20,24,14,22,44,37,53,66,142,316,481,522,480,376,327,262,212,193,154,102,95,60,49
1441,vt29_Tornio_Torppi,2020/02/01,1,"12 KAIP",,,,,2,2,2,4,10,1,3,6,1,4,,5,3,1,3,3,3,2,1,
1441,vt29_Tornio_Torppi,2020/02/01,1,"13 Linja-autot",,,,,,,1,,,,1,4,3,,,,,1,,,,1,,
1441,vt29_Tornio_Torppi,2020/02/01,1,"14 KAPP",,,1,5,1,1,2,,3,1,3,,1,4,4,5,5,2,2,10,2,1,1,1
1441,vt29_Tornio_Torppi,2020/02/01,1,"15 KATP",5,6,4,5,4,7,8,4,9,6,5,10,7,5,8,5,9,4,7,10,8,9,3,9
1441,vt29_Tornio_Torppi,2020/02/01,1,"16 HA + PK",,,1,,1,,,1,3,2,9,16,21,15,8,8,8,7,5,,1,,1,
1441,vt29_Tornio_Torppi,2020/02/01,1,"17 HA + AV",1,,,,,,1,,1,,1,2,1,3,2,2,1,,,1,,,,
1441,vt29_Tornio_Torppi,2020/02/01,2,"11 HA-PA",32,24,23,20,12,39,66,61,64,137,183,223,309,392,464,458,436,359,298,196,126,90,84,66
1441,vt29_Tornio_Torppi,2020/02/01,2,"12 KAIP",1,,,1,2,1,2,,,4,3,3,3,3,6,5,2,5,2,1,4,1,2,1
1441,vt29_Tornio_Torppi,2020/02/01,2,"13 Linja-autot",,,,,,1,,,1,,2,,,1,2,1,3,3,,,1,,,
1441,vt29_Tornio_Torppi,2020/02/01,2,"14 KAPP",1,3,,2,1,,3,3,4,3,5,2,5,2,2,3,2,3,1,1,2,5,1,3
1441,vt29_Tornio_Torppi,2020/02/01,2,"15 KATP",9,9,4,5,5,6,3,6,7,7,10,4,7,11,10,5,11,5,8,7,9,5,7,5
1441,vt29_Tornio_Torppi,2020/02/01,2,"16 HA + PK",,,1,,,,3,,4,2,5,4,5,5,7,10,12,13,9,5,3,1,,1
1441,vt29_Tornio_Torppi,2020/02/01,2,"17 HA + AV",,,,,,,,,1,1,,,2,1,3,,,2,1,,1,1,,
1441,vt29_Tornio_Torppi,2020/02/02,1,"11 HA-PA",37,28,30,22,28,47,36,28,57,58,161,206,268,303,303,306,277,264,189,182,127,147,47,16
1441,vt29_Tornio_Torppi,2020/02/02,1,"12 KAIP",3,1,,,,2,,1,6,1,3,3,8,3,5,1,3,1,3,1,4,4,1,1
1441,vt29_Tornio_Torppi,2020/02/02,1,"13 Linja-autot",,,,,,,,,1,,,,,1,,1,3,,,,1,1,,
1441,vt29_Tornio_Torppi,2020/02/02,1,"14 KAPP",,,1,,,1,1,,5,4,4,3,5,3,4,3,3,7,4,3,,2,3,2
1441,vt29_Tornio_Torppi,2020/02/02,1,"15 KATP",2,5,2,3,1,1,1,3,3,1,5,5,8,5,9,11,1,7,9,13,11,7,6,9
1441,vt29_Tornio_Torppi,2020/02/02,1,"16 HA + PK",1,,,,,1,,,,1,6,8,9,12,3,3,6,5,3,2,2,5,3,1
1441,vt29_Tornio_Torppi,2020/02/02,1,"17 HA + AV",,,,,,1,,,,,,,1,,1,1,,1,1,,,,,
1441,vt29_Tornio_Torppi,2020/02/02,2,"11 HA-PA",33,24,27,21,21,41,68,42,38,66,134,162,218,276,335,381,388,348,304,176,116,83,48,22
1441,vt29_Tornio_Torppi,2020/02/02,2,"12 KAIP",,,,1,,1,3,,4,1,,,2,2,2,5,8,1,1,1,1,1,,
1441,vt29_Tornio_Torppi,2020/02/02,2,"13 Linja-autot",,,,,,,,,,,,,,1,,2,,3,1,,1,,,1
1441,vt29_Tornio_Torppi,2020/02/02,2,"14 KAPP",1,1,1,,1,3,,1,1,2,1,2,1,3,,5,1,1,1,2,2,2,,
1441,vt29_Tornio_Torppi,2020/02/02,2,"15 KATP",4,6,5,4,2,1,4,1,2,2,1,4,3,9,7,,11,5,5,3,8,5,7,4
1441,vt29_Tornio_Torppi,2020/02/02,2,"16 HA + PK",1,,,1,,,,1,1,3,5,3,9,3,9,9,19,14,16,5,2,6,1,
1441,vt29_Tornio_Torppi,2020/02/02,2,"17 HA + AV",,,,,,,1,,,1,1,,,1,1,3,1,,2,,,4,1,
1441,vt29_Tornio_Torppi,2020/02/03,1,"11 HA-PA",16,11,8,10,18,83,316,329,264,205,229,271,307,299,346,442,422,247,205,164,97,93,36,15
1441,vt29_Tornio_Torppi,2020/02/03,1,"12 KAIP",2,,,1,1,1,3,13,11,14,7,11,13,3,5,3,9,4,4,5,1,4,1,
1441,vt29_Tornio_Torppi,2020/02/03,1,"13 Linja-autot",,,,,,,,3,2,1,,3,3,1,1,1,1,1,,,,,,
1441,vt29_Tornio_Torppi,2020/02/03,1,"14 KAPP",,,1,,2,,5,1,4,9,6,4,4,8,3,6,5,4,6,4,2,1,,3
1441,vt29_Tornio_Torppi,2020/02/03,1,"15 KATP",10,10,8,5,8,14,8,18,22,24,20,17,20,19,19,23,11,15,17,13,11,11,7,4
1441,vt29_Tornio_Torppi,2020/02/03,1,"16 HA + PK",,,,1,,,1,1,3,3,4,5,6,6,4,5,5,3,3,2,2,,1,
1441,vt29_Tornio_Torppi,2020/02/03,1,"17 HA + AV",,,,,,,1,,1,2,1,,1,,1,2,1,,1,,1,,1,1
1441,vt29_Tornio_Torppi,2020/02/03,2,"11 HA-PA",9,3,1,6,17,89,266,376,177,194,206,257,265,321,354,576,407,298,256,174,145,98,69,17
1441,vt29_Tornio_Torppi,2020/02/03,2,"12 KAIP",,,2,1,1,3,4,4,10,7,8,4,8,5,15,7,4,4,3,1,1,1,,1
1441,vt29_Tornio_Torppi,2020/02/03,2,"13 Linja-autot",,,,,,1,2,,3,3,1,1,2,2,3,1,1,4,1,2,,2,,
1441,vt29_Tornio_Torppi,2020/02/03,2,"14 KAPP",1,,,,1,1,2,5,1,3,4,6,2,5,4,9,7,4,2,6,2,3,1,1
1441,vt29_Tornio_Torppi,2020/02/03,2,"15 KATP",4,6,6,6,7,9,14,19,11,21,19,19,20,20,22,21,13,26,6,12,15,11,12,9
1441,vt29_Tornio_Torppi,2020/02/03,2,"16 HA + PK",1,,,,,1,,,,2,6,1,6,10,8,3,3,6,4,1,3,2,,
1441,vt29_Tornio_Torppi,2020/02/03,2,"17 HA + AV",,,,,,,2,,,1,2,1,,1,1,1,,,,,,,,
1441,vt29_Tornio_Torppi,2020/02/04,1,"11 HA-PA",9,5,6,6,21,89,297,332,249,207,238,301,278,276,322,422,413,281,201,160,120,84,43,20
1441,vt29_Tornio_Torppi,2020/02/04,1,"12 KAIP",1,,,,,1,5,10,16,8,13,13,12,4,4,4,4,4,4,5,4,7,1,1
1441,vt29_Tornio_Torppi,2020/02/04,1,"13 Linja-autot",1,,,,,,,3,,1,,,1,1,4,1,1,1,,,1,,1,
1441,vt29_Tornio_Torppi,2020/02/04,1,"14 KAPP",,4,,1,2,4,5,5,5,10,4,3,6,7,7,11,6,2,4,9,3,2,2,4
1441,vt29_Tornio_Torppi,2020/02/04,1,"15 KATP",9,12,7,11,7,16,8,20,20,20,24,16,19,16,17,13,24,18,10,18,14,10,11,10
1441,vt29_Tornio_Torppi,2020/02/04,1,"16 HA + PK",,1,,,,,1,1,7,5,3,6,3,6,6,6,7,3,3,1,1,,,1
1441,vt29_Tornio_Torppi,2020/02/04,1,"17 HA + AV",,,,,,,,,,,1,,1,,1,1,,,2,,,1,,
1441,vt29_Tornio_Torppi,2020/02/04,2,"11 HA-PA",12,9,3,5,9,67,254,353,201,184,195,253,256,321,385,554,441,316,249,232,157,101,58,13
1441,vt29_Tornio_Torppi,2020/02/04,2,"12 KAIP",2,,,,,1,5,1,3,10,6,8,6,10,11,14,2,3,1,3,2,3,,1
1441,vt29_Tornio_Torppi,2020/02/04,2,"13 Linja-autot",,,,,,2,2,,2,,1,,1,1,4,1,1,,,,,1,1,
1441,vt29_Tornio_Torppi,2020/02/04,2,"14 KAPP",3,1,2,,,1,2,6,8,7,5,7,11,8,3,6,10,5,4,7,4,1,3,1
1441,vt29_Tornio_Torppi,2020/02/04,2,"15 KATP",8,7,9,8,9,11,14,9,16,24,14,15,24,15,14,23,14,8,22,12,16,10,10,11
1441,vt29_Tornio_Torppi,2020/02/04,2,"16 HA + PK",,1,,,,2,1,2,,4,3,1,7,4,6,3,13,4,3,2,1,2,,
1441,vt29_Tornio_Torppi,2020/02/04,2,"17 HA + AV",,,,,,,,,,1,1,1,,1,1,,,,1,,,1,,
1441,vt29_Tornio_Torppi,2020/02/05,1,"11 HA-PA",12,6,6,5,15,99,321,370,257,194,242,253,297,325,327,458,461,328,206,147,92,92,45,15
1441,vt29_Tornio_Torppi,2020/02/05,1,"12 KAIP",,,,,,3,2,13,6,5,11,9,8,6,9,8,8,4,5,4,1,1,1,1
1441,vt29_Tornio_Torppi,2020/02/05,1,"13 Linja-autot",,1,,,,,1,2,1,2,,1,1,3,3,4,2,1,1,,2,,,
1441,vt29_Tornio_Torppi,2020/02/05,1,"14 KAPP",,,5,1,,1,1,4,4,8,8,4,6,6,5,12,10,7,6,3,3,5,4,1
1441,vt29_Tornio_Torppi,2020/02/05,1,"15 KATP",8,7,9,7,5,14,12,24,7,18,17,25,18,16,16,14,15,9,20,13,14,11,14,11
1441,vt29_Tornio_Torppi,2020/02/05,1,"16 HA + PK",,,,,,,,2,1,3,5,10,3,7,2,1,3,3,3,1,2,2,,
1441,vt29_Tornio_Torppi,2020/02/05,1,"17 HA + AV",,,,,,,1,,,1,1,2,2,3,,1,1,,1,,,,1,
1441,vt29_Tornio_Torppi,2020/02/05,2,"11 HA-PA",11,4,2,10,9,59,232,355,211,175,213,238,291,370,401,634,445,303,281,237,181,100,81,21
1441,vt29_Tornio_Torppi,2020/02/05,2,"12 KAIP",1,,,1,2,3,,9,13,6,9,6,7,13,11,7,7,3,1,3,2,,,
1441,vt29_Tornio_Torppi,2020/02/05,2,"13 Linja-autot",,,,,,2,3,,3,1,2,2,2,2,4,1,2,2,2,2,1,2,,
1441,vt29_Tornio_Torppi,2020/02/05,2,"14 KAPP",5,,4,,2,4,1,6,3,9,7,7,6,9,10,7,9,7,4,4,4,2,,2
1441,vt29_Tornio_Torppi,2020/02/05,2,"15 KATP",8,8,6,4,12,8,9,22,14,19,12,22,16,22,16,19,13,14,11,16,8,15,11,12
1441,vt29_Tornio_Torppi,2020/02/05,2,"16 HA + PK",,,,,1,,1,,5,1,4,4,3,2,3,5,4,,1,4,1,1,1,
1441,vt29_Tornio_Torppi,2020/02/05,2,"17 HA + AV",,,,,,,,,,,,,,1,,,,1,,1,,,,
1441,vt29_Tornio_Torppi,2020/02/06,1,"11 HA-PA",2,12,3,12,12,91,299,349,251,208,219,285,289,320,362,426,448,294,211,163,123,91,58,17
1441,vt29_Tornio_Torppi,2020/02/06,1,"12 KAIP",1,,,,1,,8,8,10,10,11,5,3,7,12,8,7,4,3,4,3,2,1,1
1441,vt29_Tornio_Torppi,2020/02/06,1,"13 Linja-autot",1,,,,,,1,3,2,2,,1,1,4,2,1,2,1,1,,2,,,
1441,vt29_Tornio_Torppi,2020/02/06,1,"14 KAPP",2,3,1,3,2,2,1,6,12,11,6,10,4,2,5,4,4,5,4,,4,2,1,1
1441,vt29_Tornio_Torppi,2020/02/06,1,"15 KATP",8,9,6,9,10,10,14,16,21,14,14,18,12,11,10,12,15,18,18,6,13,7,7,7
1441,vt29_Tornio_Torppi,2020/02/06,1,"16 HA + PK",,1,,,,,,1,1,6,4,3,11,4,5,8,3,10,4,4,4,,2,1
1441,vt29_Tornio_Torppi,2020/02/06,1,"17 HA + AV",,,2,,,,,1,1,,1,2,4,2,3,2,2,3,3,1,1,1,1,
1441,vt29_Tornio_Torppi,2020/02/06,2,"11 HA-PA",7,11,8,6,13,66,230,342,223,167,189,256,294,331,450,603,504,310,246,219,173,107,65,20
1441,vt29_Tornio_Torppi,2020/02/06,2,"12 KAIP",4,1,1,,1,2,4,6,8,9,5,6,12,9,16,13,8,,1,2,2,,1,
1441,vt29_Tornio_Torppi,2020/02/06,2,"13 Linja-autot",,,,,,1,3,,3,2,2,4,1,1,4,3,2,,,1,,2,,
1441,vt29_Tornio_Torppi,2020/02/06,2,"14 KAPP",2,,1,,1,1,3,11,6,4,5,12,6,7,7,14,10,3,4,5,5,,,
1441,vt29_Tornio_Torppi,2020/02/06,2,"15 KATP",10,7,11,9,9,6,15,15,15,15,12,15,25,20,13,17,13,13,13,19,16,11,12,2
1441,vt29_Tornio_Torppi,2020/02/06,2,"16 HA + PK",,,,,,,1,2,1,6,3,5,8,5,8,7,3,4,10,1,,1,1,
1441,vt29_Tornio_Torppi,2020/02/06,2,"17 HA + AV",,,,,,,,1,,2,2,1,1,2,1,2,3,,1,1,,,,
1441,vt29_Tornio_Torppi,2020/02/07,1,"11 HA-PA",9,12,7,4,19,85,284,342,216,222,272,329,331,408,426,502,447,395,301,197,164,132,68,34
1441,vt29_Tornio_Torppi,2020/02/07,1,"12 KAIP",1,1,,,,,3,12,13,11,8,12,14,9,6,3,5,9,6,4,1,2,1,1
1441,vt29_Tornio_Torppi,2020/02/07,1,"13 Linja-autot",,1,,,,,,1,,,,1,1,1,2,2,1,,2,,,,1,
1441,vt29_Tornio_Torppi,2020/02/07,1,"14 KAPP",3,1,,,2,2,2,3,3,5,3,5,2,7,6,5,1,8,5,2,5,5,2,4
1441,vt29_Tornio_Torppi,2020/02/07,1,"15 KATP",8,10,11,5,6,13,13,19,15,15,21,17,13,17,11,12,7,7,10,7,8,8,5,6
1441,vt29_Tornio_Torppi,2020/02/07,1,"16 HA + PK",1,,1,,,,,3,,4,5,9,9,9,9,5,10,11,12,5,2,3,4,
