"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1453,vt4_Siikalahti,2020/02/01,1,"11 HA-PA",29,26,19,16,16,27,66,48,92,177,345,440,420,387,295,305,214,220,181,146,141,84,46,37
1453,vt4_Siikalahti,2020/02/01,1,"12 KAIP",,,,1,2,1,1,4,,1,2,5,,2,1,5,1,2,1,4,2,1,2,2
1453,vt4_Siikalahti,2020/02/01,1,"13 Linja-autot",,,,,,,1,,,2,,4,2,,,1,2,3,2,,,3,,
1453,vt4_Siikalahti,2020/02/01,1,"14 KAPP",,1,1,4,,1,1,1,1,2,2,1,3,3,1,2,5,3,4,4,2,1,,1
1453,vt4_Siikalahti,2020/02/01,1,"15 KATP",1,4,5,5,8,3,5,2,6,3,,8,3,6,4,6,3,5,6,6,5,3,7,1
1453,vt4_Siikalahti,2020/02/01,1,"16 HA + PK",,2,,2,1,,2,1,6,3,17,22,21,12,6,18,12,8,6,5,5,2,1,
1453,vt4_Siikalahti,2020/02/01,1,"17 HA + AV",1,,,,,,2,2,,,1,4,1,1,2,3,1,2,,2,1,,1,
1453,vt4_Siikalahti,2020/02/01,2,"11 HA-PA",31,19,24,15,13,19,38,64,104,156,237,278,308,320,345,331,340,294,253,137,95,57,48,37
1453,vt4_Siikalahti,2020/02/01,2,"12 KAIP",,1,1,1,,1,,1,4,2,3,7,4,3,8,3,3,2,3,2,1,2,3,
1453,vt4_Siikalahti,2020/02/01,2,"13 Linja-autot",,,,,,,,,3,,4,1,1,1,2,,2,2,,1,2,,,
1453,vt4_Siikalahti,2020/02/01,2,"14 KAPP",5,3,1,2,2,2,1,5,1,2,7,2,3,6,3,3,1,1,3,,,4,3,1
1453,vt4_Siikalahti,2020/02/01,2,"15 KATP",7,5,3,1,4,4,1,4,9,6,8,6,3,5,5,4,8,10,9,1,2,3,2,1
1453,vt4_Siikalahti,2020/02/01,2,"16 HA + PK",2,1,1,,,3,2,3,6,6,11,9,7,11,12,11,10,13,12,7,3,2,2,1
1453,vt4_Siikalahti,2020/02/01,2,"17 HA + AV",,,,,,,,,,,1,,1,1,1,3,2,1,1,2,1,,1,1
1453,vt4_Siikalahti,2020/02/02,1,"11 HA-PA",30,26,26,18,17,28,45,39,37,69,192,195,258,283,281,305,276,258,281,199,173,105,52,31
1453,vt4_Siikalahti,2020/02/02,1,"12 KAIP",,,1,,,,1,,1,3,1,1,5,3,4,2,1,1,7,4,2,1,2,1
1453,vt4_Siikalahti,2020/02/02,1,"13 Linja-autot",,,1,,,,,,,,1,,1,2,,,,,1,4,2,1,1,1
1453,vt4_Siikalahti,2020/02/02,1,"14 KAPP",1,,1,,1,1,1,3,4,6,4,1,5,4,3,4,5,5,6,2,4,1,1,
1453,vt4_Siikalahti,2020/02/02,1,"15 KATP",3,1,1,1,,2,2,5,3,2,4,4,4,3,8,4,3,8,8,8,8,4,8,7
1453,vt4_Siikalahti,2020/02/02,1,"16 HA + PK",1,1,1,,1,,,4,11,1,13,13,12,7,14,8,11,8,12,7,4,3,3,
1453,vt4_Siikalahti,2020/02/02,1,"17 HA + AV",,,,,,1,,2,10,1,,2,2,,,,2,1,1,,1,,,1
1453,vt4_Siikalahti,2020/02/02,2,"11 HA-PA",32,21,21,17,19,15,30,42,42,74,157,198,224,266,331,335,336,339,288,190,140,91,54,16
1453,vt4_Siikalahti,2020/02/02,2,"12 KAIP",,,,,,1,1,1,1,3,5,2,7,3,5,3,7,4,3,,2,2,1,1
1453,vt4_Siikalahti,2020/02/02,2,"13 Linja-autot",,,1,,,,,2,1,,,,1,1,3,2,2,2,2,,1,,1,1
1453,vt4_Siikalahti,2020/02/02,2,"14 KAPP",1,,2,,1,2,,1,1,2,2,1,,2,,1,,2,1,1,,1,2,1
1453,vt4_Siikalahti,2020/02/02,2,"15 KATP",4,2,3,,1,,2,2,3,2,3,6,4,2,4,4,6,10,7,4,12,5,1,4
1453,vt4_Siikalahti,2020/02/02,2,"16 HA + PK",2,,,,1,,,1,1,5,14,11,6,12,10,20,26,17,15,9,5,5,2,1
1453,vt4_Siikalahti,2020/02/02,2,"17 HA + AV",,,1,,,,,1,1,1,,2,2,1,3,5,14,3,3,3,,3,2,
1453,vt4_Siikalahti,2020/02/03,1,"11 HA-PA",23,17,15,8,27,87,230,360,254,249,261,275,249,223,212,293,226,225,170,120,108,69,44,22
1453,vt4_Siikalahti,2020/02/03,1,"12 KAIP",1,1,,1,3,1,6,8,4,4,3,3,4,6,7,3,4,4,4,4,1,5,,2
1453,vt4_Siikalahti,2020/02/03,1,"13 Linja-autot",,,1,,,,,1,,1,1,1,,,,,,,,,1,,,
1453,vt4_Siikalahti,2020/02/03,1,"14 KAPP",,2,,1,1,2,1,4,3,5,7,1,7,11,5,6,5,5,7,7,1,1,3,2
1453,vt4_Siikalahti,2020/02/03,1,"15 KATP",5,10,10,6,14,10,14,21,24,19,23,19,21,19,24,20,16,11,17,17,6,6,10,5
1453,vt4_Siikalahti,2020/02/03,1,"16 HA + PK",1,,1,1,,,2,2,6,10,7,10,7,9,5,10,4,7,7,3,2,1,,1
1453,vt4_Siikalahti,2020/02/03,1,"17 HA + AV",1,,,,,,,1,1,1,2,1,,1,2,,1,1,,,1,,1,
1453,vt4_Siikalahti,2020/02/03,2,"11 HA-PA",19,10,12,12,25,72,142,143,143,146,178,217,218,239,340,408,347,207,185,152,111,61,54,25
1453,vt4_Siikalahti,2020/02/03,2,"12 KAIP",,2,1,,2,4,6,7,5,6,7,7,7,9,8,7,3,7,2,6,1,1,,
1453,vt4_Siikalahti,2020/02/03,2,"13 Linja-autot",,,,1,1,,,,2,1,1,1,,3,,,1,,1,,1,1,,1
1453,vt4_Siikalahti,2020/02/03,2,"14 KAPP",1,,,,1,,2,1,1,4,6,4,3,6,4,7,2,3,2,6,5,2,2,
1453,vt4_Siikalahti,2020/02/03,2,"15 KATP",1,,6,4,4,5,13,22,13,18,17,29,17,22,25,20,20,21,22,12,12,14,4,4
1453,vt4_Siikalahti,2020/02/03,2,"16 HA + PK",1,,,,,,1,1,5,5,10,2,7,12,8,7,4,5,3,3,4,2,1,
1453,vt4_Siikalahti,2020/02/03,2,"17 HA + AV",,,,,,,,1,,1,,,1,,,,1,1,,,2,,,1
1453,vt4_Siikalahti,2020/02/04,1,"11 HA-PA",16,17,8,8,16,72,233,361,223,231,213,227,222,200,222,253,272,202,165,120,105,55,44,21
1453,vt4_Siikalahti,2020/02/04,1,"12 KAIP",1,1,1,3,5,2,4,4,4,4,7,10,4,2,3,3,3,5,7,6,3,1,1,
1453,vt4_Siikalahti,2020/02/04,1,"13 Linja-autot",1,,,,,,,1,1,1,,1,1,2,1,,,,,,,,1,1
1453,vt4_Siikalahti,2020/02/04,1,"14 KAPP",1,2,1,,3,2,4,6,7,8,7,3,9,4,9,4,5,3,9,3,5,2,,1
1453,vt4_Siikalahti,2020/02/04,1,"15 KATP",7,11,7,11,13,13,14,20,24,17,20,17,17,18,17,14,19,16,11,16,12,10,10,11
1453,vt4_Siikalahti,2020/02/04,1,"16 HA + PK",,1,,,,,,3,4,6,4,5,4,12,5,3,5,8,2,4,2,2,1,1
1453,vt4_Siikalahti,2020/02/04,1,"17 HA + AV",,,,,,1,,,,1,,,,1,1,,1,,,,,1,,
1453,vt4_Siikalahti,2020/02/04,2,"11 HA-PA",14,9,4,13,16,44,116,151,116,119,154,189,195,245,302,390,358,236,203,147,97,62,49,13
1453,vt4_Siikalahti,2020/02/04,2,"12 KAIP",,1,,1,4,9,6,4,6,7,13,6,8,6,10,5,5,2,1,6,,,1,1
1453,vt4_Siikalahti,2020/02/04,2,"13 Linja-autot",,,,,,1,,,,,,2,1,,4,,,1,,1,1,1,,
1453,vt4_Siikalahti,2020/02/04,2,"14 KAPP",3,1,3,1,,,,3,4,4,9,8,5,4,4,6,6,6,9,4,3,1,1,3
1453,vt4_Siikalahti,2020/02/04,2,"15 KATP",6,1,7,9,5,6,12,11,12,22,10,20,21,21,18,20,21,17,13,15,16,12,8,4
1453,vt4_Siikalahti,2020/02/04,2,"16 HA + PK",,,,1,1,1,2,1,4,3,6,4,2,7,7,2,6,6,2,2,3,3,,
1453,vt4_Siikalahti,2020/02/04,2,"17 HA + AV",1,,,,,,1,1,1,,,,2,,1,,,1,,1,,1,,1
1453,vt4_Siikalahti,2020/02/05,1,"11 HA-PA",15,13,4,8,16,68,221,337,257,209,235,236,224,230,217,256,261,252,178,140,103,64,41,26
1453,vt4_Siikalahti,2020/02/05,1,"12 KAIP",2,1,,,4,4,4,2,3,12,5,6,3,3,7,9,1,12,5,2,,3,1,1
1453,vt4_Siikalahti,2020/02/05,1,"13 Linja-autot",,,,,,,1,1,,1,,1,1,1,,,1,,,,,,,
1453,vt4_Siikalahti,2020/02/05,1,"14 KAPP",1,3,5,1,1,,2,5,6,1,8,10,6,8,6,12,12,6,8,4,3,5,3,
1453,vt4_Siikalahti,2020/02/05,1,"15 KATP",9,9,8,10,13,16,17,19,12,23,25,15,18,14,17,10,18,12,17,16,9,16,4,5
1453,vt4_Siikalahti,2020/02/05,1,"16 HA + PK",,,,,1,,1,3,4,3,5,10,5,10,2,5,9,7,3,2,1,3,2,
1453,vt4_Siikalahti,2020/02/05,1,"17 HA + AV",,,,,,,,,1,1,1,3,1,,1,3,2,,1,,,3,,1
1453,vt4_Siikalahti,2020/02/05,2,"11 HA-PA",8,5,8,7,13,36,96,119,143,119,148,204,250,270,343,424,380,225,212,146,126,72,33,19
1453,vt4_Siikalahti,2020/02/05,2,"12 KAIP",1,1,,,3,6,6,5,8,4,4,6,6,8,8,11,7,5,2,5,2,1,,
1453,vt4_Siikalahti,2020/02/05,2,"13 Linja-autot",,,,,1,,,,,,1,4,,2,1,,,1,,,,,,
1453,vt4_Siikalahti,2020/02/05,2,"14 KAPP",4,,3,,,3,3,2,2,6,5,9,7,7,15,12,8,8,7,2,4,5,1,1
1453,vt4_Siikalahti,2020/02/05,2,"15 KATP",6,5,2,5,7,7,7,9,16,26,17,22,20,23,22,24,19,20,9,13,17,16,11,5
1453,vt4_Siikalahti,2020/02/05,2,"16 HA + PK",,,1,,1,1,1,2,3,3,1,2,5,2,7,8,8,6,2,4,,,1,
1453,vt4_Siikalahti,2020/02/05,2,"17 HA + AV",,,,,,2,,1,1,,2,1,2,,1,,,,,,1,,,1
1453,vt4_Siikalahti,2020/02/06,1,"11 HA-PA",15,12,7,11,16,64,208,343,262,236,209,232,263,260,243,273,262,242,228,138,118,103,58,27
1453,vt4_Siikalahti,2020/02/06,1,"12 KAIP",1,,,,3,5,4,5,3,6,7,5,7,4,4,6,7,9,5,3,1,2,2,2
1453,vt4_Siikalahti,2020/02/06,1,"13 Linja-autot",,,,,1,,,2,,2,,1,1,,1,,,,,,,,,1
