"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
153,kt45_Oulunkylä,2020/02/01,1,"11 HA-PA",261,213,185,163,246,262,287,228,339,524,831,929,1156,1270,1388,1426,1324,1164,980,796,631,525,476,351
153,kt45_Oulunkylä,2020/02/01,1,"12 KAIP",5,4,5,3,6,3,4,3,6,6,6,10,10,7,7,5,10,10,6,3,5,2,1,2
153,kt45_Oulunkylä,2020/02/01,1,"13 Linja-autot",10,10,6,3,5,15,9,7,10,13,10,15,12,17,20,13,11,14,13,23,16,17,14,12
153,kt45_Oulunkylä,2020/02/01,1,"14 KAPP",6,2,1,2,1,,,6,4,6,10,15,6,6,7,12,8,5,6,1,5,1,3,4
153,kt45_Oulunkylä,2020/02/01,1,"15 KATP",,,,,,,,1,,1,3,2,2,2,1,,2,,1,,1,,1,
153,kt45_Oulunkylä,2020/02/01,1,"16 HA + PK",1,,,,,,2,,1,,1,2,4,5,7,5,,2,3,1,,,,1
153,kt45_Oulunkylä,2020/02/01,1,"17 HA + AV",1,,,1,,,,,,,,,,2,,1,,,,,,,,
153,kt45_Oulunkylä,2020/02/01,2,"11 HA-PA",294,224,142,140,135,175,393,400,608,856,968,1158,1261,1260,1291,1374,1244,1058,863,669,549,457,334,409
153,kt45_Oulunkylä,2020/02/01,2,"12 KAIP",3,8,4,2,5,9,8,2,17,13,9,13,6,10,13,10,10,8,5,11,7,5,5,3
153,kt45_Oulunkylä,2020/02/01,2,"13 Linja-autot",10,8,6,3,6,7,11,13,15,13,16,12,18,18,15,9,20,14,14,13,16,16,11,6
153,kt45_Oulunkylä,2020/02/01,2,"14 KAPP",5,5,4,5,5,4,3,5,12,10,7,9,6,10,11,13,9,9,9,9,2,5,6,7
153,kt45_Oulunkylä,2020/02/01,2,"15 KATP",1,3,1,1,3,1,1,1,1,3,2,2,2,,6,,1,3,3,1,1,,,
153,kt45_Oulunkylä,2020/02/01,2,"16 HA + PK",,1,,1,1,,5,1,3,7,5,7,6,6,10,4,10,2,4,2,,1,,2
153,kt45_Oulunkylä,2020/02/01,2,"17 HA + AV",,,,,,2,1,,,1,,2,1,,1,3,1,,1,1,,,,
153,kt45_Oulunkylä,2020/02/02,1,"11 HA-PA",286,225,180,186,212,241,190,173,205,375,536,780,946,1167,1354,1368,1258,1108,981,822,682,456,377,247
153,kt45_Oulunkylä,2020/02/02,1,"12 KAIP",2,,,,,,1,1,1,4,3,1,9,8,6,2,6,6,6,10,6,2,8,7
153,kt45_Oulunkylä,2020/02/02,1,"13 Linja-autot",8,11,4,5,5,6,12,12,6,10,4,9,9,15,10,11,11,11,11,17,9,11,13,9
153,kt45_Oulunkylä,2020/02/02,1,"14 KAPP",4,2,,,,1,3,3,6,11,12,6,1,5,3,2,3,2,4,4,4,2,2,4
153,kt45_Oulunkylä,2020/02/02,1,"15 KATP",,,,,,,1,,,,4,1,,1,3,,,1,1,,1,1,,
153,kt45_Oulunkylä,2020/02/02,1,"16 HA + PK",1,,1,1,,1,1,1,,,1,,,2,3,3,6,6,9,4,1,1,,
153,kt45_Oulunkylä,2020/02/02,1,"17 HA + AV",,,2,1,,,,,,1,,1,1,,,1,2,4,1,1,,,,
153,kt45_Oulunkylä,2020/02/02,2,"11 HA-PA",335,193,175,130,148,157,252,248,359,585,833,847,1090,1189,1122,1256,1185,1098,960,784,526,408,294,347
153,kt45_Oulunkylä,2020/02/02,2,"12 KAIP",2,1,,2,1,3,2,3,6,3,9,6,7,1,4,8,10,9,7,8,8,9,2,4
153,kt45_Oulunkylä,2020/02/02,2,"13 Linja-autot",11,7,9,6,7,7,11,9,14,10,16,10,14,10,8,13,15,11,9,9,9,10,10,11
153,kt45_Oulunkylä,2020/02/02,2,"14 KAPP",3,1,1,2,3,4,1,2,5,7,3,7,4,4,4,2,2,4,6,4,8,5,3,2
153,kt45_Oulunkylä,2020/02/02,2,"15 KATP",1,1,1,,2,,,,2,3,2,4,3,1,6,4,2,,3,2,,2,3,2
153,kt45_Oulunkylä,2020/02/02,2,"16 HA + PK",,,,2,1,,,,4,5,3,4,2,4,11,5,5,4,3,1,2,,1,1
153,kt45_Oulunkylä,2020/02/02,2,"17 HA + AV",1,,,,,,,,,1,1,1,2,,,1,1,1,1,,,1,,
153,kt45_Oulunkylä,2020/02/03,1,"11 HA-PA",181,82,68,67,130,316,616,850,1072,983,968,1038,1160,1239,1907,2568,2433,1841,1339,964,892,653,364,252
153,kt45_Oulunkylä,2020/02/03,1,"12 KAIP",1,1,7,2,14,14,16,41,51,58,70,52,52,65,58,37,35,18,25,13,11,10,11,5
153,kt45_Oulunkylä,2020/02/03,1,"13 Linja-autot",6,6,5,1,7,23,35,43,29,24,31,26,29,34,39,41,41,42,26,21,20,15,18,9
153,kt45_Oulunkylä,2020/02/03,1,"14 KAPP",7,5,,1,4,3,16,16,19,17,29,15,9,7,14,11,10,11,14,13,13,9,6,6
153,kt45_Oulunkylä,2020/02/03,1,"15 KATP",,2,,1,2,1,6,4,8,9,11,8,6,6,7,8,7,3,3,,1,1,,3
153,kt45_Oulunkylä,2020/02/03,1,"16 HA + PK",,,,,,,1,1,1,12,4,2,3,4,2,5,6,4,6,1,1,1,1,
153,kt45_Oulunkylä,2020/02/03,1,"17 HA + AV",1,,,,,1,1,2,,1,1,2,6,,3,2,5,1,1,,1,,1,
153,kt45_Oulunkylä,2020/02/03,2,"11 HA-PA",181,109,52,58,148,461,1846,2403,2460,1519,1092,1152,1186,1132,962,1301,1572,1232,950,853,681,528,291,283
153,kt45_Oulunkylä,2020/02/03,2,"12 KAIP",4,3,2,12,13,38,76,72,68,56,72,45,64,47,38,34,20,19,17,15,18,10,4,2
153,kt45_Oulunkylä,2020/02/03,2,"13 Linja-autot",11,6,2,2,2,17,29,36,40,34,25,21,18,20,23,40,33,29,30,21,25,15,10,14
153,kt45_Oulunkylä,2020/02/03,2,"14 KAPP",2,3,6,1,4,9,19,22,22,19,13,23,21,18,22,13,22,26,12,9,12,5,12,5
153,kt45_Oulunkylä,2020/02/03,2,"15 KATP",,1,1,1,3,4,11,6,15,17,9,10,4,15,10,2,3,6,4,7,6,3,3,
153,kt45_Oulunkylä,2020/02/03,2,"16 HA + PK",,,,3,2,9,11,22,28,20,15,18,19,13,15,7,5,15,3,6,3,4,2,1
153,kt45_Oulunkylä,2020/02/03,2,"17 HA + AV",,,,1,1,4,3,3,10,8,8,4,2,5,2,5,3,3,3,3,,2,1,
153,kt45_Oulunkylä,2020/02/04,1,"11 HA-PA",129,65,52,38,114,259,618,884,1117,987,1014,1150,1177,1347,1932,2679,2541,1885,1347,1152,899,717,465,286
153,kt45_Oulunkylä,2020/02/04,1,"12 KAIP",1,4,9,4,13,15,22,45,35,52,67,57,66,68,69,49,38,22,19,16,11,11,11,6
153,kt45_Oulunkylä,2020/02/04,1,"13 Linja-autot",8,4,3,2,6,25,44,43,46,24,24,23,22,29,35,41,38,40,31,22,18,18,19,12
153,kt45_Oulunkylä,2020/02/04,1,"14 KAPP",2,6,3,1,1,5,9,9,16,14,16,18,17,13,17,8,12,14,11,11,8,5,4,4
153,kt45_Oulunkylä,2020/02/04,1,"15 KATP",,1,2,4,1,1,4,3,7,4,10,10,5,8,9,2,4,2,3,3,,2,1,1
153,kt45_Oulunkylä,2020/02/04,1,"16 HA + PK",1,,,,,1,,1,3,3,4,3,4,6,6,9,5,1,3,2,1,1,,1
153,kt45_Oulunkylä,2020/02/04,1,"17 HA + AV",1,1,,1,,,,1,2,4,5,2,2,3,2,6,4,,1,,,1,,
153,kt45_Oulunkylä,2020/02/04,2,"11 HA-PA",151,105,37,57,120,493,1841,2504,2505,1560,1095,1215,1211,1079,1112,1364,1607,1310,1049,881,763,506,370,338
153,kt45_Oulunkylä,2020/02/04,2,"12 KAIP",1,5,5,7,13,31,62,67,79,51,70,57,52,52,32,38,26,23,19,14,14,4,4,4
153,kt45_Oulunkylä,2020/02/04,2,"13 Linja-autot",8,7,2,,3,16,28,42,43,40,27,26,19,22,22,27,39,32,20,21,18,12,17,8
153,kt45_Oulunkylä,2020/02/04,2,"14 KAPP",6,4,6,3,4,13,20,24,18,18,19,12,16,15,20,28,21,21,18,8,14,10,3,5
153,kt45_Oulunkylä,2020/02/04,2,"15 KATP",2,2,2,2,3,6,12,17,21,14,11,8,9,8,5,5,4,3,7,9,8,5,2,4
153,kt45_Oulunkylä,2020/02/04,2,"16 HA + PK",,1,,1,2,5,15,22,23,17,18,19,22,15,12,12,12,10,8,4,2,,,1
153,kt45_Oulunkylä,2020/02/04,2,"17 HA + AV",,,,1,2,4,4,9,6,8,9,3,2,3,2,2,3,2,,,,1,,2
153,kt45_Oulunkylä,2020/02/05,1,"11 HA-PA",123,67,56,45,149,326,645,895,1097,888,969,1128,1224,1418,1898,2649,2522,1979,1366,1093,1005,720,487,265
153,kt45_Oulunkylä,2020/02/05,1,"12 KAIP",4,4,7,6,13,18,18,48,48,63,76,47,67,61,61,46,34,26,22,16,8,5,11,
153,kt45_Oulunkylä,2020/02/05,1,"13 Linja-autot",10,5,3,3,7,24,40,34,41,25,26,23,30,35,31,28,46,35,28,22,19,19,16,12
153,kt45_Oulunkylä,2020/02/05,1,"14 KAPP",3,4,1,,2,5,15,16,11,15,16,21,10,11,18,17,12,13,12,12,12,4,7,3
153,kt45_Oulunkylä,2020/02/05,1,"15 KATP",1,,3,3,1,,6,9,8,3,15,10,6,6,7,6,6,3,2,5,,2,1,2
153,kt45_Oulunkylä,2020/02/05,1,"16 HA + PK",,,,,,,1,1,,2,8,2,4,3,9,7,4,4,5,,3,3,,
153,kt45_Oulunkylä,2020/02/05,1,"17 HA + AV",,,1,,,,2,2,,2,2,2,2,,2,7,3,2,,,,,,
153,kt45_Oulunkylä,2020/02/05,2,"11 HA-PA",123,124,29,47,141,517,1894,2488,2468,1571,1108,1164,1085,1106,1104,1328,1667,1332,1041,967,778,531,345,387
153,kt45_Oulunkylä,2020/02/05,2,"12 KAIP",3,6,7,9,16,31,61,57,74,74,59,51,58,56,37,29,27,18,19,19,12,9,6,8
153,kt45_Oulunkylä,2020/02/05,2,"13 Linja-autot",6,6,2,3,3,14,27,39,37,37,24,22,19,23,24,27,34,31,33,18,18,11,12,11
153,kt45_Oulunkylä,2020/02/05,2,"14 KAPP",4,5,4,4,4,12,18,24,17,19,15,19,13,10,19,19,16,14,13,15,9,11,6,4
153,kt45_Oulunkylä,2020/02/05,2,"15 KATP",1,1,2,,2,4,8,11,19,6,10,13,2,11,8,8,7,2,6,5,8,5,1,
153,kt45_Oulunkylä,2020/02/05,2,"16 HA + PK",,1,,,2,4,18,23,24,18,23,13,15,12,16,10,9,10,6,8,3,1,1,
153,kt45_Oulunkylä,2020/02/05,2,"17 HA + AV",1,1,1,,2,2,5,7,10,6,7,7,10,4,5,5,4,,2,1,1,2,,
153,kt45_Oulunkylä,2020/02/06,1,"11 HA-PA",151,73,73,70,122,306,639,878,1075,949,1027,1144,1238,1328,2035,2606,2497,1865,1393,1063,1038,934,450,274
153,kt45_Oulunkylä,2020/02/06,1,"12 KAIP",6,2,5,6,15,12,20,46,47,54,72,52,66,61,74,61,34,31,21,17,13,10,9,4
153,kt45_Oulunkylä,2020/02/06,1,"13 Linja-autot",10,7,1,2,7,23,34,37,39,22,22,22,28,29,34,37,37,37,26,25,18,15,19,12
153,kt45_Oulunkylä,2020/02/06,1,"14 KAPP",2,6,2,1,1,6,16,19,12,10,18,24,12,10,15,12,16,14,12,6,4,5,5,4
153,kt45_Oulunkylä,2020/02/06,1,"15 KATP",1,,2,3,3,2,7,4,8,6,17,8,6,10,8,7,6,4,2,3,,1,4,1
153,kt45_Oulunkylä,2020/02/06,1,"16 HA + PK",2,,,1,,,1,1,1,1,7,,9,5,9,5,3,6,3,3,1,2,1,2
153,kt45_Oulunkylä,2020/02/06,1,"17 HA + AV",,,,,,,1,1,,1,,,3,4,3,2,1,1,1,1,,,,
153,kt45_Oulunkylä,2020/02/06,2,"11 HA-PA",152,106,53,66,130,448,1805,2451,2438,1515,1068,1242,1186,1147,1180,1314,1615,1433,1101,869,810,520,340,358
153,kt45_Oulunkylä,2020/02/06,2,"12 KAIP",5,4,4,8,24,28,72,67,74,53,53,53,57,46,39,40,27,18,17,14,8,11,5,5
153,kt45_Oulunkylä,2020/02/06,2,"13 Linja-autot",8,5,1,1,4,18,29,36,39,29,21,28,23,19,22,33,33,34,35,21,16,8,12,8
153,kt45_Oulunkylä,2020/02/06,2,"14 KAPP",1,10,6,4,4,4,16,17,17,17,12,17,16,24,18,15,19,27,19,11,17,6,8,8
153,kt45_Oulunkylä,2020/02/06,2,"15 KATP",4,2,1,3,,4,15,16,13,18,13,7,4,11,7,8,5,2,2,6,6,3,3,
153,kt45_Oulunkylä,2020/02/06,2,"16 HA + PK",,,,1,2,8,12,19,24,16,16,14,17,14,19,9,15,10,7,5,6,1,,3
153,kt45_Oulunkylä,2020/02/06,2,"17 HA + AV",,,,1,,,5,5,10,5,5,5,6,6,6,2,3,1,1,1,2,2,2,1
153,kt45_Oulunkylä,2020/02/07,1,"11 HA-PA",160,103,69,69,145,280,534,819,1023,931,990,1269,1370,1514,2162,2528,2149,1549,1121,909,807,777,562,380
153,kt45_Oulunkylä,2020/02/07,1,"12 KAIP",2,7,4,6,13,18,20,41,45,55,59,54,59,67,58,32,38,17,22,8,4,11,12,6
153,kt45_Oulunkylä,2020/02/07,1,"13 Linja-autot",7,7,3,2,6,23,41,43,38,30,20,24,22,26,29,45,42,44,30,24,19,19,19,10
153,kt45_Oulunkylä,2020/02/07,1,"14 KAPP",3,5,4,2,3,5,12,16,11,8,20,18,18,14,20,10,8,10,10,5,2,4,3,4
153,kt45_Oulunkylä,2020/02/07,1,"15 KATP",,1,2,3,,1,6,7,7,3,12,7,5,8,15,8,2,,1,1,,1,4,3
153,kt45_Oulunkylä,2020/02/07,1,"16 HA + PK",,,,,,,2,,3,2,4,4,2,6,6,3,1,1,1,6,,,1,
153,kt45_Oulunkylä,2020/02/07,1,"17 HA + AV",1,,,,,,1,,1,1,3,2,2,4,6,4,1,,1,,,,,
153,kt45_Oulunkylä,2020/02/07,2,"11 HA-PA",210,109,51,50,159,450,1705,2142,2199,1415,1155,1205,1245,1187,1206,1450,1490,1330,1042,827,765,542,397,416
153,kt45_Oulunkylä,2020/02/07,2,"12 KAIP",3,7,6,10,16,30,79,60,72,63,64,53,53,56,35,32,21,23,14,12,7,6,10,3
153,kt45_Oulunkylä,2020/02/07,2,"13 Linja-autot",9,4,4,3,5,15,30,35,34,28,19,22,22,27,24,34,37,34,23,18,20,16,13,9
153,kt45_Oulunkylä,2020/02/07,2,"14 KAPP",4,5,2,1,1,9,14,27,15,22,18,14,20,12,17,20,20,13,16,11,14,6,7,9
153,kt45_Oulunkylä,2020/02/07,2,"15 KATP",4,1,2,1,2,5,11,9,18,16,8,6,5,8,7,4,8,4,,6,3,,2,4
153,kt45_Oulunkylä,2020/02/07,2,"16 HA + PK",1,,1,1,4,9,15,24,14,15,15,19,16,10,9,5,7,7,4,,7,1,,1
153,kt45_Oulunkylä,2020/02/07,2,"17 HA + AV",,1,,2,3,5,8,10,6,6,6,6,6,2,4,,3,6,3,2,,1,2,
153,kt45_Oulunkylä,2020/02/08,1,"11 HA-PA",281,185,174,155,236,265,248,201,314,524,764,898,1092,1101,1337,1203,1291,1117,1024,709,619,562,588,471
153,kt45_Oulunkylä,2020/02/08,1,"12 KAIP",3,5,4,3,6,1,3,11,7,9,13,10,10,4,2,4,10,3,4,7,2,2,,3
153,kt45_Oulunkylä,2020/02/08,1,"13 Linja-autot",12,7,5,7,4,12,10,9,10,17,15,17,15,19,16,15,14,16,14,18,17,15,19,14
153,kt45_Oulunkylä,2020/02/08,1,"14 KAPP",2,1,2,,,1,1,3,5,4,8,6,5,6,6,5,4,5,4,5,2,2,2,2
153,kt45_Oulunkylä,2020/02/08,1,"15 KATP",,,1,,,,,,,1,3,2,,1,1,,1,1,1,1,,,1,1
153,kt45_Oulunkylä,2020/02/08,1,"16 HA + PK",,,,,,,2,,,4,2,1,3,3,4,3,5,,,,,,,
153,kt45_Oulunkylä,2020/02/08,1,"17 HA + AV",,1,,,,,1,,,,1,,,,,,,1,,,,,,
153,kt45_Oulunkylä,2020/02/08,2,"11 HA-PA",283,193,129,132,177,181,363,351,507,834,939,1042,1189,1193,1179,1195,1033,1022,916,741,562,466,376,394
153,kt45_Oulunkylä,2020/02/08,2,"12 KAIP",4,8,,6,3,9,8,8,9,11,10,11,6,9,5,8,6,11,12,2,2,10,6,2
153,kt45_Oulunkylä,2020/02/08,2,"13 Linja-autot",8,3,4,3,7,10,9,12,16,12,16,15,21,15,14,17,16,13,18,13,15,14,11,11
