"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
225,st180_Parainen,2020/02/01,1,"11 HA-PA",,,2,1,,3,2,5,33,41,49,38,37,33,38,20,30,24,28,16,13,5,4,2
225,st180_Parainen,2020/02/01,1,"12 KAIP",,,1,,,,,1,1,,,2,,,1,,3,,,,,,,
225,st180_Parainen,2020/02/01,1,"13 Linja-autot",,,,,,2,,1,,,1,,1,1,1,,,1,,1,,1,,
225,st180_Parainen,2020/02/01,1,"16 HA + PK",,1,,,,,,,3,,2,2,4,,1,,,,,1,,,,
225,st180_Parainen,2020/02/01,1,"17 HA + AV",,,,,,,,1,1,1,,,,,,,1,,,,,,,
225,st180_Parainen,2020/02/01,2,"11 HA-PA",,,,2,,3,7,12,25,16,42,17,51,17,57,32,35,24,18,21,8,5,5,1
225,st180_Parainen,2020/02/01,2,"12 KAIP",,,,,,1,,,,1,,,,1,,,,3,,,,,,
225,st180_Parainen,2020/02/01,2,"13 Linja-autot",,,,,,,,1,2,1,1,1,,,1,1,1,1,,,,,,
225,st180_Parainen,2020/02/01,2,"16 HA + PK",,,,,,,,,1,1,1,1,2,,2,,1,3,1,1,1,,,
225,st180_Parainen,2020/02/01,2,"17 HA + AV",,,,,,,,,,,,,,1,,1,,,,,,,,
225,st180_Parainen,2020/02/02,1,"11 HA-PA",6,5,3,,1,,3,2,12,12,26,27,29,15,35,26,32,21,9,21,10,13,1,
225,st180_Parainen,2020/02/02,1,"12 KAIP",,,,,,,,,,1,,,1,,1,,,,1,1,,,,
225,st180_Parainen,2020/02/02,1,"13 Linja-autot",,,,,,,,,,,1,,,,1,,1,,1,1,,,,
225,st180_Parainen,2020/02/02,1,"16 HA + PK",,,,,,,,1,1,1,2,1,2,,1,1,,1,,,,,,
225,st180_Parainen,2020/02/02,1,"17 HA + AV",,,,,,,,,,,,2,,,2,,,,,,,,,
225,st180_Parainen,2020/02/02,2,"11 HA-PA",,6,,,1,2,3,5,6,15,16,28,40,24,75,44,62,69,66,21,7,1,3,
225,st180_Parainen,2020/02/02,2,"12 KAIP",,,,,,,,,,1,,1,,,2,,2,,,,,,,
225,st180_Parainen,2020/02/02,2,"13 Linja-autot",1,,,,,,,,,,,1,,,1,,,1,,1,,,,
225,st180_Parainen,2020/02/02,2,"15 KATP",,,,,,,,,,,,,1,,,,,,,,,,,
225,st180_Parainen,2020/02/02,2,"16 HA + PK",,,,,,,,,1,1,2,1,4,4,5,6,3,1,3,1,,,,
225,st180_Parainen,2020/02/02,2,"17 HA + AV",,,,,,,,,,,,1,1,,3,1,,,,,,,,
225,st180_Parainen,2020/02/03,1,"11 HA-PA",,1,1,,,4,17,41,36,28,40,30,36,25,38,44,59,45,19,21,20,14,4,2
