"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
227,vt1_Kaarina_Kirismäki,2020/02/01,1,"11 HA-PA",74,56,33,21,24,41,142,150,264,397,620,769,844,827,799,755,812,692,660,563,353,306,180,165
227,vt1_Kaarina_Kirismäki,2020/02/01,1,"12 KAIP",2,1,3,2,3,1,3,4,4,7,6,8,7,12,6,10,9,10,5,7,2,5,5,3
227,vt1_Kaarina_Kirismäki,2020/02/01,1,"13 Linja-autot",2,2,2,1,,3,,2,,4,3,8,5,5,5,4,6,7,8,11,6,3,4,1
227,vt1_Kaarina_Kirismäki,2020/02/01,1,"14 KAPP",1,2,3,,1,1,1,2,2,1,3,4,3,3,5,5,6,6,5,,4,2,2,
227,vt1_Kaarina_Kirismäki,2020/02/01,1,"15 KATP",6,6,12,5,2,4,2,5,7,3,3,6,7,2,7,4,10,6,11,11,4,2,2,1
227,vt1_Kaarina_Kirismäki,2020/02/01,1,"16 HA + PK",2,,1,,,,2,5,7,10,11,25,15,14,13,22,10,8,6,8,4,6,1,1
227,vt1_Kaarina_Kirismäki,2020/02/01,1,"17 HA + AV",,,,,,,,,,1,3,,,4,1,1,,3,5,,1,,,
227,vt1_Kaarina_Kirismäki,2020/02/01,2,"11 HA-PA",80,40,40,26,52,68,122,292,409,572,674,716,750,703,722,787,753,607,604,457,403,235,155,140
227,vt1_Kaarina_Kirismäki,2020/02/01,2,"12 KAIP",2,,,,2,2,2,8,10,3,5,5,5,9,1,3,2,4,2,3,3,2,2,
227,vt1_Kaarina_Kirismäki,2020/02/01,2,"13 Linja-autot",1,,,2,1,1,3,5,10,5,6,6,6,4,5,5,5,3,4,3,7,3,2,1
227,vt1_Kaarina_Kirismäki,2020/02/01,2,"14 KAPP",,1,,2,,1,2,12,15,9,2,4,2,2,3,2,,1,,19,15,,,
227,vt1_Kaarina_Kirismäki,2020/02/01,2,"15 KATP",4,2,4,,3,2,,16,8,8,4,4,7,3,1,5,2,3,1,4,6,,2,
227,vt1_Kaarina_Kirismäki,2020/02/01,2,"16 HA + PK",1,,1,1,,1,,1,2,7,13,7,12,12,8,9,9,7,7,5,7,3,2,2
227,vt1_Kaarina_Kirismäki,2020/02/01,2,"17 HA + AV",,,,,,,,1,,,1,,1,,3,2,,1,,,,1,,
227,vt1_Kaarina_Kirismäki,2020/02/02,1,"11 HA-PA",102,99,56,38,23,24,109,111,122,215,348,523,657,744,761,837,857,909,748,650,511,279,141,93
227,vt1_Kaarina_Kirismäki,2020/02/02,1,"12 KAIP",2,,1,,,,1,2,3,6,4,5,8,9,9,8,11,11,7,4,8,6,3,8
227,vt1_Kaarina_Kirismäki,2020/02/02,1,"13 Linja-autot",5,1,2,1,,1,,1,,1,2,1,2,2,6,5,7,7,7,6,6,4,3,2
227,vt1_Kaarina_Kirismäki,2020/02/02,1,"14 KAPP",2,,,,1,2,3,1,2,3,2,2,5,5,5,8,6,16,8,7,3,9,6,5
227,vt1_Kaarina_Kirismäki,2020/02/02,1,"15 KATP",1,2,,,,,4,4,4,5,4,4,4,4,9,7,6,6,10,15,7,4,3,3
227,vt1_Kaarina_Kirismäki,2020/02/02,1,"16 HA + PK",2,,2,2,1,1,1,1,3,4,13,10,7,11,13,6,9,5,9,13,6,7,5,
227,vt1_Kaarina_Kirismäki,2020/02/02,1,"17 HA + AV",,,,,,,,1,,1,1,,1,2,,3,3,,,,1,,,
227,vt1_Kaarina_Kirismäki,2020/02/02,2,"11 HA-PA",79,57,36,33,38,42,79,159,236,352,442,550,690,710,795,813,848,801,708,535,404,154,83,40
227,vt1_Kaarina_Kirismäki,2020/02/02,2,"12 KAIP",2,,,,1,,,4,8,3,2,5,3,1,8,3,8,4,3,7,5,5,1,2
227,vt1_Kaarina_Kirismäki,2020/02/02,2,"13 Linja-autot",,,,,2,,2,3,3,5,2,4,3,9,3,8,5,5,4,4,5,3,1,
227,vt1_Kaarina_Kirismäki,2020/02/02,2,"14 KAPP",,,,,,,,9,6,1,2,2,8,1,4,3,2,4,3,18,38,3,3,1
227,vt1_Kaarina_Kirismäki,2020/02/02,2,"15 KATP",,2,1,3,,,,5,3,5,6,2,5,8,1,3,5,5,10,11,14,5,5,2
227,vt1_Kaarina_Kirismäki,2020/02/02,2,"16 HA + PK",1,,,,,,,,3,4,7,9,7,8,11,8,13,8,9,4,5,2,1,1
227,vt1_Kaarina_Kirismäki,2020/02/02,2,"17 HA + AV",,1,,,,1,,1,,,,1,,1,2,3,1,,1,1,,,,
227,vt1_Kaarina_Kirismäki,2020/02/03,1,"11 HA-PA",60,23,23,21,48,234,965,1331,1061,635,501,504,516,496,568,804,971,761,523,354,276,207,141,71
227,vt1_Kaarina_Kirismäki,2020/02/03,1,"12 KAIP",2,1,3,6,10,8,27,22,19,29,18,27,22,27,19,24,19,14,11,7,6,9,2,5
227,vt1_Kaarina_Kirismäki,2020/02/03,1,"13 Linja-autot",2,4,2,1,,1,2,4,2,1,2,5,2,3,2,1,8,4,6,8,3,1,,
227,vt1_Kaarina_Kirismäki,2020/02/03,1,"14 KAPP",2,2,2,2,3,12,11,17,23,33,29,17,29,18,21,23,27,26,25,14,12,3,5,5
227,vt1_Kaarina_Kirismäki,2020/02/03,1,"15 KATP",2,8,10,9,3,7,20,21,16,26,19,24,27,36,31,42,28,26,32,25,17,12,8,17
227,vt1_Kaarina_Kirismäki,2020/02/03,1,"16 HA + PK",1,,2,,,2,16,11,17,11,9,7,17,10,18,10,19,7,6,4,5,1,1,1
227,vt1_Kaarina_Kirismäki,2020/02/03,1,"17 HA + AV",1,,,,,1,7,,1,4,2,4,7,1,4,5,,2,4,1,3,1,,
227,vt1_Kaarina_Kirismäki,2020/02/03,2,"11 HA-PA",19,10,13,25,84,243,577,1011,794,513,377,399,479,545,709,1365,1337,807,549,461,356,199,104,59
227,vt1_Kaarina_Kirismäki,2020/02/03,2,"12 KAIP",3,4,,3,9,11,12,17,20,30,20,26,14,15,20,20,19,11,12,6,4,5,1,2
227,vt1_Kaarina_Kirismäki,2020/02/03,2,"13 Linja-autot",,,,2,3,2,4,9,4,3,3,4,4,5,2,4,5,4,3,2,1,1,1,
227,vt1_Kaarina_Kirismäki,2020/02/03,2,"14 KAPP",2,1,1,,7,5,13,18,26,34,21,25,29,22,26,21,23,19,15,14,9,5,6,2
227,vt1_Kaarina_Kirismäki,2020/02/03,2,"15 KATP",1,3,2,9,9,11,11,27,34,29,31,18,26,24,25,33,21,14,12,17,25,12,11,6
227,vt1_Kaarina_Kirismäki,2020/02/03,2,"16 HA + PK",,1,1,,1,1,2,8,9,10,6,3,9,5,6,5,7,5,4,5,1,2,,1
227,vt1_Kaarina_Kirismäki,2020/02/03,2,"17 HA + AV",,,,,,,3,2,4,,2,,2,,3,5,5,,2,,,,,
227,vt1_Kaarina_Kirismäki,2020/02/04,1,"11 HA-PA",41,19,22,18,36,231,942,1288,1012,661,469,508,472,551,583,825,1006,741,583,378,306,204,129,66
227,vt1_Kaarina_Kirismäki,2020/02/04,1,"12 KAIP",2,2,2,3,5,11,21,22,24,20,22,21,23,16,28,21,26,10,10,10,5,2,,6
227,vt1_Kaarina_Kirismäki,2020/02/04,1,"13 Linja-autot",1,,2,,,1,2,4,3,5,3,5,2,6,1,6,8,8,6,4,4,4,2,2
227,vt1_Kaarina_Kirismäki,2020/02/04,1,"14 KAPP",5,3,5,4,4,5,7,21,19,19,36,27,18,17,24,26,23,16,23,15,19,1,8,6
227,vt1_Kaarina_Kirismäki,2020/02/04,1,"15 KATP",13,15,9,12,14,9,25,27,28,26,24,38,21,28,41,41,36,31,20,21,16,7,14,13
227,vt1_Kaarina_Kirismäki,2020/02/04,1,"16 HA + PK",,1,1,,,,11,12,14,6,11,11,11,16,10,15,14,10,2,7,4,3,,1
227,vt1_Kaarina_Kirismäki,2020/02/04,1,"17 HA + AV",,,,,,,6,1,2,3,3,5,,2,4,3,,1,2,2,1,,,
227,vt1_Kaarina_Kirismäki,2020/02/04,2,"11 HA-PA",26,11,13,20,49,167,541,1006,822,449,418,381,580,574,780,1374,1458,823,578,491,394,198,132,67
227,vt1_Kaarina_Kirismäki,2020/02/04,2,"12 KAIP",3,2,4,4,6,9,10,28,31,17,27,13,23,16,14,27,14,12,8,7,7,2,,3
227,vt1_Kaarina_Kirismäki,2020/02/04,2,"13 Linja-autot",,1,,2,2,1,4,7,5,3,4,3,5,4,2,6,5,2,3,4,1,2,1,
227,vt1_Kaarina_Kirismäki,2020/02/04,2,"14 KAPP",1,2,3,3,4,1,7,15,46,35,30,25,39,28,25,24,18,14,16,18,45,8,7,1
227,vt1_Kaarina_Kirismäki,2020/02/04,2,"15 KATP",7,6,4,5,9,11,13,29,39,32,30,21,23,24,30,19,28,15,14,25,31,17,7,8
227,vt1_Kaarina_Kirismäki,2020/02/04,2,"16 HA + PK",,,,,1,1,4,6,5,7,4,9,3,5,5,17,10,5,3,4,3,1,1,
227,vt1_Kaarina_Kirismäki,2020/02/04,2,"17 HA + AV",,,,,,,2,3,2,2,3,,3,1,,5,3,,,,,,,
