"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
231,kt40_Vanto,2020/02/01,1,"11 HA-PA",89,55,31,36,36,26,65,84,121,201,267,414,501,578,601,626,518,462,385,361,261,179,151,150
231,kt40_Vanto,2020/02/01,1,"12 KAIP",1,2,,,,1,1,1,5,4,8,4,6,6,5,5,2,3,4,4,5,2,2,
231,kt40_Vanto,2020/02/01,1,"13 Linja-autot",3,1,,,,,2,1,1,3,3,,2,3,,5,,2,,4,1,4,2,2
231,kt40_Vanto,2020/02/01,1,"14 KAPP",,,,,2,,1,4,2,1,1,1,1,,1,,4,3,5,3,4,2,3,2
231,kt40_Vanto,2020/02/01,1,"15 KATP",,1,,3,,2,1,9,6,6,2,3,8,6,2,3,7,2,6,7,7,1,,1
231,kt40_Vanto,2020/02/01,1,"16 HA + PK",1,,,,,1,1,2,,4,7,5,9,3,7,5,7,3,5,1,3,5,1,
231,kt40_Vanto,2020/02/01,1,"17 HA + AV",,,,,,,1,,1,2,1,,,,,2,1,3,,1,2,,,1
231,kt40_Vanto,2020/02/01,2,"11 HA-PA",56,42,36,31,44,53,97,144,190,344,409,538,570,605,469,508,434,435,328,279,215,133,110,112
231,kt40_Vanto,2020/02/01,2,"12 KAIP",,1,,,1,,3,1,5,6,7,8,8,8,8,9,4,4,5,4,2,2,3,2
231,kt40_Vanto,2020/02/01,2,"13 Linja-autot",,,1,,,,,3,,,,3,,5,1,1,1,1,2,4,4,,1,
231,kt40_Vanto,2020/02/01,2,"14 KAPP",,,,,,1,,38,1,,,2,2,1,2,4,1,,,24,,1,1,
231,kt40_Vanto,2020/02/01,2,"15 KATP",2,,2,,1,1,3,52,6,7,5,4,3,3,8,5,2,3,4,26,3,2,,1
231,kt40_Vanto,2020/02/01,2,"16 HA + PK",,,,,1,,1,7,2,4,5,7,14,8,8,8,3,8,6,2,2,1,,2
231,kt40_Vanto,2020/02/01,2,"17 HA + AV",,,,1,,,1,1,2,,,,4,,,1,1,,,2,,,,1
231,kt40_Vanto,2020/02/02,1,"11 HA-PA",95,87,59,42,41,25,39,74,92,127,215,335,480,537,549,538,503,471,467,326,268,145,72,41
231,kt40_Vanto,2020/02/02,1,"12 KAIP",1,3,2,,,,,2,2,4,2,1,4,3,1,2,3,4,1,2,3,6,1,
231,kt40_Vanto,2020/02/02,1,"13 Linja-autot",,,,1,,1,,2,3,1,3,5,4,5,2,2,1,2,4,3,1,3,1,
231,kt40_Vanto,2020/02/02,1,"14 KAPP",1,,,,,1,2,,2,3,,,2,,,1,2,,2,5,7,3,1,1
231,kt40_Vanto,2020/02/02,1,"15 KATP",1,2,1,2,,1,1,6,7,6,,3,2,1,3,6,,3,8,14,7,6,3,1
231,kt40_Vanto,2020/02/02,1,"16 HA + PK",,,1,1,,,,,2,3,4,4,4,4,8,6,11,2,4,4,6,,,
231,kt40_Vanto,2020/02/02,1,"17 HA + AV",,,,,,,,1,,2,1,,1,,1,1,,1,1,,1,,,
231,kt40_Vanto,2020/02/02,2,"11 HA-PA",94,69,52,31,35,29,57,80,104,163,272,440,490,564,586,619,562,485,334,280,193,119,76,31
231,kt40_Vanto,2020/02/02,2,"12 KAIP",,1,1,1,,,,,2,3,6,6,3,5,5,7,6,7,6,5,,2,,1
231,kt40_Vanto,2020/02/02,2,"13 Linja-autot",1,,,,,,,,2,,,5,2,5,1,4,,2,2,2,1,3,1,
231,kt40_Vanto,2020/02/02,2,"14 KAPP",,,,1,,,,7,1,1,,1,1,3,,1,3,2,2,23,1,,1,2
231,kt40_Vanto,2020/02/02,2,"15 KATP",,2,,,,,,13,3,2,3,5,2,4,2,3,4,9,10,18,6,5,1,1
231,kt40_Vanto,2020/02/02,2,"16 HA + PK",1,,2,,,1,,1,1,3,2,7,7,8,10,8,8,6,4,7,1,3,1,
231,kt40_Vanto,2020/02/02,2,"17 HA + AV",,,,,,,,,1,,1,,1,1,2,2,2,2,1,1,,,,
231,kt40_Vanto,2020/02/03,1,"11 HA-PA",17,27,11,9,21,103,355,425,415,318,267,361,430,455,566,1002,1107,697,575,361,333,192,101,44
231,kt40_Vanto,2020/02/03,1,"12 KAIP",,1,1,1,1,4,11,15,20,20,18,16,19,20,13,22,6,11,4,7,10,5,1,1
231,kt40_Vanto,2020/02/03,1,"13 Linja-autot",,1,,,1,4,7,4,4,3,2,5,2,2,3,6,4,1,1,1,1,3,1,
231,kt40_Vanto,2020/02/03,1,"14 KAPP",,,,2,,2,4,5,9,7,12,6,5,5,8,6,10,5,9,10,10,7,1,1
231,kt40_Vanto,2020/02/03,1,"15 KATP",2,,2,,2,,11,16,16,22,18,19,10,14,17,20,17,17,16,16,22,9,4,7
231,kt40_Vanto,2020/02/03,1,"16 HA + PK",,,1,,,,7,9,12,12,13,11,15,9,15,8,12,8,6,13,6,2,3,1
231,kt40_Vanto,2020/02/03,1,"17 HA + AV",,,,,,1,3,4,4,3,5,5,7,3,5,2,2,3,2,1,,2,,
231,kt40_Vanto,2020/02/03,2,"11 HA-PA",18,13,5,11,47,215,753,963,801,442,392,408,439,431,490,665,589,454,345,281,195,130,74,28
231,kt40_Vanto,2020/02/03,2,"12 KAIP",,2,,3,3,6,18,20,12,18,19,16,20,17,24,14,10,7,6,4,4,3,1,1
231,kt40_Vanto,2020/02/03,2,"13 Linja-autot",1,,,,,1,4,2,4,1,5,2,2,1,2,6,4,5,4,,,3,3,
231,kt40_Vanto,2020/02/03,2,"14 KAPP",,,,1,,2,2,22,9,5,9,9,12,4,6,3,3,3,3,8,5,3,,
231,kt40_Vanto,2020/02/03,2,"15 KATP",,1,,1,2,3,15,37,20,26,15,17,13,21,8,19,10,15,12,12,9,11,5,2
231,kt40_Vanto,2020/02/03,2,"16 HA + PK",,,,2,,1,16,4,10,16,9,9,14,14,8,6,11,5,5,8,3,2,2,
231,kt40_Vanto,2020/02/03,2,"17 HA + AV",,,,,,1,4,1,3,3,3,6,4,4,4,5,3,4,1,2,1,1,,
231,kt40_Vanto,2020/02/04,1,"11 HA-PA",21,20,10,8,22,84,362,434,395,266,293,366,413,410,576,1053,1040,728,574,481,349,224,112,47
231,kt40_Vanto,2020/02/04,1,"12 KAIP",,,,,1,6,12,19,14,20,10,15,16,21,17,23,17,12,3,5,7,2,1,1
231,kt40_Vanto,2020/02/04,1,"13 Linja-autot",,1,,,1,2,4,4,5,1,2,2,4,4,3,3,6,2,2,,1,5,,1
231,kt40_Vanto,2020/02/04,1,"14 KAPP",1,,2,3,2,2,5,5,12,10,10,11,7,5,4,6,7,5,4,11,8,12,7,
231,kt40_Vanto,2020/02/04,1,"15 KATP",3,1,1,2,1,7,11,15,22,29,25,21,15,12,10,9,19,13,16,15,21,11,9,5
231,kt40_Vanto,2020/02/04,1,"16 HA + PK",1,,,,1,,8,12,12,10,14,7,10,15,17,9,9,10,9,6,4,4,3,1
231,kt40_Vanto,2020/02/04,1,"17 HA + AV",,,,,,1,1,2,6,1,2,4,2,4,4,2,,2,,,1,,,1
231,kt40_Vanto,2020/02/04,2,"11 HA-PA",13,11,8,9,32,189,775,948,748,414,322,422,412,421,464,666,604,444,319,291,175,157,79,34
231,kt40_Vanto,2020/02/04,2,"12 KAIP",,,1,,4,4,22,18,15,12,18,11,22,10,16,15,9,14,11,4,4,3,2,
231,kt40_Vanto,2020/02/04,2,"13 Linja-autot",,,1,,,,1,4,4,3,2,3,3,1,2,3,2,4,2,3,,,,
231,kt40_Vanto,2020/02/04,2,"14 KAPP",,1,1,,,2,3,38,8,6,4,7,5,8,2,4,6,4,1,18,5,3,3,
231,kt40_Vanto,2020/02/04,2,"15 KATP",1,2,1,1,2,1,11,57,16,16,18,17,22,17,18,14,9,9,10,28,14,7,5,1
231,kt40_Vanto,2020/02/04,2,"16 HA + PK",1,1,,,,2,6,12,11,12,8,14,12,12,18,14,10,6,7,4,2,2,1,
231,kt40_Vanto,2020/02/04,2,"17 HA + AV",,,,,1,,3,10,8,1,7,2,3,4,2,3,1,1,1,1,1,,,
231,kt40_Vanto,2020/02/05,1,"11 HA-PA",31,22,13,12,12,98,355,439,428,294,304,364,402,442,585,1002,1119,711,596,466,374,245,109,55
231,kt40_Vanto,2020/02/05,1,"12 KAIP",,,,,,6,8,19,15,12,19,18,21,13,17,17,8,8,9,4,5,1,,3
231,kt40_Vanto,2020/02/05,1,"13 Linja-autot",1,,,,1,2,2,4,4,2,1,2,4,4,2,2,3,1,2,3,2,,,
231,kt40_Vanto,2020/02/05,1,"14 KAPP",2,1,,,1,,8,7,16,12,7,8,3,7,5,2,2,3,5,4,10,6,4,
231,kt40_Vanto,2020/02/05,1,"15 KATP",1,2,,3,3,2,12,18,19,16,24,9,20,16,16,15,17,15,13,21,22,19,7,3
231,kt40_Vanto,2020/02/05,1,"16 HA + PK",,,,,1,1,5,17,13,20,15,11,12,8,10,15,11,9,4,5,5,5,3,
231,kt40_Vanto,2020/02/05,1,"17 HA + AV",,,,1,,1,2,4,2,3,6,,6,,4,3,1,1,,2,,,2,1
231,kt40_Vanto,2020/02/05,2,"11 HA-PA",15,13,12,10,47,200,780,1013,748,433,394,395,416,413,532,710,589,491,358,304,207,134,72,44
231,kt40_Vanto,2020/02/05,2,"12 KAIP",1,,,,,3,9,20,16,15,14,24,21,12,17,22,16,10,7,4,4,2,1,2
231,kt40_Vanto,2020/02/05,2,"13 Linja-autot",,,1,,,1,3,4,3,3,,2,4,,,2,4,3,1,4,1,2,2,
231,kt40_Vanto,2020/02/05,2,"14 KAPP",,,,,,1,1,70,5,7,8,7,6,4,3,3,5,3,3,38,25,1,3,
231,kt40_Vanto,2020/02/05,2,"15 KATP",2,2,1,1,4,2,14,69,23,27,21,18,11,16,15,20,14,10,9,24,21,8,3,2
231,kt40_Vanto,2020/02/05,2,"16 HA + PK",,1,,,,4,7,14,16,9,18,10,6,21,17,18,10,4,4,5,3,3,,
231,kt40_Vanto,2020/02/05,2,"17 HA + AV",,,,,1,1,3,3,5,3,6,4,6,3,4,3,,2,2,1,1,3,,
