"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
587,vt6_Somerharju,2020/02/01,1,"11 HA-PA",19,10,7,6,6,7,17,28,58,87,129,142,132,113,111,106,125,81,99,82,56,33,32,19
587,vt6_Somerharju,2020/02/01,1,"12 KAIP",2,,1,,2,1,1,2,3,2,3,2,4,4,5,2,4,1,5,2,2,1,4,2
587,vt6_Somerharju,2020/02/01,1,"13 Linja-autot",1,,,,,,,1,,1,,1,,1,1,2,,1,2,1,,,,1
587,vt6_Somerharju,2020/02/01,1,"14 KAPP",2,3,1,,1,1,,1,4,3,2,6,3,1,,1,2,1,5,3,5,1,,
587,vt6_Somerharju,2020/02/01,1,"15 KATP",11,8,9,4,2,5,2,1,3,3,2,3,2,4,5,2,7,2,3,2,6,,,2
587,vt6_Somerharju,2020/02/01,1,"16 HA + PK",,,,1,1,,1,2,4,7,7,6,7,7,7,3,5,1,4,1,2,,1,
587,vt6_Somerharju,2020/02/01,1,"17 HA + AV",1,,,,,,1,,1,,,,2,1,2,1,1,,,,,,,1
587,vt6_Somerharju,2020/02/01,2,"11 HA-PA",4,4,2,6,4,15,21,61,93,114,126,134,93,89,110,108,112,87,85,58,59,32,17,14
587,vt6_Somerharju,2020/02/01,2,"12 KAIP",2,,,,,1,2,5,3,5,5,5,2,6,2,2,7,3,1,3,1,2,2,1
587,vt6_Somerharju,2020/02/01,2,"13 Linja-autot",,,,,,,,1,1,,2,2,1,,,2,1,2,,,,1,,
587,vt6_Somerharju,2020/02/01,2,"14 KAPP",1,1,1,,2,1,2,1,5,6,2,3,2,2,3,5,7,4,3,,1,2,4,2
587,vt6_Somerharju,2020/02/01,2,"15 KATP",1,2,5,2,1,1,2,4,9,11,8,5,3,4,4,5,2,3,4,3,3,,1,
587,vt6_Somerharju,2020/02/01,2,"16 HA + PK",,,,,,,,3,3,3,7,6,2,4,5,7,6,3,3,1,2,1,,1
587,vt6_Somerharju,2020/02/01,2,"17 HA + AV",,,,,,1,,,1,1,3,1,1,,,1,1,,1,3,,1,,
