"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
630,vt5_Kuortti,2020/02/01,1,"11 HA-PA",29,10,3,4,10,14,23,58,91,127,222,230,199,174,153,141,149,145,139,92,88,66,33,22
630,vt5_Kuortti,2020/02/01,1,"12 KAIP",,2,,,,,,,,1,,3,2,1,2,2,3,2,3,3,1,,2,1
630,vt5_Kuortti,2020/02/01,1,"13 Linja-autot",,,1,,,,,,,,1,2,,2,2,,2,2,6,3,3,2,,
630,vt5_Kuortti,2020/02/01,1,"14 KAPP",,1,1,1,,,1,,2,,1,1,4,1,1,2,1,1,2,,,,1,1
630,vt5_Kuortti,2020/02/01,1,"15 KATP",11,4,4,3,,2,4,2,1,3,6,2,2,4,7,5,2,4,2,2,,1,,
630,vt5_Kuortti,2020/02/01,1,"16 HA + PK",,,,,,,2,1,3,8,7,6,7,3,4,5,6,5,1,1,1,1,,1
630,vt5_Kuortti,2020/02/01,1,"17 HA + AV",,,,,,,,,1,2,,2,,,1,,1,,,1,,,,
630,vt5_Kuortti,2020/02/01,2,"11 HA-PA",9,8,8,9,4,11,38,75,88,189,170,180,167,158,152,191,160,131,105,89,58,42,24,13
630,vt5_Kuortti,2020/02/01,2,"12 KAIP",,,,,,,,2,2,4,3,4,4,1,2,,1,1,1,1,2,1,2,1
630,vt5_Kuortti,2020/02/01,2,"13 Linja-autot",2,,,,,,,1,1,6,1,3,2,1,2,,,1,1,2,1,2,1,
630,vt5_Kuortti,2020/02/01,2,"14 KAPP",,,1,,1,1,,,,2,,2,1,1,,1,3,,,2,,,,
630,vt5_Kuortti,2020/02/01,2,"15 KATP",9,7,4,5,2,,3,4,3,5,,4,2,1,1,1,1,4,5,1,3,3,3,1
630,vt5_Kuortti,2020/02/01,2,"16 HA + PK",,1,,,,1,,2,2,6,9,1,8,3,5,6,7,2,5,3,4,1,1,2
630,vt5_Kuortti,2020/02/01,2,"17 HA + AV",1,,,,,,,1,1,,,,2,2,1,,,,,,,,1,
630,vt5_Kuortti,2020/02/02,1,"11 HA-PA",13,15,10,8,1,5,7,24,45,59,93,191,169,236,260,228,257,208,167,124,85,60,27,24
630,vt5_Kuortti,2020/02/02,1,"12 KAIP",2,1,,1,,,,1,,1,1,2,2,1,1,,3,3,1,4,2,1,1,
630,vt5_Kuortti,2020/02/02,1,"13 Linja-autot",,,,,,,,,1,1,,1,2,1,2,1,3,1,3,2,,2,1,1
630,vt5_Kuortti,2020/02/02,1,"14 KAPP",,,,,,,,1,3,,1,3,,,6,6,6,8,15,2,2,2,2,4
630,vt5_Kuortti,2020/02/02,1,"15 KATP",,,,,,,,2,,,1,1,1,4,1,3,5,7,5,7,5,5,4,2
630,vt5_Kuortti,2020/02/02,1,"16 HA + PK",,,,,,,,1,2,5,,5,5,5,4,6,4,8,2,4,3,1,1,
630,vt5_Kuortti,2020/02/02,1,"17 HA + AV",,,,,,,1,,,,,,,,,,,,,1,2,2,,
630,vt5_Kuortti,2020/02/02,2,"11 HA-PA",13,7,9,7,7,9,9,19,33,60,95,188,278,356,416,465,506,406,284,245,177,87,59,23
630,vt5_Kuortti,2020/02/02,2,"12 KAIP",2,,,1,,,,,1,1,,,1,3,,2,,,2,3,2,1,2,
630,vt5_Kuortti,2020/02/02,2,"13 Linja-autot",,1,,,,1,3,1,,2,,4,2,1,1,2,7,1,3,2,3,2,1,
630,vt5_Kuortti,2020/02/02,2,"14 KAPP",1,,,,,,,,,,1,,,1,,,2,4,4,3,1,1,,
630,vt5_Kuortti,2020/02/02,2,"15 KATP",1,,,,,1,1,3,3,,1,2,,1,3,3,9,2,8,9,7,8,2,6
630,vt5_Kuortti,2020/02/02,2,"16 HA + PK",1,,,,,,,,1,2,6,4,5,6,10,10,9,7,5,4,2,1,2,1
630,vt5_Kuortti,2020/02/02,2,"17 HA + AV",,,,,,,,,,,,,3,1,1,2,1,1,2,2,,,1,
630,vt5_Kuortti,2020/02/03,1,"11 HA-PA",7,11,7,8,19,24,36,96,120,113,127,144,155,119,108,110,110,113,88,59,32,31,16,19
630,vt5_Kuortti,2020/02/03,1,"12 KAIP",1,,,,1,3,2,4,,2,7,6,5,3,6,,1,1,,,4,,1,1
630,vt5_Kuortti,2020/02/03,1,"13 Linja-autot",,,,,,,,,1,1,2,1,1,,2,1,1,2,1,1,,,1,
630,vt5_Kuortti,2020/02/03,1,"14 KAPP",2,1,,,,2,2,1,5,5,8,6,3,9,2,4,11,6,8,5,2,3,1,6
630,vt5_Kuortti,2020/02/03,1,"15 KATP",3,2,3,3,3,8,4,6,8,14,8,8,10,9,10,11,10,9,15,13,19,14,19,17
630,vt5_Kuortti,2020/02/03,1,"16 HA + PK",,,1,,,,,1,,2,7,2,2,4,1,2,2,2,,2,1,1,2,1
630,vt5_Kuortti,2020/02/03,1,"17 HA + AV",,,,,,,,,,2,,2,1,,,,,,,,,,,
630,vt5_Kuortti,2020/02/03,2,"11 HA-PA",12,8,5,12,27,63,91,103,93,110,134,136,113,128,134,150,154,123,72,75,58,39,15,14
630,vt5_Kuortti,2020/02/03,2,"12 KAIP",,,2,,,1,2,4,3,2,5,2,4,3,6,2,5,1,1,3,1,,,
630,vt5_Kuortti,2020/02/03,2,"13 Linja-autot",3,,,,,,1,,,1,,,2,1,1,2,1,1,2,2,,,,
630,vt5_Kuortti,2020/02/03,2,"14 KAPP",,,,,,,,1,4,3,7,5,4,10,8,7,8,8,4,6,6,2,,2
630,vt5_Kuortti,2020/02/03,2,"15 KATP",7,2,2,5,6,9,3,4,6,8,10,14,13,11,3,11,8,8,9,11,19,6,12,9
630,vt5_Kuortti,2020/02/03,2,"16 HA + PK",,,,,,1,1,3,4,2,4,6,3,2,2,5,,3,,,2,1,1,
630,vt5_Kuortti,2020/02/03,2,"17 HA + AV",,1,,,,,,,,,,,,,,,,1,,,1,,,
630,vt5_Kuortti,2020/02/04,1,"11 HA-PA",11,,7,1,3,18,34,68,98,104,108,117,103,97,121,106,94,109,77,48,42,29,12,19
630,vt5_Kuortti,2020/02/04,1,"12 KAIP",1,,1,,1,1,4,4,3,2,2,3,2,2,4,3,3,,1,2,1,,1,1
