"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
923,vt4_Jyväskylä,2020/02/01,1,"11 HA-PA",99,116,74,74,79,83,175,219,413,618,831,861,966,947,878,801,722,642,512,396,380,263,234,169
923,vt4_Jyväskylä,2020/02/01,1,"12 KAIP",2,,2,2,3,2,1,4,7,12,10,11,6,7,7,8,4,4,2,1,2,5,,1
923,vt4_Jyväskylä,2020/02/01,1,"13 Linja-autot",1,2,1,1,,3,3,,,4,2,4,3,6,4,6,6,,2,4,6,4,2,1
923,vt4_Jyväskylä,2020/02/01,1,"14 KAPP",1,2,2,1,,1,,2,1,,5,2,4,8,2,2,8,3,4,5,2,2,,2
923,vt4_Jyväskylä,2020/02/01,1,"15 KATP",20,16,10,9,5,2,8,5,6,5,6,4,13,10,6,4,5,8,7,4,5,2,6,5
923,vt4_Jyväskylä,2020/02/01,1,"16 HA + PK",,2,,1,2,2,1,1,7,12,15,16,10,13,14,11,7,6,11,5,4,1,3,1
923,vt4_Jyväskylä,2020/02/01,1,"17 HA + AV",,,,,,,,1,2,2,4,,,5,2,1,,,,,1,,,
923,vt4_Jyväskylä,2020/02/01,2,"11 HA-PA",115,112,83,75,85,77,132,182,329,505,662,722,824,827,830,940,847,838,564,478,345,284,253,176
923,vt4_Jyväskylä,2020/02/01,2,"12 KAIP",4,,1,1,2,4,2,2,7,9,4,6,4,9,10,5,2,3,5,1,3,3,1,3
923,vt4_Jyväskylä,2020/02/01,2,"13 Linja-autot",,2,1,1,,4,7,3,3,4,6,2,3,2,3,5,2,3,2,3,3,4,,1
923,vt4_Jyväskylä,2020/02/01,2,"14 KAPP",3,1,4,2,2,1,4,8,5,3,3,2,1,7,3,4,1,2,3,2,3,2,,
923,vt4_Jyväskylä,2020/02/01,2,"15 KATP",16,21,12,4,2,4,4,7,6,7,6,5,8,5,4,4,8,4,4,5,7,2,,4
923,vt4_Jyväskylä,2020/02/01,2,"16 HA + PK",1,,1,1,,,2,4,8,14,15,16,13,21,14,17,12,10,10,5,3,1,2,1
923,vt4_Jyväskylä,2020/02/01,2,"17 HA + AV",1,,,,,,1,,1,2,1,1,,4,2,1,1,,,,1,,1,1
923,vt4_Jyväskylä,2020/02/02,1,"11 HA-PA",122,88,92,81,66,66,103,89,124,285,434,647,784,930,1049,1019,1043,972,772,625,432,272,178,79
923,vt4_Jyväskylä,2020/02/02,1,"12 KAIP",5,,1,1,,1,1,2,4,,2,2,3,6,1,3,1,4,7,8,2,4,2,2
923,vt4_Jyväskylä,2020/02/02,1,"13 Linja-autot",2,1,1,2,,,,,1,1,3,1,3,2,5,3,7,4,4,9,5,3,,2
923,vt4_Jyväskylä,2020/02/02,1,"14 KAPP",2,,,,,1,,1,2,5,5,,2,11,3,6,8,11,6,11,7,6,3,6
923,vt4_Jyväskylä,2020/02/02,1,"15 KATP",2,4,1,1,2,,3,,1,12,3,7,6,8,5,9,15,12,11,13,15,14,11,3
923,vt4_Jyväskylä,2020/02/02,1,"16 HA + PK",,1,1,,,1,,1,,5,3,8,7,15,6,18,10,15,3,7,5,3,2,1
923,vt4_Jyväskylä,2020/02/02,1,"17 HA + AV",,,,,,,,,,1,1,,,1,,2,3,1,1,4,2,1,,
923,vt4_Jyväskylä,2020/02/02,2,"11 HA-PA",156,110,96,74,76,54,71,75,152,245,422,551,724,883,1058,936,1050,905,789,678,420,294,176,73
923,vt4_Jyväskylä,2020/02/02,2,"12 KAIP",2,,,1,,,2,1,1,3,3,2,7,4,3,7,1,5,13,9,5,2,3,2
923,vt4_Jyväskylä,2020/02/02,2,"13 Linja-autot",1,4,,,,3,,1,1,3,1,4,4,1,5,7,5,3,3,3,4,3,1,
923,vt4_Jyväskylä,2020/02/02,2,"14 KAPP",1,,1,,1,1,2,2,1,3,1,,4,3,6,7,6,3,4,5,3,2,2,1
923,vt4_Jyväskylä,2020/02/02,2,"15 KATP",1,,1,2,1,3,3,5,10,2,2,3,3,7,5,10,9,19,11,9,9,9,11,9
923,vt4_Jyväskylä,2020/02/02,2,"16 HA + PK",1,,,,,,1,,2,5,5,7,13,5,14,9,8,9,13,6,,2,1,1
923,vt4_Jyväskylä,2020/02/02,2,"17 HA + AV",,,,1,,,,,,,1,1,1,,1,3,3,2,1,,1,,1,
923,vt4_Jyväskylä,2020/02/03,1,"11 HA-PA",36,26,33,38,86,319,902,1527,1214,812,667,733,695,745,806,1068,1079,852,711,578,425,249,153,76
923,vt4_Jyväskylä,2020/02/03,1,"12 KAIP",3,3,,1,4,13,12,23,20,23,20,21,31,31,24,15,7,19,27,16,10,4,3,7
923,vt4_Jyväskylä,2020/02/03,1,"13 Linja-autot",1,,1,1,,1,5,9,5,2,3,2,6,2,5,8,6,7,5,5,3,1,,1
923,vt4_Jyväskylä,2020/02/03,1,"14 KAPP",,1,2,,2,1,3,5,9,7,8,10,14,14,15,14,9,9,8,13,4,8,7,
923,vt4_Jyväskylä,2020/02/03,1,"15 KATP",4,5,6,4,4,11,18,19,13,23,25,20,30,20,16,26,34,27,29,21,24,28,28,24
923,vt4_Jyväskylä,2020/02/03,1,"16 HA + PK",,1,,,1,4,5,11,6,11,4,13,2,6,10,8,4,6,7,5,,2,,
923,vt4_Jyväskylä,2020/02/03,1,"17 HA + AV",,,,1,,1,1,1,3,2,3,1,3,5,1,,2,,1,2,1,,1,1
923,vt4_Jyväskylä,2020/02/03,2,"11 HA-PA",42,31,29,35,81,233,522,757,676,566,533,622,698,776,916,1489,1531,1009,832,652,503,327,190,76
923,vt4_Jyväskylä,2020/02/03,2,"12 KAIP",4,2,2,1,1,11,22,32,19,20,21,25,27,19,32,22,17,25,21,13,10,5,3,4
923,vt4_Jyväskylä,2020/02/03,2,"13 Linja-autot",,2,2,,2,3,3,7,7,8,6,4,5,5,7,2,5,3,3,1,2,1,,
923,vt4_Jyväskylä,2020/02/03,2,"14 KAPP",2,2,,,1,2,4,5,8,11,4,13,14,15,15,16,16,6,8,5,5,4,2,3
923,vt4_Jyväskylä,2020/02/03,2,"15 KATP",9,9,2,8,6,11,11,18,18,26,27,21,18,17,30,22,33,39,21,30,22,22,25,19
923,vt4_Jyväskylä,2020/02/03,2,"16 HA + PK",1,1,1,,,2,1,5,8,5,6,2,7,4,9,9,5,7,8,3,6,4,1,
923,vt4_Jyväskylä,2020/02/03,2,"17 HA + AV",,,1,,,1,1,,1,,1,3,1,,3,1,1,4,2,1,1,,,
923,vt4_Jyväskylä,2020/02/04,1,"11 HA-PA",43,30,27,27,80,307,851,1531,1162,790,656,728,715,776,835,1080,1114,925,707,535,463,279,146,66
923,vt4_Jyväskylä,2020/02/04,1,"12 KAIP",2,,4,2,2,7,26,31,30,33,23,25,16,17,20,22,18,9,10,8,4,3,4,4
923,vt4_Jyväskylä,2020/02/04,1,"13 Linja-autot",,,,1,,1,3,8,5,5,4,3,5,4,7,4,6,8,3,5,3,2,1,
923,vt4_Jyväskylä,2020/02/04,1,"14 KAPP",4,4,,,,3,5,15,6,11,7,10,14,14,12,13,14,14,9,6,11,4,9,5
923,vt4_Jyväskylä,2020/02/04,1,"15 KATP",18,27,16,6,11,17,18,31,21,16,11,19,16,30,27,26,26,26,35,22,33,32,26,16
923,vt4_Jyväskylä,2020/02/04,1,"16 HA + PK",,2,1,,,1,5,7,5,13,7,5,6,12,7,13,12,6,6,2,5,,4,
923,vt4_Jyväskylä,2020/02/04,1,"17 HA + AV",,1,,,,,,,2,2,1,2,2,1,1,3,2,2,,1,,2,2,
923,vt4_Jyväskylä,2020/02/04,2,"11 HA-PA",47,29,23,29,52,200,484,765,666,478,491,627,655,779,1055,1464,1566,1037,872,706,562,303,190,85
923,vt4_Jyväskylä,2020/02/04,2,"12 KAIP",3,4,3,2,3,2,16,31,25,20,27,28,28,27,28,20,14,12,5,13,5,4,5,5
923,vt4_Jyväskylä,2020/02/04,2,"13 Linja-autot",1,2,1,,2,3,3,7,8,7,2,3,5,5,4,5,5,4,2,1,2,,1,
923,vt4_Jyväskylä,2020/02/04,2,"14 KAPP",4,,1,2,3,1,5,9,8,16,12,20,9,8,9,21,20,9,9,9,7,3,6,3
923,vt4_Jyväskylä,2020/02/04,2,"15 KATP",23,18,16,8,13,8,19,16,17,19,26,19,22,19,21,38,27,24,26,27,23,23,25,23
923,vt4_Jyväskylä,2020/02/04,2,"16 HA + PK",,,,1,,2,5,5,7,7,9,8,7,8,2,9,9,11,7,6,4,1,,1
923,vt4_Jyväskylä,2020/02/04,2,"17 HA + AV",,,,,1,1,,2,,1,4,1,2,2,1,1,2,1,1,3,,1,,
923,vt4_Jyväskylä,2020/02/05,1,"11 HA-PA",50,22,28,35,82,296,867,1505,1228,898,755,753,734,750,843,1046,1139,943,748,608,386,271,143,67
923,vt4_Jyväskylä,2020/02/05,1,"12 KAIP",3,1,1,4,1,10,18,32,36,25,23,29,29,18,16,19,15,12,12,5,3,8,5,5
923,vt4_Jyväskylä,2020/02/05,1,"13 Linja-autot",2,1,,1,1,1,6,4,4,5,5,8,6,4,5,5,5,8,4,6,2,1,2,2
923,vt4_Jyväskylä,2020/02/05,1,"14 KAPP",,2,,,,7,4,11,12,6,13,17,19,18,8,12,15,15,9,14,16,2,4,6
923,vt4_Jyväskylä,2020/02/05,1,"15 KATP",21,24,14,12,7,15,15,19,26,22,13,32,24,33,35,30,31,22,23,29,32,32,29,22
923,vt4_Jyväskylä,2020/02/05,1,"16 HA + PK",,1,1,,1,,2,5,9,12,7,3,7,11,5,9,11,7,1,4,3,3,,1
923,vt4_Jyväskylä,2020/02/05,1,"17 HA + AV",,,1,,,,1,1,1,2,3,1,2,5,,4,3,2,,2,,,,
923,vt4_Jyväskylä,2020/02/05,2,"11 HA-PA",50,25,15,26,60,196,488,722,664,494,510,671,704,793,1030,1587,1539,1090,950,716,540,397,206,96
923,vt4_Jyväskylä,2020/02/05,2,"12 KAIP",1,5,3,1,3,4,18,23,27,22,28,24,30,26,23,20,14,12,8,9,3,2,2,3
923,vt4_Jyväskylä,2020/02/05,2,"13 Linja-autot",,2,1,1,2,2,2,10,5,10,3,4,7,6,7,6,7,3,2,,2,1,1,
923,vt4_Jyväskylä,2020/02/05,2,"14 KAPP",2,2,5,1,,3,4,10,13,10,9,17,13,13,15,15,16,13,7,12,5,7,7,2
923,vt4_Jyväskylä,2020/02/05,2,"15 KATP",15,29,22,6,10,10,19,19,20,21,22,27,22,19,30,34,38,37,26,24,21,18,24,14
923,vt4_Jyväskylä,2020/02/05,2,"16 HA + PK",,,,,,2,2,6,4,8,6,8,11,6,6,5,7,9,8,3,4,,2,2
923,vt4_Jyväskylä,2020/02/05,2,"17 HA + AV",,,,,,,,1,3,,4,2,3,,1,2,1,1,1,,2,,,
923,vt4_Jyväskylä,2020/02/06,1,"11 HA-PA",61,27,20,46,81,338,833,1475,1140,921,762,782,742,795,905,1154,1186,1044,787,633,510,323,182,72
923,vt4_Jyväskylä,2020/02/06,1,"12 KAIP",4,2,3,4,,6,22,24,21,12,18,17,24,28,22,25,12,9,9,5,5,4,3,2
923,vt4_Jyväskylä,2020/02/06,1,"13 Linja-autot",1,1,,,,,5,7,7,4,13,11,5,7,7,7,6,3,6,6,3,2,,
923,vt4_Jyväskylä,2020/02/06,1,"14 KAPP",3,2,1,1,2,3,4,3,7,17,9,6,9,13,7,11,14,11,6,6,6,,1,5
923,vt4_Jyväskylä,2020/02/06,1,"15 KATP",23,25,13,9,8,9,18,22,13,16,16,31,32,21,26,31,31,28,26,20,23,27,24,25
923,vt4_Jyväskylä,2020/02/06,1,"16 HA + PK",,1,,1,1,,6,6,6,8,9,9,10,7,7,13,10,8,5,5,1,4,3,1
923,vt4_Jyväskylä,2020/02/06,1,"17 HA + AV",,,,,,1,3,,2,5,3,4,2,4,3,4,3,4,4,1,,,1,1
923,vt4_Jyväskylä,2020/02/06,2,"11 HA-PA",44,43,26,23,63,208,473,699,669,502,505,628,786,928,1181,1658,1698,1201,914,827,580,391,226,112
923,vt4_Jyväskylä,2020/02/06,2,"12 KAIP",2,4,1,5,7,5,12,22,30,22,25,18,23,24,25,27,7,8,11,7,2,5,2,4
923,vt4_Jyväskylä,2020/02/06,2,"13 Linja-autot",,2,,1,2,2,3,7,6,8,5,3,8,9,8,8,9,4,3,,2,2,1,1
923,vt4_Jyväskylä,2020/02/06,2,"14 KAPP",5,2,3,1,,2,4,3,9,18,16,18,21,19,15,21,21,10,9,11,4,4,4,3
923,vt4_Jyväskylä,2020/02/06,2,"15 KATP",26,24,19,11,11,9,17,20,16,19,22,25,23,24,21,23,30,24,20,19,19,12,32,20
923,vt4_Jyväskylä,2020/02/06,2,"16 HA + PK",,,,1,,,3,10,3,11,8,16,3,15,12,11,15,10,8,5,3,2,,
923,vt4_Jyväskylä,2020/02/06,2,"17 HA + AV",,,1,,,1,1,,1,1,2,,3,2,1,3,4,3,,2,1,1,1,1
923,vt4_Jyväskylä,2020/02/07,1,"11 HA-PA",68,40,44,43,88,296,799,1411,1204,919,797,854,830,924,1123,1288,1244,1051,901,691,530,350,236,157
923,vt4_Jyväskylä,2020/02/07,1,"12 KAIP",3,5,2,1,1,9,13,20,28,27,40,23,30,22,21,28,13,10,11,4,6,6,5,3
923,vt4_Jyväskylä,2020/02/07,1,"13 Linja-autot",3,,,,,1,4,6,7,5,6,7,4,6,4,8,8,4,7,6,3,2,1,2
923,vt4_Jyväskylä,2020/02/07,1,"14 KAPP",2,3,2,,,5,5,11,6,8,10,7,13,14,13,10,5,5,4,4,3,,4,1
923,vt4_Jyväskylä,2020/02/07,1,"15 KATP",16,18,17,7,8,19,13,20,16,23,18,26,24,10,22,25,20,17,15,15,22,21,25,15
