"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1026,vt8_Kovjoki,2020/07/01,1,"11 HA-PA",21,6,5,4,14,38,92,89,99,97,135,121,170,167,188,232,228,190,161,126,107,87,77,33
1026,vt8_Kovjoki,2020/07/01,1,"12 KAIP",1,1,,,2,,3,8,9,3,5,4,2,10,11,11,4,4,5,10,3,2,1,
1026,vt8_Kovjoki,2020/07/01,1,"13 Linja-autot",,,,,,,1,,1,2,1,1,,,1,1,,2,,,,1,3,
1026,vt8_Kovjoki,2020/07/01,1,"14 KAPP",,,2,1,,1,3,7,3,12,3,10,2,7,6,8,5,8,2,3,4,5,,
1026,vt8_Kovjoki,2020/07/01,1,"15 KATP",5,11,7,12,14,12,20,6,22,23,11,19,13,18,24,17,16,17,15,20,17,6,4,4
1026,vt8_Kovjoki,2020/07/01,1,"16 HA + PK",,,,1,,1,1,1,2,7,8,7,6,13,10,8,11,7,9,13,7,7,8,
1026,vt8_Kovjoki,2020/07/01,1,"17 HA + AV",1,1,,,1,,,3,,1,3,8,2,4,3,2,4,4,2,3,3,1,1,
1026,vt8_Kovjoki,2020/07/01,2,"11 HA-PA",14,3,4,3,12,48,96,106,111,135,143,132,170,172,180,207,188,152,135,109,91,83,50,31
1026,vt8_Kovjoki,2020/07/01,2,"12 KAIP",3,,1,3,1,1,9,14,3,11,10,11,13,10,11,11,6,6,6,6,3,1,1,3
1026,vt8_Kovjoki,2020/07/01,2,"13 Linja-autot",,,,,,,,,,1,2,1,1,1,1,1,1,,,,,1,,1
1026,vt8_Kovjoki,2020/07/01,2,"14 KAPP",1,1,,,,2,4,3,9,8,9,10,10,8,8,5,6,7,3,3,,,4,1
1026,vt8_Kovjoki,2020/07/01,2,"15 KATP",2,5,3,3,3,3,16,20,19,20,25,23,23,21,20,19,16,22,11,14,8,10,7,4
1026,vt8_Kovjoki,2020/07/01,2,"16 HA + PK",,1,,,,1,,2,3,5,13,9,16,18,7,11,3,9,3,10,1,3,,1
1026,vt8_Kovjoki,2020/07/01,2,"17 HA + AV",1,,1,,,,1,1,,3,9,5,2,3,6,7,2,2,3,3,2,2,,
1026,vt8_Kovjoki,2020/07/02,1,"11 HA-PA",22,21,2,2,12,38,91,88,95,112,140,156,159,173,201,242,229,224,158,191,136,90,90,40
1026,vt8_Kovjoki,2020/07/02,1,"12 KAIP",,,4,,1,4,4,1,9,2,4,3,5,10,10,7,12,8,6,5,4,1,2,2
1026,vt8_Kovjoki,2020/07/02,1,"13 Linja-autot",,,,,,,,,,2,,,1,,,1,,1,1,,,,,
1026,vt8_Kovjoki,2020/07/02,1,"14 KAPP",,1,,1,,1,1,4,10,6,3,12,4,8,6,10,10,5,2,2,2,3,1,1
1026,vt8_Kovjoki,2020/07/02,1,"15 KATP",4,7,10,15,16,11,8,16,13,16,12,15,20,21,24,17,16,16,15,12,12,6,10,3
1026,vt8_Kovjoki,2020/07/02,1,"16 HA + PK",1,1,1,,,1,2,4,5,8,9,3,12,10,7,7,5,6,11,5,2,6,1,3
1026,vt8_Kovjoki,2020/07/02,1,"17 HA + AV",,1,,2,,1,,,1,3,8,2,7,2,7,6,4,1,1,1,2,3,2,
1026,vt8_Kovjoki,2020/07/02,2,"11 HA-PA",7,3,7,5,11,55,89,93,96,112,213,184,169,174,172,203,191,191,155,117,116,90,39,32
1026,vt8_Kovjoki,2020/07/02,2,"12 KAIP",1,,1,1,,,5,3,8,3,11,11,13,10,12,12,3,4,13,3,3,2,3,2
1026,vt8_Kovjoki,2020/07/02,2,"13 Linja-autot",,,,,,,,,,,1,1,,1,,,1,1,,,,,1,
1026,vt8_Kovjoki,2020/07/02,2,"14 KAPP",,,,1,,3,1,2,3,3,11,3,7,5,10,8,5,4,2,4,1,,1,
1026,vt8_Kovjoki,2020/07/02,2,"15 KATP",4,5,3,3,4,10,13,13,23,16,25,13,15,17,21,19,17,26,20,15,10,10,6,5
1026,vt8_Kovjoki,2020/07/02,2,"16 HA + PK",1,,,1,,3,1,3,4,10,9,5,9,12,14,12,9,11,7,7,10,3,2,
1026,vt8_Kovjoki,2020/07/02,2,"17 HA + AV",,,,,,,,1,2,6,5,4,7,4,6,5,3,1,5,5,2,1,,1
1026,vt8_Kovjoki,2020/07/03,1,"11 HA-PA",18,16,4,5,12,34,73,80,64,98,140,160,186,208,233,267,292,265,230,180,133,124,65,48
1026,vt8_Kovjoki,2020/07/03,1,"12 KAIP",2,1,1,1,,3,5,4,8,5,5,5,11,7,4,9,5,3,8,5,2,3,1,
1026,vt8_Kovjoki,2020/07/03,1,"13 Linja-autot",,,,,,,,,,1,1,,,,2,1,,1,,,,,,
1026,vt8_Kovjoki,2020/07/03,1,"14 KAPP",,,1,1,,1,3,9,2,10,11,7,1,2,2,2,3,2,1,2,2,2,3,
1026,vt8_Kovjoki,2020/07/03,1,"15 KATP",8,8,9,21,18,9,8,8,10,9,15,22,9,12,15,11,10,11,6,3,7,6,8,3
1026,vt8_Kovjoki,2020/07/03,1,"16 HA + PK",3,1,,,,1,1,4,2,3,3,11,8,9,8,12,14,9,7,10,10,10,2,5
1026,vt8_Kovjoki,2020/07/03,1,"17 HA + AV",,,,,,3,1,2,,1,4,3,3,5,3,4,3,3,4,1,3,3,2,1
1026,vt8_Kovjoki,2020/07/03,2,"11 HA-PA",10,7,2,5,7,45,79,85,124,160,173,175,163,247,194,273,218,215,178,106,88,73,48,31
1026,vt8_Kovjoki,2020/07/03,2,"12 KAIP",2,,2,1,,,9,5,6,9,10,6,11,10,12,7,11,8,5,8,4,,3,
1026,vt8_Kovjoki,2020/07/03,2,"13 Linja-autot",,,,,,,,,,,,,3,2,,1,1,,,1,,,,
1026,vt8_Kovjoki,2020/07/03,2,"14 KAPP",,,,1,,1,2,3,6,6,7,8,10,14,4,6,6,3,1,4,2,1,2,
1026,vt8_Kovjoki,2020/07/03,2,"15 KATP",4,4,3,3,3,10,11,9,25,18,15,17,21,16,20,18,12,16,15,10,7,6,5,5
1026,vt8_Kovjoki,2020/07/03,2,"16 HA + PK",,,,2,,2,3,1,7,14,7,9,13,11,12,11,9,13,10,2,7,2,2,
1026,vt8_Kovjoki,2020/07/03,2,"17 HA + AV",,,,1,1,2,1,3,2,1,2,3,5,12,6,6,4,4,6,2,3,2,1,2
1026,vt8_Kovjoki,2020/07/04,1,"11 HA-PA",29,18,16,5,6,12,20,26,60,121,149,179,229,266,230,194,213,208,190,146,105,90,68,49
1026,vt8_Kovjoki,2020/07/04,1,"12 KAIP",2,,2,,,1,1,1,,3,3,4,1,2,5,3,6,3,3,1,1,1,3,1
1026,vt8_Kovjoki,2020/07/04,1,"13 Linja-autot",,,,,,,,,2,,,,1,1,,,,1,,,,,,1
1026,vt8_Kovjoki,2020/07/04,1,"14 KAPP",2,1,,1,,,,,2,2,4,1,2,1,,,2,2,1,1,,,,
1026,vt8_Kovjoki,2020/07/04,1,"15 KATP",7,3,9,11,5,4,2,2,1,2,5,2,6,1,3,2,4,4,1,4,1,3,2,
1026,vt8_Kovjoki,2020/07/04,1,"16 HA + PK",1,,,,,,1,1,5,2,7,7,9,5,14,14,12,6,4,6,8,7,2,3
1026,vt8_Kovjoki,2020/07/04,1,"17 HA + AV",,2,,,,,,,3,1,4,5,6,2,3,2,4,2,3,2,,,1,
1026,vt8_Kovjoki,2020/07/04,2,"11 HA-PA",24,16,6,8,7,12,18,43,112,146,181,189,211,162,190,183,169,182,148,91,87,61,45,31
1026,vt8_Kovjoki,2020/07/04,2,"12 KAIP",1,,,,1,,1,4,2,,2,4,6,3,4,2,4,4,3,6,3,1,3,
1026,vt8_Kovjoki,2020/07/04,2,"13 Linja-autot",,,,,,,,,,,,,,,1,2,,,1,,,,,
1026,vt8_Kovjoki,2020/07/04,2,"14 KAPP",,,,1,,1,1,1,2,,,4,3,1,1,,,1,,3,1,1,,2
1026,vt8_Kovjoki,2020/07/04,2,"15 KATP",1,6,1,1,1,1,1,7,3,3,3,8,8,4,4,3,3,2,5,1,1,3,3,2
1026,vt8_Kovjoki,2020/07/04,2,"16 HA + PK",1,,1,,,,2,3,9,11,6,9,8,8,9,10,6,9,5,4,,3,2,
1026,vt8_Kovjoki,2020/07/04,2,"17 HA + AV",1,,,,,,1,1,2,1,,2,6,2,7,6,2,4,4,2,1,1,,
1026,vt8_Kovjoki,2020/07/05,1,"11 HA-PA",32,25,4,9,4,11,16,21,29,60,88,148,201,190,201,220,249,228,251,314,198,128,66,33
1026,vt8_Kovjoki,2020/07/05,1,"12 KAIP",,1,1,1,1,1,,,1,3,2,1,1,4,2,6,4,2,4,5,3,2,1,2
1026,vt8_Kovjoki,2020/07/05,1,"13 Linja-autot",,,,,,,1,1,,,,1,,,,1,1,1,,1,,,,
1026,vt8_Kovjoki,2020/07/05,1,"14 KAPP",,1,,,,,1,1,,,1,3,2,2,,2,6,2,6,3,2,4,2,
1026,vt8_Kovjoki,2020/07/05,1,"15 KATP",1,1,,,1,,,,1,2,1,2,3,2,4,6,7,8,4,11,6,6,6,3
