"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
1028,kt68_Evijärvi,2020/07/01,1,"11 HA-PA",2,4,,1,1,9,10,15,16,19,23,21,35,20,37,26,32,33,24,23,22,8,9,
1028,kt68_Evijärvi,2020/07/01,1,"12 KAIP",,,,,,,1,1,1,1,2,2,,1,,,1,,1,1,,1,1,
1028,kt68_Evijärvi,2020/07/01,1,"13 Linja-autot",,,,,,,,,,,1,,,,,,,,,,,,,
1028,kt68_Evijärvi,2020/07/01,1,"14 KAPP",,,,,,,1,1,1,1,1,,2,,1,2,,,,1,,,,
1028,kt68_Evijärvi,2020/07/01,1,"15 KATP",3,,,,,1,3,1,1,2,3,5,2,2,2,1,,2,4,2,1,,2,
1028,kt68_Evijärvi,2020/07/01,1,"16 HA + PK",,,,,,,,,,2,2,,4,1,1,3,3,,,2,,,1,
1028,kt68_Evijärvi,2020/07/01,1,"17 HA + AV",,,,,,,,,1,1,,,,,1,1,,,2,,,,1,
1028,kt68_Evijärvi,2020/07/01,2,"11 HA-PA",3,1,,1,1,4,15,14,14,19,27,35,33,26,37,43,33,31,19,18,17,9,4,7
1028,kt68_Evijärvi,2020/07/01,2,"12 KAIP",,,,,1,,1,,3,,,2,4,,2,2,1,2,,,,,,1
1028,kt68_Evijärvi,2020/07/01,2,"13 Linja-autot",,,,,,,,,1,,,,,,,,,,,,,,,
1028,kt68_Evijärvi,2020/07/01,2,"14 KAPP",,,,,,,2,1,,,,1,1,1,1,,,1,,,,,,
1028,kt68_Evijärvi,2020/07/01,2,"15 KATP",1,1,1,,,1,2,3,3,1,3,2,2,3,5,2,3,3,1,,3,1,1,2
1028,kt68_Evijärvi,2020/07/01,2,"16 HA + PK",,,,,,,,,,1,,2,1,1,,3,4,1,1,1,,1,1,
1028,kt68_Evijärvi,2020/07/01,2,"17 HA + AV",,,,,,,,1,,1,,1,,1,1,,1,,,1,,,,
1028,kt68_Evijärvi,2020/07/02,1,"11 HA-PA",6,,1,,,8,11,13,15,24,22,26,39,36,35,35,32,38,32,24,28,19,11,
1028,kt68_Evijärvi,2020/07/02,1,"12 KAIP",,,,,,,,,3,3,,4,1,1,1,2,1,1,,,2,,1,
1028,kt68_Evijärvi,2020/07/02,1,"13 Linja-autot",,,,,,,,,,,,,,1,,,,,,,,,,
1028,kt68_Evijärvi,2020/07/02,1,"14 KAPP",,,,,,,,,1,3,2,,2,,,,,1,,1,1,1,,
1028,kt68_Evijärvi,2020/07/02,1,"15 KATP",2,,1,1,1,,2,2,1,3,3,3,4,1,4,4,4,2,3,2,1,1,,
1028,kt68_Evijärvi,2020/07/02,1,"16 HA + PK",,,,,,,1,1,,3,1,2,1,2,2,3,2,1,1,2,1,2,2,
1028,kt68_Evijärvi,2020/07/02,1,"17 HA + AV",,,,,,,,,,,,,,1,,2,1,,,,,,,
1028,kt68_Evijärvi,2020/07/02,2,"11 HA-PA",3,1,1,,,4,21,9,16,37,34,27,42,37,31,41,39,34,24,28,21,16,7,2
1028,kt68_Evijärvi,2020/07/02,2,"12 KAIP",,,,,,,3,1,3,1,2,1,2,,4,3,,1,,1,1,,,
1028,kt68_Evijärvi,2020/07/02,2,"14 KAPP",,,,,,1,1,1,,1,1,,,,,1,1,2,,1,,,,
