"Mittauspiste Sijainti Päivä Suuntakoodi Ajoneuvoluokka",,,,,KLO_00-01,KLO_01-02,KLO_02-03,KLO_03-04,KLO_04-05,KLO_05-06,KLO_06-07,KLO_07-08,KLO_08-09,KLO_09-10,KLO_10-11,KLO_11-12,KLO_12-13,KLO_13-14,KLO_14-15,KLO_15-16,KLO_16-17,KLO_17-18,KLO_18-19,KLO_19-20,KLO_20-21,KLO_21-22,KLO_22-23,KLO_23-00
102,kt51_Soukka,2020/07/01,1,"11 HA-PA",86,68,33,23,29,87,384,539,609,637,718,966,1091,1187,1385,1881,2049,1700,1335,1091,916,609,369,205
102,kt51_Soukka,2020/07/01,1,"12 KAIP",2,1,,2,4,10,14,14,30,39,34,28,35,28,45,28,16,16,15,4,5,4,1,
102,kt51_Soukka,2020/07/01,1,"13 Linja-autot",3,1,,,5,18,14,14,10,11,12,7,9,8,8,7,9,10,6,6,3,4,1,
102,kt51_Soukka,2020/07/01,1,"14 KAPP",,,,1,1,4,8,2,3,4,6,5,3,5,2,2,2,1,1,2,1,,5,2
102,kt51_Soukka,2020/07/01,1,"15 KATP",,,2,1,2,1,2,1,4,5,6,3,3,4,3,3,5,6,3,,,2,3,
102,kt51_Soukka,2020/07/01,1,"16 HA + PK",1,,,,,,2,2,6,10,11,7,9,14,16,15,18,16,10,13,5,3,1,
102,kt51_Soukka,2020/07/01,1,"17 HA + AV",,,1,,,,,2,2,3,7,3,2,4,6,1,4,4,3,1,2,,2,
102,kt51_Soukka,2020/07/01,2,"11 HA-PA",79,51,23,22,54,218,1020,1303,1142,1026,995,1157,1099,1090,1074,1222,1363,1274,1092,837,746,581,379,206
102,kt51_Soukka,2020/07/01,2,"12 KAIP",1,3,1,1,1,7,15,24,27,25,21,23,29,27,22,14,14,13,8,5,4,4,4,
102,kt51_Soukka,2020/07/01,2,"13 Linja-autot",8,,4,1,2,6,12,14,16,20,10,10,9,12,10,12,13,14,15,5,6,6,4,10
102,kt51_Soukka,2020/07/01,2,"14 KAPP",,5,,,1,1,3,2,5,2,4,,6,3,5,1,2,4,12,1,1,,1,1
102,kt51_Soukka,2020/07/01,2,"15 KATP",,,2,1,3,6,3,1,3,5,7,2,5,3,3,3,5,2,1,2,,2,,1
102,kt51_Soukka,2020/07/01,2,"16 HA + PK",,1,2,,,1,7,16,14,9,16,13,20,17,18,14,16,20,11,9,10,3,5,1
102,kt51_Soukka,2020/07/01,2,"17 HA + AV",1,,,,,1,2,3,5,3,2,3,3,5,3,5,2,3,2,,1,,,2
102,kt51_Soukka,2020/07/02,1,"11 HA-PA",119,81,53,25,28,94,404,613,622,694,867,1038,1120,1267,1387,1879,1928,1624,1292,1085,847,608,324,190
102,kt51_Soukka,2020/07/02,1,"12 KAIP",,2,1,1,3,13,14,28,35,41,34,31,39,33,38,27,23,10,13,8,3,3,2,
102,kt51_Soukka,2020/07/02,1,"13 Linja-autot",2,1,,,6,16,21,15,9,9,8,6,7,6,6,6,11,8,6,5,3,3,1,
102,kt51_Soukka,2020/07/02,1,"14 KAPP",,,,1,2,8,11,1,3,3,11,2,2,4,3,1,1,2,2,1,,1,1,2
102,kt51_Soukka,2020/07/02,1,"15 KATP",1,1,,2,1,,2,4,4,5,5,5,10,3,7,6,2,4,2,,3,,1,
102,kt51_Soukka,2020/07/02,1,"16 HA + PK",,,,,,,,2,10,9,27,12,19,11,21,13,20,19,17,13,11,6,3,
102,kt51_Soukka,2020/07/02,1,"17 HA + AV",,,,,,,1,1,2,2,8,6,,11,1,6,3,3,1,6,,,,
102,kt51_Soukka,2020/07/02,2,"11 HA-PA",88,64,40,25,58,232,954,1231,1058,960,978,1035,1100,1057,1162,1236,1340,1329,1163,867,695,447,320,179
102,kt51_Soukka,2020/07/02,2,"12 KAIP",1,3,,,2,9,16,31,39,33,17,22,25,27,26,23,17,12,9,9,1,3,1,1
102,kt51_Soukka,2020/07/02,2,"13 Linja-autot",3,2,2,3,4,3,13,20,18,19,16,13,7,11,7,12,10,13,9,4,5,7,4,9
102,kt51_Soukka,2020/07/02,2,"14 KAPP",2,5,,,,2,1,2,5,1,6,6,4,6,3,5,2,5,9,4,3,,1,2
102,kt51_Soukka,2020/07/02,2,"15 KATP",,,,1,5,1,5,2,6,3,5,6,8,8,5,4,3,3,2,2,,,2,2
102,kt51_Soukka,2020/07/02,2,"16 HA + PK",1,,1,,,2,7,14,16,16,10,17,28,18,18,19,13,20,12,10,10,8,5,1
102,kt51_Soukka,2020/07/02,2,"17 HA + AV",,,,,,2,5,3,2,2,3,6,4,5,2,6,2,5,4,2,3,,2,1
102,kt51_Soukka,2020/07/03,1,"11 HA-PA",114,59,42,26,38,94,389,610,720,785,1022,1176,1315,1448,1665,1978,1970,1706,1326,974,748,549,367,228
102,kt51_Soukka,2020/07/03,1,"12 KAIP",1,,,2,5,11,11,30,38,45,41,33,47,31,26,24,19,9,10,3,7,2,2,
102,kt51_Soukka,2020/07/03,1,"13 Linja-autot",2,1,,,5,21,14,11,10,7,11,9,6,4,7,6,9,8,6,5,3,3,1,
102,kt51_Soukka,2020/07/03,1,"14 KAPP",1,,,,3,3,8,5,7,1,6,1,2,2,2,2,1,,,1,,,,1
102,kt51_Soukka,2020/07/03,1,"15 KATP",1,2,1,,1,2,3,3,7,6,3,8,6,4,5,3,2,5,2,,3,,1,
102,kt51_Soukka,2020/07/03,1,"16 HA + PK",,,,,,,2,1,5,12,14,7,19,18,16,18,23,14,17,9,13,2,3,
102,kt51_Soukka,2020/07/03,1,"17 HA + AV",,,,,,,,2,1,3,1,4,3,6,6,8,4,5,1,2,2,1,1,
102,kt51_Soukka,2020/07/03,2,"11 HA-PA",73,52,33,30,63,210,935,1117,967,924,959,1091,1112,1132,1210,1359,1344,1227,1080,898,685,505,365,263
102,kt51_Soukka,2020/07/03,2,"12 KAIP",,2,,2,,10,25,30,23,41,21,30,29,21,17,15,9,16,9,3,2,2,,
102,kt51_Soukka,2020/07/03,2,"13 Linja-autot",3,3,3,,3,6,14,15,16,18,13,12,9,9,7,7,11,11,13,3,5,5,3,9
102,kt51_Soukka,2020/07/03,2,"14 KAPP",1,4,,1,1,2,4,1,3,,5,2,3,1,2,2,,4,8,2,2,,1,2
102,kt51_Soukka,2020/07/03,2,"15 KATP",,,,1,2,1,6,2,2,1,5,6,4,2,3,3,2,,,1,,,1,
102,kt51_Soukka,2020/07/03,2,"16 HA + PK",1,,1,1,,1,7,7,14,18,12,15,18,22,18,20,12,19,13,7,6,5,4,2
102,kt51_Soukka,2020/07/03,2,"17 HA + AV",,,,,,1,4,3,3,6,2,1,3,,2,2,4,2,3,1,1,1,2,
102,kt51_Soukka,2020/07/04,1,"11 HA-PA",182,119,120,71,49,53,147,230,326,491,749,889,1002,1027,1102,1122,959,1017,921,575,409,365,265,206
102,kt51_Soukka,2020/07/04,1,"12 KAIP",1,,1,,,3,,2,1,6,7,11,10,1,3,3,2,5,5,1,,1,2,
102,kt51_Soukka,2020/07/04,1,"13 Linja-autot",2,1,,,,3,11,1,1,4,4,4,4,3,3,4,3,4,6,2,2,1,1,
102,kt51_Soukka,2020/07/04,1,"14 KAPP",,,,1,,1,3,2,,,1,1,,,2,1,,,,,,,,
102,kt51_Soukka,2020/07/04,1,"15 KATP",2,,,,1,1,,,1,,1,1,1,,,,1,1,,,1,,,
102,kt51_Soukka,2020/07/04,1,"16 HA + PK",,1,,,,,,3,4,5,13,12,16,8,12,11,5,9,11,6,,3,,
102,kt51_Soukka,2020/07/04,1,"17 HA + AV",,,,,,,,,,1,,1,,,,1,1,,2,1,1,,,
102,kt51_Soukka,2020/07/04,2,"11 HA-PA",149,91,84,68,56,72,179,188,262,591,809,991,1211,1288,1182,1072,927,861,691,549,426,358,250,227
102,kt51_Soukka,2020/07/04,2,"12 KAIP",1,,2,1,,,2,3,,1,7,10,6,4,2,3,7,6,3,,1,1,4,1
102,kt51_Soukka,2020/07/04,2,"13 Linja-autot",3,1,3,,,,2,1,2,3,2,5,5,5,3,3,4,4,2,3,2,1,2,10
102,kt51_Soukka,2020/07/04,2,"14 KAPP",2,4,1,,,,1,,4,,1,1,,,1,,1,,,1,,1,,2
102,kt51_Soukka,2020/07/04,2,"15 KATP",1,,,,,1,,1,,,,,,1,,,,,1,1,,,,
102,kt51_Soukka,2020/07/04,2,"16 HA + PK",1,1,,2,1,1,,5,4,10,9,14,15,12,13,14,12,8,5,7,4,3,1,1
102,kt51_Soukka,2020/07/04,2,"17 HA + AV",,,,,,,,1,2,2,,1,1,,,1,1,2,,,,,,
102,kt51_Soukka,2020/07/05,1,"11 HA-PA",234,128,122,72,39,34,59,102,164,285,557,846,992,1114,1103,1042,962,905,899,675,487,357,256,106
102,kt51_Soukka,2020/07/05,1,"12 KAIP",,2,1,,,,,,2,2,2,,2,4,1,5,2,5,6,1,1,2,1,
102,kt51_Soukka,2020/07/05,1,"13 Linja-autot",2,,1,,,4,7,2,1,3,2,3,4,5,4,3,3,4,5,2,2,2,1,
102,kt51_Soukka,2020/07/05,1,"14 KAPP",,,,,,,1,1,,,,,,,,,1,1,,1,,,4,
102,kt51_Soukka,2020/07/05,1,"15 KATP",,,,,,,,,,,,1,,,,,2,2,,1,,3,,
102,kt51_Soukka,2020/07/05,1,"16 HA + PK",,,1,,,,1,,1,3,7,8,6,12,12,12,5,5,6,2,2,1,,1
102,kt51_Soukka,2020/07/05,1,"17 HA + AV",,1,,1,,,1,,,2,,1,4,3,1,1,1,,,1,,2,,1
102,kt51_Soukka,2020/07/05,2,"11 HA-PA",150,156,156,69,47,34,89,121,134,296,470,788,1041,1190,1265,1401,1298,1367,1179,968,673,377,196,106
102,kt51_Soukka,2020/07/05,2,"12 KAIP",,1,,,1,,1,,,,1,2,2,3,7,3,6,3,4,5,2,1,3,1
102,kt51_Soukka,2020/07/05,2,"13 Linja-autot",5,,1,1,,,1,1,1,2,3,4,4,3,4,3,5,3,3,3,3,3,4,6
102,kt51_Soukka,2020/07/05,2,"14 KAPP",1,,2,,,,,,,,,1,,,,,1,,1,,,,,5
102,kt51_Soukka,2020/07/05,2,"15 KATP",,,,,,,,,,,,2,,1,,,1,,1,,2,1,,1
